# CAP key=bronzecapweekly__20260314 role=hit label=Friday Danksville type=Weekly env=current variants=all_cards obsval=40-69 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=246 rows=246
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Nico Hoerner	2B	48	0	R	14101	0.2835622853574774	0.3394899481423599	0.3601311270683734	0.3185580279644922	7.5	11.9	1.6	0.316	23.1	8.23	-0.8	1.05	3.11
Mark Trumbo	1B	49	0	R	13618	0.2434802856255821	0.2745242119185833	0.4492393666563179	0.3177503098400501	3.8	24.4	28.8	0.27	42.3	1.43	-0.29	0.89	1.41
Austin Jackson	CF	48	0	R	11836	0.2545404512933407	0.3019591141396933	0.3821317189506512	0.3074493288971586	5.8	25.8	7.9	0.327	32.6	19.09	0.58	3.29	2.702
Garret Anderson	LF	49	0	L	11780	0.2819044209772686	0.3071695548759769	0.4029890817970288	0.3166407957353125	3.3	13.8	12.3	0.305	25.8	6.76	-0.19	-2.47	1.864
Brooks Robinson	3B	49	0	R	9309	0.2410135533294048	0.2904699738903394	0.3520329994107248	0.290731158549752	6.1	17.6	10.2	0.273	28.6	6.67	-0.3	-1.78	1.85
Dominic Fletcher	RF	49	0	L	8619	0.2332908163265306	0.2823724007561437	0.3448979591836735	0.2841160026087958	6	19.3	8.8	0.272	32.4	4.72	-0.28	0.91	0.968
Jonathan Lucroy	C	48	0	R	7325	0.2655277023790516	0.3620595465719749	0.370908510298579	0.3350022905010982	12.9	9.2	4.8	0.282	27.9	17.24	-0.12	-3.13	2.04
Jelly Jackson	SS	47	0	R	6379	0.2110652056763068	0.2810933203946304	0.2813005209268906	0.2622967829697754	8.2	14.6	6.4	0.234	18.6	16.97	-0.56	1.16	1.044
Tsung-Che Cheng	2B	44	0	L	5593	0.2437381603872869	0.3500357909806729	0.3190907177436329	0.3122444508173943	13.9	18	7.3	0.282	18	6.73	3.08	2.93	1.459
Sam Rice	RF	48	0	L	5266	0.2708246128087066	0.3278063655422146	0.3631226454583508	0.3132310548692037	7.6	8.6	5.4	0.286	25.9	3.58	0.46	0.81	0.934
Carlos Narvaez	C	49	0	R	4104	0.2305593451568895	0.3003690036900369	0.3519781718963165	0.2980977746573744	8.7	27	11.7	0.292	33.1	1.79	-0.23	-3.04	2.807
Austin Jackson	CF	48	5	R	3774	0.2720909886264217	0.3288180610889774	0.399825021872266	0.3276697712419062	7.4	24.2	6.8	0.344	32.3	16.94	0.49	4.32	3.959
Tony Armas	CF	48	0	R	3759	0.2110195967054814	0.2527940393826503	0.4407838682192559	0.305499562988359	4.7	32.9	36.6	0.238	46.8	0.86	-0.16	-0.27	0.734
Roy McMillan	SS	47	0	R	3645	0.2103755569700828	0.3029126213592233	0.2743475493316359	0.2729855881462147	11.2	22.2	6.4	0.255	18.5	0.82	-0.43	-2.93	1.004
Tsung-Che Cheng	2B	44	5	L	3602	0.2503315649867374	0.3653792720200055	0.3365384615384616	0.3278659709934251	15.1	17.1	8.7	0.284	19.2	7.59	3.15	4.46	3.115
Nico Hoerner	2B	48	5	R	3564	0.2829721362229102	0.3408260747400955	0.3609907120743034	0.3191526845632393	7.7	10.4	0.8	0.311	23.2	14.15	-0.72	1.94	3.418
Mark Trumbo	1B	49	5	R	3108	0.2590299277605779	0.2967492758287738	0.4932920536635707	0.3463407040923024	4.8	24.2	34	0.28	43.4	0.61	0.02	1.37	2.915
Bill Robinson	LF	47	0	R	3000	0.2415026833631485	0.288429476492164	0.4590339892665474	0.3304446061125272	5.6	27.9	31.6	0.276	41.2	5.04	1.38	0.32	2.72
Liover Peguero	SS	49	0	R	2960	0.2341536167039523	0.2850756533700138	0.3612975391498882	0.2916802829304046	6.3	23.5	13.8	0.279	31.8	2.5	-0.32	0.91	0.203
Myril Hoag	RF	46	0	R	2914	0.2524990744168826	0.292239010989011	0.4105886708626434	0.3123900010075736	5.4	14.2	18.5	0.261	34.5	5.11	-0.16	0.58	1.009
Maurice Archdeacon	CF	45	0	L	2748	0.2317852577758841	0.3347905282331512	0.2888794205368556	0.2944276134430288	13	29.1	2.6	0.317	18.4	10	-0.96	5.52	0.677
Ivy Olson	SS	49	0	R	2738	0.2430090586845215	0.2855045871559633	0.3205986608901142	0.2758349361279129	5.2	7.4	5.3	0.252	21.6	12.03	0.59	-0.81	-0.175
Tim Beckham	SS	48	0	R	2476	0.2401918047079337	0.2880258899676376	0.3823016564952049	0.3008462797516308	5.9	28.9	17.2	0.305	29.8	12.2	-0.68	3	1.745
Brooks Robinson	3B	49	5	R	2446	0.2571299230421005	0.3181444991789819	0.3761883205070167	0.314435570380882	7.9	16	10.5	0.287	28.9	7.93	-0.07	-1.89	3.164
Henry Rodriguez	LF	47	0	L	2374	0.2469248291571754	0.2969671440606571	0.5070615034168565	0.3521284597795492	6.3	34.4	35.9	0.304	52	1.77	0	-2.5	2.174
Tim Beckham	SS	48	5	R	2068	0.2526260504201681	0.3034849951597289	0.3975840336134454	0.3135723370434669	6.5	29.1	14.8	0.327	30.8	17.57	-0.35	1.07	2.263
Garret Anderson	LF	49	5	L	1936	0.30103995621237	0.3245478036175711	0.4504652435686918	0.3429911695451184	3.3	12.4	14.9	0.317	30	7.27	-0.59	-3.69	3.161
Bob Horner	1B	44	0	R	1916	0.25526791089705	0.3490073145245559	0.378687537627935	0.3337331281991118	12.3	13.5	13.8	0.271	27.1	1.74	0	-1.97	1.503
