# CAP key=bronzecapweekly__20260314 role=pit label=Friday Danksville type=Weekly env=current variants=all_cards obsval=40-49 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=210 rows=210
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Ed Wells	49	0	L	2955.6	0.99	5.95	4.35	3.99	0.3211780092125858	4.95	2.39	0.99	0.28
Tiny Osborne	49	0	R	2547.7	0.959	5.55	4.13	3.85	0.3131938706073721	6.49	3.04	0.76	0.286
Reed Garrett	49	0	R	1939.3	0.005	1.25	3.24	2.97	0.2921655164748791	9.13	3.95	0.41	0.303
John Danks	49	0	L	1816.7	0.976	6.22	3.95	3.64	0.3062747613968341	6.6	2.91	0.73	0.283
Mark Langston	48	0	L	1652	0.577	4.16	3.57	3.29	0.2964508952048386	9.37	3.24	0.82	0.29
Cole Henry	49	0	R	1366	0.464	2.91	4.17	3.95	0.3153775846836429	6.96	3.06	1	0.281
Lou Kretlow	48	0	R	1147	0.724	4.52	4.36	4.06	0.3207926422807402	6.83	3.3	0.93	0.288
Jing Johnson	49	0	R	1142	0.979	6.11	4.08	3.74	0.3189189536186206	4.13	2.19	0.69	0.29
Tin Can Kincannon	45	0	R	1102	0.807	5.2	4.08	3.81	0.3094152795217082	8	2.07	0.65	0.32
Byron McLaughlin	49	0	R	1060	0.001	1.36	3.93	3.57	0.3182068698923102	7.12	2.99	0.82	0.301
Wayne Granger	49	0	R	1042	0	1.08	3.47	3.13	0.2984213385728531	5.95	2.25	0.54	0.295
Rigo Beltran	49	0	L	1037.3	0.001	1.16	3.55	3.32	0.2980241076142051	9.27	2.52	1.06	0.286
Vida Blue	47	0	L	959.7	0.759	5.13	3.74	3.56	0.300897176477525	6.68	2.91	0.92	0.263
Albert Suarez	49	0	R	928.3	0.693	3.65	4.45	4.22	0.3168840620039366	5.73	2	1.11	0.277
Rolando Arrojo	47	0	R	919	0.88	5.54	3.82	3.54	0.3084752492094133	6.72	2.13	0.75	0.298
Steve Crawford	49	0	R	898.7	0.002	1.45	3.72	3.52	0.311830372719573	5.89	1.94	0.55	0.311
Walter Beall	49	0	R	859.3	0.765	4.7	4.43	4.05	0.3243745875852296	8.26	4.36	0.8	0.307
Nick Davila	49	0	R	828.7	0.709	3.4	3.97	3.7	0.3152097556101678	5.65	2.47	0.64	0.297
Shawn Chacon	45	0	R	790	0.709	4.41	4.06	3.75	0.3112796938172839	6.81	2.91	0.51	0.307
