# CAP key=bronzeheart__20260330 role=hit label=Bronze Heart type=Daily env=current variants=all_cards obsval=40-69 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=249 rows=249
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Craig Reynolds	SS	68	0	L	9063	0.2826165522226238	0.315975387420237	0.3906758221900976	0.3185390875745263	4.5	6.3	3.2	0.295	24.7	38.1	-0.07	-1.46	3.092
Leo Cardenas	SS	68	0	R	5904	0.2847558702944465	0.3381074168797954	0.4297428251956765	0.345159785728345	7.5	11.9	5.5	0.312	31.5	39	-0.36	-0.22	5.152
Jackie Robinson	3B	68	0	R	5677	0.2341395717684377	0.3062277580071174	0.3150277557494052	0.2888993022348587	9.3	6.7	5.7	0.24	20.7	22.45	-0.04	0.51	1.987
Jerry Mumphrey	LF	69	0	S	5186	0.284688489968321	0.3393857446397527	0.4190073917634636	0.3435619328699389	7.6	9.8	12.4	0.296	28.3	10.47	-0.17	-0.73	2.083
Rick Monday	CF	69	0	L	5088	0.2672562553925798	0.3230254087059287	0.4534081104400345	0.3462470257551261	7.5	15.5	20.5	0.281	34.1	21.75	-0.13	0.8	3.514
Dale Alexander	1B	69	0	R	4436	0.2700172456270017	0.3261802575107296	0.3596945060359695	0.3151226072249519	7.5	8	2.7	0.288	27.7	6.58	-0.74	-0.66	1.434
Glenn Wilson	CF	69	0	R	4075	0.2749087115284298	0.3016385302879841	0.374282733437663	0.3051456902835351	3.7	10.3	9.1	0.291	22.5	8.44	-0.28	-2.43	2.282
Donald Reeves	RF	69	0	L	4063	0.2673163023439558	0.3013799901429275	0.4258625230445088	0.3234395769950157	4.9	9.3	12.3	0.273	32	34.15	-0.56	-1.17	1.654
Tim McCarver	C	68	0	L	3758	0.2697047864717684	0.3120340788072418	0.4502722843221553	0.3386430734571345	5.7	4.7	8.3	0.269	38.2	46.52	-0.05	-1.26	4.407
Bill Buckner	LF	64	0	L	3640	0.3101045296167247	0.339664189375172	0.4599303135888502	0.3579730889309164	4.2	3.5	8.7	0.308	34.2	12.33	0.05	3.76	4.467
Connie Ryan	2B	69	0	R	3586	0.2599502487562189	0.3157594756340838	0.3765547263681592	0.3151851687407254	7.3	10.6	4.9	0.281	29.8	27.31	-0.15	1.15	2.945
