# CAP key=bronzeheart__20260330 role=pit label=Bronze Heart type=Daily env=current variants=all_cards obsval=46-69 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=127 rows=127
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Johnny Wright	68	0	R	2247.3	0.752	6.12	4.38	3.76	0.315261299071906	3.06	2.22	0.6	0.275
Frank Lary	67	0	R	2224.7	0.951	7.32	4.46	3.67	0.3190605993662882	3.33	1.76	0.49	0.294
Steve Barber	69	0	L	1912.7	0.9	6.62	3.86	3.11	0.3068965932034181	3.86	2.93	0.35	0.28
Ted Trent	69	0	R	1793	0.85	7.06	3.98	3.31	0.3167214308621717	3.36	2.18	0.46	0.291
Jim Weaver	69	0	R	1660.3	0.987	7.19	4.73	3.83	0.3309636676601605	4.8	3.49	0.61	0.297
Stan Williams	69	0	R	1526.7	0.776	5.26	4.75	4.13	0.330732725420972	5.14	3.48	0.96	0.274
Bob Miller	69	0	R	1469	0.919	6.96	3.91	3.17	0.3047559506263336	3.55	2.48	0.25	0.286
Satchel Paige	68	0	R	1365	0.353	3.4	4.26	3.72	0.3253826776549292	5	3.26	0.39	0.31
Lon Warneke	69	0	R	1284.3	0.904	7.22	4.88	4.19	0.3366060668749812	3.13	1.79	0.81	0.293
Dutch Leonard	69	0	R	1274	0.9	7.49	4.56	3.86	0.3280908492909787	2.61	2.08	0.58	0.289
Rick Mahler	69	0	R	1165.7	0.69	5.83	4.42	3.61	0.3231005527463985	3.54	2.55	0.39	0.297
Jim Bouton	64	0	R	1015	0.674	5.9	4.27	3.59	0.3118690299036286	3.45	3.11	0.47	0.272
Bob Miller	69	0	L	868.7	0.067	1.75	3.74	3	0.3103237738281043	2.93	2.31	0.29	0.29
Dave Stieb	65	0	R	833	0.695	6.36	3.72	3.01	0.3055422363303609	3.46	2.36	0.56	0.27
Satchel Paige	68	5	R	683	0.891	6.21	3.93	3.4	0.3065765341408608	5.3	2.57	0.32	0.294
Steve Barber	69	5	L	668.3	1	7.03	4.3	3.42	0.3093369102635703	4.26	2.86	0.32	0.287
Dick Lines	69	0	L	652.3	0	1.36	3.42	2.93	0.3149674157871108	3.3	2.94	0.33	0.29
Dave Roberts	68	0	L	645.7	0.48	4.36	4.04	3.28	0.3132532489200709	3.86	1.77	0.47	0.295
Al Hollingsworth	69	0	L	620	0.664	5.79	4.38	3.76	0.3254964740114115	4.44	3.02	0.38	0.307
Dave Stieb	65	5	R	619.7	1	8.15	4.2	3.38	0.3103741387836859	3.63	2.43	0.48	0.279
Jim Deshaies	67	0	L	583.7	0.571	4.63	4.87	4.29	0.3352104000159358	3.62	3.01	0.52	0.302
Milo Candini	67	0	R	567	1	6.75	4.33	3.51	0.3138374103030046	3.14	2.98	0.22	0.289
Whitey Ford	67	0	L	530.7	0.678	5.9	3.85	3.12	0.3213793937159907	3.73	2.09	0.54	0.295
