# CAP key=bronzequick__20260313 role=hit label=Bronze Quick type=Quick env=current variants=all_cards obsval=40-69 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=440 rows=440
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Giancarlo Stanton	RF	69	0	R	29009	0.2337671997024916	0.2821609687101114	0.4249163257716623	0.3087899494735892	5.8	31.1	26.8	0.286	39.5	2.78	-0.26	-2.76	1.08
Jackie Bradley Jr.	CF	69	0	L	26599	0.2217897238384004	0.2780225159079784	0.3347127755469966	0.2732110674936767	6.8	24.9	8.8	0.277	33.8	8.26	2.51	2.2	0.959
Felipe Lopez	SS	68	0	S	25893	0.2488250984376985	0.3048681305913791	0.400482662263432	0.310262729753345	7.1	22.3	16.3	0.29	34.5	7.34	-0.19	0.85	1.627
Juan Uribe	SS	66	0	R	21377	0.24462890625	0.2660003753753754	0.39814453125	0.2878460594755921	2.5	24	13.7	0.297	34.4	25.83	-0.06	1.61	3.208
Tim McCarver	C	68	0	L	21174	0.2656257998464295	0.3132530120481928	0.4174046583056053	0.3190841838587312	6.1	9.8	10	0.277	33.2	31.14	-0.45	-0.02	4.024
Matty Alou	CF	69	0	L	20913	0.2954941116231439	0.3327591157048521	0.4013824884792627	0.3224095766458178	5	8.4	1.8	0.317	30.2	11.29	-0.19	2.48	2.137
Justin Smoak	1B	69	0	S	20907	0.2393966946568968	0.3123444976076555	0.3976573781890143	0.3142381621789079	9.2	22.3	21.1	0.268	32.8	1.36	-0.04	-3.59	1.217
Dave Brain	3B	68	0	R	19695	0.2515584694754944	0.2830706659888155	0.4585662080825452	0.3203668433460062	3.8	21.8	26.4	0.275	41.1	10.19	0.06	0.96	3.534
Leo Cardenas	SS	68	0	R	17733	0.2573648228713487	0.317400158388958	0.4001864512119329	0.3161135976599592	7.8	23.7	12.3	0.314	31.2	21.52	-0.12	-0.02	3.85
Dave Harris	LF	67	0	R	17226	0.2412451361867704	0.3106762187663813	0.4330739299610895	0.3249476297184692	8.8	23.7	20.9	0.276	41.5	13.88	-0.3	0.26	1.041
Jackie Robinson	3B	68	0	R	16846	0.2222370350619917	0.2967753472015259	0.32295693907479	0.2797178171854803	9.1	12.6	11.4	0.233	23.8	9.81	-0.37	1.37	1.389
Bill Buckner	LF	64	0	L	16400	0.2971295577967417	0.327392578125	0.4290793897077838	0.3304618440855633	4	7.7	8.2	0.308	32.8	5.84	0.37	2.41	2.33
Jimmy Rollins	SS	69	0	S	15139	0.2509125419769309	0.3117433013562686	0.4278726821433786	0.3234091914472284	7.8	14.5	19.8	0.259	38.3	8.12	0.92	1.86	4.633
Rick Monday	CF	69	0	L	14896	0.2249262536873156	0.2860407285435849	0.4009587020648968	0.3020056623980298	7.5	31	23.9	0.277	36.6	7.62	-0.35	1.18	0.544
John Olerud	1B	68	0	L	14647	0.2495776378436492	0.3240399070657373	0.3870373214559976	0.3155332825725364	9.6	16.7	13.6	0.274	33.8	2.55	-0.02	-3.15	1.438
Hyun-soo Kim	LF	68	0	L	13347	0.2468135392926479	0.3231936307646087	0.3297881320165443	0.2951204245714882	9.6	18.7	1.1	0.299	30.8	3.67	-0.12	-3.57	0.031
Craig Reynolds	SS	68	0	L	12563	0.2568324855590999	0.2925919922191603	0.3477886024657298	0.2827841727794249	4.5	12.8	4.4	0.285	23.9	22.33	-0.52	-0.21	1.944
Jackie Bradley Jr.	CF	69	5	L	11665	0.2367381489841986	0.2970050630738866	0.3627727614747931	0.2929862270504998	7.4	23.2	9.7	0.289	35.6	7.71	2.37	2.85	2.032
Chris Cannizzaro	C	65	0	R	11517	0.2575996841689696	0.3351653144900986	0.3670548756415318	0.3142988495451834	10	16.4	10.2	0.288	25.3	8.64	-0.1	-1.57	2.152
Cy Williams	RF	69	0	L	11275	0.239601640304628	0.299928989881058	0.383518843975786	0.3022118592424354	7.6	17	21	0.251	26.9	3.94	-0.11	-2.51	-0.367
Mickey Tettleton	C	69	0	S	11208	0.2234363617441981	0.3269059096589895	0.3636174419814757	0.3108511135286728	13	31.3	16.8	0.288	32	4.95	-0.03	-2.76	0.755
Dustin Pedroia	2B	66	5	R	11066	0.2584557735923479	0.3091534008683068	0.3915787397692535	0.3084984350612492	6.5	10.5	9.5	0.271	35.9	6.06	0.12	1.5	3.378
Tony Fernandez	2B	65	0	S	10112	0.2621430829206617	0.2953934931847577	0.3785691707933832	0.2960513595251256	4.2	11.6	11	0.278	29.2	0.96	-0.5	2.8	2.913
