# CAP key=bronzequick__20260313 role=pit label=Bronze Quick type=Quick env=current variants=all_cards obsval=40-69 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=357 rows=357
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Bob Miller	69	0	R	13958.7	0.878	5.19	3.95	3.63	0.3039588697002429	6.6	2.7	0.62	0.295
Satchel Paige	68	0	R	10233	0.456	3.44	3.83	3.56	0.3001892269111652	8.38	2.93	0.73	0.298
Bob Miller	69	0	L	7427.7	0.008	1.54	3.22	2.93	0.2876902979355563	5.39	2.16	0.55	0.28
Frank Viola	69	0	L	7087.3	0.735	5.09	4.27	3.88	0.3152870076214281	5.48	2.78	0.85	0.285
Dave Stieb	65	5	R	6545.3	0.999	6.42	3.89	3.58	0.298249482793779	6.84	2.29	0.97	0.272
Dave Stieb	65	0	R	6007.3	0.676	4.81	4.25	3.93	0.3128143326957876	6.6	2.57	1.04	0.281
Satchel Paige	68	5	R	5941	0.986	5.45	3.65	3.44	0.2933516367601465	8.58	2.69	0.69	0.297
Steve Trout	68	0	L	5884.3	0.613	4.7	3.75	3.43	0.3009718948068331	6.59	2.12	0.62	0.301
Rick Mahler	69	0	R	5479.7	0.868	5.5	4.39	4.06	0.3209527238393087	6.48	2.32	0.91	0.303
Dick Lines	69	0	L	3980	0.025	1.28	3.29	2.96	0.2956908029662012	6.26	2.58	0.76	0.282
Mike Marshall	57	0	R	3740.7	0.031	1.68	3.49	3.21	0.2989811576778637	7.52	2.78	0.66	0.296
Adam Cimber	69	0	R	3557.7	0.002	1.18	3.74	3.38	0.3099957819699457	6.53	3.5	0.59	0.299
Jack Harshman	69	0	L	3551.3	0.531	3.79	4.41	4.11	0.3190843800308322	8.3	4.42	0.74	0.308
Rick Mahler	69	5	R	3330.7	0.942	6	4.21	3.89	0.3096752430145579	6.74	2.12	0.9	0.294
Steve Barber	69	0	L	2971.3	0.756	4.64	4.28	3.95	0.3187822264574788	6.67	3	0.95	0.293
Jim Deshaies	67	0	L	2883.7	0.653	4.41	4.11	3.78	0.309387268939209	7.08	2.66	0.98	0.288
Tanner McDougal	66	0	R	2735	0.581	3.82	4.17	3.81	0.3106331569522906	8.68	3.72	0.87	0.296
Frank Lary	67	0	R	2390.3	0.727	4.95	4.19	3.9	0.308310498944772	5.72	1.65	0.87	0.29
Eric Plunk	69	0	R	2286.7	0.009	1.22	3.62	3.37	0.2968380294436979	8.43	3.35	0.83	0.287
Carl Lundgren	64	5	R	2227.7	0.841	5.63	3.88	3.67	0.3059723260742545	6.18	2.35	0.81	0.287
Jack Harshman	69	5	L	2113.7	0.482	4.57	3.6	3.34	0.2920800996147837	8.7	3.98	0.54	0.292
Chien-Ming Wang	68	0	R	1997.3	0.518	3.85	4.29	4	0.3176226423584192	2.27	1.28	0.72	0.286
Bob Miller	69	0	R	1860	0.61	4.37	4.35	4.03	0.3191986270561486	3.49	1.69	0.69	0.293
Jack Meyer	69	0	R	1716	0	1.44	2.91	2.64	0.2802439000163672	9.09	2.55	0.77	0.283
Chris Short	65	5	L	1658.3	0.873	5.12	3.75	3.41	0.2937974637460452	7.92	2.63	0.89	0.281
Frank Viola	69	5	L	1655	0.863	5.69	3.83	3.34	0.2879475321751978	5.87	2.35	0.74	0.266
Sean Burke	69	0	R	1644.3	1	6.07	4.81	4.46	0.3300850258630498	7.58	2.65	1.3	0.297
Huascar Brazoban	69	0	R	1506.3	0	1.27	3.45	3.21	0.2997992417268764	7.3	2.73	0.88	0.282
Milo Candini	67	0	R	1470.7	0.501	3.6	4.21	3.95	0.3125636426491682	5.12	3.2	0.69	0.28
Ken Sanders	68	0	R	1451.7	0	1.18	3.89	3.57	0.3088461801132451	3.25	1.86	0.96	0.266
Stan Williams	69	0	R	1248	0.377	2.75	4.62	4.24	0.3332562084334456	8.96	3.24	1.84	0.269
Kenta Maeda	69	0	R	1242.7	0.799	4.99	4.62	4.3	0.3285117525687037	6.55	2.63	1.27	0.288
Joe Mays	64	5	R	1237.3	1	6.44	3.59	3.37	0.290527358220239	4.91	2.15	0.89	0.251
Marshall Bridges	65	0	L	1223	0	1.27	3.62	3.3	0.3008118431111211	8.62	4.44	0.85	0.273
Darrell May	60	0	L	1182.3	0.152	2.17	4.3	4.06	0.3215926786934383	6.85	1.91	1.44	0.28
Kirby Yates	69	0	R	1060.7	0.001	1.17	3.28	2.98	0.2870341900155925	7.98	2.68	0.87	0.274
Clay Bryant	66	0	R	1046.7	0.001	1.31	3.83	3.63	0.3158253429921945	8.61	2.78	0.75	0.328
Johnny Antonelli	67	0	L	1032	0.745	4.87	4.26	3.97	0.3161277777996121	7.64	2.79	1.46	0.268
Johnny Wright	68	5	R	1023	0.959	5.95	4.48	4.21	0.3118008175678821	6.28	1.64	1.28	0.278
Jose Rijo	69	0	R	1018.7	0.71	4.69	4.56	4.13	0.324428688232257	7.47	2.94	1.01	0.304
Jim Weaver	69	0	R	1004.7	0.884	5.32	4.91	4.64	0.3320158715445303	7.84	3.09	1.25	0.295
Trey Gibson	67	5	R	990.3	0.827	4.9	3.92	3.59	0.3075340960576373	8.05	2.53	0.9	0.304
DL Hall	69	0	L	985.3	0.279	2.28	4.23	4	0.3150261891315155	7.23	3.63	0.87	0.289
Willie McGill	69	0	L	914.7	0.447	3.62	3.98	3.71	0.3073332042151178	8.28	3.25	0.79	0.301
Milo Candini	67	5	R	878.7	1	6.1	4.3	3.92	0.3050973067580254	5.46	2.76	0.64	0.282
Tom Williams	68	5	R	874	1	6.15	4.1	3.81	0.3055999370188027	4.47	1.55	0.96	0.275
Johnny Wright	68	0	R	864	0.826	5.37	4.25	3.9	0.3225672949911741	5.39	1.95	1.25	0.276
Steve Barber	69	5	L	839	0.966	5.79	3.75	3.35	0.2981801951090311	6.69	2.76	0.84	0.278
Mitch Williams	64	0	L	809.7	0	1.27	2.7	2.52	0.2734310175507538	9.56	4.85	0.59	0.256
Andre Pallante	69	0	R	804.7	0.893	5.4	4.63	4.17	0.3252729842385682	6.11	2.45	0.94	0.306
Eric Plunk	69	5	R	797.7	0.153	1.24	3.68	3.49	0.2997639648286368	8.98	2.7	0.86	0.3
Willie McGill	69	5	L	794.3	0.468	3.68	3.82	3.42	0.3030453982357119	8.66	3.04	0.91	0.297
Tommy John	66	0	L	780.7	0.686	4.62	4.89	4.43	0.339504394876634	3.8	2.03	0.84	0.309
Tully Sparks	68	0	R	751.7	0.992	6.11	4.42	4.23	0.321920363029156	4.88	1.74	1.19	0.279
Ted Trent	69	0	R	741	0.692	5.18	4.24	3.79	0.315510276912346	6.23	2.05	1.11	0.28
Tully Sparks	68	5	R	740	0.938	5.74	4.33	3.96	0.3105442634525177	5.53	1.85	1.06	0.277
Patrick Sandoval	69	0	L	734.3	0.283	2.59	4.2	3.85	0.3100783695544921	7.26	2.86	0.82	0.305
Bob Miller	69	0	R	729	0.006	1.52	3.31	3.01	0.2935281299545612	5.14	2.6	0.48	0.28
Johnny Antonelli	67	5	L	709.3	1	6.28	4.07	3.77	0.2986426408090234	7.82	2.37	1.12	0.276
Jim Todd	68	0	R	704.3	0	1.22	4.04	3.78	0.3171430267559264	5.05	2.25	0.84	0.291
Hal Woodeshick	66	0	L	674.7	0.575	3.73	4.51	4.11	0.3229240234956807	6.15	2.97	0.57	0.319
Evan Sisk	68	0	L	633.7	0	1.32	3.2	3.07	0.2867705977484516	8.55	2.27	0.88	0.292
Ian Seymour	69	0	L	632.3	0.667	3.05	5	4.65	0.3360284940124897	6.92	2.43	1.12	0.319
Blake Treinen	69	0	R	626	0.002	1.07	3.62	3.32	0.2988584738525488	8.05	2.98	0.73	0.298
Brock Stewart	69	0	R	624	0.004	1.23	3.53	3.26	0.298478822333392	7.95	2.55	0.95	0.287
Joe Krakauskas	57	0	L	623.7	0.598	3.69	4.13	3.87	0.3160765986396653	9.67	5.56	1.11	0.271
Jim Bouton	64	0	R	617	0.5	4.17	3.82	3.54	0.3089368412516539	5.38	2.84	1.05	0.26
JoJo Romero	69	0	L	613.3	0.001	0.85	3.49	3.18	0.2994681488153119	7.87	2.48	0.84	0.298
Dutch Leonard	69	0	R	608	0.721	4.98	4.37	4.1	0.3252531744885607	4.46	1.78	1.27	0.274
Ben McDonald	68	5	R	592	1	6.1	3.5	3.25	0.2933313525327009	7.4	2.63	0.9	0.274
Aroldis Chapman	68	0	L	568	0	1.15	4.5	4.02	0.3143235230149081	9.87	4.99	0.7	0.319
Chris Short	65	0	L	555.7	0.962	5.34	4.05	3.68	0.307368367054379	7.16	2.87	1.02	0.282
Joe Mays	64	0	R	535	0.213	2.54	4.09	3.85	0.3139286930513868	3.92	2.61	1.06	0.257
Winston Santos	65	0	R	529	0	1.43	3.96	3.9	0.317591751326843	7.84	3.47	1	0.294
Shawn Armstrong	69	0	R	517.3	0	1.3	3.76	3.57	0.3088475614849024	7.5	2.28	0.96	0.296
Clayton Beeter	69	0	R	504.3	0.024	1.7	4.46	4.14	0.3160369395548188	8.78	3.78	0.86	0.305
Clay Bryant	66	5	R	497.3	0	1.31	3.58	3.42	0.2986660578371185	8.87	2.12	0.89	0.304
Tim Herrin	59	0	L	485.3	0	1.28	3.06	2.91	0.2942091453167405	8.25	3.23	0.76	0.292
Jose Rijo	69	5	R	469	0.848	5.1	4.66	4.47	0.3325041179982676	8.52	2.65	1.17	0.323
Al Grabowski	69	0	L	454.7	0.537	4.21	4.43	4.18	0.3271706352691428	7.3	2.28	1.23	0.307
Eric Milton	69	0	L	443	0.538	3.79	5.08	4.79	0.3475228929599783	6.81	2.38	1.67	0.298
Burleigh Grimes	69	0	R	441.7	0.653	4.37	4.73	4.36	0.3359990932751614	7.76	2.91	1.37	0.3
Yuki Matsui	67	0	L	438	0	1.22	4.01	3.55	0.3177450150162502	8.34	3.18	1.21	0.298
Bryan Hudson	68	0	L	437.3	0	1.34	3.33	3.05	0.2905595562830433	8.44	2.98	0.72	0.29
Ted Trent	69	5	R	435	0.932	5.96	3.99	3.77	0.3005885676907039	6.35	1.92	1.03	0.27
Chuck Stobbs	67	0	L	432.3	0.677	4.65	4.91	4.75	0.3310734306857944	4.68	3.02	0.73	0.301
Alexi Ogando	66	0	R	408.7	0.457	3.22	4.89	4.58	0.3190149814500927	6.67	2.49	1.15	0.28
Heathcliff Slocumb	64	0	R	408	0	1.12	3.71	3.33	0.3006317328188961	8.89	4.61	0.68	0.292
Chris Martin	69	0	R	398.3	0.003	1.02	4.2	3.93	0.3157488948351773	7.12	1.83	1.31	0.291
Jake Bloss	67	5	R	397	0.559	4.27	3.56	3.47	0.2861147549242209	7.39	2.02	0.79	0.278
Tom Williams	68	0	R	391	0.833	5.01	5.57	4.9	0.3457928638544386	4.35	2.16	1.24	0.29
Greg Maddux	62	0	R	381.3	0.259	2.82	4.01	3.71	0.3183996313288492	6.63	3.02	0.78	0.303
Joey Wentz	69	0	L	380.7	0.911	4.82	4.94	4.7	0.325038856156792	7.28	2.43	1.02	0.313
Laymon Yokely	67	5	R	362.7	0.494	4.17	3.92	3.47	0.3079917966708	6.87	2.41	1.14	0.275
Greg Swindell	63	0	L	361	0	0.86	3.22	3.04	0.2772051741448599	7.63	1.5	0.95	0.267
Ben McDonald	68	0	R	355	0.711	4.67	4.26	3.83	0.3182710214829707	7.43	3.42	1.01	0.283
Clay Carroll	65	5	R	340	0	1.13	4.16	3.86	0.3236752305363993	5.61	1.99	0.69	0.321
Roy Face	66	0	R	331.3	0	1.4	3.75	3.5	0.2944191297556701	6.66	1.33	0.79	0.292
Adam Cimber	69	5	R	323.7	0	1.19	3.36	3.23	0.2999651527541765	7.28	3.34	0.58	0.288
Jose Lima	69	0	R	320.7	0.981	6.17	4.43	4.32	0.3197860755468351	6.88	1.15	1.26	0.297
Pretzels Getzien	64	5	R	319.3	1	6.79	3.38	3.16	0.2928233991217916	7.55	1.21	0.9	0.291
Ryan Brasier	68	0	R	314.7	0	1.22	3.26	3.09	0.2904630178295822	6.63	1.92	0.69	0.283
Emerson Hancock	69	0	R	314.7	0.912	5.52	4.89	4.35	0.3121055191503294	7.41	2	1.17	0.29
Chuck Stobbs	67	5	L	312.3	0.323	3.15	4.84	4.55	0.3357656334292844	5.24	2.82	0.89	0.306
Joe Niekro	66	0	R	311.3	0.295	2.96	5.38	5.26	0.3514035108136588	4.71	2.89	1.21	0.306
Jim Deshaies	67	5	L	310	1	6.46	3.66	3.22	0.2902905127005186	7.46	2.7	0.7	0.275
Eric Milton	69	5	L	309.7	1	6.07	4.77	4.68	0.3216119495438456	7.58	1.83	1.28	0.295
Al Grabowski	69	5	L	287	1	6.24	4.33	3.86	0.3152022094092021	7.9	2.48	0.69	0.321
Dick Redding	68	5	R	287	0.811	5.42	4.77	4.48	0.3117909424967444	7.4	1.94	1	0.301
Whitey Ford	67	5	L	282.3	1	6.89	3.92	3.63	0.3107137844877462	6.95	2.2	1.18	0.288
Harry Brecheen	67	5	L	279	0.978	6.07	3.55	3.32	0.2925396438673448	7.39	2.61	0.74	0.283
Whitey Ford	67	0	L	275.7	0.278	3.06	3.3	3.13	0.2972400677766346	5.71	2.38	0.98	0.264
Yohan Ramirez	65	0	R	268.7	0	1.24	3.28	3.11	0.2820066990451771	8.37	2.75	0.8	0.268
Marshall Bridges	65	5	L	266.7	0	1.16	2.77	2.73	0.2828720095361893	9.04	4.76	0.47	0.278
Wayne Twitchell	60	0	R	262.7	0.631	4.04	3.53	3.29	0.2966510289194574	6.78	2.91	0.89	0.263
Mickey Haefner	64	0	L	258	0.128	2.37	3.31	3.24	0.3046003452086001	6.52	2.23	0.73	0.295
Matt Davidson	56	5	R	257.3	0	1.17	4.09	3.74	0.3316995559043585	7.03	2.13	1.75	0.273
Al Hollingsworth	69	5	L	256	0.725	5.02	4.11	3.94	0.3156804880745158	7.1	2.07	0.98	0.304
Lon Warneke	69	0	R	255.7	0.642	4.82	4.72	4.61	0.3376816499504103	4.79	1.87	1.2	0.296
Chris Bosio	68	0	R	255	0.918	5.2	5.08	4.91	0.340530336756917	7.34	3.64	1.45	0.285
Larry Corcoran	68	0	R	254	0.387	3.39	3.26	2.94	0.2839485610488827	7.19	3.51	0.78	0.264
Roy Welmaker	68	0	L	246.7	0.642	4.65	4.63	4.34	0.3310073335522867	6.31	2.7	1.28	0.287
Jake Bird	66	0	R	239	0	1.05	2.97	2.82	0.2992387267759871	8.06	2.45	0.98	0.284
John Gant	62	0	R	233.3	0.015	1.72	4.44	4.01	0.329713028130351	5.4	4.17	0.89	0.271
Elmer Singleton	67	0	R	232.7	0	1.35	2.82	2.75	0.2966114997912073	6.27	1.93	0.93	0.274
Danny Coulombe	67	0	L	230.7	0	1.12	3.67	3.32	0.2822958246564309	7.37	2.81	0.78	0.277
Wandy Peralta	62	0	L	230.3	0	1.21	3.01	2.93	0.2946157236912755	7.5	3.01	0.78	0.292
Laymon Yokely	67	1	R	229	1	6.19	4.56	4.28	0.3294774127008002	7	2.91	1.26	0.286
Dutch Leonard	69	5	R	228.7	1	6.18	4.45	3.86	0.3275926760744767	5.16	1.81	1.18	0.28
Jesse Flores	66	0	R	228.3	1	6.01	4.45	4.22	0.3159620914252825	5.2	2.33	1.06	0.273
Whit Wyatt	68	0	R	226.3	0.532	3.65	5.37	5.01	0.3464031107610446	7	2.98	1.51	0.303
Toad Ramsey	67	5	L	222	0.016	1.79	2.92	2.64	0.2913415665796498	8.59	3.16	0.53	0.31
Curt Schilling	65	0	R	220.7	0	1.71	2.98	2.81	0.2929619466140718	5.83	3.14	0.61	0.271
Laymon Yokely	67	0	R	217	0.833	5.17	5.02	4.48	0.342688046969741	6.43	2.61	1.2	0.313
Dave Stieb	65	4	R	207.3	1	6.69	3.73	3.6	0.2815638314805874	6.69	2.47	0.78	0.256
Jim Weaver	69	5	R	205	0.892	5.54	3.42	3.07	0.2809787334791198	8.39	3.34	0.88	0.255
Scott Barlow	55	0	R	204.7	0	0.98	5.72	5.58	0.3547454942712373	7.91	3.3	1.36	0.326
Kenta Maeda	69	5	R	204.3	1	5.52	4.89	4.67	0.3289403320632368	7.58	2.95	0.97	0.313
Dave LaRoche	61	0	L	202.7	0	1	3.95	3.64	0.2866395393575109	9.46	3.95	0.36	0.317
Roberto H. Hernandez	67	0	R	201	1	5.91	4.39	3.94	0.3183654523597338	4.75	3	0.81	0.28
Dick Redding	68	0	R	200.3	0.638	4.26	4.63	4.49	0.3278188268565761	7.37	1.98	1.26	0.301
Joe Niekro	66	5	R	197.3	0.675	4.93	3.79	3.65	0.3258895683159251	5.2	2.24	0.82	0.302
Carlos Martinez	64	0	R	196.3	0.133	2.37	5.13	4.54	0.3357782855355914	6.65	3.12	0.96	0.311
Darltie Cooper	68	0	R	193.3	0.468	3.12	4.84	4.61	0.3324050949861276	6.05	1.68	1.4	0.302
Jake Bloss	67	0	R	190.7	0.281	2.98	3.63	3.35	0.2946137535632294	6.42	1.79	0.85	0.271
Fernando Rodney	63	0	R	189.3	0	1.21	4.28	3.85	0.3188587790115525	7.84	4.37	0.52	0.31
Caleb Thielbar	67	0	L	185	0	1.01	4.48	4.28	0.3171816568741406	8.85	2.82	0.97	0.316
Shigetoshi Hasegawa	65	0	R	182.7	0	1.28	3.3	2.86	0.3020368093282308	3.35	1.67	0.74	0.278
Tanner McDougal	66	5	R	182.3	1	5.7	3.95	3.65	0.3020410465481048	9.97	3.16	0.89	0.307
Zach Eflin	68	0	R	178.7	1	5.96	4.73	4.48	0.3125543322291773	5.54	1.76	0.86	0.298
Clay Carroll	65	0	R	175.3	0	1.11	4.93	4.83	0.3435848343036755	4.98	2.21	0.98	0.315
Bill Campbell	64	0	R	172.7	0	1.35	5.21	5.16	0.3462042861211772	8.39	3.8	1.15	0.335
Rube Foster	67	5	R	171	0.026	2.22	4.79	4.58	0.3446872432225838	6.05	1.79	1.21	0.314
Dick Lines	69	5	L	168	0	1.32	3.91	3.27	0.3175575847439496	6.96	2.41	0.91	0.309
Hayden Birdsong	66	0	R	164.3	1	5.13	4.6	4.22	0.3268584444510795	6.9	3.34	1.15	0.29
Ed Holley	69	0	R	158.7	0.381	3.78	3.74	3.63	0.311926548008622	5.67	2.04	1.36	0.263
Jim Bouton	64	5	R	158.7	1	6.9	3.4	3.29	0.2863816314854841	6.75	3.12	0.85	0.245
Dietrich Enns	68	0	L	157.7	0.73	4.26	3.42	3.37	0.3001477914976854	6.28	2.45	0.74	0.296
Rich Gossage	65	5	R	156.7	0.923	6.03	3.5	3.16	0.2981765560737241	7.41	3.04	0.69	0.279
Dave Boswell	67	5	R	155.7	0.541	4.21	5.43	5.26	0.3541346079015844	7.75	3.58	2.14	0.263
General Crowder	66	5	R	139.7	0.465	3.25	5.67	5.6	0.3491289094237857	6.31	1.93	1.42	0.314
Dave Roberts	68	0	L	137.3	0.581	4.43	4.33	4.13	0.3524056147293996	7.01	1.7	1.64	0.315
Braydon Fisher	63	0	R	131.3	0	1.18	3.5	3.43	0.3051360916007964	8.23	3.43	0.69	0.301
Claude Osteen	64	5	L	131	1	6.24	4.74	4.47	0.3110204333128518	6.6	2.2	1.24	0.272
Carl Lundgren	64	0	R	124.7	0.316	3.28	4.26	4.19	0.3164763913141375	6.57	2.74	0.94	0.294
Bill Henry	69	0	L	124.7	0	1.5	2.89	2.81	0.2662227921549378	10.1	1.95	1.23	0.251
Tom Seaver	56	0	R	124	1	5.9	4.06	4.06	0.3120450130407681	5.59	2.98	0.94	0.272
Henderson Alvarez III	60	0	R	123.7	1	6.19	3.86	3.42	0.3143614191799558	3.64	0.73	0.73	0.3
Ed Olwine	63	5	L	123.3	0	1.34	4.01	3.72	0.3013296701401904	7.88	1.17	1.53	0.257
Matt Davidson	56	0	R	122.3	0	1.22	4.19	3.61	0.3352769260100927	7.95	2.58	1.03	0.329
Dave Boswell	67	0	R	121	1	5.04	5.13	4.61	0.3289823818896295	9	3.12	1.49	0.284
Carlos Martinez	64	5	R	119.3	0.086	2.06	3.09	2.87	0.2865729411897722	6.41	1.81	1.06	0.248
Ken Sanders	68	5	R	119	0	1.35	3.18	3.03	0.2805523791735469	3.33	1.36	0.98	0.236
Stephen Kolek	69	0	R	117.7	0.607	4.2	3.29	3.21	0.2938543112962594	5.43	2.6	0.84	0.259
Edgardo Henriquez	67	0	R	117	0	1.01	4.31	3.62	0.320225400639895	9.23	2.92	1	0.316
