# CAP key=diamondcapdaily__20260527 role=hit label=Diamond Cap Daily (from 2026-05-27) type=Daily env=current variants=all_cards obsval=40-99 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=525 rows=525
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Honus Wagner	SS	99	0	R	4749	0.2955334413330248	0.3472192852611546	0.4887757463550104	0.3690296488210227	7.2	11.1	17.4	0.304	33.5	30.61	0.56	1.55	5.509
Rico Petrocelli	SS	99	0	R	2817	0.258235054900366	0.3411430599929002	0.4493696624644165	0.3523568086099321	11.1	17.1	23.4	0.268	38	3.73	-0.36	0.28	4.92
Paul Blair	CF	98	0	R	2738	0.2776259273721203	0.3141706334675943	0.4470909800859039	0.3371916235914373	4.9	16.8	19.5	0.301	35.2	2.4	1.27	2.28	3.462
Al Simmons	LF	99	0	R	2691	0.2954269526507487	0.3441340782122905	0.4981788749494132	0.3707618438456037	6.2	13.8	20.7	0.31	37	16.67	-0.62	0.94	3.701
Frankie Frisch	2B	94	0	S	2445	0.288641425389755	0.3338809034907598	0.4423162583518931	0.3454998660083115	6	8.9	14.2	0.293	29.9	18.04	1.77	2.63	4.712
Tyler O&#39;Neill	LF	98	0	R	2339	0.2707362534948742	0.3253527148353997	0.4603914259086673	0.3487411865436263	7.1	24.1	26.2	0.311	33.2	5.18	0.67	3.46	3.309
Matt Wieters	C	82	0	S	2134	0.2442278091328887	0.3032863849765258	0.379168804515136	0.3074671453391302	7.4	18.5	17.2	0.27	29.4	0.71	0	-2.28	2.812
Colt Emerson	SS	98	0	L	1818	0.2617702448210923	0.3452840595697739	0.4231010671688638	0.34631432252307	10.7	21.3	13.9	0.307	36.2	14.57	0.13	3.1	4.29
JJ Wetherholt	2B	96	0	L	1538	0.2817314746881878	0.3526727509778357	0.4086573734409391	0.3439656863250553	9.4	14.8	8.2	0.315	30.7	11.02	1.76	1.13	3.745
Nico Hoerner	2B	48	0	R	1497	0.2627365356622999	0.3119143239625167	0.3326055312954876	0.2938149163254493	6.3	15.7	3.2	0.303	20.2	9.59	-0.36	1	0.802
Kevin Alcantara	CF	76	0	R	1281	0.2508771929824561	0.3234142521534847	0.4210526315789473	0.3343385258029037	9.3	27.4	23.9	0.299	31.1	3.37	-0.23	1.78	2.436
Ken Griffey Jr.	CF	84	0	L	1277	0.2657894736842105	0.3364705882352941	0.406140350877193	0.3356992696873183	9.6	20.1	15.5	0.304	30.7	1.08	-0.19	0.61	2.584
Kevin Alcantara	CF	76	5	R	1244	0.2481818181818182	0.3274336283185841	0.4309090909090909	0.3394549831932104	9.9	24.5	24.6	0.282	33	10	-0.43	2.94	3.376
Tony Scott	CF	41	0	S	1213	0.2143497757847534	0.2682724252491694	0.2834080717488789	0.2546622884980766	6.6	19.3	3.5	0.258	23	14.55	0.45	1.43	-0.89
Lorenzo Cain	CF	84	0	R	1194	0.2719928186714542	0.3179530201342282	0.3877917414721723	0.3183923133488107	5.7	19.6	8.5	0.325	28.1	11.76	1.96	3.42	2.814
Carson Williams	SS	87	0	R	1159	0.2546341463414634	0.3289703315881327	0.4468292682926829	0.346776633787958	9.7	25.8	22.8	0.301	36	15.96	-0.21	1.4	4.866
Chase DeLauter	RF	99	0	L	1149	0.257936507936508	0.3391455972101133	0.4533730158730159	0.3534460966699665	10.4	16.7	23.5	0.267	40.4	1.9	-0.84	0.99	2.402
