# CAP key=diamondcapdaily__20260527 role=pit label=Diamond Cap Daily (from 2026-05-27) type=Daily env=current variants=all_cards obsval=40-99 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=228 rows=228
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	1587	1	6.4	3.46	3.09	0.2866858246603552	6.79	2.88	0.54	0.272
Dan Bankhead	74	0	R	680	0.484	3.7	3.8	3.4	0.3093106006882645	8.54	4.14	0.69	0.292
Mike Marshall	57	0	R	470	0	1.18	3.85	3.22	0.3132755115617675	7.41	3.83	0.54	0.306
Steve Trout	68	0	L	459.3	0.538	3.93	3.74	3.21	0.3030510692368564	6.54	2.37	0.55	0.305
John Donaldson	89	0	L	433.7	1	6.2	3.96	3.59	0.3092022226026649	8.45	1.83	0.81	0.321
Chien-Ming Wang	68	0	R	341.7	0.277	2.63	4.4	3.48	0.31088087930482	1.84	1.55	0.42	0.282
Dave Stieb	89	0	R	341	1	6.2	3.85	3.62	0.2914279803411426	7.47	2.45	0.5	0.299
Jake Peavy	83	5	R	336.7	1	6.35	2.91	2.75	0.2858219599376611	8.29	2.17	0.86	0.281
Mark Fidrych	84	0	R	334.3	1	6.69	3.28	2.93	0.2940490326903599	5.14	1.99	0.57	0.276
Satchel Paige	87	0	R	327	1	6.17	4.62	4.21	0.3130957171653457	7.76	1.98	1.29	0.287
Bobby Witt Jr.	83	0	R	318.3	1	6.24	4.92	4.55	0.3271548070421018	9.19	5.32	1.05	0.287
Jakie May	72	5	L	283	1	5.9	3.69	2.99	0.3018926116721724	8.68	2.86	0.7	0.302
Dennis Martinez	85	0	R	259.7	1	6.04	4.26	3.53	0.3218224020013165	5.61	2.56	0.59	0.309
Bob Miller	69	0	R	257.3	0.939	5.25	5.11	4.69	0.3621863142900344	6.3	3.81	1.01	0.336
Madison Bumgarner	88	5	L	244	1	6.42	3.69	3.36	0.307397127532999	7.52	2.36	0.96	0.286
Bobby Witt Jr.	83	5	R	242.7	0.848	5.28	3.67	3.41	0.2916570256576016	10.01	4.52	0.67	0.279
Julio Teheran	79	5	R	234	1	6.16	4	3.81	0.3138748827480213	5.04	2.54	1	0.266
Johnny Niggeling	78	0	R	222.7	1	6.19	4.89	4.49	0.3309777608348023	8.53	5.01	0.85	0.298
Hilton Smith	88	0	R	221.3	1	6.71	4.19	3.62	0.3244782589892716	3.29	2.24	0.89	0.281
Chris Sale	70	0	L	216.7	0.063	1.24	4.4	3.99	0.3342853176083403	7.72	3.07	1.45	0.288
Old Hoss Radbourn	89	5	R	211.7	1	6.42	4.42	4.17	0.3094024132420991	7.99	2.34	1.11	0.28
Satchel Paige	68	0	R	203.7	0.06	1.36	3.14	2.78	0.3011256420988824	7.73	3.53	0.66	0.288
Roger Clemens	79	0	R	192.3	1	5.83	3.7	3.23	0.2894444551083051	7.77	2.48	0.7	0.278
Mark Clark	68	4	R	189.7	1	6.32	4.27	3.99	0.3132957707832289	6.12	1.8	1	0.293
Jakie May	72	0	L	161.3	1	5.76	4.41	4.07	0.3124162833683401	8.03	3.63	0.89	0.285
Jake Peavy	83	0	R	159	1	5.89	4.13	4.02	0.3048477530863272	8.43	3.17	0.68	0.297
Dan Bankhead	74	5	R	154.7	1	6.45	3.26	2.62	0.2956821469190735	9.08	3.08	0.52	0.318
Brad Radke	82	0	R	151.3	1	5.82	4.34	4.04	0.3341994827276185	3.99	1.84	0.71	0.316
Pretzels Getzien	64	0	R	148	0.958	6.17	4.56	3.71	0.308323720234758	7.05	2.55	0.55	0.313
Billy Wagner	58	0	L	146	0	1.13	4.25	3.82	0.3455258775510914	8.32	5.3	1.29	0.284
Randy Johnson	77	0	L	138.3	0.321	2.61	4.82	4.49	0.3375055972531363	8.52	6.18	0.72	0.307
Elmer Rodriguez	89	5	R	137.7	1	5.74	4.44	3.92	0.307654717332655	7.52	2.61	1.18	0.27
Warren Spahn	84	0	L	137.3	1	6.24	3.87	3.67	0.3066372361838832	4.65	1.64	1.05	0.261
Ray Brown	85	0	R	130.7	1	6.22	5.3	4.75	0.3197688650092193	4.68	2.48	0.9	0.27
Satchel Paige	68	5	R	122.7	0.1	1.75	4.18	3.96	0.3306566472878047	9.68	3.08	0.73	0.357
Tom Cheney	78	0	R	120.7	1	6.71	4.25	4.03	0.3009456932927486	7.75	2.16	1.49	0.254
