# CAP key=diamondheart__20260331 role=hit label=Diamond Heart type=Daily env=current variants=all_cards obsval=47-99 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=336 rows=336
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Hank Aaron	1B	98	0	R	31707	0.2653921941438794	0.320068166756083	0.4497528260794413	0.3287445731709374	7.4	13.3	23	0.267	34.9	8.4	-0.09	-1.26	2.093
Al Kaline	RF	99	0	R	29400	0.2752189781021898	0.3147001471041018	0.4275547445255474	0.3193023217755141	5.2	10.4	12	0.288	34.9	13.67	0.72	3.38	3.339
Larry Doby	2B	98	0	L	27006	0.2741380689544836	0.3202388901253802	0.460923126149908	0.3328635375238865	6.2	16.9	14.3	0.306	36.3	36.12	-0.25	-0.4	3.324
Ken Boyer	3B	96	0	R	23829	0.2659564740307242	0.3184643817204301	0.4418891733723482	0.3252119081175066	7	17	18.1	0.29	33.5	23.69	-0.58	2.64	3.948
Rico Petrocelli	SS	99	0	R	22132	0.2565590312815338	0.3238073705629663	0.4550454086781029	0.3324081811173215	9	14.2	25.8	0.254	39	2.57	-0.32	0.45	4.939
Jackie Robinson	SS	93	0	R	20444	0.2468051118210862	0.2934395408668118	0.389776357827476	0.2952276945469441	5.9	16.1	15.6	0.267	32.9	6.29	-0.21	3.2	2.662
Amos Otis	CF	95	0	R	19566	0.2506715916722633	0.3021575307112625	0.401723751958809	0.3042264773123252	6.7	14.5	15.7	0.266	32.6	14.51	0.19	2.43	2.864
Rocky Colavito	LF	96	0	R	19215	0.2364462273612176	0.3171112963734889	0.4077635537726388	0.3141977667689866	10.5	14.2	22.9	0.235	34.7	3.6	-0.17	-3.1	1.29
Jim Brown	C	96	0	S	18848	0.2438549955791335	0.3020137841912556	0.382964927792514	0.2973508538671972	7.4	13.5	11.2	0.262	35.7	11.91	-0.24	-0.09	2.766
Norm Siebern	1B	99	0	L	18684	0.2579478054567023	0.3225598970895642	0.3854685646500593	0.3098489102457591	8.5	14.6	13.7	0.278	26.8	10.88	-0.16	-1.36	1.75
Paul Blair	CF	98	0	R	16329	0.2652346031540009	0.2968673218673218	0.4288402881432929	0.3097538590993652	4.1	12.4	18.5	0.273	35.3	5	0.34	3.16	3.465
Tony Conigliaro	RF	95	0	R	14872	0.2539028620988725	0.2981960150780829	0.433506793871061	0.312620740677135	5.9	18.5	23.2	0.272	35.6	6.55	-0.32	1.91	2.195
Ron Santo	3B	93	0	R	14494	0.2601015844136154	0.319251742941948	0.4141460086422561	0.3164724533266497	7.8	17.7	20.6	0.28	27.7	8.82	-0.1	-0.82	2.442
Tony Fernandez	SS	96	0	S	13509	0.2779427104228516	0.3239038189533239	0.3999839524993982	0.314272449894018	6.2	9.7	5.5	0.298	29.9	22.88	0.65	3.43	4.437
Elston Howard	C	95	0	R	12575	0.265407220822838	0.2955143016492709	0.4297229219143577	0.3074261510346895	4	17.1	20.8	0.286	30	14.57	-0.05	-1.98	2.92
Piper Davis	2B	97	0	R	12293	0.2447838053804492	0.2964873495455662	0.3957205007546835	0.2972503079541062	6.6	15.1	13.4	0.265	33.6	24.19	-0.42	0.67	1.611
Felipe Alou	1B	92	0	R	11992	0.2842397432561367	0.3007783078081848	0.4747159337323272	0.3283500804670827	2.2	10.7	22.6	0.284	35.5	11.19	-0.33	2.72	3.392
Red Schoendienst	2B	94	0	S	11962	0.2936686124831612	0.3336405529953917	0.4428378985181859	0.3339782600819018	5.5	7.8	10.8	0.301	32.8	14.43	-0.9	2.66	4.645
Ted Simmons	C	99	0	S	11932	0.2652722749470193	0.3237168735323717	0.3958352529254584	0.3119507266900481	7.9	9.7	14.6	0.27	27.2	6.9	-0.1	-1.74	2.202
Al Simmons	LF	99	0	R	11306	0.3045613372367551	0.3372392365734576	0.5298895079799792	0.3641973049921716	4.7	11.1	22.9	0.308	38.5	22.71	-0.12	1.17	4.787
Aaron Robinson	C	98	0	L	10436	0.2438581499679556	0.3118279569892473	0.3844264046143986	0.3017065899250525	8.8	18	16.6	0.267	29.7	8.69	-0.03	-3.58	2.363
Nellie Fox	2B	96	0	L	9777	0.2668231611893584	0.3136382450331126	0.3517773306505701	0.2906183525050465	6.2	6.3	3.7	0.277	21.6	23.64	-0.52	2.95	2.571
Johnny Hopp	1B	96	0	L	9601	0.2657397988018537	0.3133876357560568	0.3924494178817678	0.3057041423810877	6.3	9.7	10.6	0.276	29.7	11.73	-0.51	1.94	1.75
Willie Wells	SS	91	0	R	9119	0.2591112725511563	0.3134427684117125	0.3908463494369778	0.3057254404133681	7.1	13.7	12.5	0.278	29.9	10.8	-0.07	0.13	2.921
