# CAP key=diamondheart__20260331 role=pit label=Diamond Heart type=Daily env=current variants=all_cards obsval=48-99 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=158 rows=158
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Bob Friend	99	0	R	22642.7	0.909	7.01	4.21	3.66	0.3029362393216559	5.19	1.71	0.91	0.286
Don Newcombe	95	0	R	12452.7	0.64	5.35	4.19	3.67	0.3008906709050054	5.3	2.46	1.01	0.27
Steve Carlton	96	0	L	9913.3	0.599	5.15	4.15	3.71	0.3022364098985138	6.64	3	0.93	0.281
Dutch Leonard	97	0	R	9050.3	0.799	6.67	4.12	3.62	0.3015632246144533	5.42	1.82	0.94	0.284
Barney Morris	97	0	R	7770	0.916	7.15	4.71	4.15	0.3193451656925287	5.72	2.65	1.11	0.289
Dizzy Trout	97	0	R	7468.7	0.965	7.62	4.21	3.67	0.3014924153326876	5.43	2.53	0.87	0.277
Sonny Siebert	97	0	R	6919.3	0.885	6.63	4.68	4.11	0.3170542178865279	6.11	2.93	1.09	0.289
Satchel Paige	94	0	R	6522	0.666	5.17	4.24	3.75	0.3041354211693656	5.53	2.61	0.9	0.279
Mel Harder	99	0	R	6017	0.868	6.92	4.57	3.9	0.3161921800596367	4.21	2.02	0.87	0.293
Dock Ellis	85	0	R	5058.7	0.893	6.88	4.11	3.5	0.2997098658300034	4.85	3.05	0.76	0.267
Roger Wolff	96	0	R	4983	0.91	7.23	4.45	3.9	0.3094109929640799	4.98	2.28	1.02	0.28
Dave Barnhill	99	0	R	4124.3	0.994	7.92	4.13	3.77	0.3057196312911391	6.58	1.79	1.43	0.267
Joe Grzenda	98	0	L	3886.1	0	1.5	3.92	3.41	0.3037031116153714	5.41	2.91	0.74	0.286
Hoyt Wilhelm	92	0	R	3525	0.463	4.13	4.62	4.06	0.31567591779976	5.78	3.08	1.17	0.276
Lefty Gomez	96	0	L	3370.3	0.605	5.1	4.87	4.29	0.3227124168996139	6.13	4.35	0.88	0.29
Spud Chandler	95	0	R	3269	0.36	3.61	4.74	4.17	0.3209142602955146	5.43	3.25	1.14	0.281
Barney Brown	93	0	L	2295	0.591	5.08	4.33	3.73	0.3121637982945343	5.37	2.55	1.02	0.286
Steve Carlton	96	5	L	1887.7	1	7.49	3.92	3.45	0.2884553773313754	6.73	2.68	0.81	0.273
Don Newcombe	95	5	R	1779.3	1	7.54	3.65	3.09	0.2835311286611437	5.7	2.13	0.88	0.259
Mark Eichhorn	98	0	R	1732.7	0	1.38	3.54	3.07	0.2917036540711645	6.19	2.66	0.78	0.28
Mel Harder	99	5	R	1729.6	1	8.08	3.99	3.47	0.2931847497214057	4.67	1.87	0.72	0.277
Sandy Koufax	93	0	L	1670	0.374	3.63	4.42	3.87	0.3058636073156374	6.73	3.2	1.05	0.277
Luis Tiant	93	0	L	1609.7	0.402	3.95	4.28	3.79	0.3058206643208876	5.85	2.48	1.01	0.282
Roger Wolff	96	5	R	1396	0.914	7.47	4.16	3.78	0.29532380920492	5.22	1.93	0.9	0.272
Kent Tekulve	99	0	R	1332.3	0.001	1.37	4.42	3.95	0.3263042593413786	4.52	3.86	0.74	0.293
Mark Fidrych	84	0	R	1264.7	0.935	7.53	3.94	3.26	0.2873369135349289	3.38	1.81	0.79	0.256
Tommy Bridges	90	0	R	1263.7	0.797	6.26	4.79	4.24	0.3256251753061427	6.72	2.66	1.34	0.296
Jeff Montgomery	94	0	R	1195	0	1.31	4.42	3.92	0.3222255304742468	6.12	2.87	1.21	0.29
Satchel Paige	94	5	R	1171	0.881	6.65	3.65	3.21	0.2852792053737264	5.46	2.14	0.8	0.262
Joe Sambito	98	0	L	1169	0	1.32	3.28	2.93	0.2865171565348152	6.12	2.31	0.87	0.273
Bill Hallahan	92	0	L	1054.7	0.667	5.49	4.45	3.85	0.3148749734439685	6.71	4.09	0.9	0.286
Gary Peters	92	0	L	1017	0.371	3.74	4.48	3.95	0.3143433945529905	4.84	3.34	0.97	0.278
Bob Veale	89	0	L	962.7	0.761	5.91	4.91	4.33	0.3203641698647504	5.38	4.28	0.8	0.281
Hilton Smith	88	0	R	951	0.878	6.84	4.44	3.92	0.3056622463144913	2.3	2.03	0.97	0.255
Barry Latman	95	0	R	948.3	0	1.69	4.21	3.61	0.3105851308207149	4.56	4.15	0.62	0.274
Jim Kaat	87	0	L	921.3	0.368	3.69	4.47	3.96	0.3106268689749278	6.14	1.85	1.06	0.299
Barney Morris	97	5	R	864	0.991	8.15	4.26	3.8	0.310288672099146	6.38	2.66	0.97	0.289
Barney Brown	93	5	L	851.3	1	7.4	4.38	3.74	0.3061246376131012	5.2	2.54	0.92	0.279
Teddy Higuera	89	0	L	816.7	0.497	4.28	4.73	4.17	0.3209518229808621	5.1	2.79	1.29	0.275
Tommy Byrne	90	0	L	768.3	0.539	4.6	4.91	4.52	0.3238381463492656	5.46	5.44	1.01	0.261
Lefty Gomez	96	5	L	709	0.664	5.67	4.32	3.68	0.305858237631008	6.08	3.83	0.77	0.276
Ryne Duren	94	0	R	693.3	0	1.31	4.3	3.92	0.3257955534422435	7.01	5.47	1.09	0.277
Dave LaRoche	94	0	L	685.3	0	1.31	4.44	3.87	0.3283629420134079	6.5	5.87	1	0.276
