# CAP key=diamondquick__20260313 role=hit label=Diamond Quick type=Quick env=current variants=all_cards obsval=55-99 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=177 rows=177
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Honus Wagner	SS	99	0	R	3770	0.2671843543284441	0.3123499599893305	0.4222030486051194	0.3157706937412416	5.6	13.9	11.8	0.29	33.8	24.52	0.32	3.09	4.106
Al Kaline	RF	99	0	R	2863	0.2632978723404255	0.3067463106113844	0.3996960486322189	0.3045572484671825	5.7	16.9	9.4	0.298	34.9	11.16	2.28	4.32	1.76
Garret Anderson	LF	99	0	L	2358	0.2632978723404255	0.2880780653372932	0.4095744680851064	0.2998355630079906	3	18	14.5	0.297	34.7	4.85	-0.33	-3.41	0.738
Tyler O&#39;Neill	LF	98	0	R	2110	0.2328556806550665	0.2816500711237553	0.3607983623336745	0.2799627533615261	5.8	28.2	16.5	0.292	28.8	2.29	0.63	3.92	0.427
Paul Blair	CF	98	0	R	1803	0.2630651790957134	0.2914349276974416	0.4268937169700529	0.3075883901170661	3.8	17.5	17.3	0.289	37.5	4.17	2.83	4.43	2.762
Rico Petrocelli	SS	99	0	R	1761	0.2269861286254729	0.2948863636363636	0.4003783102143758	0.301347779979699	8.5	19.4	22.1	0.24	39.7	1.4	-0.24	-1.91	3.339
Colt Emerson	SS	98	0	L	1704	0.2586094866796621	0.3197879858657244	0.3996101364522417	0.3128722334718421	7.7	23.9	11.6	0.317	34.7	9.42	0.04	2.89	3.697
Max Clark	CF	98	0	L	1484	0.243993993993994	0.3123306233062331	0.3490990990990991	0.2911381219706818	8.6	20.8	7.7	0.293	27.1	15.91	-0.12	0.93	1.092
Buster Posey	C	96	0	R	1330	0.2504145936981758	0.3132530120481928	0.3391376451077944	0.2881824897807306	8	17.7	6.8	0.291	25.5	0	0.05	-1.76	3.248
Frankie Frisch	2B	94	0	S	1330	0.28	0.3122648607975922	0.416	0.3127217918678349	4.1	9.6	8.1	0.295	31.1	22.94	2.3	2.17	3.88
JJ Wetherholt	2B	96	0	L	1238	0.2673179396092362	0.3238866396761134	0.3685612788632327	0.3035346443505484	6.8	18.6	5.8	0.316	27.2	9.76	0.68	3.05	2.036
Prince Fielder	1B	99	0	L	1233	0.248	0.3065693430656934	0.4168888888888889	0.3125893284475347	7	26.2	20.4	0.297	36.6	3.92	-0.24	0.83	1.314
Al Simmons	LF	99	0	R	1176	0.2991840435176791	0.3327659574468085	0.5349048050770625	0.3671729507174231	4.8	17.4	27	0.319	39.7	17.56	-0.61	0.31	3.52
Jimmy Ryan	CF	99	0	R	1032	0.2395397489539749	0.2897286821705427	0.3671548117154811	0.2860411584916074	6.1	23.2	12.2	0.289	31.9	9.59	1.86	0.35	0.64
Red Schoendienst	2B	94	0	S	940	0.2852233676975945	0.3216187433439829	0.4238258877434135	0.3200847284316232	5.2	13.4	12.1	0.307	30.1	10.67	-0.32	4.21	3.83
George Harper	RF	97	0	L	911	0.2573789846517119	0.3058305830583058	0.3896103896103896	0.3023869928564052	5.8	21.3	12.5	0.306	30.7	10.45	-0.33	-0.46	0.461
Chase DeLauter	RF	99	0	L	905	0.2333736396614269	0.2898230088495575	0.3724304715840387	0.2883134521495833	7	19.7	15.2	0.262	34.7	2.99	-0.46	-0.93	0.199
John Anderson	1B	97	0	S	875	0.28125	0.3051428571428572	0.4807692307692308	0.3320437812046542	3.1	13	13.7	0.3	39.7	35.48	0.48	1.92	2.606
Yoenis Cespedes	LF	98	0	R	786	0.2417437252311757	0.2636942675159236	0.3976221928665786	0.2824638595078363	2.5	25.2	13	0.3	34.4	33.33	0	4.12	0.458
Hank Aaron	1B	98	0	R	746	0.2274052478134111	0.2788203753351207	0.3979591836734694	0.2911620240620902	6.8	20.1	19.3	0.248	39.7	11.29	0	-2.57	-0.322
Carlos Correa	SS	99	0	R	742	0.2023460410557185	0.2618083670715249	0.281524926686217	0.2421339163265681	7.1	22.6	6.5	0.249	26.8	2.7	-0.4	0	-0.081
Nap Lajoie	2B	99	0	R	726	0.2492492492492492	0.2887029288702929	0.3768768768768769	0.2871701020863798	5	15.8	6.6	0.281	38.6	7.81	0.08	-1.32	2.149
Rocky Colavito	LF	96	0	R	712	0.2244897959183673	0.2939521800281294	0.3657770800627944	0.2883912905269544	8.8	21	16.9	0.251	33.6	4.17	0	-3.46	-0.59
Home Run Baker	3B	99	0	L	682	0.28125	0.3005952380952381	0.4421875	0.3155674705957723	2.6	15.9	12.3	0.311	38.3	8.7	-0.18	2.73	2.991
Bryce Eldridge	1B	97	0	L	659	0.2101694915254237	0.2804878048780488	0.3169491525423729	0.2641125494624481	8	28.6	10.9	0.27	29.8	5.41	0	-1.37	-0.91
Matt Wieters	C	82	0	S	640	0.1733800350262697	0.2539184952978056	0.2504378283712785	0.2304456517436259	8.4	29.1	9.4	0.223	24.2	0	0	-0.56	0.187
Eddie Mathews	3B	98	0	L	633	0.231304347826087	0.2911392405063291	0.3739130434782609	0.2894276332582735	7.4	23.7	14.2	0.274	32.3	20.93	0.38	0.28	0.948
Walt Wilmot	CF	94	0	S	602	0.2513464991023339	0.2966666666666667	0.3913824057450628	0.2960506525951325	5.5	16.2	12	0.278	29.3	31.71	2.59	3.09	1.296
Chris Hoiles	C	97	0	R	588	0.2172211350293542	0.2931937172774869	0.3679060665362035	0.2896589918270029	9	27.8	18.4	0.261	36.9	0	0	-5.41	2.041
Gary Sheffield	3B	99	0	R	583	0.2722222222222222	0.3087478559176672	0.4277777777777778	0.3163599456851686	5.3	19.1	22.6	0.294	27.2	0	0	2.26	3.19
Trea Turner	SS	98	0	R	579	0.2434456928838951	0.2953367875647668	0.3820224719101123	0.2950870150161535	6.4	21.2	17.6	0.277	29.2	5.26	-2.28	3.94	1.762
Ron Santo	3B	93	5	R	567	0.2587548638132296	0.3262786596119929	0.3715953307392996	0.3074568579355657	8.5	23	14.8	0.311	21.8	3.45	0	0.11	2.116
Sandy Alomar Jr.	C	91	0	R	566	0.2760511882998172	0.2902654867256637	0.43327239488117	0.3095209323300463	1.4	16.5	18	0.301	33.8	1.96	0	-0.53	2.544
Yoenis Cespedes	LF	98	5	R	533	0.2309197651663405	0.2537593984962406	0.4285714285714285	0.2876667309993481	3	26.4	15.8	0.284	45.8	35.19	0	2.25	0.675
Sal Stewart	3B	97	0	R	530	0.2243589743589744	0.3075471698113207	0.3717948717948718	0.2979092259261313	9.6	20.1	17	0.248	37.1	0	-0.23	-1.13	0.226
Fernando Tatis Jr.	SS	95	0	R	515	0.2161572052401747	0.2970873786407767	0.368995633187773	0.2919592662249393	9.5	32.5	19.8	0.278	36.4	0	-1.86	3.84	0.583
Honus Wagner	SS	99	5	R	476	0.3088888888888889	0.3445378151260504	0.5422222222222223	0.3756405863235741	4.6	11.6	22.7	0.318	42.4	16.95	-0.13	3.53	7.941
Ethan Holliday	SS	95	0	L	474	0.2511737089201878	0.3128964059196617	0.4530516431924883	0.3284591583966583	8.2	25.1	24.1	0.288	43	4.35	0	0.38	2.785
Ken Boyer	3B	96	0	R	473	0.2612826603325415	0.3283898305084746	0.3919239904988123	0.3127982421372332	8.2	26.1	3.8	0.341	33.6	32.43	-2.16	6.6	3.044
Gene Tenace	C	98	0	R	465	0.2266355140186916	0.2838709677419355	0.3831775700934579	0.289807636153427	7.3	29	21.9	0.277	32	6.45	-0.65	-2.45	1.935
John Beckwith	SS	98	0	R	465	0.2355658198614319	0.2774193548387097	0.3648960739030023	0.2780040461823214	5.2	22.6	9	0.285	37.3	10.53	0	1.16	0.903
Ted Simmons	C	99	0	S	439	0.2061068702290076	0.2801822323462415	0.3409669211195929	0.2722164409538945	9.3	19.3	17.8	0.221	30.9	8	0	-4.78	0
Jeff Bagwell	1B	99	0	R	431	0.1889168765743073	0.2505800464037123	0.3073047858942066	0.2478312459098356	7	29.7	18.1	0.232	28	0	0	-0.84	-1.671
Carlos Delgado	1B	98	0	L	426	0.2857142857142857	0.3450704225352113	0.4207792207792208	0.3318920994677337	8	23.4	12.7	0.348	29.1	6.25	0	-5.77	1.268
