# CAP key=diamondquick__20260313 role=pit label=Diamond Quick type=Quick env=current variants=all_cards obsval=62-99 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=122 rows=122
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Payton Tolle	99	0	L	1054.3	0.96	6.06	3.87	3.61	0.2910054289386352	8.12	1.81	0.92	0.295
Bob Friend	99	0	R	785	0.631	4.67	4.16	3.89	0.3058338766908673	5.98	1.41	0.91	0.297
Steve Carlton	96	0	L	726.3	0.611	4.63	3.46	3.12	0.282020470849762	8.38	2.9	0.72	0.282
Jesse Petty	97	0	L	540.7	0.561	4.4	3.76	3.55	0.2981187841413016	6.91	2.38	0.9	0.284
Red Faber	98	0	R	462.7	0.368	3.21	4.32	3.85	0.3012539065718023	6.61	1.73	1.03	0.288
Joe Grzenda	98	0	L	403.7	0	1.27	3.34	2.83	0.2872231830514339	7.47	2.59	0.56	0.3
David Wells	99	0	L	352	0.721	5.18	4.04	3.81	0.2940856858389322	7.08	1.69	0.77	0.299
Trey Yesavage	97	0	R	314.7	0.214	2.4	3.49	3.15	0.2906592541051196	8.38	3.32	0.71	0.283
Steve Carlton	96	5	L	302.7	1	6.05	3.98	3.63	0.3020329422406069	8.15	2.97	0.86	0.297
R.A. Dickey	99	0	R	282	0.607	5.04	3.41	3.29	0.2781026604021851	8.11	1.76	1.09	0.262
Justin Verlander	99	0	R	273.3	0.6	4.56	3.69	3.42	0.3037653923925297	7.48	1.75	1.28	0.289
Dutch Leonard	97	0	R	260.7	0.75	5.43	4.11	3.8	0.3062201400514958	6.59	1.31	0.9	0.302
Connelly Early	96	5	L	258.7	1	6.81	2.89	2.68	0.270891780241389	7.06	1.32	0.63	0.284
Max Fried	99	0	L	257.3	0.722	4.76	4.16	3.81	0.3049008448410845	6.79	3.04	0.59	0.3
Don Newcombe	95	5	R	252.6	1	5.87	4.2	3.78	0.2912542285411229	7.7	2.71	0.71	0.29
Jesse Petty	97	5	L	251.7	0.974	6.45	3.5	3.18	0.2917588257579291	6.69	2.07	0.79	0.292
Al Leiter	90	0	L	249.3	0.649	4.37	4.22	3.83	0.3064701177926819	7.83	3.86	0.69	0.297
Zack Wheeler	99	0	R	242.3	0.949	6.21	4.68	4.49	0.3077583219197631	6.83	2.08	1.26	0.278
Trey Yesavage	97	5	R	239.7	0.525	4.06	4.17	3.9	0.3095895290982588	7.81	3.42	0.56	0.32
Dock Ellis	85	0	R	224.7	0.448	3.87	4.25	4.13	0.3229765696710339	6.05	2.84	1.12	0.29
Connelly Early	96	0	L	223.3	0.262	2.79	4.68	4.47	0.3294444488475416	6.13	2.9	0.89	0.315
Marcus Stroman	98	0	R	209.3	0.789	5.51	3.96	3.61	0.2913411676691184	4.95	1.63	0.56	0.287
Pete Donohue	96	0	R	205.3	0.583	4.28	4.34	4.08	0.3072668258714649	4.78	1.89	0.39	0.309
Don Newcombe	95	0	R	202	0.339	3.26	3.48	3.43	0.293124911923595	6.33	2.23	0.71	0.285
Satchel Paige	94	0	R	199	0.64	3.98	4.97	4.43	0.3176226546252992	6.74	2.58	0.81	0.312
Payton Tolle	99	5	L	197.3	1	6.58	3.65	3.42	0.284029240730981	8.58	1.78	0.87	0.291
Noah Schultz	92	0	L	195.7	0.429	3.11	4.05	3.59	0.3100541504826302	7.45	2.81	0.64	0.32
Andrew Bailey	94	0	R	194.3	0	1.11	3.8	3.52	0.2945179397403103	8.48	2.92	1.11	0.275
Evan Phillips	98	0	R	172.7	0	1.06	3.28	3.13	0.2884894364176193	7.56	2.03	0.57	0.303
Al Leiter	90	5	L	167.7	1	6.21	3.6	3.22	0.2994015148929495	7.84	4.29	0.54	0.287
Dizzy Trout	97	0	R	165	0.923	6.35	3.11	2.84	0.2934617631562542	6.55	1.96	1.04	0.272
Cla Meredith	99	0	R	160.3	0	1.23	3.03	2.81	0.2660542160271949	6.68	1.46	1.01	0.244
Sam Jones	92	0	R	159.3	1	6.37	3.45	3.28	0.2865319553218045	7.8	2.15	0.68	0.307
Hugh Daily	93	5	R	158.7	1	6.35	4.71	4.54	0.3158131129659184	7.94	1.42	1.19	0.315
Sam Streeter	96	0	L	155	0.383	3.3	4.18	4.12	0.3247218081855247	7.14	1.8	1.1	0.315
Tony Fossas	99	0	L	150.3	0	1.13	3.29	2.93	0.2875765871134316	7.54	1.98	0.72	0.299
Alex Vesia	95	0	L	138.6	0	1.01	3.96	3.9	0.3096184914349454	7.27	3.9	1.04	0.266
Dave Barnhill	99	0	R	131	1	6.89	4.26	4.26	0.3114832621963907	7.63	1.58	1.44	0.282
Blake Snell	99	0	L	120.3	0.833	4.01	6.58	5.99	0.364671355809857	6.28	4.26	1.35	0.311
Jose Leclerc	99	0	R	117	0	1.03	4.38	4.15	0.3417598920153148	8.62	5.15	0.92	0.335
Logan Henderson	94	0	R	111.3	0	1.48	3.23	2.83	0.2931444297696466	7.6	2.59	1.05	0.266
Joe Sambito	98	0	L	102.1	0	1.25	2.73	2.47	0.2959772014484218	8.2	1.94	0.53	0.326
Sam Streeter	96	5	L	93.3	0.812	5.83	3.38	3.38	0.2986931161841164	7.52	1.74	1.35	0.277
Shane Bieber	94	5	R	90.3	1	6.95	2.69	2.69	0.2531835798766572	8.37	2.29	0.4	0.269
Mel Harder	99	0	R	88.3	0.478	3.84	4.99	4.18	0.3319828614879998	5.4	2.34	0.61	0.33
Hugh Daily	93	0	R	87.7	0.109	1.91	3.9	3.9	0.2925695289505137	8.72	1.64	0.92	0.308
Babe Adams	98	5	R	85.7	1	7.14	3.47	3.47	0.3086186284788151	3.78	2.21	0.42	0.297
Mel Harder	99	5	R	83.3	0.923	6.41	3.57	3.46	0.2901561039346262	5.51	1.73	0.32	0.288
Satchel Paige	94	5	R	82	0.875	5.12	4.94	4.5	0.3181503253115021	6.7	2.74	0.99	0.29
Cade Smith	98	0	R	77	0	1.1	3.86	3.62	0.2977971672593692	9.12	4.21	0.47	0.307
Kazuhiro Sasaki	93	0	R	76.7	0	1.22	3.4	2.82	0.2757231823680228	5.98	0.59	1.06	0.255
Smokey Joe Williams	94	5	R	76.3	1	6.36	4.01	3.77	0.3011548275045005	8.26	2.95	1.18	0.264
Sonny Gray	99	0	R	72.7	1	6.61	3.84	3.84	0.2849071880090224	6.56	2.72	0.74	0.253
Roger Wolff	96	0	R	69	0.625	4.31	4.3	4.04	0.29635485246479	6.65	1.57	1.04	0.295
Joe Ryan	98	0	R	67.7	0.421	3.56	4.92	4.65	0.3433951353963468	9.84	1.6	1.46	0.365
Bill Hallahan	92	5	L	67	1	5.58	2.96	1.88	0.2685481243206772	8.73	4.97	0.67	0.235
Hunter Brown	96	0	R	66	0.348	2.87	5.18	5.05	0.3057888350268856	6.82	2.45	0.95	0.278
Mark Eichhorn	98	0	R	59.3	0	1.14	3.95	3.95	0.300071556707912	6.83	2.88	0.61	0.303
Babe Adams	98	0	R	57.3	0.562	3.58	5.97	5.81	0.3650922214254643	2.98	0.94	0.79	0.341
Jose Mendez	95	0	R	53.7	0.24	2.15	6.2	5.36	0.3503168196303127	6.2	2.35	1.84	0.287
Lefty Gomez	96	5	L	52.3	0.211	2.75	2.58	2.07	0.2712774813219059	10.33	3.96	0.52	0.292
Barney Morris	97	0	R	52	0.25	2.6	5.37	5.37	0.3502642023798792	5.54	3.46	1.04	0.312
Jose Alvarado	96	0	L	51.3	0	1.17	2.81	2.63	0.2705235039291065	5.61	6.32	0.18	0.237
Dan Haren	91	0	R	49	0.357	3.5	3.12	3.12	0.2939380236050566	8.45	1.84	0.92	0.305
Evan Phillips	98	5	R	48.7	0	1.01	4.07	3.51	0.2844387293709987	8.69	2.03	0.55	0.292
Kent Tekulve	99	0	R	46	0	1.92	3.72	3.72	0.3548258898456088	6.46	2.54	0.78	0.349
Smokey Joe Williams	94	0	R	43.7	0.045	1.99	3.5	3.09	0.3437194564848968	7.21	3.3	0.82	0.333
Dave Righetti	85	0	L	41.7	0	1.81	4.32	3.24	0.2988963394452988	6.04	1.73	1.08	0.276
Sonny Siebert	97	0	R	41.3	0.294	2.43	6.32	6.1	0.3543679147515111	8.28	3.05	1.09	0.366
Tyler Anderson	95	0	L	41	1	6.83	4.17	4.17	0.3261610909515502	6.15	1.54	1.76	0.264
Shane Bieber	94	0	R	40.7	0.188	2.54	3.98	3.32	0.2756853739537993	9.07	2.65	0.66	0.274
Ryne Duren	94	0	R	39.7	0	1.17	2.95	2.72	0.2692135074751342	7.93	5.89	0.23	0.25
Kazuhiro Sasaki	93	5	R	38.3	0	0.98	3.76	3.05	0.2836950017530271	7.28	2.35	0.7	0.291
Tom Gordon	94	0	R	37.3	0	1.17	3.86	2.9	0.3096414952908287	4.58	2.41	0.72	0.291
John Smoltz	97	0	R	36.7	0	1.02	4.17	3.92	0.3611978984596699	6.62	1.47	1.96	0.309
Alex Vesia	95	5	L	36	0	1.16	1.25	1.25	0.2428803111971916	9.5	2	0	0.313
Neal Cotts	94	0	L	35	0	1.4	2.06	2.06	0.2555725404822805	6.69	3.6	1.03	0.206
Logan Webb	97	0	R	34.7	0	1.45	5.71	4.93	0.3574306862937828	8.82	1.56	1.04	0.389
Justin Verlander	99	5	R	33.7	1	5.62	5.61	5.61	0.3482816006451706	10.68	2.14	2.14	0.31
Jacob deGrom	95	0	R	33.3	0.364	3.03	4.32	3.51	0.2742850721558429	6.22	2.43	0	0.303
Luis Tiant	93	5	L	33.3	0	1.66	3.51	3.24	0.2731796571394089	8.92	2.97	0.81	0.278
Dave LaRoche	94	0	L	33.3	0	1.51	2.16	1.89	0.2455508318580668	6.76	2.97	0.27	0.237
Sandy Koufax	93	0	L	32.3	0	1.24	2.79	2.79	0.2749958370661533	7.24	3.34	0.84	0.239
Jeff Montgomery	94	5	R	31.7	0	1.51	1.99	1.99	0.1996230364349433	9.94	1.99	0.57	0.183
Rats Henderson	96	0	R	31.7	0.133	2.11	2.84	2.56	0.2936847361642961	7.1	2.56	0.28	0.302
Hoyt Wilhelm	92	5	R	30.3	0.071	2.16	7.13	6.83	0.3564179290419742	5.94	3.86	1.19	0.323
Dwight Gooden	95	0	R	25	0.222	2.78	7.2	6.12	0.3426702771966648	7.92	0.72	1.44	0.338
Pete Donohue	96	5	R	24.7	0.1	2.47	3.64	3.28	0.2903908587725179	6.19	1.09	0.73	0.291
Tom Gordon	94	5	R	24	0	1.14	5.62	5.25	0.3507901447822847	5.62	3.38	2.25	0.263
Al Worthington	86	0	R	22.7	0	1.19	3.57	1.59	0.2276461936672441	6.34	2.78	0	0.235
Dave Stieb	65	0	R	22.3	1	5.58	4.44	4.44	0.3538192662736991	6.86	2.42	0.4	0.37
Shane McClanahan	96	0	L	21.3	0.571	3.04	8.03	7.61	0.439107911327649	8.03	2.54	3.38	0.312
Brandon Woodruff	97	0	R	21	0	2.1	3	3	0.3000460692978698	6.86	2.57	0.43	0.324
Tom Candiotti	90	0	R	21	1	4.2	8.57	8.14	0.4639317223319961	6	4.29	3.86	0.297
Jeremy Jeffress	98	0	R	21	0	1.24	2.57	2.57	0.2637284751180828	9.43	3	0.43	0.291
Logan Gilbert	93	0	R	20	1	5	7.2	6.3	0.3898568907078188	8.55	0.45	2.25	0.369
Barney Morris	97	5	R	18.7	1	4.68	5.78	5.78	0.3237329066888974	7.7	1.44	0.48	0.344
Whit Wyatt	68	0	R	18.3	1	6.1	4.92	3.93	0.329359187848387	9.84	3.44	0.49	0.364
Satchel Paige	87	0	R	17.7	1	5.9	4.07	4.07	0.376874415353588	5.08	1.02	1.53	0.333
Spencer Strider	87	0	R	17.3	1	4.32	7.28	7.28	0.3293828023654249	9.88	6.24	1.04	0.311
Buddy Groom	90	0	L	17	0	1.13	3.71	3.18	0.3375886580216019	4.24	1.59	0	0.369
Pedro Borbon	92	0	L	16.3	0	1.09	4.42	3.31	0.3127867579279142	7.73	1.66	1.1	0.3
Jack Lynch	91	0	R	16.3	0	2.33	4.97	4.97	0.2477429011018059	8.28	2.21	0	0.32
Robin Roberts	74	0	R	16	1	5.33	7.31	5.62	0.388850841718658	5.06	2.25	0.56	0.431
Tyler Glasnow	94	0	R	15	0.667	5	2.4	2.4	0.2808300613477716	5.4	3.6	0.6	0.261
Mark Eichhorn	98	5	R	14.7	0	1.13	4.9	4.9	0.3216110187308093	7.96	2.45	0	0.362
Lefty Gomez	96	0	L	14.3	0.2	2.86	3.15	3.15	0.2265002463087795	8.18	5.03	0.63	0.167
Jose Leclerc	99	5	R	14	0	1.17	4.5	3.86	0.3534420446127856	10.93	5.79	0.64	0.41
Spud Chandler	95	0	R	14	0.091	1.27	5.79	4.5	0.3646703616770559	7.07	1.93	1.29	0.362
John Franco	84	0	L	13.3	0	1.11	4.74	4.06	0.3704974272759578	6.09	4.06	1.35	0.34
Tony Watson	87	0	L	13	0	1.08	2.08	2.08	0.1652431727891581	2.77	3.46	0	0.132
Dizzy Trout	97	5	R	13	1	6.5	4.15	3.46	0.3578275861157924	7.62	2.08	1.38	0.316
Josh Hader	95	0	L	12.7	0	0.98	5.67	5.67	0.3864772844892601	3.54	3.54	1.42	0.311
Hoyt Wilhelm	92	0	R	12.7	0.2	2.54	7.09	6.38	0.3926217514360177	8.5	3.54	1.42	0.405
Devin Williams	91	0	R	12.3	0	1.54	0.73	0.73	0.2824713689825346	7.32	0.73	0.73	0.294
Didier Fuentes	79	0	R	11.7	1	5.85	6.15	5.38	0.3355672405697463	10	1.54	1.54	0.364
Louie Varland	96	0	R	11	0	1.57	5.73	5.73	0.3699696614058046	5.73	1.64	1.64	0.306
Drew Rasmussen	95	0	R	11	0	2.2	4.91	4.09	0.3520760919101637	8.18	2.45	3.27	0.185
Edwin Diaz	88	0	R	10.3	0	1.14	3.5	3.5	0.2782750778307031	11.36	4.37	0	0.37
Hunter Harvey	89	0	R	10.3	0	1.29	1.75	1.75	0.2530299601508022	7.86	2.62	0	0.3
Jimmy Key	93	0	L	10.3	0.333	3.43	6.99	6.99	0.4030138391827499	5.24	4.37	1.75	0.324
