# CAP key=earlygold__20260314 role=hit label=Early Gold type=Daily env=current variants=all_cards obsval=47-89 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=516 rows=516
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Tony Phillips	LF	88	0	S	27757	0.27988043785596	0.3440883656710995	0.3353394999394111	0.3210696140879932	8.7	9	1.9	0.302	16.7	3.02	-0.96	1.72	2.482
Yu Chang	SS	89	0	R	21108	0.2805306080313822	0.3189306358381503	0.3856715185299887	0.3227050069038184	5.2	9.1	5.3	0.298	24.9	23.21	-0.21	2.3	2.999
David Ross	C	88	0	R	20633	0.255961580922941	0.3137756381324909	0.3319717376904394	0.3009481535647618	7.4	9.4	2	0.276	24.2	10.51	-0.05	-4.68	2.012
Steve Finley	CF	89	0	L	19452	0.2772755348419338	0.3127476359025834	0.4150148801167949	0.3302841136191786	4.6	5.9	2.7	0.288	30.8	49.93	-1.15	4.24	3.556
Carson Williams	SS	87	0	R	13001	0.2476756198347107	0.3039685658153242	0.3759469696969697	0.3111666109998567	7.1	12.7	5.8	0.271	29.2	47.62	-0.77	0.96	4.001
Ossie Bluege	3B	89	0	R	11935	0.2662756034234061	0.3268292682926829	0.3540725069718242	0.3149285596153149	7.8	6	1.3	0.278	23.8	30.85	-0.29	2.9	3.238
Lonny Frey	2B	88	0	L	11515	0.2588807303036317	0.3088556851311953	0.3430244096050803	0.3021235426475424	6.3	7.1	2.4	0.272	20.8	39.23	-0.11	2.71	2.564
Tino Martinez	1B	87	0	L	11167	0.2562536931258617	0.3114019361778415	0.345578097301556	0.302860657836563	7.2	6.2	7.3	0.259	21.6	13.14	-0.44	-0.82	0.956
Ray Dandridge	3B	88	0	R	10214	0.292726887192536	0.3196167423096319	0.4113655640373198	0.3319523390128109	3.5	6.6	2	0.308	28	35.79	-0.28	0.71	3.66
Dick Groat	SS	89	0	R	9839	0.2852333931777379	0.3253388946819604	0.4159560143626571	0.3373867033806405	5.3	4.4	1.4	0.293	31.1	41.47	-0.68	2.48	4.202
Travis Bazzana	2B	87	0	L	9079	0.2833706189410887	0.3455841407729146	0.4151130996768581	0.346962941664848	8.6	6.9	3.6	0.295	30.3	37.68	0.03	2.87	3.41
Lorenzo Cain	CF	84	0	R	8237	0.2804612427930814	0.3069620253164557	0.3932094811018578	0.3183700737777511	3.6	7.7	3.9	0.295	27.2	29.87	0.56	4.22	3.3
Ichiro Suzuki	CF	88	0	L	7955	0.3013420089467263	0.3313167717853006	0.3906737156025485	0.3322719132329965	3.9	5.2	2.3	0.313	18.6	44.55	-0.25	4.59	4.005
Matt Wieters	C	82	0	S	7488	0.2620961847683087	0.3092838909042053	0.3381084636749013	0.2988394730358627	6.3	8.1	5	0.274	19.4	13.79	0	-3.81	2.476
Old Hoss Radbourn	P	89	0	R	7269	0.2017343678685532	0.2428896473265074	0.2297276738171307	0.2257272859976052	4.9	8.7	1.3	0.216	10	15.15	-0.78	-0.12	-2.039
Eduardo Quintero	CF	88	0	R	7267	0.2661550268610898	0.3243469758346137	0.4072141212586339	0.3345542441840868	7.7	9.2	3.7	0.285	32.5	47.25	-0.97	5.31	3.947
Chick Hafey	LF	89	0	R	6410	0.290284757118928	0.325920125293657	0.440033500837521	0.3444883329456411	4.9	7.9	8.9	0.299	32.7	24.38	-0.47	4.13	3.501
Sid Gordon	3B	89	0	R	6394	0.2322716874890023	0.3059081648644413	0.3098715467182826	0.2905246586360366	9.5	7.5	7.2	0.237	19.9	9.13	-0.14	-1.15	0.066
Willie McGee	CF	79	0	S	6262	0.3026249791004849	0.3206486833654464	0.5057682661762247	0.3667461597001034	2.5	7.5	3.2	0.319	39.1	62.29	-0.55	4.26	5.509
