# CAP key=earlygold__20260314 role=pit label=Early Gold type=Daily env=current variants=all_cards obsval=55-89 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=250 rows=250
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Old Hoss Radbourn	89	0	R	17727	0.995	8.29	3.84	3.15	0.308629068292916	3.06	2.34	0.29	0.278
Dave Brown	89	0	L	7124	0.912	7.43	4.5	3.68	0.3302330609617349	3.82	2.7	0.21	0.31
Warren Spahn	84	0	L	5600.3	0.834	7.13	4.09	3.3	0.314135831758689	2.17	2.2	0.23	0.284
Dock Ellis	85	0	R	5589	0.893	7.31	3.99	3.25	0.3115544382609496	2.95	2.74	0.16	0.281
Hilton Smith	88	0	R	4581.7	0.872	7.31	4.31	3.55	0.3209551499083137	1.4	1.92	0.19	0.288
Mark Fidrych	84	0	R	4056.7	0.945	7.73	4.12	3.33	0.3150952185739413	2.13	1.68	0.19	0.29
Old Hoss Radbourn	89	5	R	3929.3	1	8.31	3.58	2.89	0.3005927628102529	3.14	2	0.24	0.275
Satchel Paige	87	0	R	3748.7	0.756	6.23	4.14	3.45	0.3204662194887214	3.54	2.31	0.26	0.296
Tom Cheney	78	0	R	3608	0.632	5.75	3.99	3.4	0.3124259202077527	3	1.97	0.35	0.282
Mark Buehrle	84	0	L	3162.7	0.803	6.85	4.04	3.37	0.3122037536834483	2.36	1.89	0.22	0.287
Ben Brown	89	0	R	3099.3	0.997	7.91	4.33	3.69	0.3309503548924201	3.39	2.38	0.21	0.311
Teddy Higuera	89	0	L	2871.3	0.904	7.64	4.07	3.47	0.319603178414759	3.65	2.88	0.27	0.289
Michael Soroka	89	0	R	2805.3	0.973	7.71	4.33	3.65	0.3247265529612903	3.13	2.43	0.23	0.299
Madison Bumgarner	88	0	L	2788.7	0.855	6.99	4.48	3.78	0.3309766804608513	3.54	2.04	0.33	0.309
Elmer Rodriguez	89	0	R	2584.3	0.88	6.89	4.4	3.7	0.3306848604914197	3.46	3.7	0.15	0.298
Dave Stieb	89	0	R	1994	0.861	6.95	4.3	3.59	0.3224582140291484	3.18	2.32	0.16	0.301
Tiny Bonham	82	0	R	1937.3	0.675	6.05	3.97	3.37	0.3145052028901221	2.41	1.5	0.29	0.291
Clay Holmes	89	0	R	1936.7	0.888	7.51	4.43	3.7	0.3295897751607568	2.9	2.56	0.2	0.301
Steve Ontiveros	82	0	R	1734.7	0.948	7.48	4.49	3.55	0.3237991330885098	1.89	1.91	0.25	0.292
Tiny Bonham	82	5	R	1719.3	0.875	7.41	4.2	3.56	0.3228336599848527	2.63	1.33	0.32	0.3
Brandon Sproat	88	0	R	1669	0.86	6.9	4.06	3.34	0.31675672071872	3.22	2.67	0.19	0.289
Jim Kaat	87	0	L	1443	0.694	5.96	4.35	3.6	0.3265820754297027	3.6	1.83	0.15	0.315
Mario Soto	83	0	R	1341.3	0.688	6.15	3.89	3.31	0.3135349995051307	3.95	2.72	0.37	0.282
Madison Bumgarner	88	5	L	1243.7	0.882	7.36	4.45	3.65	0.3223622143633117	3.74	1.79	0.27	0.308
John Donaldson	89	0	L	1136.7	0.947	7.58	4.98	4.23	0.3400933885466733	3.57	2.26	0.22	0.321
Bob Veale	89	0	L	937.7	0.811	6.34	5.19	4.44	0.3523263212935689	3.52	4.35	0.15	0.319
Jack Kramer	89	0	R	918.7	0.833	6.96	4.71	4.04	0.3339403204361246	3.59	2.71	0.17	0.315
Steve Ontiveros	82	5	R	887.7	0.917	7.4	4.05	3.31	0.3149343452676636	2.03	1.75	0.33	0.278
George Zettlein	87	0	R	805.3	0.786	6.88	4.24	3.62	0.3195984615301061	3.04	1.73	0.42	0.291
Sonny Gray	88	0	R	804.3	0.884	7.18	4.33	3.58	0.3217987913447269	3.13	2.52	0.25	0.292
Dylan Lee	89	0	L	710.3	0	1.36	3.33	2.79	0.3138578118768962	4.11	2.33	0.19	0.308
Nolan McLean	87	0	R	678.3	0.955	7.71	3.42	2.81	0.301336682716181	3.72	2.83	0.17	0.281
Tom Cheney	78	5	R	677.7	0.872	7.21	3.15	2.58	0.2860338534319301	3.51	1.62	0.37	0.261
Adrian Morejon	89	0	L	652.3	0	1.41	3.57	3.04	0.324264368528317	3.6	2.29	0.11	0.313
Jesse Barnes	88	0	R	566.3	0.702	6.02	4.72	4.05	0.3280523597082597	2.26	1.65	0.13	0.314
Sean Newcomb	89	0	L	556	0.379	3.05	4.89	4.24	0.3433768285171433	3.09	2.77	0.21	0.316
Mario Soto	83	5	R	543	1	8.1	3.5	2.95	0.3057922108409626	4.38	2.4	0.33	0.282
Rhett Lowder	87	0	R	489.7	0.709	6.2	4.04	3.16	0.3083222249220176	3.33	2.21	0.15	0.29
Jake Peavy	83	5	R	483	0.814	6.9	4.19	3.6	0.3227829289655739	3.78	2.76	0.11	0.301
A.J. Burnett	86	0	R	474.7	1	8.05	4.51	3.68	0.3269272847632962	3.66	3.83	0.13	0.297
Walter Johnson	86	0	R	447.3	0.641	5.73	4.53	3.96	0.3337738934293248	3.44	2.43	0.26	0.31
Phil Niekro	86	5	R	432.3	0.964	7.86	4.29	3.89	0.3206923286649985	3.21	1.5	0.35	0.3
Hod Eller	86	0	R	427.3	0.506	4.8	4.38	3.62	0.3286732201063874	3.79	2.19	0.21	0.309
Elmer Rodriguez	89	5	R	425.3	0.929	7.59	3.75	3.24	0.3086110772247488	3.49	3.03	0.17	0.285
Jim Brewer	78	0	L	420.3	0	1.43	3.23	2.57	0.3065766480275726	3.51	2.29	0.26	0.29
Max Manning	87	0	R	418.7	0.964	7.61	4.13	3.29	0.3159178265828991	2.97	2.58	0.13	0.293
Tyler Clippard	88	0	R	411.7	0	1.46	3.76	2.84	0.324338174918439	3.45	3.59	0.17	0.293
Chris Hammond	89	0	L	410	0	1.5	4.52	3.38	0.3347748749098376	3.6	3.18	0.22	0.312
Shane Reynolds	81	5	R	409.7	0.941	8.03	4.39	3.67	0.3300175058834838	2.72	1.98	0.09	0.312
Tony Watson	87	0	L	367.7	0	1.29	4.36	3.57	0.336903395202979	3.18	3.3	0.2	0.31
Michael King	82	0	R	365.3	0.98	7.31	4.56	3.57	0.3248786021125019	2.78	3.23	0.2	0.288
Steve Rogers	85	0	R	353.3	0.917	7.36	4.48	3.59	0.3383079976588881	3.9	2.67	0.2	0.32
Mark Fidrych	84	5	R	346.7	1	8.46	3.66	2.86	0.3007710178780864	1.95	1.79	0.13	0.277
Robert Suarez	89	0	R	340.7	0	1.49	3.83	2.88	0.3063168925817272	3.33	2.01	0.21	0.285
Luke Hamlin	84	0	R	330.3	1	7.34	5.12	4.33	0.3574127128363142	3.92	1.99	0.54	0.327
Leroy Matlock	86	0	L	328.7	1	7.3	4.44	3.86	0.3359230233866133	3.09	2.03	0.22	0.311
Pat Neshek	85	0	R	328	0	1.43	3.65	3.13	0.3139353827194923	3.87	1.78	0.38	0.294
Hunter Harvey	89	0	R	324	0	1.36	4.86	3.94	0.352327126807661	3.53	2.56	0.25	0.333
Rynie Wolters	79	0	R	321	0.837	6.55	4.04	3.03	0.3149401211561526	2.47	1.96	0.36	0.28
Randy Jones	83	0	L	320.3	1	7.81	4.07	3.12	0.3130117662500172	1.77	1.69	0.17	0.287
Jesse Barnes	88	5	R	315.7	0.902	7.7	4.39	3.71	0.3270348289159287	2.31	1.25	0.14	0.311
Tom Niedenfuer	88	0	R	311.7	0	1.34	2.57	1.96	0.2873177791874593	2.97	2.86	0.12	0.262
Max Manning	87	5	R	305	0.974	8.03	4.04	3.1	0.3212804994083651	3.42	2.83	0.21	0.3
Brandon Sproat	88	5	R	295.7	0.787	6.29	4.08	2.95	0.3095783287452799	3.2	2.53	0.12	0.286
Griffin Jax	87	0	R	288.3	0.814	6.7	3.75	3.12	0.3350782399122662	4.21	2.87	0.31	0.31
Steve Hamilton	89	0	L	286.3	0	1.21	3.87	3.24	0.343346345901454	3.21	3.11	0.22	0.324
Nick Pivetta	84	0	R	275	0.791	6.4	4.29	3.89	0.3372027056350538	3.37	2.72	0.29	0.312
River Ryan	84	5	R	263.7	0.897	6.76	3.28	2.59	0.2922002852252508	4.03	1.67	0.14	0.285
Rhett Lowder	87	5	R	255.7	0.879	7.75	3.55	3.27	0.3134198320062841	3.31	1.9	0.07	0.305
MacKenzie Gore	87	0	L	255.3	0.814	5.94	4.3	3.91	0.3336872718284744	4.12	2.75	0.39	0.302
Sandy Consuegra	85	0	R	236.7	0.328	3.53	4.79	3.8	0.3442517530503102	1.6	1.79	0.08	0.318
Bill Holland	87	0	R	236.3	0.879	7.16	5.56	4.88	0.3586834752618469	3.28	2.86	0.38	0.339
Ed Walsh	87	0	R	227.7	0.553	4.84	4.82	4.51	0.3368250964816288	4.66	2.37	0.36	0.324
Herb Pennock	77	5	L	217.3	1	8.36	4.6	3.23	0.3273877974446209	2.07	1.82	0.29	0.296
Teddy Higuera	89	5	L	215.3	0.59	5.52	3.8	3.39	0.3186035840389237	3.72	2.88	0.13	0.298
Ken Forsch	87	0	R	210	0.9	7	4.29	3.64	0.3086978183393503	2.74	1.89	0.17	0.289
Robby Snelling	81	5	L	208.3	1	8.01	3.5	2.94	0.3197597336530102	4.1	3.28	0.09	0.302
Jack Kramer	89	5	R	207	0.476	4.93	3.7	3.17	0.3253397189770413	3.83	2.74	0.04	0.313
Luis Arroyo	84	0	L	203	0	1.47	3.95	2.93	0.3191226518107405	3.95	2.93	0.09	0.312
Hod Lisenbee	88	0	R	194.3	0.686	5.55	4.26	3.38	0.3247599599095238	3.75	3.66	0.23	0.292
Framber Valdez	81	0	L	192.7	0.61	4.7	6.35	4.86	0.3635135717218669	3.04	2.52	0.14	0.345
Rudy May	82	0	L	190	0.893	6.79	4.17	3.41	0.3076446067371449	3.6	1.89	0.47	0.277
Jake Peavy	83	0	R	185.3	0.451	3.63	5.78	4.61	0.3516638180005598	4.27	2.67	0.24	0.338
Jim McDonald	86	0	R	185.3	0.767	6.18	5.68	4.91	0.3557784282666867	2.09	2.77	0	0.335
Julio Teheran	79	5	R	183.3	0.613	5.91	4.12	3.44	0.3173683252970029	2.31	2.7	0.1	0.288
Robby Snelling	81	0	L	183.3	0.917	7.64	5.2	4.32	0.3322348843377266	3.44	2.8	0.29	0.298
Kyle Harrison	87	0	L	179.7	0.667	5.99	3.96	3.06	0.3261124474923975	3.96	2.05	0.3	0.313
Andres Munoz	88	0	R	179	0	1.32	3.57	2.66	0.3252574291874435	3.37	2.92	0.25	0.3
Edwin Diaz	88	0	R	172.7	0	1.37	3.13	2.4	0.3101460439260237	4.12	2.24	0.16	0.308
Mel Rojas	87	0	R	171.7	0	1.4	3.62	3.09	0.3243317086159563	3.56	3.15	0.1	0.306
Shota Imanaga	76	0	L	161	1	8.05	4.14	3.19	0.3377234037324844	3.07	1.84	0.56	0.303
Shane Bieber	85	0	R	160.7	0.545	4.87	6.44	5.49	0.3916546848741796	2.91	2.86	0.56	0.342
Dave Brown	89	5	L	160.7	0.621	5.54	4.93	3.7	0.3504924540046641	3.75	2.07	0.06	0.348
Wally Bunker	82	0	R	154.3	0.098	3.03	5.13	4.37	0.3508321159250973	1.98	2.97	0.23	0.312
Nate Jones	85	0	R	151	0	1.51	3.58	2.62	0.320565583350375	3.81	1.49	0.24	0.322
Gavin Williams	83	0	R	149.3	1	7.86	4.88	4.1	0.3438385111523317	4.22	3.07	0.24	0.325
Mariano Rivera	89	0	R	147.3	0	1.39	3.67	2.57	0.3118280613907774	3.67	2.93	0	0.304
Carlos Zambrano	84	0	R	145.3	0.607	5.19	5.26	3.78	0.3368393837438429	3.47	3.59	0.31	0.298
Eury Perez	76	0	R	141.3	1	8.31	3.5	2.93	0.3171334932932831	3.89	2.55	0.45	0.282
Preacher Roe	85	0	L	138	0.8	6.9	4.96	3.72	0.3472647600917348	3.07	2.41	0.52	0.314
Al Worthington	86	0	R	137.3	0	1.35	3.8	3.67	0.3185977213633811	3.8	2.29	0.13	0.311
Shawn Armstrong	88	0	R	136.3	0	1.48	4.23	3.57	0.3360405327444659	2.58	2.64	0.13	0.311
Hal Brown	84	0	R	128.3	0.938	8.02	3.79	2.95	0.3257904819617993	1.96	2.24	0.14	0.313
Roberto Hernandez	84	5	R	124.7	0	1.52	2.31	1.73	0.2830629916046239	3.25	1.23	0.07	0.283
Ed Walsh	87	5	R	119.3	1	7.95	4.15	3.62	0.346094640892742	4	2.72	0.08	0.328
Spencer Strider	87	0	R	118.7	0.824	6.98	4.25	3.49	0.3085205229102153	3.87	2.43	0.38	0.273
Julio Teheran	79	0	R	117.7	0.016	1.84	4.21	3.52	0.3298204838538212	2.22	2.52	0.31	0.295
Dave Righetti	85	0	L	116.3	0	1.55	3.25	2.71	0.319036631704006	3.02	2.32	0.08	0.299
Wally Bunker	82	5	R	114.7	0.031	1.79	3.22	2.67	0.2943665703233805	1.57	2.59	0.24	0.246
Carlos Lagrange	84	0	R	114.3	0.015	1.73	3.31	2.68	0.3031875191123167	3.07	3.7	0.08	0.262
River Ryan	84	0	R	113.3	0.56	4.53	6.12	5.64	0.3815382307709467	4.53	3.89	0.32	0.36
JR Ritchie	80	5	R	111.7	0.833	6.21	4.59	3.46	0.3195731814332516	3.14	2.74	0	0.301
Carlos Zambrano	84	5	R	110.7	1	6.92	4.31	3.66	0.3307461727561327	3.5	2.36	0.16	0.303
Jim Kaat	87	5	L	109.3	1	7.29	7	5.68	0.3679131257438634	3.71	1.65	0.25	0.362
Payton Tolle	80	0	L	108.7	0.933	7.25	5.63	4.22	0.351113772683429	4.22	3.48	0.33	0.324
Bill Holland	87	5	R	108.3	0.75	6.77	4.32	3.16	0.3317893426227913	3.49	1.83	0.08	0.332
C.J. Wilson	87	0	L	106.3	0.923	8.18	3.3	2.54	0.293521169949798	3.05	2.79	0.34	0.257
Jonathan Broxton	85	0	R	104	0	1.79	3.98	3.2	0.3088655008100397	5.11	3.81	0.09	0.296
Dave Brown	89	1	L	101.3	1	8.44	3.82	3.11	0.3030745696622673	3.46	1.78	0.27	0.28
Chris Hammond	89	5	L	98.7	0	1.35	4.47	3.28	0.3294489007708851	3.65	4.38	0.09	0.287
Al Hrabosky	88	0	L	96.7	0	1.44	5.86	4.93	0.3564552142178752	2.79	3.63	0.19	0.328
David Wells	77	0	L	96	0.529	5.65	3.94	3.28	0.3123920746569324	2.34	1.41	0.19	0.302
Jim Brewer	78	5	L	95	0	1.61	2.65	2.18	0.2960609928523361	3.51	2.08	0	0.294
Dave Stieb	65	5	R	93	1	7.75	4.26	2.81	0.3103047945977045	3.29	3.1	0.48	0.261
Jerry Blevins	81	0	L	91.7	0	1.46	4.22	3.73	0.3325185259898557	2.94	3.14	0.29	0.293
Garrett Whitlock	86	0	R	91.3	0	1.63	3.55	2.56	0.332767905257655	4.83	2.76	0.1	0.329
George Zettlein	87	5	R	91.3	0.333	3.8	3.45	3.06	0.3037652939876714	2.76	1.28	0.59	0.272
Dennis Martinez	85	0	R	90	0.375	3.75	3.9	3.3	0.3294013575400289	1.8	1.9	0.1	0.31
Walt Masterson	82	5	R	88	0.909	8	3.68	3.27	0.3066340744081173	4.3	3.38	0.1	0.273
Tom Henke	85	0	R	88	0	1.66	4.19	3.58	0.3340312522786729	2.15	2.66	0.31	0.309
Jason Isringhausen	85	5	R	85.3	0	1.58	1.48	1.48	0.2625589398024205	3.27	2.64	0	0.232
Cristian Javier	73	5	R	84	0	1.58	3.43	3	0.302378832016551	2.89	3	0.11	0.273
Bob Veale	89	5	L	81.7	1	7.43	6.06	5.29	0.3680680747742175	3.64	2.86	0.11	0.35
Jonah Tong	77	0	R	78.7	1	7.87	3.77	2.63	0.3236998795196627	4.12	3.2	0.46	0.297
Jared Koenig	86	0	L	78	0.081	2.11	6.58	5.19	0.3664418215076953	3.23	3.23	0.12	0.355
Ray Brown	85	5	R	77.3	0.9	7.73	3.38	2.79	0.2877286973631882	2.45	1.28	0	0.273
Ken Forsch	87	5	R	77	1	7	5.73	4.79	0.3570772775582383	3.74	2.81	0.23	0.332
Jim O&#39;Toole	87	0	L	76.7	0.9	7.67	4.46	3.87	0.3506588791633082	4.58	3.87	0.23	0.32
Mel Rojas	87	5	R	75.7	0	1.61	2.85	2.02	0.2956604829765531	3.69	2.73	0.12	0.279
Raisel Iglesias	87	0	R	74.3	0	1.58	4.85	3.51	0.3537050815694118	3.15	2.06	0	0.355
John Franco	84	0	L	74	0	1.48	5.23	4.38	0.3447247964537656	2.31	3.16	0	0.314
George Weidman	85	0	R	73	0.9	7.3	4.32	4.19	0.3288863730145572	1.73	1.6	0.25	0.308
Roberto Hernandez	84	0	R	72	0	1.44	4.75	3.62	0.3620638745680868	3.25	4.75	0.12	0.335
Rube Walberg	85	5	L	69	1	7.67	3.65	2.87	0.3164997430285213	3.39	3.26	0.13	0.293
Chris R. Young	86	0	R	69	0	1.64	4.17	2.74	0.3323554535404755	2.87	4.43	0.13	0.314
Dan Bankhead	74	0	R	69	1	7.67	5.61	4.57	0.3576320430913996	2.87	4.83	0	0.333
Brad Radke	82	0	R	66	0.208	2.75	4.91	3.55	0.3367194252797662	2.45	1.64	0.14	0.317
Yu Darvish	83	0	R	65.3	0.636	5.94	5.1	3.86	0.3448973028563138	2.89	3.72	0.14	0.318
Jake Peavy	83	1	R	65	1	8.12	3.05	2.22	0.30083955206197	4.29	2.77	0.14	0.281
Tony Watson	87	5	L	64.3	0	1.17	2.66	2.1	0.2967361529531545	4.2	3.36	0.28	0.274
Didier Fuentes	79	0	R	63	0.889	7	3	2.71	0.3117915936653435	3.57	2	0.14	0.269
Rick Reuschel	83	0	R	61.7	1	6.86	6.86	3.94	0.361889734043625	2.33	4.23	0.29	0.316
Walt Masterson	82	0	R	58.3	1	8.33	3.4	2.47	0.2766619072309452	3.24	2.93	0.15	0.237
Edward Cabrera	71	0	R	55.7	0.625	6.96	4.2	2.42	0.3223533834695213	2.75	2.91	0	0.296
Luis Arroyo	84	5	L	55.7	0	1.24	2.75	2.75	0.2753447118079811	4.04	4.36	0.16	0.244
Brett Cecil	89	0	L	54.7	0	1.4	5.1	4.77	0.3480762707558077	5.27	2.3	0	0.369
Gary Lucas	86	0	L	52.7	0	1.6	3.07	2.73	0.3109625742199947	3.24	0.85	0.17	0.31
Pete Vuckovich	81	0	R	52	1	6.5	6.75	6.06	0.3932937409801412	4.5	3.29	0.52	0.365
Jose Soriano	74	0	R	51	1	7.29	5.29	4.76	0.3614603378711079	4.59	3.53	0.35	0.337
Steve Hamilton	89	5	L	51	0	1.55	3.71	3	0.3261357699370565	3.18	1.76	0.18	0.326
Barney Schultz	85	0	R	50.7	0.2	3.38	5.5	4.08	0.3368316268928592	3.91	2.66	0.53	0.304
Norm Charlton	81	5	L	50.7	0	1.81	2.84	2.31	0.2828239193638443	3.91	3.02	0.18	0.244
Hod Eller	86	5	R	50.3	0.308	3.87	4.47	3.04	0.3327109957856932	2.33	2.86	0.18	0.293
Justin Nicolino	55	5	L	50.3	1	8.38	4.29	4.12	0.3016814336700633	0.89	1.61	0.18	0.28
Casey Mize	85	0	R	49.7	0.714	7.1	4.35	2.54	0.3110648864215604	4.16	4.53	0.36	0.271
Slim Sallee	80	0	L	48.3	0	2.01	5.4	4.1	0.3795436627499772	1.12	2.42	0.37	0.342
Rudy May	82	5	L	47.7	0.026	1.22	4.34	3.58	0.3252165497582128	4.72	2.45	0.38	0.309
Ken Sanders	68	0	R	47.3	0	1.53	3.81	2.85	0.3278971273869974	1.33	2.09	0.57	0.283
David Bednar	86	0	R	46.3	0	1.4	3.3	3.3	0.3260781440504151	5.64	2.72	0.78	0.291
Booker McDaniel	82	0	R	46	0	1.31	4.7	4.3	0.3429727590245208	4.3	4.3	0.59	0.313
Steve Rogers	85	5	R	45	0.833	7.5	3	2.8	0.2818275702968757	3.2	2.2	0.2	0.255
Phil Niekro	86	0	R	42	0.231	3.23	7.71	7.29	0.3893631911135977	1.71	1.93	1.07	0.333
Walter Johnson	86	5	R	41	0.222	4.56	4.83	4.39	0.3747266836933666	3.07	1.98	0.66	0.361
Jim McDonald	86	5	R	41	0.833	6.83	4.83	3.73	0.3663175072684527	1.32	3.29	0	0.337
Chad Cordero	74	0	R	41	0	1.46	2.63	2.41	0.2733943571776153	3.95	1.1	0.44	0.259
Ted Blankenship	83	0	R	39	0.444	4.33	3.92	3.92	0.3359118369377714	3	2.77	0.23	0.315
Justin Wrobleski	83	0	L	36	0.667	6	4.5	3.25	0.3105829389604989	4.25	1.5	0	0.317
Kris Bubic	86	0	L	36	0.333	4	3.5	3	0.3211004418644303	3	1.5	0.25	0.315
Trey Yesavage	80	0	R	36	0.714	5.14	7.25	6.75	0.3461471439165211	2.75	3	0.25	0.313
Tom House	81	0	L	36	0	1.09	3.25	2.5	0.2943854273775526	4	1.25	0	0.302
Larry Christenson	79	5	R	35.7	1	8.93	2.27	2.27	0.272036273618014	3.28	1.01	0.25	0.263
Hideki Okajima	81	5	L	35.7	0	1.43	3.28	3.28	0.3164897232249952	2.52	3.28	0	0.288
Ad Lankford	80	0	R	35.3	0.167	1.96	6.37	4.84	0.3926580751560664	5.1	2.8	0	0.414
Johnny Niggeling	78	5	R	34.3	1	6.86	6.3	5.25	0.3840907533302251	4.99	5.51	0.79	0.333
Matt Brash	83	0	R	33.7	0	1.53	3.2	3.2	0.3018422710539879	3.2	2.4	0	0.289
Kyle Hendricks	82	0	R	31.7	0.333	3.52	6.25	5.96	0.4108714684186254	1.99	3.41	1.14	0.331
Ron Reed	85	0	R	31.7	0	1.44	5.68	5.39	0.3353985091574309	3.97	1.99	0	0.33
Jonah Tong	77	5	R	30.7	0.75	7.68	2.05	1.47	0.2677717981523046	4.4	1.47	0	0.265
Alex Vesia	81	0	L	29.3	0	1.54	2.46	2.46	0.223390536387037	4.91	2.76	0	0.202
Ron Reed	85	5	R	29.3	0	1.54	4.91	4.91	0.3549239209287672	3.69	2.15	0	0.343
Pat Neshek	85	5	R	29.3	0	1.47	1.84	1.84	0.2148994831375686	3.69	2.15	0	0.213
Luke Hamlin	84	5	R	28	0.143	4	6.75	4.5	0.3524245292145575	6.11	1.29	0.64	0.366
Connie Johnson	85	0	R	27.7	0.286	3.96	5.2	3.57	0.3456836412498902	3.9	3.57	0	0.34
Andy Porter	84	5	R	27.7	1	6.92	3.57	2.6	0.3187149276986748	3.57	1.3	0	0.333
Preacher Roe	85	5	L	26.3	0	2.02	0.34	0.34	0.1299410370730388	2.05	1.03	0	0.123
Seth Morehead	78	0	L	26.3	0	1.88	2.05	2.05	0.2534856242879864	3.08	4.11	0	0.2
Tug McGraw	85	0	L	26	0	1.62	4.15	1.73	0.3192710272627189	3.12	2.77	0.35	0.309
Shane Smith	80	0	R	25.3	1	8.43	3.56	2.85	0.3128151177333821	3.56	1.07	0.36	0.286
Jason Isringhausen	85	0	R	25.3	0	1.33	2.85	2.85	0.2864911931860326	3.2	1.42	0.36	0.276
Ray Brown	85	0	R	25.3	0	2.11	5.69	5.34	0.4256672106360388	1.78	3.56	0.36	0.396
Bill Caudill	81	5	R	25.3	0	1.69	4.62	4.27	0.355385492614323	4.98	4.62	0	0.349
Barney Schultz	85	5	R	25	0	2.78	3.24	2.52	0.2910053877492929	2.88	2.52	0.36	0.276
Bob Miller	69	0	L	24.7	0	1.45	3.64	2.19	0.3401532745188581	1.82	1.46	0.36	0.327
Rube Walberg	85	0	L	23.7	1	7.9	4.18	3.42	0.3654384580644965	3.8	3.04	0	0.368
Mitch Keller	72	0	R	22.3	0	4.46	5.65	4.44	0.3389378247756903	2.83	1.21	0.4	0.305
Sid Monge	80	0	L	22	0	1.38	3.68	2.86	0.2669015846996292	4.5	2.45	0	0.271
Rudy May	74	0	L	21.7	0.5	5.42	0.83	0.83	0.1934518192939465	4.15	1.66	0	0.177
Alejandro Pena	81	5	R	21	0	1.62	9	8.57	0.4274364986023962	3.86	1.29	0.86	0.373
Jeremiah Estrada	82	0	R	20.7	0	1.22	6.96	6.96	0.3997102254857502	4.35	3.91	0.87	0.338
Rafael Betancourt	83	0	R	20.7	0	1.72	6.09	5.65	0.3914547439763166	3.04	1.74	0.43	0.372
Ramon Hernandez	81	0	L	19.3	0	1.48	2.8	2.33	0.3482261882559962	2.8	1.4	0.47	0.338
Jakie May	72	0	L	19.3	1	6.43	4.66	4.66	0.33499787091723	3.73	2.8	0.47	0.319
Carlos Rodon	82	0	L	19	1	9.5	0.95	0.47	0.3081685140586326	6.63	2.84	0	0.323
Landen Roupp	81	0	R	18.7	1	9.35	2.41	1.44	0.2709816314751394	2.89	0.96	0	0.281
Sandy Consuegra	85	5	R	18.7	0	1.34	3.37	2.89	0.2956983897871147	1.93	0.96	0.48	0.25
Jesse Duryea	64	5	R	18	0	1.8	2	2	0.3365183847557664	2.5	3	0	0.309
Andy Porter	84	0	R	18	0.4	3.6	4.5	4	0.3439470222177796	2.5	2.5	0	0.308
Dave Stieb	89	1	R	18	1	9	4	3.5	0.284205363685029	3.5	3	0	0.281
Carlos Rodon	82	0	L	17.3	1	5.77	8.32	7.28	0.3611866835155365	4.68	5.2	0.52	0.333
Juan Pizarro	77	0	L	17	1	8.5	2.65	0.53	0.2479977790762385	3.18	4.76	0	0.224
Steve Ontiveros	82	3	R	17	1	8.5	2.65	1.59	0.2670520763701265	2.12	2.65	0	0.237
Hideki Okajima	81	0	L	16.3	0	1.36	3.31	3.31	0.2711573806857008	2.76	4.42	0.55	0.218
