# CAP key=goldcapdaily__20260314 role=hit label=Gold Cap Daily type=Daily env=current variants=all_cards obsval=40-89 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=648 rows=648
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Chick Hafey	LF	89	0	R	7197	0.2946562593815671	0.3386625886278326	0.5457820474332032	0.3728799373875581	5.9	20.5	31.5	0.319	44.7	4.44	-0.4	4.24	4.177
Matt Wieters	C	82	0	S	5716	0.261633519984553	0.3231739358906989	0.3919675613052713	0.315046496969478	8	17.7	15.2	0.291	27.4	3.77	0	-4.14	3.044
Earl Webb	RF	72	0	L	5633	0.2633679169992019	0.3378354362893193	0.420391061452514	0.3327583841534581	9.7	21.7	11.4	0.315	42.3	2.5	-0.79	2.96	1.726
Nico Hoerner	2B	48	0	R	5631	0.2540936235792718	0.2997328584149599	0.3207474475052977	0.2776872892601565	5.8	15.8	1.7	0.295	21.5	10.95	-0.48	-0.02	0.469
Kevin Alcantara	CF	76	5	R	4808	0.2674664784756528	0.3439649781113196	0.4653022818160433	0.3496314422630106	10.1	24.6	25.7	0.307	36.7	2.88	-0.59	2.91	4.093
Kevin Alcantara	CF	76	0	R	4755	0.2529029261495588	0.3169548713622944	0.456572224802601	0.3335092183604724	8.1	27	27.5	0.296	38.5	5.25	-0.71	2.76	2.852
Ken Berry	LF	55	0	R	4444	0.2436724565756824	0.2941176470588235	0.3563275434243176	0.2869380844900915	6	19.1	9	0.283	31.2	4.58	-0.49	3.7	0.81
Bobby Witt Jr.	SS	83	5	R	4096	0.2791127541589649	0.3193934947419907	0.4724055980987589	0.33790436344503	5.6	16.2	24	0.292	34.1	12.22	1.95	4.22	4.512
Edgardo Alfonzo	2B	79	0	R	4012	0.2741130820399113	0.3395802098950525	0.4506651884700665	0.3429747483884362	8.5	20	16.7	0.313	40.7	2.48	-0.73	0.63	3.843
Carson Williams	SS	87	0	R	3950	0.2371813234030364	0.319634703196347	0.4308221140074477	0.3260696425622084	10.2	31.5	25.2	0.295	38.6	7.5	-1	1.85	3.813
John Donaldson	P	89	0	L	3873	0.2435682326621924	0.2895903991651448	0.3889821029082774	0.2961882469147946	5.4	22.1	15.2	0.286	34.4	8	-0.48	-0.42	-0.139
Prince Fielder	1B	87	0	L	3868	0.278462441314554	0.3542798034652185	0.4445422535211268	0.3485676924851401	10.3	17.8	20	0.303	32	1.32	0	-4.19	1.644
Jason Heyward	RF	57	0	L	3846	0.2607326846021751	0.3159958180867747	0.3606182026330853	0.3006573327289727	7.2	15	6.9	0.293	26.2	9.21	-0.8	2.56	1.092
Ken Griffey Jr.	CF	84	0	L	3708	0.2645278450363196	0.3367539832568188	0.4137409200968523	0.3299042645858413	9.4	20.9	16	0.305	33.5	0.68	-0.6	0.65	2.621
Gregg Jefferies	1B	84	5	S	3601	0.302562519296079	0.3665648430991391	0.4430379746835443	0.3549530573216341	9	10.2	14.5	0.314	26.6	7.66	0.88	2.57	3.149
Ichiro Suzuki	CF	88	0	L	3577	0.2957875457875458	0.3441011235955056	0.3763736263736264	0.3198320559026491	6.4	13.2	5.2	0.33	18.7	11.6	1.24	5.03	3.086
Spoony Palm	C	79	0	R	3415	0.2867877269881027	0.3231402528668039	0.5231684408265498	0.3583876017790151	4.8	16.2	30.4	0.294	42	6.23	-0.14	0.67	4.357
