# CAP key=goldcapdaily__20260314 role=pit label=Gold Cap Daily type=Daily env=current variants=all_cards obsval=40-89 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=547 rows=547
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	3916	1	6.66	3.66	3.33	0.287473621118744	6.88	2.65	0.63	0.28
John Donaldson	89	0	L	2295.7	1	6.5	3.66	3.38	0.2887373765614341	8.5	1.86	0.7	0.306
Jake Peavy	83	5	R	2005.3	0.997	6.49	3.38	3.15	0.2833610638379609	9.28	2.26	0.66	0.302
Roger Clemens	79	0	R	1906.7	1	6.07	3.77	3.4	0.2923538603802027	7.88	2.3	0.7	0.295
Dan Bankhead	74	0	R	1648.3	1	5.87	4.18	3.93	0.3054665847089201	8.73	3.67	0.8	0.297
Mike Marshall	57	0	R	1513	0.008	1.45	4.07	3.68	0.3071539461804413	7.58	3.6	0.74	0.296
Bob Miller	69	0	R	1393.7	1	5.96	4.13	3.89	0.3053377272089961	6.72	2.82	0.68	0.297
George Hunter	40	0	L	1240	0.004	1.63	5.67	5.22	0.3659467221182863	6.35	3.61	1.77	0.311
Reed Garrett	49	0	R	1185.3	0	1.32	3.8	3.38	0.301666219152589	8.6	4.17	0.58	0.302
Bobby Witt Jr.	83	5	R	1114.3	0.985	5.66	4.24	3.87	0.3102856949213385	10.04	4.37	0.74	0.314
Jakie May	72	0	L	1078	1	5.8	4.2	3.95	0.299541809148949	8.52	3.2	0.83	0.293
Jake Peavy	83	0	R	1009.3	1	6.08	3.5	3.18	0.2880138586566203	8.98	2.6	0.73	0.297
Shane Reynolds	81	5	R	997.3	1	6.52	4.14	3.75	0.2936133532598453	7.15	1.59	0.69	0.304
Brian Fisher	43	0	R	947.7	0.04	1.58	5.16	4.72	0.344963780449433	4.98	3.14	1.27	0.295
Daniel Norris	40	0	L	941.3	0.007	1.63	5.46	4.98	0.3509398538688123	5.72	3.74	1.36	0.298
Dan Bankhead	74	5	R	936	1	6.2	3.54	3.22	0.2812097439359046	9.34	3.23	0.65	0.285
Tom Cheney	78	5	R	930	1	6.12	3.83	3.62	0.2943495993675151	7.65	1.61	1.41	0.262
Tom Seaver	56	0	R	865	0.502	3.84	4.63	4.3	0.3211748677338789	7.15	3.16	1.15	0.29
Steve Trout	68	0	L	832.3	0.979	5.86	3.98	3.7	0.3051528150028804	7.14	2.37	0.77	0.304
Dave Stieb	89	0	R	812	1	6.66	3.71	3.45	0.278079442678481	7.63	2.29	0.73	0.27
Bobby Witt Jr.	83	0	R	807	1	5.76	4.12	3.89	0.3085339332913756	9.5	4.74	0.77	0.294
Andrew Miller	40	0	L	781.3	0	1.25	5.46	4.98	0.3525783299324902	5.3	5.25	1.37	0.275
Julio Teheran	79	5	R	773	1	6.61	3.11	2.82	0.2700166614323318	5.69	1.93	0.71	0.255
Satchel Paige	68	0	R	750.3	0.551	3.79	3.8	3.54	0.2946389688421907	9.51	2.85	0.82	0.304
Mark Fidrych	84	0	R	723	1	7.23	3.86	3.54	0.2869089751690456	5.29	1.49	0.76	0.274
Dwight Bernard	40	0	R	697	0.002	1.24	5.54	5.32	0.3671214105884517	6.39	4.3	1.41	0.321
Jakie May	72	5	L	676.7	1	5.94	4.08	3.7	0.2975879692164664	8.86	2.79	0.61	0.314
Jim Kaat	87	5	L	667	0.99	6.41	3.82	3.6	0.2955297572878776	9.2	1.78	0.99	0.309
Pedro Martinez	51	0	L	615	0	1.02	4.45	4.24	0.3218459086126572	7.52	4.29	1.1	0.285
Dave Stieb	65	5	R	601	0.835	5.51	4.13	3.77	0.305194296492918	7.65	2.92	1.03	0.282
Roric Harrison	40	0	R	590.7	0.092	1.94	6.09	5.55	0.3701278358725872	4.56	3.44	1.69	0.301
