# CAP key=goldquick__20260313 role=hit label=Gold Quick type=Quick env=current variants=all_cards obsval=40-89 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=338 rows=338
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Matt Wieters	C	82	0	S	13143	0.2447074512418737	0.2994203782794387	0.3678946491081847	0.2925083279317972	6.8	22.5	15	0.287	27	3.27	0.01	-3.36	3.255
Yu Chang	SS	89	0	R	12398	0.2514136581122227	0.2961133603238866	0.3913875598086125	0.299137831109543	5.6	23.3	14.8	0.301	32.7	5.5	-0.48	1.2	2.337
Carson Williams	SS	87	0	R	11126	0.2150024838549429	0.2799457994579946	0.3656234475906607	0.2832182363438426	7.8	33	18.3	0.282	34.6	11.88	0.58	1.03	2.961
Chick Hafey	LF	89	0	R	10973	0.2690673875265495	0.3014511271333394	0.4764433288279591	0.3319339223457093	4.2	21.3	24.4	0.3	42.5	5.82	-0.37	3.65	2.307
Ken Griffey Jr.	CF	84	0	L	10538	0.2551702527679131	0.315203955500618	0.3803008147064967	0.3050604182573691	7.5	22.7	13.7	0.305	29.1	1.13	-0.47	-0.83	1.765
Tony Phillips	LF	88	0	S	9982	0.2515440763615946	0.3247691690084303	0.3319483436271757	0.293638555723877	9.4	22.3	5.7	0.311	23.3	0.96	-0.8	1.91	0.884
Steve Finley	CF	89	0	L	9221	0.252145292112378	0.2967841071232576	0.3645233337251675	0.2888586198965812	5.3	16.6	6.4	0.291	28.9	22.78	2.32	4.12	1.601
Tino Martinez	1B	87	0	L	8102	0.2494887525562372	0.3097913322632424	0.398091342876619	0.3082750221310515	7.6	16.7	19.9	0.263	29.8	1.1	-0.21	-1.21	1.311
Prince Fielder	1B	87	0	L	7558	0.2502185951617604	0.3122932380574302	0.3888079277178665	0.3063175024645989	7.9	18.6	16.8	0.277	30.3	1.35	0	-4.27	0.445
Travis Bazzana	2B	87	0	L	7110	0.2439176543980038	0.3109421208280524	0.3791328758577667	0.3026073344690684	8.5	19	11.2	0.28	33.2	15.58	-0.41	3.17	1.283
Ichiro Suzuki	CF	88	0	L	6985	0.2758094074526573	0.3104490500863558	0.3535430665852168	0.2912394353468716	4.3	14.7	4.2	0.315	18.9	20.18	2.37	4.61	1.941
Dick Groat	SS	89	0	R	6433	0.2737355066375399	0.3164794007490637	0.3918669131238448	0.3079879710676965	5.6	11.4	4.9	0.299	31.9	15.03	-0.59	0.9	3.32
David Ross	C	88	0	R	6112	0.2330539358600583	0.2981181908220535	0.3338192419825073	0.2805111150372877	8	24.5	6.5	0.294	32	2.93	0	-3.02	2.533
Cecil Cooper	1B	89	0	L	5878	0.2920464700625559	0.3157894736842105	0.4684539767649687	0.3364236741881564	2.8	14.8	21.3	0.309	32.7	6.55	-0.09	1.41	3.399
Jimmie Hall	CF	88	0	L	5508	0.2310469314079422	0.2921840759678597	0.412354592860008	0.3058031842403259	7.7	24.2	23.5	0.26	37.8	8.26	-0.57	1.68	1.394
Ernie Banks	SS	83	0	R	5276	0.2302363488182559	0.2770398481973435	0.3675631621841891	0.281814358537525	5.6	20.1	17.9	0.256	30.2	5.57	-0.11	-1.64	1.285
Danny Tartabull	RF	87	0	R	5012	0.2249506687130015	0.2891061452513967	0.4018855514141635	0.2989681296251864	7.8	36.4	22.4	0.306	40.4	4.34	-0.14	-1.45	0.227
Yu Chang	SS	89	5	R	4926	0.25909592061742	0.3075667958392821	0.4006615214994487	0.3074050766618813	6.3	22.4	14.4	0.308	32.6	6.01	-0.41	0.86	3.118
Sid Gordon	3B	89	0	R	4809	0.220979020979021	0.2967124427798585	0.3713286713286713	0.2940374667375776	9.4	19.2	19.5	0.237	34.3	2.46	0	-0.12	0.062
Lonny Frey	2B	88	0	L	4679	0.2186978297161936	0.2776080314273243	0.2933460529453852	0.2551762805639555	7.2	19.4	4.7	0.261	22.6	15.46	1.58	1.58	0.975
Pablo Sandoval	3B	84	0	S	4672	0.2597042513863216	0.3033226152197213	0.4048059149722736	0.3071506970586443	5.6	18	15	0.289	32.7	7.07	-0.06	-0.4	3.082
Roy White	LF	89	0	S	4613	0.2420091324200913	0.3082429501084599	0.3753905311223263	0.3002651767676196	8.4	16.3	15.3	0.262	28.9	9.62	0.13	4.29	0.403
Carson Williams	SS	87	5	R	4526	0.2308440768669424	0.2921373200442968	0.4142544393091705	0.3064500300334677	7.6	32.3	22.1	0.295	38.1	16.02	0.09	0.74	3.884
Ossie Bluege	3B	89	0	R	4394	0.2495557248032496	0.3085450346420323	0.3226707286113227	0.2805306450260625	7.5	14.8	1.4	0.287	23.8	14.53	-0.25	3.74	2.376
Gregg Jefferies	1B	84	0	S	4155	0.2826597131681877	0.32956186807896	0.3934810951760104	0.3159373715918035	6.5	11.3	12.4	0.298	22.4	4.12	0.09	1.13	1.877
Eduardo Quintero	CF	88	0	R	3890	0.2557741659538067	0.3200928553004901	0.3960650128314799	0.3124821479217471	8.4	23.6	11.1	0.313	32	21.25	1.05	3.79	2.807
Andrew McCutchen	CF	83	0	R	3874	0.2410508083140878	0.3129357087529047	0.3680715935334873	0.2997754242084741	8.8	20.8	13.9	0.277	29.6	5.26	-0.28	2.04	0.914
Lorenzo Cain	CF	84	0	R	3848	0.2727770177838577	0.3000260213374967	0.4153214774281806	0.3086504569327796	3.5	19.7	14	0.315	31.1	10	1.26	4.6	2.807
Eddie Joost	SS	89	0	R	3726	0.2071384990848078	0.2876489707475623	0.3316046369737645	0.2760624169967286	9.4	29.9	14.8	0.263	31.5	4.67	-0.29	-1.92	0.966
Carl Crawford	LF	81	0	L	3700	0.263599537037037	0.3014925373134328	0.4178240740740741	0.3104052808524099	4.7	18.8	13.8	0.3	33	20.6	0.66	2.58	1.265
Roy Campanella	C	86	0	R	3629	0.2351351351351351	0.2852015461071231	0.4141141141141141	0.3020272446484972	6.3	23	25.1	0.257	35	6.57	-0.08	-2.07	3.191
