# CAP key=goldquick__20260313 role=pit label=Gold Quick type=Quick env=current variants=all_cards obsval=40-89 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=221 rows=221
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	8642.3	0.924	5.9	4.02	3.7	0.3014100952338173	6.38	2.8	0.7	0.29
Dave Stieb	89	0	R	4626.3	0.962	6.1	3.87	3.57	0.2965427987421509	7.46	2.32	0.83	0.293
Jim Kaat	87	0	L	3760.7	0.763	5.3	3.75	3.54	0.3024898380311326	8.14	1.63	0.98	0.31
Old Hoss Radbourn	89	0	R	3217.7	0.965	6.2	4.49	4.26	0.3226037775965416	7.1	2.07	1.57	0.279
John Donaldson	89	0	L	3077	0.731	5.1	3.67	3.43	0.297547079484669	7.88	2.13	0.7	0.313
Dave Brown	89	0	L	2844.3	0.692	4.71	4.45	4.08	0.3174379744867885	8.16	2.71	1.1	0.311
Mark Fidrych	84	0	R	2763	0.948	6.58	3.79	3.48	0.2966927203227191	4.69	1.59	0.86	0.272
Satchel Paige	87	0	R	2207.3	0.551	4.1	3.96	3.73	0.3064036246498032	7.99	2.22	1.35	0.279
Luis Arroyo	84	0	L	2040	0	1.48	3.19	2.95	0.27864471466958	8.04	3.27	0.71	0.274
A.J. Burnett	86	0	R	2006	0.654	4.99	3.93	3.62	0.3002728753231015	8.75	3.87	0.72	0.3
Elmer Rodriguez	89	0	R	2005.3	0.612	4.25	3.86	3.59	0.2977632986796235	7.46	3.44	0.7	0.287
Chris Hammond	89	0	L	1672.7	0.009	1.17	3.96	3.67	0.3057974449588763	6.83	3.57	0.76	0.29
Tony Watson	87	0	L	1627.3	0.02	1.07	4.37	4.03	0.320995050355518	6.56	2.89	0.81	0.317
Madison Bumgarner	88	0	L	1600	0.658	4.97	4.28	3.98	0.3126232360274656	7.94	1.86	1.3	0.294
Shane Reynolds	81	5	R	1437.7	0.675	5.19	3.74	3.38	0.2951850418537267	7.17	1.6	0.67	0.31
Old Hoss Radbourn	89	5	R	1350	1	6.72	3.89	3.64	0.2967219991504497	7.65	1.85	1.31	0.27
Jim Kaat	87	5	L	1270	0.866	6.32	3.69	3.41	0.2931392081271733	8.8	1.59	0.93	0.309
Dave Righetti	85	0	L	1243.3	0.011	1.67	3.39	3.03	0.2815133286993299	7.67	2.31	0.63	0.292
Jake Peavy	83	5	R	1208.7	0.834	5.42	4.24	3.93	0.3057961521925777	8.94	2.63	0.88	0.314
Tyler Clippard	88	0	R	1200.7	0.017	1.26	3.61	3.4	0.2955208196607723	8.6	3.43	0.73	0.295
Robby Snelling	81	5	L	1012	0.842	5.92	3.35	2.94	0.2804636197421404	8.87	2.71	0.62	0.297
Elmer Rodriguez	89	5	R	984.7	1	5.86	4.15	3.77	0.2985526794534542	7.83	3.46	0.75	0.291
Madison Bumgarner	88	5	L	978.7	1	6.66	3.8	3.6	0.2961375905865307	8.38	1.77	1.07	0.293
Teddy Higuera	89	0	L	948.7	0.443	3.75	4.26	4.03	0.3237121798304725	7.72	2.95	1.42	0.288
Steve Hamilton	89	0	L	910.7	0.028	1.39	3.56	3.33	0.296575609522429	7.51	2.32	0.78	0.301
Ben Brown	89	0	R	848.7	0.993	5.93	4.64	4.35	0.3201141497162373	7.53	2.78	1.09	0.304
Warren Spahn	84	0	L	827.3	0.836	5.44	4.72	4.41	0.3249727206844588	4.51	1.97	1.15	0.284
Clay Holmes	89	0	R	799	0.669	4.73	4.62	4.26	0.320313020951854	6.57	2.57	0.99	0.301
Bob Veale	89	0	L	775.3	0.89	5.31	4.52	4.23	0.3195109951907641	7.96	4.46	0.75	0.31
Michael Soroka	89	0	R	759.3	0.969	5.93	4.71	4.43	0.3221910370403024	7.24	2.39	1.36	0.288
Jake Peavy	83	0	R	713.3	0.606	4.32	4.23	3.96	0.3029510968642096	8.42	2.85	0.76	0.311
Dave Brown	89	5	L	699	0.601	5.07	3.72	3.32	0.2981315760697639	8.47	2.1	0.9	0.307
Brandon Sproat	88	0	R	669	0.838	5.15	4.6	4.3	0.3347763789310803	6.89	2.69	1.49	0.298
Robby Snelling	81	0	L	667	0.628	4.07	4.21	3.99	0.3151772329668425	8.57	3.2	0.97	0.31
Al Worthington	86	0	R	650.7	0	1.32	3.33	3	0.2809300123728634	8.09	2.92	0.68	0.286
Shawn Armstrong	88	0	R	633.7	0.002	1.16	3.51	3.15	0.3005771662592595	6.41	2.39	0.68	0.296
Mark Buehrle	84	0	L	581	0.808	5.59	3.92	3.72	0.3117925237452954	5.11	1.89	1.05	0.287
Hod Eller	86	5	R	568.3	0.746	4.82	4.72	4.43	0.3222453907395388	9.09	2.07	1.28	0.316
Mariano Rivera	89	0	R	561	0.057	1.28	3.4	3.26	0.2942452924309986	9.13	2.07	1.12	0.298
Tom Burgmeier	83	0	L	526.3	0.005	1.36	3.78	3.39	0.2971381548942322	6.79	2.21	0.72	0.299
Hunter Harvey	89	0	R	522	0	1.12	3.31	3.09	0.3025261200377959	7.29	2.38	0.84	0.306
Jim O&#39;Toole	87	0	L	522	0.456	3.55	4.78	4.5	0.3248553790086504	6.98	3.02	0.84	0.318
Tom Henke	85	0	R	492	0.071	1.2	3.11	2.93	0.2868120913155754	7.54	2.93	0.68	0.286
Mel Rojas	87	0	R	472.7	0	1.32	3.79	3.31	0.3001135600354712	7.98	2.76	0.88	0.301
Dylan Lee	89	0	L	465	0	1.22	3.77	3.43	0.2972252320448829	9.39	2.34	1.1	0.304
Yu Darvish	83	0	R	460.7	0.596	4.43	3.63	3.48	0.2948785485786878	9.34	2.64	1.04	0.294
Adrian Morejon	89	0	L	447.3	0	1.06	3.7	3.42	0.2990809914218562	8.15	2.54	1.09	0.292
Hod Eller	86	0	R	439	0.463	3.57	4.53	4.37	0.3145523382867491	8.65	2.19	1.27	0.309
Andres Munoz	88	0	R	425	0	1.26	3.24	2.94	0.2933520731746009	9.53	2.86	0.97	0.297
Brad Radke	82	5	R	420.7	0.579	4.43	3.57	3.47	0.2888115218611598	5.48	1.48	0.64	0.286
A.J. Burnett	86	5	R	417.3	1	5.72	4.29	3.84	0.3138881750908972	9.47	3.77	0.65	0.331
Pat Neshek	85	0	R	401.7	0	1.11	3.14	2.98	0.2870412872745987	9.28	1.75	1.34	0.27
Tom Niedenfuer	88	0	R	401.7	0	1.35	3.63	3.32	0.2904919209767811	7.51	2.71	1.17	0.258
C.J. Wilson	87	0	L	393	1	6.05	3.57	3.39	0.2964626851257999	8.15	2.47	0.76	0.307
Steve Ontiveros	82	0	R	391.3	0.931	5.43	4.95	4.55	0.3393142915231125	4.53	2.16	1.08	0.307
Robert Suarez	89	0	R	387.3	0	1.21	4.11	3.6	0.3135137180964715	7.11	2.56	0.88	0.312
Shane Reynolds	81	0	R	383	0.902	6.28	3.34	3.03	0.2853730856057559	5.83	1.53	0.75	0.278
Jim Brewer	78	0	L	382.3	0	1.19	3.25	3.08	0.2918701161139592	9.65	2.4	1.25	0.286
Jim O&#39;Toole	87	5	L	365.3	1	6.09	4.41	4.04	0.3088919519136942	7.37	2.44	0.76	0.309
Bobby Witt Jr.	83	0	R	360	0.112	2.52	2.98	2.8	0.2742237711045668	8.4	3.62	0.48	0.268
Jonathan Broxton	85	0	R	353.3	0.084	1.24	4.56	4.28	0.322145385223322	9.04	3.57	0.94	0.336
Edwin Diaz	88	0	R	302.3	0	1.19	2.89	2.8	0.2940893285405358	10	2.68	1.01	0.307
Shawn Armstrong	88	5	R	294	0	1.06	2.85	2.72	0.2817872988202021	6.55	2.36	0.8	0.272
Dennis Martinez	85	0	R	286	0.377	3.71	3.87	3.37	0.3083916982732213	4.5	2.3	0.69	0.291
Carlos Lagrange	84	0	R	279.3	0	1.42	3.71	3.35	0.3028461229494419	8.83	5.19	0.9	0.274
River Ryan	84	5	R	274	0.94	5.48	3.51	3.25	0.2904146139940998	8.41	2.82	0.82	0.283
Steve Hamilton	89	5	L	257	0	1.28	3.22	2.63	0.2820898715759627	8.19	2.31	0.77	0.289
Walter Johnson	86	0	R	254.7	0.449	3.69	5.09	4.95	0.3325182434960249	7.63	2.93	1.13	0.319
Tiny Bonham	82	5	R	253	1	6.02	5.98	5.26	0.3541589915202609	6.62	1.21	1.71	0.327
Brett Cecil	89	0	L	238	0	1.03	3.29	2.95	0.300946463404224	9.08	3.25	1.02	0.294
Sean Newcomb	89	0	L	235.7	0.014	1.67	4.28	3.82	0.3176145934523348	7.06	2.79	0.88	0.305
Nolan McLean	87	0	R	230.3	0.841	5.23	4.1	3.95	0.3177853726169982	8.6	2.58	1.41	0.291
David Aardsma	80	0	R	230.3	0.067	1.29	3.99	3.87	0.3096624753520956	7.23	3.48	0.82	0.297
Jack Kramer	89	0	R	228.3	0.702	4.86	5.76	5.4	0.3382232166569521	7.17	2.96	1.26	0.307
Jonathan Broxton	85	5	R	218	0	1.23	2.77	2.52	0.2654159126202905	9.66	2.6	0.66	0.277
Mario Soto	83	0	R	210.3	0.22	2.31	4.88	4.75	0.3453830110165302	9.2	2.65	2.14	0.287
Dave Stieb	89	5	R	206.3	1	6.45	3.88	3.32	0.2945080939907168	7.24	2.14	0.83	0.288
Dan Quisenberry	84	0	R	205	0	1.9	4.35	4.21	0.3122258109987996	2.55	2.11	0.53	0.287
Chris Hammond	89	5	L	194	0	1.19	2.83	2.69	0.2656034814449678	7.1	3.48	0.51	0.25
Al Hrabosky	88	0	L	187	0	1.36	3.9	3.56	0.3028607388670734	8.52	3.03	0.82	0.318
Jesse Barnes	88	0	R	184	0.771	5.26	4.74	4.16	0.3225559599607763	4.7	1.52	0.98	0.304
Tiny Bonham	82	0	R	183.7	0.903	5.93	4.02	3.92	0.3153327971028313	4.41	1.08	1.47	0.264
Hilton Smith	88	0	R	183.3	0.436	3.33	5.55	5.2	0.3585222070219637	2.41	2.36	1.47	0.287
Luis Arroyo	84	5	L	182.7	0	1.51	3.3	3.1	0.2981134704737393	8.08	3.4	0.79	0.297
Rhett Lowder	87	5	R	167.3	0.643	5.98	4.63	4.47	0.3121407296452924	7.37	1.45	0.86	0.321
Randy Jones	83	0	L	164	1	6.07	5.87	5.43	0.3439933680526218	2.3	2.09	0.82	0.312
Gary Lavelle	82	0	L	163	0	1.61	3.92	3.26	0.3043194012444305	9.06	3.04	0.66	0.327
Rhett Lowder	87	0	R	160.7	0.4	3.57	4.37	4.03	0.3254615263022873	7.67	2.41	1.12	0.316
Mario Soto	83	5	R	159.3	1	5.9	4.18	4.01	0.3058952395670583	8.64	2.6	1.58	0.261
Tug McGraw	85	0	L	157.7	0	1.45	3.2	2.91	0.285659637660074	6.45	2.63	0.68	0.279
Norm Charlton	81	0	L	157.3	0	1.36	4.52	3.95	0.3054901494242152	9.15	4.63	1.03	0.28
Jason Isringhausen	85	5	R	153.3	0	1.21	3.82	3.7	0.3097732520336189	7.98	3.52	0.65	0.322
Hod Lisenbee	88	0	R	143.7	0.231	2.76	3.88	3.51	0.3033170929005064	7.45	2.82	0.88	0.293
Brad Radke	82	0	R	142.7	0.361	3.96	3.47	3.28	0.3014254473526172	4.67	1.77	0.63	0.29
Sandy Consuegra	85	0	R	139.3	0.074	2.05	5.75	4.85	0.3511073229768686	3.23	1.62	1.16	0.32
Gary Lucas	86	0	L	138.3	0	1.5	4.43	3.97	0.3274075550308982	6.05	1.95	0.78	0.33
Wally Bunker	82	5	R	135.7	1	5.9	4.38	4.05	0.3239251443831645	3.78	2.65	1.06	0.281
Bill Holland	87	0	R	135	0.415	3.29	4.27	4	0.3128792756771703	6.27	1.73	1.07	0.291
Dennis Martinez	85	5	R	127.3	1	6.06	4.38	3.89	0.3243954169060349	4.24	1.56	1.56	0.264
River Ryan	84	0	R	126	0.204	2.57	3.5	3.36	0.2981146806969052	7	3.5	0.71	0.283
Max Manning	87	0	R	122.3	0.905	5.82	3.53	3.53	0.2836583915836994	6.33	2.58	0.81	0.256
Raisel Iglesias	87	0	R	120.7	0	1.17	4.92	3.95	0.3330434583072849	7.38	2.16	1.49	0.31
Tanner Scott	86	0	L	118.7	0	1.28	3.34	2.96	0.3032640474255478	8.87	2.2	1.59	0.277
Bobby Witt Jr.	83	5	R	117.7	0.235	2.31	5.2	4.74	0.3281755329634732	9.48	5.35	0.61	0.339
Evan Meek	80	0	R	116.7	0	1.36	4.78	4.47	0.3362851188521637	6.17	3.01	1.31	0.293
