# CAP key=goldslotsdaily__20260314 role=hit label=Gold Slots Daily type=Daily env=current variants=all_cards obsval=41-89 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=578 rows=578
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Matt Wieters	C	82	0	S	10824	0.2592705786471068	0.3192297009536154	0.3970048899755501	0.3154832511818447	7.7	19.9	17.3	0.293	27.9	2.68	-0.02	-2.87	3.503
Chick Hafey	LF	89	0	R	10664	0.2751109318273497	0.3162393162393162	0.4732755143202904	0.3395963464070743	5.4	20.7	23	0.307	39.9	5.61	-0.52	3.45	2.976
Yu Chang	SS	89	0	R	8707	0.2556014519964952	0.3065634388721978	0.3935411190386782	0.3075290244689667	6.5	22.4	14.8	0.303	31	6.16	-0.36	0.96	2.467
Carson Williams	SS	87	0	R	8608	0.2119402985074627	0.2824382824382825	0.3608046722907203	0.2848556017074885	8.4	31	18.2	0.268	33.2	15.31	0.4	1.28	2.677
Ken Griffey Jr.	CF	84	0	L	7411	0.2573430743998807	0.3201244252096294	0.3948113910839421	0.3157883397961315	8	23	16.1	0.305	30.1	0.96	-0.37	0.82	2.996
Willie McGee	CF	79	0	S	6549	0.2585624698504583	0.2882938026013772	0.3982955459077022	0.2979354010493742	3.6	19.5	8.9	0.305	32.5	29.06	1.75	4.15	2.464
Prince Fielder	1B	87	0	L	6080	0.2601776461880089	0.3338818495968405	0.4178386380458919	0.3306619128276655	9.6	19.3	20.5	0.285	30.4	2.11	0	-4.74	1.273
Travis Bazzana	2B	87	0	L	5904	0.260727969348659	0.338135593220339	0.4086206896551724	0.3288070708913803	10.2	17.5	12	0.293	34.3	14.78	-0.11	4.08	2.754
Ichiro Suzuki	CF	88	0	L	5513	0.2663159945451004	0.3070063694267516	0.3510617572569648	0.2918956251125334	5.2	15.1	5.3	0.303	21.7	13.47	1.26	4.64	2.253
Tino Martinez	1B	87	5	L	5382	0.2571191020577843	0.3265192343430589	0.4425275410517564	0.3343606807408706	9.1	15.8	24.6	0.262	35.4	2.74	-0.03	-1.44	2.453
Bobby Bonilla	RF	84	0	S	4976	0.2470720720720721	0.3191232656344259	0.4322072072072072	0.3279781979433242	9.1	21.5	24.5	0.269	36.4	4.26	-0.55	0.12	3.147
Kevin Alcantara	CF	76	5	R	4396	0.2332164328657315	0.2956462274903123	0.3840180360721443	0.2982393511799582	7.7	27.5	18	0.286	33.4	8.68	-0.81	1.76	1.843
Tino Martinez	1B	87	0	L	4352	0.2462044534412955	0.3075155136750172	0.409665991902834	0.3134049791883095	7.8	16.9	22.1	0.258	33	1.56	-0.34	-1.78	1.062
Zack Cozart	SS	83	0	R	4248	0.2672847682119205	0.3411071849234393	0.4288741721854304	0.3376401601778978	9.7	18.5	17.7	0.296	31.2	14.29	-0.37	-0.28	3.912
Danny Tartabull	RF	87	0	R	3977	0.2354253835425384	0.3052552175006286	0.4259414225941422	0.3184415213799908	8.7	35.4	23.4	0.316	42.1	5.07	-0.29	-0.66	0.981
Yu Chang	SS	89	5	R	3834	0.2521613832853026	0.3133977539827631	0.3979827089337176	0.3123057417590486	7.8	23	14.6	0.299	34.9	4.92	0.23	0.89	3.005
Dick Groat	SS	89	0	R	3496	0.2659176029962547	0.3115462136481428	0.3720349563046192	0.3006540593413789	6.1	12	3.3	0.293	31.5	12.69	-0.48	2.32	2.609
Edgardo Alfonzo	2B	79	0	R	3471	0.2321256813081116	0.2953488372093023	0.3603719140750241	0.2907919213141159	7.8	21.3	11.9	0.271	35.5	1.95	-0.54	0.4	2.437
Kevin Alcantara	CF	76	0	R	3441	0.2208848405985686	0.2933450087565674	0.3513337670787248	0.286289820212323	8.8	29.4	16.7	0.278	29.5	4.5	-0.77	3.16	0.907
Steve Finley	CF	89	0	L	3239	0.2481456507080243	0.296875	0.356372218476062	0.2885888774149019	6.1	16.9	7.2	0.285	27.3	20.9	2.85	4.21	2.019
Carson Williams	SS	87	5	R	3180	0.2260007084661707	0.3034700315457413	0.385759829968119	0.3043397006799351	9.4	31	19.1	0.287	34.2	14.22	0.19	0	3.736
Robin Yount	SS	83	5	R	3040	0.2609791216702664	0.3153212520593081	0.4103671706263499	0.3170526688227244	7.1	17.4	16.2	0.287	32.4	6.81	-0.51	1.38	3.276
Pablo Sandoval	3B	84	0	S	3030	0.2631390775831248	0.3096497025776603	0.410439756882374	0.3147091141605397	5.8	17	16.2	0.288	31.9	5.53	-0.2	-0.46	3.248
Ken Berry	LF	55	0	R	2942	0.2467435802009676	0.2896288588276101	0.3457387420915519	0.2813668722296595	5.3	20	8.2	0.292	26.8	4.49	-0.86	2.63	0.979
Eduardo Quintero	CF	88	0	R	2897	0.2392661982825917	0.3174108688127379	0.3704137392661983	0.3058982970975639	9.8	22.6	10.8	0.287	33.9	11.54	1.53	4.87	2.713
Gregg Jefferies	1B	84	5	S	2856	0.2818217205138186	0.3446584938704028	0.3982094200077851	0.3283409247590371	8.4	11.6	12	0.298	24	6.32	1.18	3.17	2.416
Cecil Cooper	1B	89	0	L	2787	0.2854990583804143	0.3078304597701149	0.4418079096045198	0.3236405006078831	3	15.8	18.3	0.309	31.1	3.81	-0.19	1.16	2.153
Curtis Granderson	CF	75	0	L	2724	0.2336182336182336	0.2950333580429948	0.3638583638583638	0.2910774837177313	7.3	25.1	11.7	0.288	30.7	21.59	0.29	3.61	1.432
Jimmie Hall	CF	88	0	L	2716	0.222037422037422	0.2997416020671835	0.4029106029106029	0.3077529942491123	9.4	23.8	21.9	0.247	39.7	11.79	-0.35	2.56	2.386
Brian Dozier	2B	88	5	R	2672	0.2453760789149199	0.3046904315196998	0.4332100287710645	0.3198199488980666	7.6	19.8	22.9	0.265	39.5	7.2	1.35	0.99	3.57
Sid Gordon	3B	89	0	R	2628	0.2089487402258905	0.2990476190476191	0.3279756733275413	0.2836924946170133	10.6	19.6	15.3	0.23	28.9	0.72	-0.11	0.25	-0.32
Tony Phillips	LF	88	0	S	2622	0.2450155073105893	0.3436426116838488	0.3145768719539211	0.3020862561426592	12.6	23.3	4.8	0.308	20.6	0.88	-0.5	1.1	1.693
Danny Tartabull	RF	87	5	R	2407	0.2588505747126437	0.3241895261845387	0.4832183908045977	0.3483520032721744	8.5	33.2	28.9	0.331	43.5	4.49	-0.12	-2.27	2.268
Spoony Palm	C	79	0	R	2383	0.2545126353790614	0.2886247877758913	0.444043321299639	0.3146513721424799	4.4	18.1	23.2	0.27	38.5	8.76	-0.15	-0.1	1.611
Bobby Witt Jr.	SS	83	5	R	2315	0.2614530310041647	0.3019031141868512	0.4127718648773716	0.3107660186986799	5.1	16.1	14.8	0.286	30.8	22.41	2.88	4.51	4.225
Robin Yount	SS	83	0	R	2307	0.25	0.2908695652173913	0.409683426443203	0.3045229977972543	5	17.2	15.6	0.274	37.4	10.95	-0.68	0.44	2.549
Howard Johnson	3B	84	5	S	2149	0.2401883830455259	0.3168685927306617	0.423338566195709	0.3237240666185584	9.7	29.3	22.6	0.294	39	5.03	-0.14	2.9	2.848
Willie Keeler	RF	77	0	L	2122	0.3058419243986255	0.3278301886792453	0.4491899852724595	0.3363876385163948	2.7	7.5	7.6	0.319	27.9	36.78	-0.4	2.74	2.46
George Lombard Jr.	SS	86	0	R	2102	0.2126068376068376	0.2891221374045801	0.3637820512820513	0.2891874776242258	9.4	31.3	17.1	0.272	39.4	3.82	-1.57	2.2	1.313
Richie Scheinblum	RF	87	0	S	2096	0.2708887706226716	0.3398661567877629	0.3964874933475253	0.3264299407389916	9.1	12.2	11.5	0.289	28.7	6.85	0	-2.58	1.317
Owen Caissie	RF	78	0	L	2051	0.2282905516111415	0.303370786516854	0.3571818678317859	0.2950423566847941	9.2	30.6	14.9	0.298	30.9	3.88	-0.7	-1.55	-0.205
Rogers Hornsby	2B	83	0	R	2040	0.2583892617449665	0.3436426116838488	0.4116331096196868	0.3342696147818995	11.1	18.8	14.4	0.292	37.2	2.33	-0.44	-1.47	2.647
Ken Henderson	LF	85	0	S	2026	0.2420066152149945	0.3136769078295342	0.3743109151047409	0.3052541543489534	8.9	18.9	11.5	0.277	34.6	6.58	0.06	1.98	1.51
Dan Pasqua	LF	79	0	L	2022	0.2410514541387025	0.3207920792079208	0.3803131991051454	0.3111241340618116	9.9	31.8	18.1	0.315	29.2	0.79	-0.15	-2.55	0.386
Jackie Robinson	2B	79	0	R	2012	0.250828729281768	0.3068756319514661	0.3569060773480663	0.2950167488865988	6.5	16.1	7.5	0.284	28.2	10.94	-0.66	3.73	1.223
Brian Dozier	2B	88	0	R	1987	0.2285242290748899	0.2831903079252903	0.394273127753304	0.2956787545963515	6.7	23.1	21.4	0.256	35.2	8.9	0.82	2.08	1.872
Willie McGee	CF	79	5	S	1945	0.2755046372067649	0.3089598352214212	0.4233496999454446	0.3174846952665304	4.2	17	9.6	0.315	31.5	31.45	1.33	3.49	3.64
Ernie Banks	SS	83	5	R	1920	0.2441926345609065	0.2980719124544033	0.3858356940509915	0.3004243021395003	6.9	17.5	16.9	0.266	31.3	5.19	0	-0.66	2.906
Earl Webb	RF	72	0	L	1906	0.2456546929316338	0.3079348397267472	0.3534183082271147	0.2945284269267768	8	21.3	6.6	0.298	31.8	6.67	-0.63	1.64	0.189
John Donaldson	P	89	0	L	1901	0.2236547085201794	0.2594164456233422	0.3643497757847534	0.2713231888995689	4.2	25.1	16.7	0.267	34.6	5.07	-0.28	-1.8	-1.073
Woodie Held	SS	79	0	R	1858	0.2173913043478261	0.2947539210383991	0.3538647342995169	0.2885308205720489	9.1	29.4	14.5	0.278	34.7	8.8	0	-1.94	0.904
Jonathan Schoop	2B	67	0	R	1799	0.2443519619500595	0.2823790994997221	0.3953626634958383	0.2949679541034144	4.8	24.6	18.7	0.288	34.3	0.71	-0.33	-2.6	1.668
Steve Finley	CF	89	5	L	1794	0.2619926199261993	0.3183098591549296	0.3874538745387454	0.3109024230281363	7.1	14.4	7	0.293	31.2	21.8	2.24	3.24	3.144
Lorenzo Cain	CF	84	0	R	1753	0.25181598062954	0.2897889332572732	0.3795399515738499	0.2930680953389026	4.6	19.8	11.3	0.294	31.5	10.69	2.77	3.15	2.67
Eddie Joost	SS	89	5	R	1722	0.2292225201072386	0.3234438627108784	0.3880697050938338	0.3163521417438117	11.3	26.6	18.8	0.273	36	4.88	-0.94	-0.91	2.404
Andre Dawson	CF	77	5	R	1706	0.2501563477173233	0.2871403405754551	0.4152595372107567	0.3040898626306022	4.1	22.1	18.6	0.287	33.5	17.91	-0.32	5.17	2.427
Orlando Cabrera	SS	89	5	R	1663	0.2353714661406969	0.2859733978234583	0.3149243918474688	0.2682473788475665	6.4	13.2	5.1	0.26	24.9	4.49	0.51	2.56	1.515
Jack Burdock	2B	87	0	R	1632	0.2639527248850952	0.305334150827713	0.4097176625082075	0.3115518044640904	5.5	21.4	13.6	0.311	32.8	12.12	-0.51	0.59	3.456
David Ross	C	88	0	R	1565	0.2247838616714697	0.2976113621691414	0.3069164265129683	0.2737048954020118	9	25.7	3.1	0.294	29.8	5.38	0.08	-4.18	0.613
Carson Benge	RF	82	0	L	1547	0.2538677918424754	0.3048543689320388	0.3783403656821379	0.300099456009331	6.5	22.1	11.2	0.304	28.8	14.42	0.19	4.42	1.745
Gregg Jefferies	1B	84	0	S	1527	0.3010057471264368	0.3569089718402096	0.4245689655172414	0.3448239417590271	7.4	11.5	13.4	0.319	23.6	5.05	0.16	3.54	3.379
Ivan Rodriguez	C	76	0	R	1520	0.2296028880866426	0.2833553500660502	0.3364620938628159	0.275395260138323	6.8	21.4	9.5	0.272	29.9	5.26	-0.71	0.28	0.474
Braden Montgomery	RF	74	5	S	1440	0.2532818532818533	0.3160839160839161	0.4386100386100386	0.3286241825775982	8.1	23.6	20	0.294	40.5	8.27	-0.33	0.67	2.667
Felipe Lopez	SS	68	5	S	1438	0.2546875	0.3216783216783217	0.3875	0.3130583567663243	8.8	23.4	13.8	0.304	28.2	13.04	-0.58	-2	1.46
Willard Brown	RF	88	0	R	1416	0.263677811550152	0.303914590747331	0.4141337386018237	0.3128085803170768	5.1	21.1	18.6	0.302	30.8	2.8	-0.93	0.42	1.61
Luis Castillo	2B	73	0	S	1411	0.2612540192926045	0.3253275109170305	0.3319935691318328	0.2958317560475655	8.1	14.7	3.8	0.298	18.2	18.64	-0.38	2.93	1.999
Jimmy Rollins	SS	69	0	S	1398	0.226038338658147	0.2999284180386543	0.3554313099041533	0.2922413224582645	9.2	16.9	13.7	0.247	31.8	8.89	-0.52	2.66	2.704
Charlie Condon	1B	79	5	R	1390	0.2119428090832632	0.3181818181818182	0.3448275862068966	0.3001729781472725	12.9	28.9	13.8	0.268	36.5	2.17	-0.09	-1.34	0.647
Dylan Beavers	RF	87	5	L	1388	0.2656376929325752	0.3374188896899784	0.4232331437855402	0.3333124594051468	9.8	16.6	17.7	0.286	30.6	12	0.43	3.11	2.248
Dave Harris	LF	67	0	R	1384	0.2100977198697069	0.2884195193008012	0.3762214983713355	0.2931459691747626	9.5	26.7	18.2	0.25	42.2	10.09	-1.17	-0.09	-0.434
Howard Johnson	3B	84	0	S	1317	0.2464494569757728	0.3105542900531511	0.4653299916457811	0.3346845696983392	8.1	30	29.2	0.296	43.4	4.69	-0.18	3.96	2.187
Nico Hoerner	2B	48	0	R	1302	0.2185154295246038	0.2656370656370656	0.2777314428690575	0.2446101735913006	5.5	17.2	1.8	0.257	20.6	16.67	-0.23	-2.3	-0.599
Juan Uribe	SS	66	0	R	1246	0.2314189189189189	0.2560581583198708	0.3800675675675675	0.2735164338782793	3	25.8	12	0.288	36.9	24.75	-0.87	-0.77	1.156
Charlie Condon	1B	79	0	R	1217	0.2022367194780988	0.2859504132231405	0.3094128611369991	0.2701779643883437	9.9	30.8	11.8	0.265	29.5	4.69	-0.15	-2.02	-1.331
Buddy Bell	3B	85	0	R	1207	0.2818261633011414	0.312603648424544	0.398595258999122	0.3110168802089057	4.1	13.4	8.9	0.309	26.8	12.79	-0.5	1.54	3.728
Roy White	LF	89	0	S	1206	0.2586691658856607	0.3369294605809129	0.4245548266166823	0.3332183930002287	10.4	16.1	17.9	0.277	33.7	12.9	-0.1	1.54	2.139
Oscar Charleston	CF	89	0	L	1199	0.2188081936685289	0.2724167378309137	0.3482309124767226	0.2737322565646593	6.3	22.1	13	0.254	35.7	3.57	-0.15	0.2	-0.35
Jeff Blauser	SS	88	0	R	1167	0.2555023923444976	0.3182608695652174	0.3827751196172249	0.3113108007534488	7.1	24.3	14.4	0.311	27.3	5.48	0.21	2.62	1.902
Tim McCarver	C	68	0	L	1166	0.2518796992481203	0.3092783505154639	0.4050751879699248	0.3121691744342264	6.9	10.5	8.2	0.267	35.8	36.46	-0.72	0.21	1.492
Al Simmons	CF	89	5	R	1143	0.2427366447985005	0.2865907099035934	0.3898781630740394	0.2961028389072478	4.9	21.6	14.7	0.283	35.5	9.78	-1.21	-0.84	0.315
Lonny Frey	2B	88	0	L	1141	0.2378592666005946	0.3066666666666666	0.33201189296333	0.2867799632499139	8.6	17.3	8.9	0.269	21.2	19.61	1.95	1.63	2.051
Javier Baez	2B	78	0	R	1120	0.260707635009311	0.2841823056300268	0.4013035381750465	0.297324295204619	2.8	20	11.8	0.306	32.5	17.58	-0.27	2.89	2.464
Bobby Witt Jr.	SS	83	0	R	1102	0.2760617760617761	0.3163636363636363	0.4237451737451737	0.323637736676032	4.7	14.8	18.5	0.296	26.2	13.33	0.11	3.65	3.757
Tony Lazzeri	2B	89	0	R	1080	0.234504132231405	0.2952830188679245	0.3915289256198347	0.30180285894674	7.2	30.9	20	0.299	31.7	11.11	-0.83	0	2.389
Gil McDougald	SS	85	0	R	1079	0.2484599589322382	0.3030869971936389	0.3521560574948665	0.2904175758442807	7	20.8	7.8	0.296	26	15.87	-0.83	2.61	2.391
Roy Campanella	C	86	0	R	1075	0.2348178137651822	0.288515406162465	0.4200404858299595	0.3084319858924094	6.6	21.6	27.3	0.25	35.8	2.41	-0.84	-0.95	1.842
