# CAP key=goldslotsdaily__20260314 role=pit label=Gold Slots Daily type=Daily env=current variants=all_cards obsval=43-89 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=479 rows=479
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	5881.3	0.999	6.38	3.79	3.41	0.289831207597238	6.54	2.88	0.69	0.273
Dave Stieb	89	0	R	3516.3	0.984	6.3	3.89	3.62	0.2960164353637831	7.54	2.39	0.75	0.294
John Donaldson	89	0	L	3294.3	0.985	6.11	3.95	3.6	0.2992415994961281	7.97	2	0.83	0.305
Jake Peavy	83	5	R	2532	1	6.09	3.43	3.18	0.2841588224722936	8.75	2.47	0.73	0.294
Old Hoss Radbourn	89	0	R	2425.7	1	6.33	4.34	4.07	0.3157813227428943	7.24	2.16	1.44	0.277
Jim Kaat	87	0	L	2168	0.966	6.23	3.74	3.45	0.3004374897246948	8.31	1.77	0.99	0.303
Mike Marshall	57	0	R	1788.3	0.001	1.75	4.09	3.8	0.3134305774917905	7.44	3.34	0.78	0.305
Mark Fidrych	84	0	R	1724.7	0.931	6.63	3.68	3.32	0.2909786427836122	4.8	1.84	0.84	0.262
Madison Bumgarner	88	5	L	1642	1	6.62	3.88	3.48	0.2983605570524043	8.24	1.9	1.16	0.284
A.J. Burnett	86	0	R	1530.3	0.915	5.89	3.92	3.59	0.2914366987454494	8.7	3.9	0.54	0.294
Elmer Rodriguez	89	5	R	1336	1	5.99	3.4	3.11	0.2827936284133033	7.51	3.27	0.64	0.267
Dave Brown	89	0	L	1329.3	0.921	5.83	4.03	3.66	0.3005134736121448	8.08	2.63	0.97	0.288
Jim Kaat	87	5	L	1294.7	1	6.28	3.83	3.55	0.2945904785364536	8.63	1.65	0.95	0.304
Jim Brewer	78	0	L	1239.3	0	1.18	3.38	3.13	0.2893785137114734	8.85	2.51	1.18	0.272
Satchel Paige	87	0	R	1041.7	0.579	4.13	4.04	3.82	0.3048598705731109	7.82	2.25	1.12	0.284
Johnny Niggeling	78	5	R	970.7	1	6.22	3.84	3.52	0.2982274555635787	8.4	4.35	0.84	0.268
Roger Clemens	79	0	R	869	0.737	4.57	4.05	3.65	0.3029609450347731	7.29	2.88	0.86	0.287
Bob Miller	69	0	L	838.3	0.004	1.52	3.83	3.49	0.3039071360856577	4.99	2.71	0.65	0.284
Dan Bankhead	74	0	R	836.3	0.362	3	4.04	3.77	0.319705364757389	8.46	4	0.79	0.313
Satchel Paige	68	0	R	832.7	0.052	1.74	3.76	3.49	0.3050791463013634	8.94	3.61	0.72	0.31
Jake Peavy	83	0	R	813.7	1	5.85	4.1	3.68	0.3079100936588398	8.46	3.24	0.87	0.3
Old Hoss Radbourn	89	5	R	786	1	6.78	3.85	3.53	0.289965496228985	6.98	2.28	1.04	0.262
Bobby Witt Jr.	83	5	R	767.7	0.984	5.95	4.1	3.69	0.2968990794720299	9.45	4.31	0.6	0.298
Julio Teheran	79	0	R	706.3	0.452	3.59	4.54	4.32	0.3267288883568379	5.01	2.88	0.97	0.292
Hilton Smith	88	0	R	654	1	6.17	4.47	4.14	0.3153942325605754	3	1.93	0.76	0.278
Adam Cimber	69	0	R	644.7	0	1.16	4.27	3.92	0.3296742244898483	6.59	3.87	0.87	0.307
Bob Miller	69	0	R	589	0.04	1.67	3.93	3.62	0.3126979639217844	6.45	3.12	0.53	0.311
Dave Brown	89	5	L	574.7	1	6.05	4.07	3.73	0.3167281788169674	8.75	2.83	1.05	0.312
Didier Fuentes	79	5	R	571.7	0.412	3.23	4.27	3.98	0.309766843128309	9.07	2.19	1.02	0.318
Elmer Rodriguez	89	0	R	541.7	0.877	5.11	4.37	4.05	0.3136606290674274	7.99	3.8	0.9	0.296
Madison Bumgarner	88	0	L	527.7	0.952	6.28	4.35	3.96	0.3060762262711549	8.39	2	1.4	0.282
Teddy Higuera	89	0	L	520	1	6.19	4.45	4.15	0.3222775899793113	7.77	2.99	1.42	0.282
Yu Darvish	83	0	R	515	0.872	5.48	4.4	4.23	0.3143325883834691	8.93	2.85	1.19	0.296
Hod Eller	86	5	R	514.7	1	6.28	3.88	3.72	0.3036751319933225	8.62	1.82	1.26	0.291
Tom Cheney	78	5	R	502	0.481	3.77	4.23	4.03	0.3117952913253841	7.35	1.95	1.51	0.267
Warren Spahn	84	0	L	499.7	0.95	6.25	3.85	3.66	0.313731082847976	4.77	2.14	0.95	0.281
Robby Snelling	81	5	L	489	0.988	5.69	4.18	3.88	0.2973457425260557	8.32	2.78	0.85	0.292
Steve Ontiveros	82	0	R	486.7	1	6.08	4.09	3.79	0.3040414785577227	3.96	2.03	1.18	0.247
