# CAP key=ironquick__20260313 role=hit label=Iron Quick type=Quick env=current variants=all_cards obsval=40-59 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=428 rows=428
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Willy Adames	SS	59	0	R	39770	0.2268547402685474	0.2750113287347062	0.4051539400515394	0.2978463951125174	5.8	28.8	24	0.271	40.2	0.65	-0.21	1.89	3.319
Jason Heyward	RF	57	0	L	31707	0.2598570040261002	0.3176135464472227	0.3611342496182146	0.3025830077399949	7.4	13.4	6.9	0.287	26.2	11.25	-0.77	3.22	1.552
Ken Berry	LF	55	0	R	29874	0.2624549267790124	0.3183821797503281	0.3832879534917948	0.3112557147545948	7.1	17.2	11.2	0.297	28.8	5.7	-0.57	3.46	2.398
Troy Glaus	3B	58	0	R	22185	0.2244070233083479	0.31020168749718	0.3982955128863333	0.3141567941331151	10.6	26.3	21.2	0.261	39.7	4.84	-0.33	1.79	2.269
Jackie Robinson	1B	58	0	R	15962	0.2626220652399751	0.3205427579678132	0.3958722903248147	0.3163128448339822	7.5	14.5	13.1	0.284	29.8	8.58	0.2	3.36	1.74
Aaron Boone	3B	59	0	R	15695	0.2398936532824323	0.2743431221020093	0.3711227759220124	0.2836686797423997	4.1	19.1	13.3	0.272	32	8.87	0.07	1.27	2.057
Gregg Zaun	C	59	0	S	13196	0.2294824882383691	0.3180713743356112	0.3384736016727653	0.2968994941493461	11.1	16.8	9.1	0.257	31.4	2.78	-0.07	-4.13	2.101
Tom Herr	2B	58	0	S	12886	0.2673353685128653	0.3405842137973897	0.3597034452682076	0.3136625535773629	9.6	16.6	3.9	0.312	27.7	5.31	2.36	-0.2	2.044
Nico Hoerner	2B	48	0	R	9266	0.2565253336482816	0.3100943293939065	0.3214834061651116	0.2833455143275011	6.8	15.1	1.2	0.297	20.8	13.27	-0.63	1.47	1.379
Will Venable	RF	59	0	L	9232	0.2142261408316454	0.2726676145685223	0.3364708685809603	0.2723048685354107	6.8	28	14.6	0.268	30	6.67	-0.38	0.32	-0.832
Jim Tabor	3B	54	0	R	9074	0.2711984005645067	0.3069623744896833	0.4772433258849818	0.339323203458892	4.7	19.1	27.8	0.288	37.2	6.06	-0.17	1.3	3.981
Freddy Galvis	SS	58	0	S	8903	0.2520218839200761	0.2820049672612328	0.3912940057088487	0.2950187742240828	3.6	23.6	16.3	0.3	31.8	2.08	-0.09	-1.09	2.783
Matt Davidson	1B	56	0	R	8696	0.2429869616752272	0.3304958012193719	0.4354010272619518	0.3373053526937334	11.3	28.1	25	0.287	39.9	0	0	-4.83	1.856
Jesus Alou	RF	59	0	R	8433	0.2876712328767123	0.3085979307884409	0.3889165628891657	0.3049715042429252	2.7	7.8	1.4	0.306	30.5	9.65	-0.57	2.02	0.484
Aaron Boone	3B	59	5	R	7924	0.2584134615384616	0.2889704951247309	0.4042467948717949	0.302855032051362	3.9	18.2	14.7	0.29	32.5	11.92	0.08	1.46	2.991
Lou Brock	CF	51	5	L	7886	0.280726063461272	0.334517766497462	0.451988360814743	0.3434559818017598	7	20.1	14.1	0.327	36.5	17.19	-0.41	2.55	3.15
Bip Roberts	2B	59	0	S	7580	0.2360483753460586	0.2939292861907938	0.302491621739764	0.2700979996902056	7	18.5	5	0.279	18	13.01	0.05	2.37	-0.356
Tony Gwynn	CF	58	0	L	7424	0.2688219018494248	0.3109665175545615	0.3580894131352847	0.2967881372798583	5.2	14.3	2.3	0.307	26.4	14.14	-0.05	4.01	0.946
Esteban Quiroz	2B	56	5	L	6834	0.2736156351791531	0.3370440896440604	0.4097719869706841	0.3294051000762638	8.4	17.8	14.4	0.306	28.9	4.74	-0.18	-0.41	1.844
Joe Scott	1B	54	5	L	6622	0.2332709007321641	0.311884935654807	0.4093308360292865	0.3179096668284823	9.9	20.1	15.9	0.262	40.5	23.24	-0.14	-1.28	1.477
Gus Zernial	LF	59	5	R	6356	0.2679727427597955	0.3165512901195721	0.4747870528109029	0.3440100212361443	6.2	23.1	30.1	0.295	34.3	6.67	-0.05	-2.01	1.86
Grady Sizemore	RF	53	5	L	6140	0.2684636118598383	0.3282268578878748	0.4159928122192273	0.327959142893607	7.8	16.6	15.8	0.294	31.8	4.63	-0.27	0.44	1.27
Taylor Walls	SS	59	0	S	6138	0.2220163083765752	0.3005455447181352	0.3002223869532987	0.2742268947827224	9.5	23.4	3.5	0.281	26.5	10.41	1.07	0.72	0.704
Ron Hansen	SS	58	0	R	6114	0.2285714285714286	0.3158414212863958	0.3231203007518797	0.2907891380806165	11	12.8	8.6	0.245	26.5	1.55	-0.64	1.26	2.287
Tom Herr	2B	58	5	S	5920	0.2751923076923077	0.3548114324370032	0.3790384615384615	0.3278144625764556	10.7	14.3	4.1	0.312	29.9	7.48	2.42	0.53	3.304
Jeimer Candelario	3B	56	0	S	5622	0.2603217677844544	0.3125667497330011	0.3942624539639465	0.3114603801052469	6.7	22.9	8.8	0.32	37.8	3.94	-0.09	-0.54	1.419
Wilmer Flores	1B	59	0	R	5370	0.249500599280863	0.2883504193849021	0.359168997203356	0.2857282977114179	5	9.7	9.9	0.258	29	2.49	0	-2.51	-0.101
Jim Hickman	CF	56	0	R	5069	0.2406371071889798	0.2911067193675889	0.4358588032716315	0.3165706140061594	6.4	21.5	24.9	0.26	43.3	0.62	-0.09	-1.43	1.314
Michael Young	SS	59	5	R	5060	0.24569810498802	0.3064899089829838	0.3552602918754084	0.2955292062952073	7.5	17.3	11.3	0.276	26.7	3.99	0.62	0.76	2.099
Andrew Benintendi	LF	59	0	L	4881	0.247309365697275	0.3151165188698701	0.366155255324021	0.3037423619737344	8.6	20.7	7.9	0.296	33.4	8.31	0.48	0.37	-0.234
Ted Easterly	C	58	0	L	4857	0.2666372851476421	0.3037712391214256	0.3534596738651388	0.2894460793548924	4.7	16.1	0.5	0.314	25.1	26.97	0.09	1.05	0.754
Mike Pagliarulo	3B	56	5	L	4808	0.2358139534883721	0.3062931214718796	0.4209302325581395	0.3199764970487732	8.8	21.5	24	0.256	38.7	5.1	-0.22	-1.73	2.296
David Bell	3B	56	0	R	4680	0.2372962607861937	0.306784027479605	0.3557046979865772	0.2965917390736355	8.7	19.6	13.2	0.269	27.8	4.73	-0.13	-0.35	2.833
Will Venable	RF	59	5	L	4498	0.2524461839530333	0.3111061552185548	0.4280821917808219	0.3242603163842699	7.3	25	21.2	0.297	36.2	6.95	0.11	0.49	2.294
