# CAP key=ironquick__20260313 role=pit label=Iron Quick type=Quick env=current variants=all_cards obsval=40-59 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=342 rows=342
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Tom Seaver	56	0	R	9692.3	0.918	5.79	3.98	3.71	0.3026351119390557	6.92	2.96	0.87	0.279
Mike Marshall	57	0	R	7093.3	0.009	1.65	3.24	2.97	0.2861875932613827	7.99	2.5	0.58	0.298
Joe Krakauskas	57	0	L	5994.3	0.94	5.23	4.01	3.74	0.3000619167519773	9.71	5.2	0.74	0.278
Wilson Alvarez	59	5	L	4805.7	0.962	6.15	4.07	3.78	0.308863011569842	6.68	2.69	0.92	0.287
Wilson Alvarez	59	0	L	4683.3	0.791	4.8	4.32	3.96	0.3179078996091929	6.37	3.17	0.98	0.284
Samuel Deduno	58	0	R	4087	0.625	4.21	3.83	3.54	0.3002389625103815	7.65	2.81	0.69	0.3
Bob Romby	58	0	L	3637	0.709	4.09	3.97	3.63	0.3052051415768907	7.05	3.46	0.88	0.276
Ice Box Chamberlain	58	5	R	3065	0.965	6.26	3.88	3.6	0.2988238473116019	6.88	2.38	0.92	0.28
Vic Sorrell	56	5	R	2944.7	0.843	5.91	4.26	4.01	0.3091706377078006	7.96	2.98	0.84	0.303
Tim Keefe	58	0	R	2679	0.604	4.41	4.52	4.15	0.3255740223473343	7.89	3.21	1.07	0.305
Tim Keefe	58	5	R	2672.7	0.907	6.38	3.8	3.54	0.2965418925997568	8.05	2.56	0.95	0.282
Julian Merryweather	59	0	R	2523.7	0.003	1.16	3.56	3.37	0.3017044759924054	8.21	2.85	0.88	0.297
Bob Bruce	57	5	R	2284	0.834	5.41	4.04	3.76	0.3012929619721694	8.07	3.24	0.99	0.278
Justin Nicolino	55	0	L	2272	0.428	3.48	4.95	4.6	0.3367341078145104	2.31	2.52	0.93	0.282
Vicente Padilla	59	5	R	2173.7	1	6.34	4.15	3.76	0.3058223065592362	5.84	2.07	0.96	0.28
Ice Box Chamberlain	58	0	R	1953.3	0.659	5.09	4.3	3.98	0.3175377113954569	6.76	2.57	1.14	0.287
