# CAP key=latebronze__20260313 role=hit label=Late Bronze type=Daily env=current variants=all_cards obsval=41-69 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=252 rows=252
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Jackie Bradley Jr.	CF	69	0	L	4061	0.247578040904198	0.3033292231812577	0.3614101184068891	0.2974525075317286	7.2	16.1	7.2	0.281	31.5	12.07	1.23	2.36	2.438
Juan Uribe	SS	66	0	R	3678	0.25	0.2688201478237066	0.420662100456621	0.2979054174426179	2.4	16.7	11.3	0.279	37.9	38.55	0.59	1.53	3.85
Felipe Lopez	SS	68	0	S	3501	0.2560250391236307	0.3096533944428531	0.3968701095461659	0.3119681282774764	7.2	14.9	14.4	0.275	30.9	11.46	-0.17	0.67	1.697
Giancarlo Stanton	RF	69	0	R	3011	0.2563370224919672	0.2968386023294509	0.4169939307390218	0.3131104957678543	5.3	20.8	19.3	0.289	33.8	5.35	-0.36	-2.97	1.574
Hyun-soo Kim	LF	68	0	L	2535	0.2515611061552185	0.3222354340071344	0.3331846565566459	0.2972250559948705	9.5	10.9	1.2	0.276	28.4	8.12	-0.31	-1.09	0.97
Leo Cardenas	SS	68	0	R	2522	0.2530434782608696	0.3052	0.4004347826086956	0.3113565687325712	6.8	16.5	8.8	0.287	34.4	32.5	0	0.48	3.616
Jackie Robinson	3B	68	0	R	2296	0.2250996015936255	0.3051519154557464	0.3326693227091633	0.2902233089872268	10.1	8.5	10.7	0.226	25	18.58	-0.91	0.52	1.803
Ketel Marte	SS	68	0	S	2067	0.2569444444444444	0.3169664560038892	0.3344017094017094	0.2954237520887728	8	11.9	1.2	0.287	25.4	12.3	-0.55	1.48	0.958
Dave Harris	LF	67	0	R	2048	0.2447973713033954	0.3124387855044075	0.3921139101861993	0.3097310567689709	8.9	16.2	13.8	0.265	31.8	23.24	-0.26	-0.26	0.557
John Olerud	1B	68	0	L	1757	0.2691576947435085	0.3348519362186788	0.3641545281823939	0.3154591712952728	8.9	10.4	7.2	0.287	24	5.88	0	-3.52	1.571
Tony Fernandez	2B	65	0	S	1616	0.2582159624413146	0.2940438871473354	0.358148893360161	0.2899103492396332	4.8	7.9	9.7	0.263	25.2	0	0.04	0.22	2.042
Tim McCarver	C	68	0	L	1563	0.275671950379049	0.3151825752722613	0.4410751206064783	0.3293187171492029	5.6	4	7.7	0.273	36.5	36.99	0.27	0.92	4.415
Lance Johnson	CF	67	0	L	1555	0.2903225806451613	0.3201555411535969	0.4179821551132464	0.3238649589905864	4.1	6.7	1.2	0.306	27	57.89	-0.23	1.89	3.357
Rick Monday	CF	69	0	L	1525	0.2334293948126801	0.2891803278688524	0.3602305475504323	0.2887293114124042	7.3	21.1	13.4	0.268	28.7	16.13	-0.28	0.55	0.433
Craig Reynolds	SS	68	0	L	1492	0.2565028901734104	0.2848318462594372	0.3497109826589596	0.2812152087695937	3.9	7.3	2.4	0.271	23.4	40.96	-0.76	-3.3	1.367
Mark Bellhorn	2B	64	0	S	1485	0.2615740740740741	0.3387533875338753	0.3873456790123457	0.3243734746845268	10.4	23.4	11.7	0.315	27.7	11.7	-0.2	0.81	1.98
Dave Brain	3B	68	0	R	1426	0.2633895818048422	0.291023842917251	0.4651504035216434	0.3277363884629483	3.4	14.3	22.7	0.272	40.4	15.17	0.67	1.6	4.25
Matty Alou	CF	69	0	L	1412	0.3157498116051243	0.3470254957507082	0.439336850037679	0.3462300506125712	4.6	4.8	2.1	0.325	30.3	21.26	0.81	1.78	3.102
Jackie Robinson	3B	68	5	R	1249	0.2417279411764706	0.3207091055600322	0.3363970588235294	0.2990225684711807	10.6	7.2	10.1	0.24	20.9	10.91	0.38	2.07	2.786
Justin Smoak	1B	69	0	S	1232	0.238615664845173	0.3068181818181818	0.395264116575592	0.3110903811868909	9.2	13.6	21.4	0.236	31.3	2.44	-0.49	-3.99	1.364
Rickey Henderson	LF	68	0	R	1230	0.2272727272727273	0.3040650406504065	0.3127272727272727	0.2826765786086116	10	19.5	7.8	0.267	24.8	0	1.12	2.59	-0.439
Cy Williams	RF	69	0	L	1190	0.2391505078485688	0.2914911541701769	0.3785780240073869	0.295547733751818	7	11.8	18.7	0.237	27.4	8.45	0	-2.22	-0.353
Dmitri Young	DH	64	0	S	1137	0.2607476635514019	0.297273526824978	0.3925233644859813	0.30494474995232	4.8	14.6	14.2	0.282	27.2	14.47	0	-3.38	0.475
Dustin Pedroia	2B	66	5	R	1058	0.2871900826446281	0.3333333333333333	0.4152892561983471	0.3302702273223602	6.6	6.5	7.9	0.292	32.4	6.67	0.79	0.11	4.537
Bill Buckner	LF	64	0	L	1021	0.324847250509165	0.342156862745098	0.4256619144602851	0.3391549616043157	2.7	4.6	4.1	0.333	24.8	7.59	-0.18	4.23	3.408
Jackie Bradley Jr.	CF	69	5	L	980	0.2622020431328037	0.3237997957099081	0.4188422247446084	0.3284829814118705	8.6	17.6	11.6	0.295	37.2	16.28	-0.8	2.27	3.429
Bobby Byrne	3B	69	0	R	937	0.2307692307692308	0.2751895991332611	0.3426573426573427	0.2741207998120737	5.3	7.6	2.6	0.243	27.8	60	-0.77	2.31	0.256
Mickey Tettleton	C	69	0	S	908	0.2299741602067183	0.3274531422271224	0.3385012919896641	0.3019151625392587	13	21.1	11.2	0.265	25.3	11.11	0	-2.31	0.463
Dave Harris	LF	67	5	R	826	0.2793522267206478	0.3426150121065376	0.4912280701754386	0.3617241574062428	8.8	15	22.5	0.289	39.6	15.85	-0.29	-1.16	2.833
Jerry Mumphrey	LF	69	0	S	810	0.2640218878248974	0.3246592317224288	0.3953488372093023	0.3207764036233623	7.9	12.2	8.1	0.285	33.2	15.62	0	-0.96	0.667
Chris Cannizzaro	C	65	0	R	754	0.2626865671641791	0.3306559571619813	0.3656716417910448	0.3125666225053145	9.2	11.2	8.8	0.28	22.7	17.5	0	-2.94	2.785
Brent Mayne	C	67	0	L	741	0.2713864306784661	0.3247282608695652	0.3613569321533923	0.3095645115853228	7	15.6	2.4	0.316	29.3	1.85	-0.4	-6.72	2.51
Craig Reynolds	SS	68	5	L	714	0.2782874617737003	0.3182461103253182	0.4113149847094801	0.3208721910983643	6	6.7	5	0.287	30.2	36.36	0	-0.67	3.613
Andy Seminick	C	66	0	R	693	0.1980982567353407	0.2604920405209841	0.3185419968304279	0.2612516622389178	7.4	16.5	13.9	0.211	32	10	-0.87	-1.65	0.433
Julio Franco	2B	69	0	R	691	0.2491909385113269	0.3187772925764192	0.3462783171521036	0.3025182997472745	8.8	13.1	8.7	0.271	25.3	2.56	-0.43	2.34	2.952
James Loney	1B	64	0	L	654	0.2483660130718954	0.2830769230769231	0.3349673202614379	0.2767342624344316	4.7	10.5	5.5	0.266	26.3	2.5	-0.28	-1.38	-0.183
Duffy Dyer	C	69	0	R	625	0.2231985940246046	0.2746365105008077	0.3620386643233743	0.2822703092322162	6.6	16.9	10.6	0.247	40.9	9.62	0	-2.11	2.016
Dustin Pedroia	2B	66	0	R	618	0.3015873015873016	0.3403908794788273	0.4462081128747795	0.3443731471745116	6.1	6.7	8.7	0.306	33.3	12.28	0.97	4.47	5.631
Larry Gardner	3B	68	0	L	618	0.2908438061041292	0.3430894308943089	0.4290843806104129	0.3384474711027901	7.6	7	1.9	0.305	34.6	30.36	-0.49	0.78	4.175
Ed Morgan	RF	66	0	R	609	0.283609576427256	0.3525535420098847	0.4180478821362799	0.3421432034009457	9.4	13.1	2	0.321	29.9	50	-0.2	0.3	2.365
Felipe Lopez	SS	68	5	S	601	0.2764378478664193	0.3350083752093803	0.4192949907235621	0.3281976542737911	8.5	14.7	12	0.301	30.2	17.78	0.3	0.7	2.296
Joe Morgan	2B	65	0	L	601	0.2093023255813954	0.3128119800332779	0.3333333333333333	0.2944227462662986	13.1	8.7	15	0.202	29.6	6.25	0.2	-0.5	0.3
Byron Buxton	CF	64	0	R	593	0.2900900900900901	0.3208191126279863	0.4738738738738739	0.3465732726780494	4.2	15	15.2	0.317	41	9.09	0.61	5.26	4.958
Jimmy Rollins	SS	69	0	S	577	0.2547892720306513	0.317157712305026	0.417624521072797	0.3263427472030577	8.3	9	21.8	0.244	30.1	7.5	0.1	3.22	4.471
Paul DeJong	SS	68	0	R	568	0.245136186770428	0.3056537102473498	0.3599221789883268	0.2983328179154959	8.1	12.3	13.7	0.255	26.2	0	-0.53	-0.11	2.535
Paul DeJong	SS	68	5	R	563	0.2686274509803921	0.3179396092362344	0.4254901960784314	0.3263653899687551	7.3	12.5	19.2	0.271	28.5	12.82	-0.32	1.28	4.583
Jason Heyward	RF	57	0	L	561	0.2618110236220472	0.3072727272727273	0.3405511811023622	0.291596371135963	5.9	9.1	2.1	0.281	24.1	12.5	-0.53	4.06	1.711
Donald Reeves	RF	69	5	L	543	0.3173652694610778	0.3646408839779006	0.4670658682634731	0.3648927035873895	6.6	8.8	11	0.331	29.6	17.02	0.22	0.33	4.088
Yogi Berra	LF	68	0	L	535	0.2352941176470588	0.2814258911819887	0.3184584178498986	0.2702201574318361	6.2	7.1	10.1	0.235	19.8	0	0	-4.15	0.449
Tim Salmon	RF	65	0	R	529	0.2248394004282655	0.3024574669187146	0.3447537473233405	0.2921576624665588	10.2	18	18.1	0.238	22.9	0	0.23	0.79	-0.227
Roldy Brito	CF	69	0	S	504	0.262472885032538	0.3167330677290837	0.3817787418655098	0.3103523397337166	7.3	11.3	2.4	0.29	28.9	45.71	1.19	2.5	2.976
Tim McCarver	C	68	5	L	502	0.2548596112311015	0.3067729083665339	0.4190064794816415	0.3192760019927925	7.2	6	9.6	0.256	35.6	42.86	-1.31	-4.54	3.108
Daulton Varsho	CF	63	0	L	492	0.2545454545454545	0.3092783505154639	0.375	0.3047014066204671	7.7	13.6	7.3	0.278	29.5	24.24	0.85	0.49	0.854
Tony Fernandez	2B	65	5	S	471	0.2494279176201373	0.2787234042553192	0.3661327231121281	0.2844304602742117	4.5	6.6	15.3	0.238	24.8	0	-0.64	0.25	1.401
Garret Anderson	LF	64	5	L	454	0.2836538461538461	0.3009049773755656	0.3990384615384616	0.3058747651619785	3.1	9.1	5.3	0.296	30.5	11.11	-0.66	1.98	1.454
Rick Monday	CF	69	5	L	449	0.2673267326732673	0.3229398663697104	0.4430693069306931	0.3350069633412511	8	20.5	17.4	0.301	36.1	15.38	0	2.94	3.341
Willson Contreras	C	69	5	R	443	0.251207729468599	0.2934537246049662	0.3381642512077295	0.2832619734790371	5.9	16.9	6.8	0.289	25	0	0	1.76	0.948
Willson Contreras	C	69	0	R	441	0.2439024390243902	0.2938496583143508	0.3341463414634147	0.2827829258557098	5.9	19.8	9.5	0.289	23	0	0.27	1.36	0.952
Wilson Ramos	C	68	0	R	419	0.2701298701298701	0.3140096618357488	0.4	0.3174139415632039	6.2	13.5	14.3	0.288	26.9	7.14	0	2.58	4.01
Troy Glaus	3B	58	0	R	409	0.2150837988826816	0.2878411910669975	0.3826815642458101	0.2970197577294394	9.5	16.8	11.7	0.233	45.5	25.71	-0.44	0	0.44
Ryan Mountcastle	1B	69	0	R	400	0.2257217847769029	0.2475	0.3700787401574803	0.2704394821062261	3	14.7	18	0.232	36	0	0.9	-2.25	-0.75
Gus Williams	RF	68	0	L	396	0.2290502793296089	0.2766497461928934	0.3491620111731844	0.2777647408301244	6.3	13.7	10.6	0.241	29.3	20.83	1.67	1.82	-0.152
Cy Williams	RF	69	5	L	388	0.2124645892351275	0.2809278350515464	0.2861189801699717	0.2562892130706789	8.5	11.6	9.3	0.225	18.7	0	0	-3.4	-2.32
Don Baylor	1B	64	0	R	381	0.2348066298342542	0.2729658792650919	0.3176795580110497	0.2661816324536227	5	9.4	4.7	0.252	25.9	9.09	6.3	2.83	-0.945
Duffy Dyer	C	69	5	R	378	0.2372881355932203	0.2700534759358289	0.3531073446327684	0.2764883659339581	4.2	17.5	9.5	0.27	29.8	16	0	-3.81	1.905
Joe Carter	RF	64	0	R	378	0.2758620689655172	0.3129973474801061	0.4166666666666667	0.3198281829855021	5.8	11.5	12.7	0.287	33.3	3.12	-0.79	3.17	2.698
Mickey Tettleton	C	69	5	S	366	0.2236421725239617	0.3214285714285715	0.4121405750798722	0.325563948963887	12.6	22.4	24.6	0.237	38.6	7.41	0	-1.31	1.475
Brett Butler	CF	64	0	L	364	0.2405063291139241	0.3212290502793296	0.3227848101265823	0.293783953553639	10.2	13	1.6	0.271	21.1	50	0.82	3.63	0.824
Dale Alexander	1B	69	0	R	361	0.2314814814814815	0.3025210084033613	0.2808641975308642	0.2689005187647978	8.6	9.6	0	0.256	20	6.67	1	1.16	-1.163
Mickey Mantle	1B	68	0	S	360	0.2087542087542087	0.3361111111111111	0.3131313131313131	0.3025489829979081	15	19.2	15	0.226	21	0	-0.83	-0.83	0.667
Tim Salmon	RF	65	5	R	353	0.2834394904458599	0.3456090651558074	0.5191082802547771	0.3720568581390348	9.1	12.7	32.3	0.268	34.8	16.13	0.34	-2.89	3.059
Johnny Neun	1B	63	0	S	348	0.2693602693602694	0.3594202898550725	0.3468013468013468	0.3222354476798059	12.4	15.2	0	0.312	21.2	35.29	1.9	3.1	1.897
Mule Haas	CF	69	0	L	341	0.2555205047318612	0.2890855457227139	0.3501577287066246	0.2836074340847518	4.7	8.5	7	0.265	27.2	0	0	-1.23	0.176
Josh Jung	3B	69	0	R	316	0.2862068965517242	0.3417721518987342	0.3862068965517241	0.3238954661459119	7.9	14.5	5.7	0.325	26.5	4.55	-0.57	-4.75	1.709
Bo Bichette	SS	69	0	R	301	0.2490842490842491	0.31	0.3809523809523809	0.3048128416465418	7.6	11	17.9	0.25	26.5	0	0.6	0.8	1.794
Donald Reeves	RF	69	0	L	298	0.2659574468085106	0.2861952861952862	0.4184397163120567	0.3076158718873902	3	12.4	18.1	0.272	30.7	8.7	0	1.41	1.007
Jonathan Schoop	2B	67	0	R	293	0.2518248175182482	0.2798634812286689	0.3321167883211679	0.2725486708906206	4.4	15.7	8.2	0.279	20.3	0	0	-1.84	0.614
Dale Alexander	1B	69	5	R	291	0.2217898832684825	0.3024054982817869	0.2762645914396887	0.2682479403116887	10.3	13.2	0	0.252	24.6	0	-1.03	1.86	-0.412
