# CAP key=latebronze__20260313 role=pit label=Late Bronze type=Daily env=current variants=all_cards obsval=51-69 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=200 rows=200
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Bob Miller	69	0	R	1718.7	0.94	6.09	4.11	3.59	0.3034348829442398	4.5	2.6	0.35	0.291
Satchel Paige	68	0	R	1333	0.737	4.86	4.46	3.81	0.32143600436787	6.02	3.13	0.65	0.298
Dave Stieb	65	0	R	1098.3	0.673	5.6	4.47	3.94	0.3152957683196045	4.7	2.59	0.91	0.274
Rick Mahler	69	0	R	813.7	0.899	6.31	4.79	4.05	0.3273559609612804	4.03	2.37	0.77	0.294
Frank Viola	69	0	L	772.3	0.693	5.64	3.93	3.47	0.3065941521687748	3.68	2.93	0.63	0.271
Rick Mahler	69	5	R	583.7	1	6.79	3.93	3.41	0.2990619716894417	4.18	2.51	0.51	0.272
Steve Trout	68	0	L	582.7	1	6.78	3.98	3.44	0.2941557617008602	4.2	2.05	0.46	0.281
Jack Harshman	69	0	L	461	0.67	4.75	4.55	4.08	0.3260384520136221	5.39	3.9	0.66	0.292
Bob Miller	69	0	L	452.3	0.028	1.8	3.26	2.91	0.2980408621934159	3.82	2.29	0.32	0.291
Dick Lines	69	0	L	434.3	0	1.52	3	2.67	0.2792281045821897	4.08	2.69	0.37	0.263
Steve Barber	69	0	L	429.3	0.75	4.88	5.03	4.44	0.3201920899095955	4.38	3.14	0.63	0.287
Jim Deshaies	67	0	L	425.3	0.892	6.54	3.41	2.73	0.2781440067517391	4.72	2.67	0.34	0.26
Satchel Paige	68	5	R	425	0.91	5.45	4.26	3.83	0.3054324585148585	5.84	2.9	0.57	0.286
Bob Miller	69	0	R	378.7	0.754	5.49	4.3	3.42	0.2969895888918124	1.9	1.66	0.29	0.281
Dave Stieb	65	5	R	375.7	1	7.22	3.59	3.14	0.2884001861907113	4.96	2.47	0.55	0.267
Adam Cimber	69	0	R	341	0	1.74	3.7	2.98	0.3058798000738054	4.57	3.77	0.37	0.285
Frank Lary	67	0	R	329.7	0.824	6.46	4.5	4.18	0.3110985742263104	3.93	1.47	0.9	0.272
Johnny Wright	68	0	R	323	1	6.73	4.96	4.26	0.3425827822439899	3.51	1.92	1.37	0.28
Frank Viola	69	5	L	315.7	1	7.52	3.42	2.94	0.27494781216528	4.19	1.97	0.51	0.253
Andre Pallante	69	0	R	297.3	1	6.07	5.75	4.93	0.3429259545523156	4.15	2.24	0.97	0.302
Chien-Ming Wang	68	0	R	264.3	0.837	6.15	3.98	3.47	0.3075491400049015	1.7	1.57	0.61	0.267
Jack Harshman	69	5	L	247	0.647	4.84	4.15	3.68	0.3119688993012137	6.78	4.15	0.84	0.273
Eric Plunk	69	0	R	242	0	1.42	3.46	3.27	0.3078857541650576	6.32	2.86	0.89	0.282
Joe Mays	64	0	R	240.3	0.725	6.01	3.18	3.07	0.2749589388317302	2.66	2.62	0.6	0.226
Tanner McDougal	66	0	R	221.7	0.608	4.35	4.14	3.78	0.3190894736001222	5.64	3.98	0.49	0.297
Steve Barber	69	5	L	199	0.8	5.69	4.39	3.71	0.305439870885554	4.88	2.85	0.41	0.288
Patrick Sandoval	69	0	L	187.7	0.27	2.54	4.89	4.41	0.3433385821309404	5.03	2.88	0.91	0.313
Mike Marshall	57	0	R	179.3	0	1.97	3.16	2.91	0.3042320312174647	5.32	2.86	0.55	0.278
Sean Burke	69	0	R	178.3	1	6.86	4.74	4.14	0.3341364642439726	5.5	1.97	0.66	0.326
Huascar Brazoban	69	0	R	175	0	1.55	3.19	2.78	0.2834214802894595	5.55	2.78	0.46	0.269
Ted Trent	69	0	R	171.3	0.778	6.34	2.63	2.15	0.2540446406568689	4.15	1.94	0.68	0.207
Eric Plunk	69	5	R	169.3	0	1.6	3.51	3.08	0.2941927223258835	5.85	2.55	0.9	0.256
Jim Weaver	69	0	R	161.7	1	6.47	5.45	4.84	0.3293667624527548	4.68	3.9	0.61	0.291
Johnny Antonelli	67	0	L	156.7	0.656	4.9	5.05	4.48	0.32422994368633	5.97	2.93	1.32	0.265
Jose Rijo	69	5	R	152	1	7.24	4.97	4.44	0.3120276165838915	4.97	2.55	0.65	0.295
DL Hall	69	0	L	139.7	0.383	2.97	5.54	4.96	0.3460831772675995	5.22	4.7	0.71	0.311
Marshall Bridges	65	0	L	137.7	0	1.58	4.18	3.99	0.3305376485840948	6.21	5.03	0.98	0.278
Ted Trent	69	5	R	137	1	7.61	3.68	3.55	0.3082663461344403	4.14	2.23	0.59	0.285
Jim Weaver	69	5	R	136.3	1	6.49	3.43	3.04	0.2898018433981808	6.21	2.44	0.66	0.274
Tully Sparks	68	0	R	123	0.75	5.12	4.68	4.1	0.3083079963106741	3.44	2.93	0.73	0.261
Milo Candini	67	5	R	120.3	1	7.08	4.11	3.89	0.3145499279033189	3.52	3.97	0.22	0.273
Lon Warneke	69	0	R	116	0.882	6.82	4.89	4.73	0.3148179632125396	3.88	1.78	0.85	0.278
Jim Bouton	64	0	R	115	0.875	7.19	3.76	3.68	0.2981107135948728	4.54	3.29	0.78	0.246
Tully Sparks	68	5	R	114.3	1	6.72	4.57	4.02	0.3384449472626259	4.02	2.05	0.87	0.315
Jack Meyer	69	0	R	113.7	0	1.56	2.77	2.45	0.2638781725179763	6.02	2.69	0.32	0.26
