# CAP key=liveopendaily__20260313 role=hit label=Live Open Daily type=Daily env=current variants=all_cards obsval=56-100 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=101 rows=101
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Bobby Witt Jr.	SS	100	0	R	27013	0.2540210759844703	0.29520624303233	0.3933919657713335	0.300130506224382	5.2	18.5	12.9	0.29	33.8	8.48	1.07	2.89	4.051
Aaron Judge	RF	100	0	R	26119	0.2408028174990453	0.3085086005439988	0.4207154071370985	0.3175480835864817	8.5	27.7	23.9	0.287	37.5	1.32	-0.22	-1.37	2.474
Shohei Ohtani	DH	100	0	L	22509	0.2349215628958394	0.2954828383425218	0.3828315307414986	0.2968132257845911	7.4	26.7	17.1	0.287	34	6.89	0.13	0.97	1.074
Nick Kurtz	1B	100	0	L	21787	0.2395109329815839	0.3052747656680757	0.3881081629546954	0.304142595969958	8.3	30.5	17.7	0.31	33.9	2.94	-0.13	-2.2	1.115
Pete Crow-Armstrong	CF	100	0	L	21603	0.2443838333746591	0.2865763089491274	0.3931068683362262	0.2956827018777829	5.1	26.7	16.4	0.303	32.8	12.58	0.36	1.02	3.052
Junior Caminero	3B	100	0	R	20763	0.2507029053420806	0.2977685471406492	0.3981568259918775	0.3038059040353508	5.9	18.9	20.2	0.274	29.3	1.92	-0.25	-0.59	2.13
Brice Turang	2B	97	0	L	20145	0.2344056706652126	0.2906098354094752	0.3472191930207197	0.2814071581975249	6.8	24.4	9.6	0.291	30.2	9.94	0.41	1.87	2.43
Elly De La Cruz	SS	92	0	S	16496	0.2416133664012531	0.2862281290007925	0.3776922072836444	0.2901117128650711	5.4	26.4	13.5	0.303	33.3	9.26	0.52	0.37	2.353
Corbin Carroll	RF	100	0	L	16352	0.2352080840313788	0.283940704138357	0.3890440101050393	0.2928401636346141	5.8	23.1	13.1	0.282	37.5	20.66	1.64	4.4	2.484
James Wood	RF	100	0	L	15887	0.2382202570125743	0.3003716067267116	0.3854497720049744	0.3007150271296662	7.6	30.1	15.7	0.31	36.6	2.69	-0.01	-0.44	1.386
Yordan Alvarez	LF	100	0	L	15097	0.2536163407719706	0.3135020537962104	0.4172421312786218	0.3183796085406482	7.6	20.7	20.5	0.284	34.5	1.5	-0.16	-1.43	1.383
William Contreras	C	96	0	R	14893	0.2531324690374448	0.2975412596833951	0.3604693271528935	0.2893998358817645	5.5	17.4	11.7	0.285	25.3	2.15	-0.28	-1.93	2.562
Jose Ramirez	3B	97	0	S	14783	0.2499630778319303	0.301156462585034	0.3938856889676562	0.3034200595869347	6.4	15.1	14.6	0.269	34.8	4.59	0.63	0.92	3.198
