# CAP key=liveopendaily__20260313 role=pit label=Live Open Daily type=Daily env=current variants=all_cards obsval=51-100 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=82 rows=82
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Tarik Skubal	100	0	L	9752	0.974	6.28	3.64	3.37	0.2921256533905111	8.39	1.81	1.08	0.288
Jacob Misiorowski	100	0	R	8870.7	0.932	5.65	3.96	3.66	0.2981113724228874	8.58	2.94	0.97	0.287
Paul Skenes	100	0	R	8692.6	0.985	6.27	3.96	3.68	0.3005399573998244	8.38	2.13	1.08	0.294
Shohei Ohtani	100	0	R	8474.6	0.965	6.19	3.5	3.23	0.2850622168583339	7.82	2.91	0.65	0.284
Cristopher Sanchez	100	0	L	6752	0.762	5.23	3.55	3.32	0.2911193098880839	7.82	1.83	0.82	0.298
Chris Sale	100	0	L	5672	0.531	4.02	3.8	3.51	0.2992477169595835	8.06	2.33	0.92	0.298
Yoshinobu Yamamoto	100	0	R	4106.3	0.352	3.21	3.95	3.59	0.3030056947761742	7.44	2.2	1.15	0.282
Cam Schlittler	100	0	R	4001.7	0.295	2.79	4.22	3.93	0.3145223460208543	8.12	2.29	1.18	0.306
Bryan Woo	100	0	R	3805	0.338	3.11	4.01	3.79	0.3077107417231836	7.38	1.97	1.16	0.291
Max Fried	99	0	L	3288.5	0.235	2.72	3.8	3.45	0.3010724183484921	6.62	2.78	0.67	0.296
Mason Miller	100	0	R	2908.3	0	1.13	3.22	3	0.2905149856153977	10	3.35	0.87	0.3
Garrett Crochet	100	0	L	2703.9	0.252	2.85	3.86	3.57	0.304509686733636	8.81	2.58	0.98	0.308
Jhoan Duran	100	0	R	2049.5	0	1.05	3.09	2.82	0.2860616695174371	8.19	2.52	0.66	0.301
Zack Wheeler	99	0	R	2019.3	0.167	2.19	4.42	4.19	0.3229034808721208	7.78	2.69	1.27	0.302
Hunter Greene	100	0	R	1953.7	0.286	2.66	4.05	3.63	0.307088503270559	7.88	2.83	1.14	0.283
Cade Smith	98	0	R	1631.9	0.001	1.05	3.48	3.25	0.3006650505210728	8.93	2.78	0.84	0.312
Blake Snell	99	0	L	1493	0.127	1.93	4.18	3.87	0.3126567038067199	8.51	3.16	1.2	0.294
Josh Hader	95	0	L	1320.7	0	1.1	3.39	3.22	0.3007702438828598	8.75	3.13	1.02	0.288
Shane McClanahan	96	0	L	1249.3	0.095	2.04	4.21	3.94	0.3231555694777891	7.58	2.56	1.19	0.306
Aroldis Chapman	93	0	L	1113	0	1.15	3.16	2.94	0.29535133599444	8.56	3.28	0.73	0.298
Logan Webb	97	0	R	1036.7	0.105	2.02	3.8	3.38	0.3117061179648929	6.84	2.36	0.8	0.312
Joe Ryan	98	0	R	774	0.309	3.02	4.42	4.17	0.3118573089190993	7.65	2.16	1.23	0.292
Hunter Brown	96	0	R	745	0.16	2.2	4.54	4.11	0.3269690179848628	7.92	3.3	1.03	0.317
Reid Detmers	95	0	L	621	0.107	2.13	3.43	3.17	0.2961852608900056	7.9	2.55	0.78	0.303
Brandon Woodruff	97	0	R	610	0.167	2.27	3.88	3.44	0.3017554618398977	7.72	2.36	1.11	0.286
