# CAP key=silverquick__20260313 role=hit label=Silver Quick type=Quick env=current variants=all_cards obsval=49-79 minIP=null minPA=30 dates=2026-07-05..2026-07-19 recordsTotal=360 rows=360
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Willie McGee	CF	79	0	S	22464	0.2778375344900154	0.3039857492763304	0.4367955852780246	0.3137469164780375	3.2	16.3	10.8	0.313	33.6	29.51	2.65	4.93	2.655
Edgardo Alfonzo	2B	79	0	R	22164	0.2549551326299181	0.3071632200552061	0.3946849423133813	0.3027878840943813	6.6	19.5	13.7	0.291	34.4	2.59	-0.5	0.69	3.108
Jackie Robinson	2B	79	0	R	18126	0.2578503499013099	0.3001728656666481	0.3958370715951911	0.2993325682006951	5.2	14.1	11.6	0.28	33.4	11.54	-0.64	3.81	1.963
Kevin Alcantara	CF	76	0	R	17772	0.2430281342546891	0.30069377855491	0.4051085883514314	0.3030985310069654	7	26	21	0.288	32.7	7.14	-0.2	2.88	1.28
Owen Caissie	RF	78	0	L	17047	0.2341561909724484	0.3023324129017096	0.4081287044877223	0.3061629442161187	8.5	27.6	22.8	0.278	37.4	2.01	-0.4	-0.73	0.285
Woodie Held	SS	79	0	R	13524	0.2397942521227956	0.3022979985174203	0.4045558458523841	0.3035531622768874	7.8	29.4	19.7	0.3	35.2	9.58	-0.11	-2.08	2.01
Earl Webb	RF	72	0	L	13318	0.2628895650028781	0.3176832932692308	0.4117260093742291	0.3135225504703155	7.1	21.7	11.6	0.313	38.5	5.19	-0.69	3.2	1.252
Dan Pasqua	LF	79	0	L	12473	0.2372775800711744	0.3056134723336006	0.3951957295373665	0.303654615426652	8.5	29.8	20.7	0.296	34.2	0.33	-0.14	-4.03	-0.212
Luis Castillo	2B	73	0	S	12436	0.2686461647225168	0.3201199740596627	0.355072463768116	0.2945516138751469	6.6	11.2	5.1	0.292	21.8	15.84	-0.79	2.18	2.461
Spoony Palm	C	79	0	R	11476	0.2535459349216649	0.2834107440189291	0.4412719013627515	0.3061376255502148	3.8	15.1	22.4	0.26	38.6	10.62	-0.02	-0.01	2.619
Kevin Alcantara	CF	76	5	R	11174	0.2547513540128016	0.3151053339309727	0.4293451501723289	0.3190800090903203	7.8	23.7	22.5	0.293	34	6.37	-0.5	2.6	2.223
Duke Snider	CF	73	0	L	10413	0.2443111294993794	0.2883429672447014	0.4273893256102607	0.3046427945238926	5.5	26.9	23.2	0.291	37.5	9.03	-0.47	3.22	1.89
Josh Bell	1B	78	0	S	10121	0.2539786352735993	0.3147489126136813	0.4435360802267277	0.3242845396450417	7.8	17.2	23.2	0.266	39	5.28	-0.04	-3.09	1.281
Javier Baez	2B	78	0	R	9939	0.2597961970795252	0.2815964523281597	0.4110725916587877	0.294554264859242	2.5	18.6	13.3	0.296	35.6	13.41	0.09	2.62	2.813
Charlie Condon	1B	79	0	R	9572	0.2170514670514671	0.3100555730313516	0.3599086099086099	0.2947098252422821	11.4	28.8	16.2	0.27	36.2	2.91	-0.26	-2.34	0.439
Andre Dawson	CF	77	0	R	9052	0.2530640831096067	0.2837240159221583	0.4169487568577098	0.2980377226786594	3.6	21.2	20.2	0.286	32.5	13.07	0.81	3.36	1.346
Gus Bell	CF	70	0	L	8296	0.275898105813194	0.3209117221418235	0.4617896799477466	0.3325706578861428	6	13.5	22.3	0.282	34.7	9.97	-0.54	-0.25	1.331
Ivan Rodriguez	C	76	0	R	8210	0.2479138627187079	0.3077580940745266	0.3685060565275908	0.2940596415919348	7.6	18.5	10.9	0.283	30.7	5.84	-0.34	-0.04	2.602
Dan Pasqua	LF	79	5	L	7901	0.2549381838851784	0.3268329745472964	0.4456444507602672	0.3307978100924693	9.4	27.8	25.5	0.302	36.9	1.21	-0.2	-4.56	1.83
Curtis Granderson	CF	75	0	L	7811	0.2401635876463122	0.2996906419180201	0.4084050204484558	0.3040736867589132	7.4	24.6	16.7	0.287	36.9	20.35	-0.02	3.25	1.344
Ozzie Smith	SS	79	0	S	7694	0.2476669059583632	0.2949382223993623	0.3262024407753051	0.2720282468353069	5.9	8.2	3	0.263	23.5	16.01	0.73	3.08	2.293
Jackie Robinson	2B	79	5	R	7028	0.2637023313262313	0.3090545558411882	0.4071329319129227	0.307179278483276	5.9	13.7	12	0.284	34	11.7	-0.45	3.59	2.783
Andre Dawson	CF	77	5	R	6979	0.2656036446469248	0.2975490898667049	0.4387243735763098	0.3117076328531906	4	19.2	18.8	0.296	34.6	16.03	1.2	3.91	2.45
Jimmy Rollins	SS	69	0	S	6630	0.2515702479338843	0.30631038647343	0.4061157024793389	0.3063772505450972	7.1	13.9	17.4	0.262	33.8	7.2	0.47	2.55	3.955
Muddy Ruel	C	78	0	R	6140	0.2388627308946034	0.2989826058418116	0.3071350959797175	0.2686605454460115	7.6	10.9	1.8	0.262	23.9	8.25	-0.5	-1.86	1.173
Braden Montgomery	RF	74	5	S	5899	0.2515805132019338	0.3091032608695652	0.4077724060989215	0.3086139013226595	7.3	20.5	17.6	0.285	34.7	5.11	-0.13	0.97	1.526
Garry Templeton	SS	78	0	S	5861	0.279971413257102	0.3000171438367907	0.4205824548865464	0.3061190823918226	2.5	16.3	7.5	0.32	32.2	27.18	-0.21	1.75	3.276
Willie McGee	CF	79	5	S	4976	0.2878883956880152	0.3163819095477387	0.4546607482561826	0.3268240905298809	3.7	14.1	10.4	0.318	34.4	31.56	2.73	5.97	3.521
Maury Wills	SS	78	5	S	4696	0.2541116516099143	0.2913402959094865	0.3249942089413945	0.2690134996395664	4.5	10.5	1.4	0.279	20.1	29.09	3.55	4.24	2.07
Maury Wills	SS	78	0	S	4622	0.2501735709326545	0.2806245876402023	0.309881971765795	0.2578722511125972	3.6	12.2	1.6	0.28	17	27.17	4.84	4.69	1.701
Julio Franco	1B	78	0	R	4621	0.2617289830912122	0.321498159774843	0.4096213384139081	0.314490641078002	7.6	20.8	18	0.298	29.6	5.54	0.82	0.09	1.454
