# CAP key=silverquick__20260313 role=pit label=Silver Quick type=Quick env=current variants=all_cards obsval=45-79 minIP=10 minPA=null dates=2026-07-05..2026-07-19 recordsTotal=293 rows=293
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Roger Clemens	79	0	R	7003.3	0.769	5.73	4.06	3.77	0.2992699243895336	6.45	2.04	0.75	0.298
Johnny Niggeling	78	0	R	5668.3	0.749	5.24	4.13	3.82	0.2997089619836155	7.28	3.51	0.84	0.279
Julio Teheran	79	0	R	5497.7	0.834	5.53	4.6	4.26	0.3142989212435695	3.88	1.94	0.97	0.28
Didier Fuentes	79	0	R	5199.3	0.507	3.59	4.38	4.08	0.3113475860958185	7.68	1.75	1.11	0.31
Dan Bankhead	74	5	R	5053.3	0.733	5.41	3.93	3.62	0.2980475034683558	7.95	2.79	0.71	0.304
Dan Bankhead	74	0	R	4909.7	0.628	4.57	4.37	4.08	0.3096153868035035	7.5	3.1	0.77	0.307
Jim Brewer	78	0	L	3999.3	0.095	1.31	3.42	3.21	0.284364307679677	8.08	1.79	1.14	0.274
Julio Teheran	79	5	R	3735	0.746	6.37	4.11	3.79	0.2988908427083208	4.51	1.64	0.89	0.275
George Klassen	79	0	R	3372.7	0.587	4.15	4.54	4.19	0.3142037959675705	7.25	2.52	1.03	0.303
Tom Cheney	78	0	R	3181	0.54	3.93	4.98	4.64	0.3312532039496821	6.24	1.55	1.74	0.283
Adam Ottavino	79	0	R	2802.7	0	1.18	3.79	3.47	0.2981252702657552	7.89	3.67	0.81	0.286
Johnny Niggeling	78	5	R	2771	0.784	6.44	3.99	3.74	0.2947648842539211	7.39	3.08	0.83	0.282
Didier Fuentes	79	5	R	2738.7	0.754	4.86	4.11	3.78	0.3007327126975128	7.8	1.86	0.97	0.304
Jakie May	72	0	L	2701.3	0.422	3.44	4.22	3.82	0.306141194644469	7.56	2.39	0.79	0.313
Rudy May	74	0	L	2510.7	0.159	1.55	3.71	3.44	0.3013666757370264	7.52	2.29	0.8	0.307
Tom Cheney	78	5	R	2021.3	0.556	6.11	4.15	3.8	0.2960859113985029	6.79	1.3	1.34	0.267
Chris Sale	70	0	L	1790.3	0.054	1.39	4.08	3.84	0.2960914560878742	8.09	2.67	1.11	0.283
Randy Johnson	77	0	L	1720.3	0.426	3.55	4.27	3.87	0.3035227754926716	8.5	4.44	0.87	0.282
Dustin May	79	0	R	1645.7	0.976	5.75	4.83	4.42	0.3242078536099865	6.41	2.2	1.02	0.312
Jakie May	72	5	L	1518.3	0.873	5.52	3.88	3.62	0.2918841081854421	7.97	2.11	0.79	0.301
Dean Stone	77	0	L	1499.7	0.688	4.54	4.07	3.65	0.2957487676082122	5.49	1.97	0.68	0.289
George Klassen	79	5	R	1485	0.724	6.11	4.22	3.98	0.3058436401447008	7.42	2.27	0.87	0.306
Roy Partlow	78	0	L	1445	0.59	4.14	4.54	4.26	0.3195794929994324	5.41	2.77	0.98	0.29
Dennis Cook	76	0	L	1369.7	0.088	1.15	3.65	3.37	0.293601042856237	7.46	3.3	0.76	0.29
Mark Littell	77	0	R	1347	0	1.24	3.72	3.44	0.2972634537680872	7.13	3.38	0.69	0.285
Bob Gibson	70	0	R	1331	0.647	4.44	4.49	4.19	0.3172653652963272	6.27	3.66	0.63	0.304
Carl Pavano	79	0	R	1317.7	0.858	5.68	4.94	4.57	0.3283699297164992	4.08	1.57	1.14	0.297
Thornton Lee	79	0	L	1278.3	0.491	3.97	4.91	4.5	0.3242304874464464	7.08	2.34	1.21	0.305
Jonah Tong	77	5	R	1239.3	0.939	5.79	4.07	3.77	0.2985720127272526	7.84	2.37	1.05	0.288
Travis Sykora	78	0	R	1220.3	0.54	4.22	3.85	3.65	0.3023951919032752	7.89	3.04	0.88	0.292
Curt Simmons	74	5	L	1051.7	0.772	5.21	3.52	3.26	0.2836400458878364	5.82	1.81	0.69	0.276
Parker Messick	76	5	L	1010.3	1	6.16	4.12	3.83	0.3051299119884952	6.32	1.6	0.9	0.303
Michael King	76	0	R	989.7	0.002	1.52	4.03	3.56	0.313535546409499	6.83	2.64	0.79	0.311
Phil Douglas	74	5	R	859.3	1	6.09	4.32	3.85	0.3101306589141095	7.05	1.37	1.2	0.3
