# CAPPROJ key=bronzeheart__20260330 role=hit label=Bronze Heart type=Daily variantMode=all_cards projval=40-69 vlvl0=329 vlvl5=300 recordsTotal=629 rows=629
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
85525	Memorial Day OnStream Builds - Unsung Heroes CF Rick Monday CHC 1976	CF	69	5	L			0.378	0.359	0.387	8.4	14.3	4.6	0.298	23.8	false
85766	Family Connections - Super Utility RF Danny Tartabull SEA 1986	RF	63	5	R			0.369	0.409	0.35	10.3	15.0	1.8	0.334	28	false
85773	Limited Edition/96 CF Matty Alou PIT 1969	CF	69	0	L			0.367	0.325	0.387	5.2	3.7	0.3	0.337	29.7	false
85532	Memorial Day OnStream Builds - Rookie Sensation LF Greg Briley SEA 1989	LF	64	5	L			0.365	0.387	0.355	7.7	12.4	2.3	0.321	27.8	false
85525	Memorial Day OnStream Builds - Unsung Heroes CF Rick Monday CHC 1976	CF	69	0	L			0.359	0.339	0.368	7.8	15.2	4.1	0.292	22.4	false
85843	T4 Ep. 3 - Hardware Heroes SS Leo Cardenas CIN 1965	SS	68	5	R			0.357	0.377	0.347	8.7	10.7	1.1	0.324	28	false
85858	T4 Ep. 3 - Unsung Heroes LF Bill Buckner LAD 1974	LF	64	5	L			0.354	0.327	0.366	4.6	2.7	1.3	0.305	29.4	false
84464	Negro League Star RF Donald Reeves ABC 1938	RF	69	5	L			0.351	0.346	0.353	6.0	8.0	2.7	0.293	24.8	false
83648	Snapshot CF Mule Haas PHA 1931	CF	69	5	L			0.351	0.354	0.35	6.0	7.4	2.6	0.293	25.3	false
85766	Family Connections - Super Utility RF Danny Tartabull SEA 1986	RF	63	0	R			0.350	0.378	0.337	9.8	15.8	1.6	0.323	26.6	false
85063	HOF 1 - Veteran Presence 1B Mickey Mantle NYY 1967	1B	68	5	S			0.349	0.363	0.343	11.9	13.1	3.5	0.269	17.2	false
85945	July Jewels - Baseball Reference 4 2B Julio Cruz SEA 1979	2B	62	5	S			0.349	0.398	0.327	11.4	9.0	0.3	0.323	21	false
84887	Celebrating 42 - Rookie Sensation LF Marv Rackley BRO 1948	LF	65	5	L			0.347	0.285	0.376	4.8	8.1	0.3	0.341	24.2	false
86267	All-Star Week - Historical All-Star LF Tim Raines MON 1982	LF	62	5	S			0.346	0.341	0.348	10.1	8.2	0.7	0.309	25	true
86265	T4 Ep. 4 - Historical All-Star SS Alan Trammell DET 1980	SS	63	5	R			0.345	0.346	0.345	9.8	7.7	1.0	0.305	23.9	true
83625	Snapshot C Babe Phelps BRO 1937	C	63	5	L			0.345	0.346	0.345	5.8	7.4	2.0	0.290	30.8	false
83649	Snapshot LF Dave Harris WS1 1930	LF	67	5	R			0.345	0.383	0.327	9.1	11.3	1.8	0.289	33.90000000000001	false
85858	T4 Ep. 3 - Unsung Heroes LF Bill Buckner LAD 1974	LF	64	0	L			0.344	0.316	0.357	4.0	3.4	1.2	0.302	28.5	false
85532	Memorial Day OnStream Builds - Rookie Sensation LF Greg Briley SEA 1989	LF	64	0	L			0.344	0.358	0.338	7.0	12.9	2.0	0.309	26.4	false
85833	T4 Ep. 3 - Historical All-Star C Tim McCarver STL 1966	C	68	5	L			0.344	0.294	0.368	5.8	4.4	2.1	0.285	25.3	false
83676	Snapshot 1B Dale Alexander DET 1931	1B	69	5	R			0.343	0.343	0.343	9.0	7.5	0.7	0.299	31.1	false
84353	Rookie Sensation RF Wally Moses PHA 1935	RF	66	5	L			0.342	0.323	0.351	6.7	6.9	2.0	0.291	23.9	false
86254	All-Star Week - Historical All-Star C Gabby Hartnett CHC 1936	C	66	5	R			0.342	0.361	0.333	6.4	9.5	1.8	0.304	25.1	true
83489	Snapshot 1B Don Bollweg NYY 1953	1B	50	5	L			0.341	0.347	0.338	8.2	12.2	2.5	0.290	24.3	false
85905	4 HR on 4th of July 3B Jim Tabor BOS 1939	3B	54	5	R			0.340	0.325	0.347	5.6	8.2	2.2	0.288	27.4	false
84459	Negro League Star 1B Ed Mayweather NYBY 1942	1B	66	5	L			0.339	0.334	0.342	9.2	8.8	1.8	0.287	23.9	false
83623	Snapshot 3B Pinky Higgins PHA 1935	3B	65	5	R			0.339	0.345	0.336	7.2	12.3	2.3	0.295	26	false
83616	Snapshot CF Jim Northrup DET 1967	CF	68	5	L			0.338	0.329	0.343	7.4	8.9	1.9	0.294	22.3	false
85537	Memorial Day OnStream Builds - Veteran Presence LF Jerry Mumphrey CHC 1987	LF	69	5	S			0.338	0.232	0.387	8.4	9.1	1.8	0.285	28.8	false
85168	Dock&#39;s Patients C Chris Cannizzaro SD 1970	C	65	5	R			0.338	0.363	0.327	10.7	8.3	0.6	0.301	23.8	false
85289	May Names 1 - Snapshot C Milt May HOU 1974	C	63	5	L			0.337	0.325	0.342	5.8	8.6	1.9	0.303	20	false
85708	T4 Ep. 2 - Historical All-Star 2B Tom Herr STL 1985	2B	58	5	S			0.337	0.311	0.348	8.6	7.2	0.5	0.304	25.9	false
83928	Historical All-Star SS Dave Concepcion CIN 1978	SS	60	5	R			0.337	0.374	0.32	7.3	9.0	0.7	0.312	26.3	false
85843	T4 Ep. 3 - Hardware Heroes SS Leo Cardenas CIN 1965	SS	68	0	R			0.336	0.346	0.331	8.1	11.3	1.0	0.309	26.7	false
84359	Rookie Sensation LF Gary Matthews SF 1973	LF	69	5	R			0.336	0.339	0.334	7.7	8.9	1.2	0.300	26.1	false
86267	All-Star Week - Historical All-Star LF Tim Raines MON 1982	LF	62	0	S			0.335	0.326	0.339	9.6	9.3	0.6	0.306	23.9	true
86126	Limited Edition/69 C Matt Nokes DET 1987	C	57	0	L			0.335	0.276	0.363	5.7	10.3	4.1	0.264	15.1	false
83925	Historical All-Star LF Claudell Washington ATH 1975	LF	59	5	L			0.335	0.339	0.334	4.4	8.7	1.7	0.309	21.6	false
