# CAPPROJ key=bronzeheart__20260330 role=pit label=Bronze Heart type=Daily variantMode=all_cards projval=40-69 vlvl0=253 vlvl5=233 recordsTotal=486 rows=486
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
83180	Snapshot RP Ken Sanders NYM 1975	Reliever	68	5	R			0.274	0.28	0.269	5.9	4.4	1.1	0.243	false
83180	Snapshot RP Ken Sanders NYM 1975	Reliever	68	0	R			0.287	0.293	0.281	5.3	4.7	1.2	0.253	false
84883	Celebrating 42 - Negro League Star SP Johnny Wright HoGr 1941	Starter	68	5	R			0.288	0.298	0.278	10.3	5.4	1.4	0.259	false
85698	T4 Ep. 2 - Rookie Sensation SP Jim Bouton NYY 1963	Starter	64	5	R			0.288	0.29	0.286	10.9	7.0	1.1	0.258	false
85869	T4 Ep. 3 - Historical All-Star SP Johnny Antonelli NY1 1954	Starter	67	5	L			0.292	0.328	0.268	14.3	6.6	1.7	0.263	false
85486	Clubhouse - 60s Week - Historical All-Star SP Stan Williams LAD 1960	Starter	69	0	R			0.294	0.333	0.258	15.8	8.5	2.6	0.241	false
84696	Clubhouse - April Fools&#39; Day RP Bob Miller DET 1954	Reliever	69	0	L			0.294	0.268	0.312	10.0	6.4	0.7	0.274	false
85827	T4 Ep. 3 - Negro League Star SP Bob Romby BEG 1948	Starter	58	5	L			0.294	0.294	0.294	12.6	8.2	1.0	0.267	false
85875	Heart Attack - Snapshot SP Greg Maddux CHC 1989	Starter	62	5	R			0.296	0.327	0.266	11.2	6.1	1.0	0.276	false
83119	Snapshot RP Mike Armstrong KC 1982	Reliever	60	5	R			0.296	0.318	0.276	13.2	8.1	1.3	0.267	false
83869	Historical All-Star SP Dave Stieb TOR 1981	Starter	65	5	R			0.297	0.3	0.295	12.0	6.3	1.2	0.276	false
84272	Rookie Sensation RP Dick Lines WS2 1966	Reliever	69	5	L			0.297	0.303	0.294	10.7	5.5	1.0	0.279	false
86232	Baseball Reference 5 CL Al Holland PHI 1984	Reliever	47	5	L			0.297	0.293	0.299	12.6	6.0	2.0	0.261	true
83112	Snapshot SP Chris Short PHI 1963	Starter	65	5	L			0.301	0.281	0.314	13.2	6.8	0.9	0.286	false
