# CAPPROJ key=bronzequick__20260313 role=pit label=Bronze Quick type=Quick variantMode=all_cards projval=40-69 vlvl0=963 vlvl5=461 recordsTotal=1424 rows=1424
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
84839	Celebrating 42 - Veteran Presence RP Satchel Paige SLA 1952	Reliever	68	5	R			0.287	0.298	0.274	26.0	6.9	2.1	0.295	false
86106	Obscure All-Stars - Baseball Reference 5 CL Bill Henry CIN 1960	Reliever	69	5	L			0.287	0.297	0.282	29.1	5.1	3.1	0.295	true
84854	Limited Edition/42 RP Jack Meyer PHI 1958	Reliever	69	0	R			0.289	0.286	0.292	27.9	7.1	2.2	0.302	false
85031	FLF 9 - Future Legend RP Winston Santos TEX 2026	Reliever	65	5	R			0.289	0.295	0.282	24.9	7.2	2.6	0.280	false
83196	Snapshot RP Eric Plunk CLE 1995	Reliever	69	5	R			0.290	0.295	0.285	25.9	7.2	2.6	0.286	false
85827	T4 Ep. 3 - Negro League Star SP Bob Romby BEG 1948	Starter	58	5	L			0.291	0.285	0.295	21.5	8.2	2.5	0.268	false
85032	FLF 14 &amp; Co. - Future Legend SP Tanner McDougal CWS 2026	Starter	66	5	R			0.291	0.296	0.286	26.7	8.2	2.4	0.289	false
84272	Rookie Sensation RP Dick Lines WS2 1966	Reliever	69	5	L			0.291	0.29	0.292	18.5	5.5	2.4	0.276	false
85877	T4 Ep. 3 - Snapshot SP Jim Deshaies HOU 1989	Starter	67	5	L			0.291	0.302	0.285	20.3	7.5	2.1	0.276	false
84696	Clubhouse - April Fools&#39; Day RP Bob Miller DET 1954	Reliever	69	0	L			0.293	0.262	0.311	16.6	6.2	1.6	0.283	false
84271	Rookie Sensation RP Adam Cimber SD 2018	Reliever	69	5	R			0.293	0.315	0.265	21.4	8.0	1.5	0.296	false
83869	Historical All-Star SP Dave Stieb TOR 1981	Starter	65	5	R			0.294	0.286	0.305	20.4	6.3	2.7	0.274	false
82672	Hardware Heroes CL Roy Face PIT 1958	Reliever	66	5	R			0.294	0.289	0.3	19.6	4.3	2.5	0.288	false
82670	Hardware Heroes CL Bill Campbell MIN 1976	Reliever	64	5	R			0.294	0.292	0.295	23.6	6.2	2.7	0.287	false
83181	Snapshot CL Marshall Bridges NYY 1962	Reliever	65	5	L			0.294	0.293	0.295	26.1	10.6	2.4	0.275	false
85869	T4 Ep. 3 - Historical All-Star SP Johnny Antonelli NY1 1954	Starter	67	5	L			0.294	0.321	0.279	24.8	6.7	3.5	0.269	false
85608	MLB 2026 Live RP Kirby Yates LAA	Reliever	69	0	R			0.295	0.296	0.293	25.1	7.4	2.6	0.288	false
85698	T4 Ep. 2 - Rookie Sensation SP Jim Bouton NYY 1963	Starter	64	5	R			0.295	0.301	0.287	18.6	7.3	2.6	0.266	false
81910	MLB 2026 Live RP Yohan Ramirez PIT	Reliever	65	0	R			0.296	0.298	0.293	24.8	7.7	2.5	0.290	false
85669	June Gems - Baseball Reference 3 CL Dan Spillner CLE 1982	Reliever	64	5	R			0.296	0.305	0.285	21.4	5.9	2.5	0.289	false
86135	Obscure All-Stars - Baseball Reference 5 SP Gil Meche KC 2007	Starter	60	5	R			0.296	0.292	0.301	20.6	5.4	2.5	0.289	true
