# CAPPROJ key=diamondheart__20260331 role=hit label=Diamond Heart type=Daily variantMode=all_cards projval=40-99 vlvl0=625 vlvl5=541 recordsTotal=1166 rows=1166
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
85942	July Jewels - Baseball Reference 4 LF Al Simmons PHA 1930	LF	99	5	R			0.383	0.414	0.372	4.9	9.5	4.3	0.321	31.9	false
85942	July Jewels - Baseball Reference 4 LF Al Simmons PHA 1930	LF	99	0	R			0.364	0.394	0.354	4.3	10.3	4.0	0.312	29.4	false
86290	PTCS 4 - Historical All-Star CF Andy Pafko CHC 1950	CF	98	0	R			0.350	0.334	0.356	8.4	8.3	4.7	0.262	24.4	true
86286	All-Star Week - Historical All-Star 3B Mike Schmidt PHI 1977	3B	99	5	R			0.350	0.379	0.34	10.9	16.9	5.2	0.257	31.9	true
85165	Young &amp; Old 1 - Veteran Presence 1B Hank Aaron ATL 1971	1B	98	5	R			0.349	0.326	0.356	8.0	11.6	4.7	0.274	23.9	false
85518	60s Theme Week - Hardware Heroes 3B Ken Boyer STL 1961	3B	96	5	R			0.345	0.347	0.345	7.6	15.1	3.7	0.302	26.2	false
85815	Family Connections - Historical All-Star 1B Felipe Alou ATL 1966	1B	92	5	R			0.344	0.348	0.343	2.4	8.8	4.2	0.290	27.1	false
85094	HOF 1 - Hall of Fame 3B Ron Santo CHC 1969	3B	93	5	R			0.342	0.335	0.344	8.2	15.3	4.2	0.296	18.2	false
85667	In Memoriam - Snapshot 3B Bob Horner ATL 1983	3B	84	5	R			0.342	0.358	0.336	7.9	17.1	4.7	0.283	25.1	false
84878	Celebrating 42 - Negro League Star 2B Larry Doby NeEa 1946	2B	98	5	L			0.342	0.329	0.346	7.1	16.8	3.0	0.310	34	false
85520	60s Theme Week - Hall of Fame RF Al Kaline DET 1961	RF	99	5	R			0.341	0.365	0.333	6.2	9.2	2.6	0.296	32.7	false
85305	Baseball Reference 2 LF Rocky Colavito DET 1961	LF	96	5	R			0.341	0.304	0.353	11.5	12.4	4.8	0.249	20.8	false
86273	All-Star Week - Historical All-Star RF Darryl Strawberry NYM 1987	RF	97	5	L			0.340	0.289	0.358	10.1	17.6	4.1	0.278	29.1	true
85191	Young &amp; Old 1 - Snapshot RF Tony Conigliaro BOS 1965	RF	95	5	R			0.340	0.331	0.343	6.6	16.0	4.6	0.285	24.4	false
85861	Clubhouse - Historical All-Star SS Rico Petrocelli BOS 1969	SS	99	0	R			0.338	0.308	0.348	9.2	13.4	4.7	0.258	26.1	false
86155	Limited Edition/62 RF Mike Hegan SE1 1969	RF	91	0	L			0.335	0.297	0.348	11.2	16.3	2.2	0.319	16.3	true
85491	60s Theme Week - Historical All-Star 1B Roy Sievers CWS 1961	1B	94	5	R			0.334	0.348	0.33	8.3	14.7	4.4	0.268	25.3	false
86286	All-Star Week - Historical All-Star 3B Mike Schmidt PHI 1977	3B	99	0	R			0.333	0.364	0.323	10.4	18.0	4.9	0.249	29.7	true
85165	Young &amp; Old 1 - Veteran Presence 1B Hank Aaron ATL 1971	1B	98	0	R			0.333	0.309	0.342	7.5	12.8	4.4	0.267	22.6	false
86270	All-Star Week - Historical All-Star CF Dale Murphy ATL 1982	CF	88	5	R			0.333	0.369	0.32	9.2	19.2	4.3	0.292	15.3	true
85490	60s Theme Week - Super Utility C Elston Howard NYY 1961	C	95	5	R			0.333	0.366	0.322	3.7	15.0	4.2	0.301	20.7	false
86260	All-Star Week - Hall of Fame 3B Wade Boggs BOS 1989	3B	74	5	L			0.332	0.294	0.346	9.6	7.7	0.4	0.312	29.7	true
83769	Snapshot 1B Mike Easler BOS 1984	1B	87	5	L			0.331	0.285	0.346	5.9	20.4	3.4	0.321	22.8	false
