# CAPPROJ key=diamondheart__20260331 role=pit label=Diamond Heart type=Daily variantMode=all_cards projval=40-99 vlvl0=426 vlvl5=387 recordsTotal=813 rows=813
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
84075	Heart Attack - Snapshot RP Joe Sambito HOU 1980	Reliever	98	5	L			0.283	0.284	0.283	19.4	6.3	2.3	0.275	false
84083	Rookie Sensation RP Mark Eichhorn TOR 1986	Reliever	98	5	R			0.285	0.317	0.265	18.3	6.2	2.2	0.277	false
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	5	R			0.287	0.28	0.291	17.7	6.8	2.5	0.268	false
84267	July Jewels - Baseball Reference 4 SP Mark Fidrych DET 1976	Starter	84	5	R			0.287	0.297	0.281	11.6	4.7	2.1	0.267	false
84075	Heart Attack - Snapshot RP Joe Sambito HOU 1980	Reliever	98	0	L			0.290	0.291	0.29	18.9	6.7	2.5	0.276	false
83279	T4 Ep. 3 - Snapshot CL Dan Quisenberry KC 1981	Reliever	84	5	R			0.290	0.31	0.277	7.7	5.2	1.1	0.278	false
85704	SwitchKnucklers - Veteran Presence SP Dutch Leonard WS1 1945	Starter	97	5	R			0.290	0.289	0.291	16.6	4.5	2.3	0.284	false
84292	Rookie Sensation RP Barry Latman CWS 1958	Reliever	95	5	R			0.290	0.318	0.272	14.2	9.6	1.5	0.266	false
85870	Clubhouse - Historical All-Star CL Dave Righetti NYY 1986	Reliever	85	0	L			0.291	0.303	0.287	16.7	6.9	2.2	0.276	false
85781	Family Connections - Historical All-Star SP Dizzy Trout DET 1944	Starter	97	5	R			0.291	0.297	0.287	16.9	6.8	2.2	0.278	false
84879	Celebrating 42 - Negro League Star SP Don Newcombe NeEa 1945	Starter	95	5	R			0.291	0.285	0.295	16.5	6.7	2.6	0.269	false
85489	60s Theme Week - Veteran Presence CL Luis Arroyo NYY 1961	Reliever	84	5	L			0.291	0.282	0.294	17.9	8.5	2.3	0.268	false
84070	Veteran Presence SP Roger Wolff WS1 1945	Starter	96	5	R			0.292	0.318	0.277	15.2	5.3	2.4	0.275	false
85109	HOF 1 - Historical All-Star SP Steve Carlton STL 1969	Starter	96	5	L			0.293	0.283	0.296	19.9	7.1	2.5	0.280	false
85847	T4 Ep. 3 - Snapshot RP Gary Lucas CAL 1986	Reliever	86	5	L			0.294	0.304	0.29	14.5	4.2	2.0	0.291	false
84659	Opening Day Heroes - Historical All-Star SP Mel Harder CLE 1935	Starter	99	5	R			0.294	0.315	0.281	13.5	4.8	1.9	0.286	false
85145	Electric No-Hitter SP Dock Ellis PIT 1970	Starter	85	0	R			0.295	0.287	0.301	13.7	8.0	2.1	0.268	false
84083	Rookie Sensation RP Mark Eichhorn TOR 1986	Reliever	98	0	R			0.295	0.326	0.276	17.6	6.6	2.5	0.281	false
84285	Rookie Sensation RP Seth Morehead PHI 1957	Reliever	78	5	L			0.295	0.286	0.297	15.7	7.5	1.5	0.289	false
84267	July Jewels - Baseball Reference 4 SP Mark Fidrych DET 1976	Starter	84	0	R			0.296	0.304	0.292	10.7	5.1	2.4	0.268	false
84841	Celebrating 42 - Snapshot SP Satchel Paige CLE 1948	Starter	94	5	R			0.296	0.282	0.305	17.0	6.8	2.4	0.281	false
83282	Veteran Presence RP Tug McGraw PHI 1984	Reliever	85	5	L			0.296	0.289	0.298	15.9	6.6	1.9	0.288	false
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	0	R			0.297	0.293	0.299	16.9	7.4	2.7	0.270	false
84054	Hall of Fame RP Hoyt Wilhelm CAL 1969	Reliever	92	5	R			0.297	0.316	0.285	17.6	7.0	3.0	0.267	false
83316	Snapshot SP Sonny Siebert CLE 1965	Starter	97	5	R			0.297	0.303	0.293	18.4	6.9	2.7	0.278	false
83319	Snapshot CL Jeff Montgomery KC 1989	Reliever	94	5	R			0.297	0.304	0.293	18.5	6.9	2.5	0.282	false
85838	T4 Ep. 3 - Historical All-Star CL Gary Lavelle SF 1977	Reliever	82	5	L			0.297	0.287	0.3	17.0	6.4	2.2	0.287	false
84879	Celebrating 42 - Negro League Star SP Don Newcombe NeEa 1945	Starter	95	0	R			0.298	0.293	0.301	15.5	6.8	2.7	0.270	false
85704	SwitchKnucklers - Veteran Presence SP Dutch Leonard WS1 1945	Starter	97	0	R			0.298	0.296	0.299	15.6	4.7	2.5	0.286	false
86280	T4 Ep. 4 - Historical All-Star SP Randy Jones SD 1976	Starter	83	5	L			0.298	0.304	0.296	8.2	4.3	2.5	0.266	true
85781	Family Connections - Historical All-Star SP Dizzy Trout DET 1944	Starter	97	0	R			0.299	0.307	0.294	16.0	7.0	2.4	0.279	false
84292	Rookie Sensation RP Barry Latman CWS 1958	Reliever	95	0	R			0.299	0.327	0.281	13.2	9.9	1.8	0.267	false
84086	Live Collection Reward - Historical All-Star SP Bob Friend PIT 1960	Starter	99	0	R			0.299	0.291	0.304	15.1	4.5	2.5	0.288	false
83323	Live Collection Reward - Snapshot RP Joe Grzenda WS2 1971	Reliever	98	0	L			0.300	0.266	0.312	16.3	7.8	2.2	0.282	false
85489	60s Theme Week - Veteran Presence CL Luis Arroyo NYY 1961	Reliever	84	0	L			0.300	0.291	0.303	17.1	9.3	2.5	0.269	false
84085	Unsung Heroes RP Kent Tekulve PIT 1979	Reliever	99	5	R			0.300	0.342	0.274	14.3	8.4	1.9	0.279	false
83900	Historical All-Star SP Howie Pollet STL 1949	Starter	91	5	L			0.300	0.298	0.301	16.8	5.8	2.7	0.284	false
85502	60s Theme Week - Snapshot SP Jim O&#39;Toole CIN 1961	Starter	87	5	L			0.300	0.286	0.305	15.9	7.0	2.1	0.286	false
83263	Snapshot RP Mark Littell STL 1979	Reliever	77	5	R			0.300	0.298	0.301	17.6	9.8	2.1	0.277	false
85114	HOF 1 - Hall of Fame SP Jim Kaat MIN 1967	Starter	87	5	L			0.300	0.287	0.305	17.8	4.6	2.8	0.292	false
83907	Veteran Presence SP Spud Chandler NYY 1947	Starter	95	5	R			0.300	0.291	0.306	16.6	7.4	2.9	0.269	false
84799	Baseball Reference 1 CL Jim Brewer LAD 1970	Reliever	78	5	L			0.300	0.297	0.3	18.6	6.4	3.4	0.268	false
