# CAPPROJ key=diamondquick__20260313 role=hit label=Diamond Quick type=Quick variantMode=all_cards projval=40-99 vlvl0=2046 vlvl5=1253 recordsTotal=3299 rows=3299
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
85942	July Jewels - Baseball Reference 4 LF Al Simmons PHA 1930	LF	99	5	R			0.356	0.379	0.341	5.4	14.4	3.7	0.315	31	false
85942	July Jewels - Baseball Reference 4 LF Al Simmons PHA 1930	LF	99	0	R			0.343	0.364	0.328	4.9	15.7	3.4	0.311	29.8	false
85540	Memorial Day OnStream Builds - Super Utility SS Honus Wagner PIT 1903	SS	99	5	R			0.342	0.344	0.341	6.3	10.9	2.7	0.304	29.5	false
85912	Blue Jays 50th Anniversary 1B Carlos Delgado TOR 2000	1B	98	5	L			0.342	0.322	0.355	9.4	22.8	3.5	0.311	31.8	false
86255	All-Star Week - Historical All-Star 1B Paul Goldschmidt ARI 2015	1B	99	5	R			0.338	0.334	0.341	10.2	24.3	3.8	0.314	22.3	true
85939	July Jewels - Baseball Reference 4 LF Chick Hafey STL 1928	LF	89	5	R			0.336	0.339	0.333	5.2	21.4	3.9	0.306	33.7	false
86290	PTCS 4 - Historical All-Star CF Andy Pafko CHC 1950	CF	98	0	R			0.333	0.327	0.338	8.3	12.2	3.7	0.270	25.4	true
85815	Family Connections - Historical All-Star 1B Felipe Alou ATL 1966	1B	92	5	R			0.332	0.337	0.328	2.9	13.8	3.5	0.299	28.4	false
82746	Hardware Heroes 3B Gary Sheffield SD 1992	3B	99	5	R			0.331	0.344	0.322	5.7	13.5	3.5	0.287	26.2	false
85912	Blue Jays 50th Anniversary 1B Carlos Delgado TOR 2000	1B	98	0	L			0.329	0.309	0.342	9.0	24.4	3.3	0.308	30.7	false
84649	Future Legend 3B Sal Stewart CIN 2026	3B	97	5	R			0.329	0.339	0.323	8.0	18.9	3.4	0.294	27	false
86239	Obscure All-Stars - Baseball Reference 5 CF Cedric Mullins BAL 2021	CF	96	5	L			0.328	0.303	0.346	6.8	18.2	3.1	0.306	25.8	true
85540	Memorial Day OnStream Builds - Super Utility SS Honus Wagner PIT 1903	SS	99	0	R			0.327	0.326	0.327	5.7	12.4	2.4	0.299	28.5	false
84212	World Baseball Classic LF Masataka Yoshida JPN 2023	LF	94	5	L			0.326	0.322	0.329	7.7	16.0	3.5	0.285	21.3	false
85930	July Jewels - Baseball Reference 4 2B Chuck Knoblauch MIN 1996	2B	95	5	R			0.326	0.33	0.323	9.3	17.0	1.7	0.313	27.7	false
85520	60s Theme Week - Hall of Fame RF Al Kaline DET 1961	RF	99	5	R			0.326	0.338	0.318	6.2	14.1	2.1	0.304	31.6	false
86255	All-Star Week - Historical All-Star 1B Paul Goldschmidt ARI 2015	1B	99	0	R			0.325	0.321	0.328	9.7	25.9	3.6	0.311	20.4	true
85719	Clubhouse - SwitchKnucklers - Snapshot 1B John Anderson WAS 1898	1B	97	0	S			0.325	0.326	0.323	3.6	15.1	2.9	0.300	32.7	false
85165	Young &amp; Old 1 - Veteran Presence 1B Hank Aaron ATL 1971	1B	98	5	R			0.325	0.308	0.336	7.9	18.3	4.0	0.276	24.1	false
86286	All-Star Week - Historical All-Star 3B Mike Schmidt PHI 1977	3B	99	5	R			0.324	0.345	0.31	10.6	26.8	4.5	0.273	29.1	true
85758	T4 Ep. 2 - Historical All-Star 1B Gregg Jefferies STL 1993	1B	84	5	S			0.324	0.334	0.317	6.4	11.4	2.4	0.303	16.5	false
84633	FLF 2 - Future Legend 2B JJ Wetherholt STL 2026	2B	96	5	L			0.323	0.313	0.33	8.1	16.4	1.9	0.307	28.3	false
85811	Family Connections - Hardware Heroes SS Fernando Tatis Jr. SD 2021	SS	95	5	R			0.323	0.327	0.321	8.2	27.4	4.1	0.302	26.9	false
84570	Negro League Star LF Wilson Redus SLS 1927	LF	99	5	R			0.323	0.321	0.324	3.9	20.1	3.7	0.299	29.7	false
86264	All-Star Week - Historical All-Star SS Barry Larkin CIN 1991	SS	93	5	R			0.323	0.35	0.304	7.4	19.5	3.0	0.304	24	true
85878	T4 Ep. 3 - Snapshot RF Willie Keeler BLN 1894	RF	77	5	L			0.323	0.308	0.333	2.8	6.6	1.5	0.312	24	false
84674	FLF 2 - Future Legend RF Chase DeLauter CLE 2026	RF	99	5	L			0.323	0.316	0.327	8.1	18.8	3.7	0.276	27.9	false
86190	Limited Edition/45 2B Mark Loretta SD 2004	2B	90	0	R			0.321	0.326	0.318	6.2	11.4	1.7	0.306	24.1	true
85724	SwitchKnucklers - Snapshot CF Walt Wilmot CHC 1890	CF	94	5	S			0.321	0.319	0.322	6.9	18.2	3.3	0.292	23.3	false
84571	Negro League Star SS John Beckwith HoGr 1929	SS	98	5	R			0.321	0.319	0.322	7.2	19.6	2.5	0.306	29.3	false
85939	July Jewels - Baseball Reference 4 LF Chick Hafey STL 1928	LF	89	0	R			0.320	0.323	0.319	4.6	23.2	3.7	0.302	32.4	false
85205	Limited Edition/58 C Sandy Alomar Jr. CLE 1997	C	91	0	R			0.320	0.322	0.32	2.1	15.5	2.9	0.306	29.5	false
85776	Family Connections - Historical All-Star RF Danny Tartabull KC 1991	RF	87	5	R			0.320	0.321	0.319	8.6	32.6	4.1	0.313	30	false
84642	FLF 15 &amp; Co. - Future Legend C Alfredo Duno CIN 2026	C	95	5	R			0.320	0.327	0.315	9.6	28.4	3.7	0.306	24.4	false
85721	Clubhouse - SwitchKnucklers - Snapshot 2B Frankie Frisch STL 1927	2B	94	0	S			0.319	0.329	0.312	4.0	7.2	2.0	0.291	25	false
82923	World Baseball Classic SS Trea Turner USA 2023	SS	98	5	R			0.319	0.32	0.319	6.6	19.1	3.7	0.285	23.3	false
84744	FLF 13 &amp; Co. - Future Legend SS Ethan Holliday COL 2026	SS	95	5	L			0.319	0.3	0.332	10.1	28.3	3.7	0.297	26.4	false
83502	Snapshot 3B Garrett Atkins COL 2008	3B	94	5	R			0.319	0.336	0.307	8.0	20.7	3.2	0.289	27.5	false
85506	Clubhouse - 60s Week - Snapshot LF Jerry Lynch CIN 1961	LF	94	0	L			0.318	0.329	0.31	7.3	22.3	3.4	0.289	30	false
83992	Hall of Fame C Ted Simmons STL 1977	C	99	5	S			0.318	0.322	0.316	7.9	15.5	3.0	0.283	20.7	false
86285	All-Star Week - Historical All-Star 1B Ryan Howard PHI 2006	1B	90	5	L			0.318	0.298	0.331	9.6	32.2	4.4	0.308	18.1	true
85305	Baseball Reference 2 LF Rocky Colavito DET 1961	LF	96	5	R			0.318	0.298	0.332	11.1	19.0	4.0	0.256	18.3	false
85518	60s Theme Week - Hardware Heroes 3B Ken Boyer STL 1961	3B	96	5	R			0.318	0.311	0.322	7.8	23.5	2.9	0.308	27.5	false
85043	PTCS 2 - Hall of Fame 2B Red Schoendienst STL 1953	2B	94	0	S			0.317	0.314	0.319	5.1	12.2	1.9	0.304	26	false
85116	FLF 9 - Future Legend SS Colt Emerson SEA 2026	SS	98	5	L			0.317	0.303	0.326	8.5	22.4	2.5	0.304	29.6	false
86273	All-Star Week - Historical All-Star RF Darryl Strawberry NYM 1987	RF	97	5	L			0.316	0.279	0.341	9.3	28.1	4.3	0.278	28.3	true
84672	Opening Day HR Streak - Baseball Reference LF Tyler O&#39;Neill STL 2021	LF	98	5	R			0.316	0.329	0.306	5.8	26.4	3.9	0.309	23.7	false
85861	Clubhouse - Historical All-Star SS Rico Petrocelli BOS 1969	SS	99	0	R			0.315	0.301	0.325	8.9	19.9	3.8	0.263	26.2	false
85301	PTCS 2 - Hall of Fame 3B Eddie Mathews ML1 1961	3B	98	0	L			0.315	0.295	0.328	8.9	24.1	3.5	0.296	18.8	false
85930	July Jewels - Baseball Reference 4 2B Chuck Knoblauch MIN 1996	2B	95	0	R			0.315	0.32	0.312	8.8	18.1	1.5	0.310	26.7	false
85474	Limited Edition/46 1B Prince Fielder MIL 2009	1B	99	0	L			0.315	0.306	0.32	7.5	26.4	3.9	0.296	23.6	false
86132	Limited Edition/36 3B Morgan Ensberg HOU 2005	3B	95	0	R			0.315	0.322	0.31	9.2	26.9	4.0	0.293	19.4	false
85815	Family Connections - Historical All-Star 1B Felipe Alou ATL 1966	1B	92	0	R			0.315	0.319	0.313	2.5	15.2	3.3	0.292	27.3	false
85094	HOF 1 - Hall of Fame 3B Ron Santo CHC 1969	3B	93	5	R			0.315	0.31	0.319	8.1	23.7	3.4	0.304	17.6	false
82737	Hardware Heroes SS Alex Rodriguez TEX 2001	SS	98	5	R			0.315	0.305	0.322	8.0	24.3	3.8	0.290	22.5	false
84878	Celebrating 42 - Negro League Star 2B Larry Doby NeEa 1946	2B	98	5	L			0.315	0.308	0.32	7.2	26.6	3.2	0.309	30.9	false
84649	Future Legend 3B Sal Stewart CIN 2026	3B	97	0	R			0.314	0.324	0.307	7.8	20.3	3.1	0.288	25.8	false
82746	Hardware Heroes 3B Gary Sheffield SD 1992	3B	99	0	R			0.314	0.327	0.306	5.1	14.8	3.2	0.281	24.8	false
86239	Obscure All-Stars - Baseball Reference 5 CF Cedric Mullins BAL 2021	CF	96	0	L			0.314	0.286	0.333	6.1	19.8	2.9	0.301	24.3	true
86263	All-Star Week - Historical All-Star SS Miguel Tejada ATH 2002	SS	77	5	R			0.314	0.304	0.32	4.9	18.0	3.8	0.285	20.2	true
83831	Snapshot C Aaron Robinson NYY 1946	C	98	5	L			0.314	0.33	0.303	8.9	26.0	3.7	0.291	23.3	false
83713	Snapshot 3B Aramis Ramirez MIL 2012	3B	98	5	R			0.314	0.327	0.305	4.3	17.9	3.0	0.290	32.6	false
86072	4th of July On-Stream - Historical All-Star RF Austin Meadows TB 2019	RF	83	5	L			0.314	0.288	0.331	6.7	23.0	3.3	0.301	23.8	false
82731	Hall of Fame 1B Jeff Bagwell HOU 2000	1B	99	5	R			0.314	0.329	0.304	8.8	23.1	3.4	0.291	21.1	false
85491	60s Theme Week - Historical All-Star 1B Roy Sievers CWS 1961	1B	94	5	R			0.313	0.319	0.309	8.4	23.2	3.8	0.276	26.1	false
84173	Veteran Presence C Brian Harper MIN 1991	C	83	5	R			0.313	0.315	0.312	1.7	8.2	2.0	0.297	26.4	false
85752	Heart Attack - All-Time Legend SS Tony Fernandez TOR Peak	SS	96	5	S			0.313	0.303	0.319	7.0	16.1	1.6	0.306	28.2	false
84632	FLF 1 - Future Legend 1B Bryce Eldridge SF 2026	1B	97	5	L			0.313	0.298	0.323	8.1	25.1	3.5	0.293	25.5	false
85191	Young &amp; Old 1 - Snapshot RF Tony Conigliaro BOS 1965	RF	95	5	R			0.313	0.306	0.317	6.4	24.8	3.9	0.293	24.7	false
84633	FLF 2 - Future Legend 2B JJ Wetherholt STL 2026	2B	96	0	L			0.312	0.3	0.321	7.8	17.7	1.8	0.303	27.2	false
86138	Limited Edition/40 RF Richie Scheinblum KC 1972	RF	87	0	S			0.312	0.295	0.324	6.9	15.8	2.2	0.298	22.2	true
85520	60s Theme Week - Hall of Fame RF Al Kaline DET 1961	RF	99	0	R			0.312	0.325	0.303	5.6	15.4	1.9	0.299	30.4	false
85726	SwitchKnucklers - Snapshot RF Ken Singleton MON 1973	RF	92	5	S			0.312	0.303	0.318	10.3	24.4	2.7	0.302	19.7	false
85667	In Memoriam - Snapshot 3B Bob Horner ATL 1983	3B	84	5	R			0.312	0.315	0.31	7.0	27.4	4.0	0.293	25.9	false
83821	Snapshot SS Charlie Hollocher CHC 1922	SS	96	5	L			0.312	0.291	0.326	6.2	10.4	0.9	0.308	25.8	false
84796	Baseball Reference 1 LF Bob Fothergill DET 1927	LF	86	5	R			0.312	0.326	0.303	5.1	18.4	2.2	0.311	27.2	false
85758	T4 Ep. 2 - Historical All-Star 1B Gregg Jefferies STL 1993	1B	84	0	S			0.311	0.316	0.307	6.1	12.8	2.3	0.299	14.5	false
83837	Limited Edition/38 CF Earl Averill CLE 1931	CF	93	0	L			0.311	0.293	0.323	6.1	21.3	3.5	0.284	27	false
84728	FLF 12 - Future Legend SS Eli Willits WSH 2026	SS	94	5	S			0.311	0.31	0.312	9.9	21.3	1.7	0.306	26.7	false
84790	Baseball Reference 1 1B Tino Martinez NYY 1997	1B	87	5	L			0.311	0.298	0.319	7.6	17.2	3.7	0.264	20.4	false
