# CAPPROJ key=earlygold__20260314 role=pit label=Early Gold type=Daily variantMode=all_cards projval=40-89 vlvl0=1467 vlvl5=751 recordsTotal=2218 rows=2218
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
82687	Hardware Heroes SP Old Hoss Radbourn PRO 1884	Starter	89	5	R			0.294	0.295	0.294	9.6	5.4	0.7	0.272	false
85848	Clubhouse - Snapshot RP Tom Niedenfuer LAD 1983	Reliever	88	0	R			0.297	0.304	0.291	10.0	7.2	0.6	0.270	false
86280	T4 Ep. 4 - Historical All-Star SP Randy Jones SD 1976	Starter	83	5	L			0.298	0.288	0.302	5.1	4.0	0.5	0.273	true
84822	Baseball Reference 1 SP Tom Cheney WS2 1963	Starter	78	5	R			0.299	0.296	0.302	9.4	4.8	0.9	0.277	false
85915	FLF 14 &amp; Co. - Snapshot SP Mark Buehrle CWS 2001	Starter	84	5	L			0.299	0.294	0.302	7.5	4.4	0.6	0.279	false
84799	Baseball Reference 1 CL Jim Brewer LAD 1970	Reliever	78	5	L			0.300	0.298	0.301	10.7	5.5	0.6	0.285	false
85871	T4 Ep. 3 - Historical All-Star SP Mario Soto CIN 1983	Starter	83	5	R			0.301	0.303	0.299	11.4	6.0	0.8	0.280	false
85762	SwitchKnucklers - Rookie Sensation RP Pat Neshek MIN 2006	Reliever	85	5	R			0.302	0.319	0.286	11.7	5.1	0.9	0.285	false
84267	July Jewels - Baseball Reference 4 SP Mark Fidrych DET 1976	Starter	84	5	R			0.302	0.308	0.297	6.9	4.4	0.5	0.282	false
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	5	R			0.303	0.313	0.294	10.5	6.1	0.5	0.286	false
83268	Snapshot RP Fernando Abad ATH 2014	Reliever	79	5	L			0.303	0.305	0.302	9.2	6.6	0.6	0.277	false
85651	Limited Edition/47 CL Chad Cordero WAS 2005	Reliever	74	0	R			0.304	0.307	0.301	9.4	6.0	0.7	0.280	false
