# CAPPROJ key=goldcapdaily__20260314 role=pit label=Gold Cap Daily type=Daily variantMode=all_cards projval=40-89 vlvl0=1467 vlvl5=751 recordsTotal=2218 rows=2218
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
86073	Obscure All-Stars - Baseball Reference 5 SP Harry Kincannon PiCr 1934	Starter	45	5	R	22.1	16.3	0.304	0.305	0.303	24.9	6.7	2.6	0.310	true
84799	Baseball Reference 1 CL Jim Brewer LAD 1970	Reliever	78	5	L	19.3	19.9	0.275	0.277	0.274	27.9	5.4	3.0	0.275	false
84825	Baseball Reference 1 RP Reed Garrett NYM 2024	Reliever	49	5	R	19.1	16.3	0.304	0.296	0.31	27.6	10.5	2.1	0.307	false
85871	T4 Ep. 3 - Historical All-Star SP Mario Soto CIN 1983	Starter	83	5	R	18.4	14.2	0.275	0.281	0.271	30.6	5.8	3.5	0.272	false
82683	Hardware Heroes SP Jake Peavy SD 2004	Starter	83	5	R	18.4	14.2	0.275	0.284	0.267	27.7	6.0	2.1	0.293	false
85120	FLF 15 &amp; Co. - Future Legend SP Travis Sykora WSH 2026	Starter	78	5	R	17.3	17.8	0.279	0.284	0.274	30.2	8.0	2.3	0.290	false
84839	Celebrating 42 - Veteran Presence RP Satchel Paige SLA 1952	Reliever	68	5	R	17.2	19.1	0.285	0.295	0.276	27.7	7.6	2.1	0.299	false
84826	T4 Ep. 2 - Baseball Reference 1 RP Adam Ottavino COL 2018	Reliever	79	5	R	17.1	19.4	0.276	0.291	0.264	30.4	9.9	2.1	0.278	false
85286	May Names 1 - Snapshot SP Jakie May CIN 1927	Starter	72	5	L	16.9	14.1	0.286	0.271	0.291	26.5	7.0	2.1	0.298	false
85838	T4 Ep. 3 - Historical All-Star CL Gary Lavelle SF 1977	Reliever	82	5	L	16.8	12.1	0.279	0.26	0.286	25.8	5.6	1.9	0.299	false
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	5	R	16.6	19.4	0.265	0.268	0.264	26.0	5.9	2.0	0.275	false
85032	FLF 14 &amp; Co. - Future Legend SP Tanner McDougal CWS 2026	Starter	66	5	R	15.7	15.9	0.291	0.296	0.288	27.8	9.1	2.3	0.293	false
85288	May Names 1 - Snapshot RP Rudy May MON 1979	Reliever	74	5	L	15.6	15.7	0.283	0.256	0.293	26.3	6.4	2.1	0.298	false
86229	Clubhouse - Baseball Reference 5 CL Alex Reyes STL 2021	Reliever	53	0	R	15.4	15.8	0.305	0.312	0.3	27.1	12.5	2.8	0.276	true
86073	Obscure All-Stars - Baseball Reference 5 SP Harry Kincannon PiCr 1934	Starter	45	0	R	15.3	9.5	0.317	0.318	0.315	23.5	7.5	2.9	0.310	true
86251	All-Star Week - Historical All-Star CL Brad Hand SD 2017	Reliever	76	5	L	15.2	17.3	0.280	0.279	0.281	30.5	5.9	3.2	0.286	true
86197	Clubhouse - Baseball Reference 5 RP Ace Adams NY1 1943	Reliever	46	0	R	15.2	9.5	0.317	0.345	0.293	16.4	8.4	2.9	0.279	true
85121	FLF 12 - Future Legend RP Jurrangelo Cijntje STL 2026	Reliever	80	5	R	15.1	12.1	0.279	0.281	0.278	29.5	8.5	2.5	0.281	false
84884	Celebrating 42 - Negro League Star SP Dan Bankhead MRS 1946	Starter	74	5	R	15.1	15.2	0.284	0.285	0.283	28.7	8.5	2.0	0.297	false
86161	Limited Edition/53 SP Jake Odorizzi MIN 2019	Starter	73	0	R	14.8	14.7	0.285	0.29	0.281	26.5	6.0	2.7	0.290	true
85457	May Birthdays - Unsung Heroes RP Tony Watson PIT 2015	Reliever	87	5	L	14.7	15.7	0.272	0.263	0.275	21.7	5.5	1.8	0.278	false
86113	Limited Edition/49 CL Sid Monge CLE 1979	Reliever	80	0	L	14.6	11.5	0.280	0.285	0.278	29.1	8.8	2.5	0.277	true
84758	FLF 15 &amp; Co. - Future Legend RP Luis De Leon BAL 2026	Reliever	77	5	L	14.5	17.3	0.280	0.249	0.292	30.7	9.3	2.3	0.285	false
85031	FLF 9 - Future Legend RP Winston Santos TEX 2026	Reliever	65	5	R	14.4	14.4	0.294	0.294	0.294	25.8	8.0	3.0	0.281	false
84825	Baseball Reference 1 RP Reed Garrett NYM 2024	Reliever	49	0	R	14.4	11.6	0.313	0.306	0.319	26.4	11.3	2.2	0.308	false
86134	Limited Edition/65 RP Aaron Crow KC 2011	Reliever	51	0	R	14.4	14.2	0.308	0.331	0.289	25.5	9.2	2.9	0.293	true
84827	Baseball Reference 1 SP Brian Fisher PIT 1988	Starter	43	5	R	14.3	4.3	0.327	0.347	0.311	15.6	7.0	3.0	0.295	false
83237	Snapshot RP Eddie Watt BAL 1967	Reliever	72	5	R	14.3	11.5	0.291	0.299	0.285	25.2	8.1	2.7	0.278	false
83205	Veteran Presence RP Larry Andersen PHI 1993	Reliever	72	5	R	14.3	11.5	0.291	0.297	0.287	27.1	6.9	2.5	0.300	false
85920	July Jewels - Baseball Reference 4 RP Brad Clontz ATL 1995	Reliever	73	5	R	14.2	14.1	0.286	0.305	0.269	22.4	6.1	1.7	0.296	false
83288	Snapshot RP Rafael Betancourt CLE 2005	Reliever	83	5	R	14.2	10	0.283	0.295	0.273	26.8	5.7	2.5	0.295	false
84265	Rookie Sensation RP Clay Bryant CHC 1936	Reliever	66	5	R	14.2	14.4	0.294	0.295	0.293	26.8	8.1	2.2	0.303	false
86212	Obscure All-Stars - Baseball Reference 5 SP C.J. Wilson TEX 2011	Starter	87	5	L	14.2	15.2	0.273	0.272	0.273	27.7	6.1	2.2	0.288	true
85669	June Gems - Baseball Reference 3 CL Dan Spillner CLE 1982	Reliever	64	5	R	14.1	14.4	0.294	0.306	0.284	22.7	6.3	2.5	0.290	false
85730	SwitchKnucklers - Veteran Presence SP Johnny Niggeling WS1 1944	Starter	78	5	R	14.1	14.7	0.285	0.283	0.287	27.2	9.6	2.2	0.280	false
83249	Snapshot RP Rich Garces BOS 2000	Reliever	78	5	R	14.1	14.7	0.285	0.274	0.293	24.0	5.1	2.7	0.285	false
85762	SwitchKnucklers - Rookie Sensation RP Pat Neshek MIN 2006	Reliever	85	5	R	13.8	15.7	0.272	0.288	0.258	31.7	4.5	3.7	0.274	false
85219	Baseball Reference 2 RP Jonathan Broxton LAD 2006	Reliever	85	5	R	13.8	15.7	0.272	0.284	0.262	30.4	7.4	2.2	0.286	false
85489	60s Theme Week - Veteran Presence CL Luis Arroyo NYY 1961	Reliever	84	5	L	13.7	15.2	0.273	0.266	0.276	26.5	8.1	1.9	0.276	false
83197	Snapshot RP Mike Stanton SEA 1984	Reliever	72	5	R	13.7	11	0.292	0.293	0.292	26.0	6.9	2.4	0.300	false
82683	Hardware Heroes SP Jake Peavy SD 2004	Starter	83	0	R	13.7	9.5	0.284	0.294	0.276	26.5	6.7	2.2	0.295	false
86280	T4 Ep. 4 - Historical All-Star SP Randy Jones SD 1976	Starter	83	5	L	13.7	9.5	0.284	0.278	0.286	12.4	3.1	2.2	0.267	true
86135	Obscure All-Stars - Baseball Reference 5 SP Gil Meche KC 2007	Starter	60	5	R	13.6	11.2	0.300	0.288	0.31	20.9	5.7	2.6	0.292	true
83261	Snapshot RP Dennis Cook TEX 1996	Reliever	76	5	L	13.6	15.7	0.283	0.26	0.291	25.0	8.6	1.7	0.286	false
83263	Snapshot RP Mark Littell STL 1979	Reliever	77	5	R	13.5	16.2	0.282	0.283	0.281	25.8	9.5	1.8	0.281	false
84770	Future Legend SP Didier Fuentes ATL 2026	Starter	79	5	R	13.4	15.7	0.283	0.282	0.285	27.6	5.3	2.4	0.302	false
85370	Played Where? - Veteran Presence CL Tom Henke STL 1995	Reliever	85	5	R	13.3	15.2	0.273	0.262	0.281	26.0	7.4	1.8	0.282	false
85372	T4 Ep. 1 - Unsung Heroes CL Joakim Soria CWS 2018	Reliever	73	5	R	13.2	13.1	0.288	0.303	0.276	25.0	5.6	1.9	0.309	false
85151	Clubhouse - Y&amp;O 1 - Veteran Presence RP Don McMahon CWS 1967	Reliever	75	0	R	13.2	12.6	0.289	0.307	0.274	22.8	7.3	2.7	0.272	false
83235	Snapshot RP Greg Harris TEX 1985	Reliever	76	5	R	13.1	15.2	0.284	0.279	0.288	28.7	8.5	2.7	0.280	false
84285	Rookie Sensation RP Seth Morehead PHI 1957	Reliever	78	5	L	13.1	13.6	0.287	0.279	0.29	23.1	6.7	1.6	0.301	false
