# CAPPROJ key=goldquick__20260313 role=hit label=Gold Quick type=Quick variantMode=all_cards projval=40-89 vlvl0=1843 vlvl5=1111 recordsTotal=2954 rows=2954
CID	Name	Position	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	BBpct	SOpct	HRpct	BABIP	XBHpct	ProjectedNewCard
85939	July Jewels - Baseball Reference 4 LF Chick Hafey STL 1928	LF	89	5	R			0.361	0.367	0.357	5.1	19.1	4.9	0.311	30.9	false
85939	July Jewels - Baseball Reference 4 LF Chick Hafey STL 1928	LF	89	0	R			0.343	0.348	0.34	4.5	20.8	4.5	0.307	30.1	false
86263	All-Star Week - Historical All-Star SS Miguel Tejada ATH 2002	SS	77	5	R			0.341	0.337	0.343	4.8	15.5	4.6	0.290	21.5	true
85758	T4 Ep. 2 - Historical All-Star 1B Gregg Jefferies STL 1993	1B	84	5	S			0.341	0.356	0.33	6.5	9.9	2.7	0.308	18.8	false
85311	All-Star Week - Historical All-Star LF Frank Howard WS2 1968	LF	81	5	R			0.339	0.382	0.311	6.9	26.9	6.0	0.281	24.2	true
85667	In Memoriam - Snapshot 3B Bob Horner ATL 1983	3B	84	5	R			0.339	0.344	0.336	7.1	25.4	5.1	0.298	25.6	false
85776	Family Connections - Historical All-Star RF Danny Tartabull KC 1991	RF	87	5	R			0.337	0.34	0.335	8.4	33.3	5.2	0.318	28.5	false
84790	Baseball Reference 1 1B Tino Martinez NYY 1997	1B	87	5	L			0.336	0.321	0.346	7.5	14.8	4.6	0.268	21.6	false
86072	4th of July On-Stream - Historical All-Star RF Austin Meadows TB 2019	RF	83	5	L			0.335	0.306	0.355	6.6	20.9	4.0	0.307	24.2	false
86274	All-Star Week - Historical All-Star RF Ruben Sierra TEX 1989	RF	78	5	S			0.334	0.357	0.317	3.5	20.1	4.3	0.302	29	true
85475	PTCS 3 - Hardware Heroes 1B Prince Fielder DET 2013	1B	87	0	L			0.331	0.331	0.331	8.0	19.0	3.8	0.293	20.2	false
86262	All-Star Week - Historical All-Star SS Asdrubal Cabrera CLE 2011	SS	85	5	S			0.331	0.323	0.336	5.4	17.2	3.7	0.296	25.3	true
86138	Limited Edition/40 RF Richie Scheinblum KC 1972	RF	87	0	S			0.330	0.318	0.338	7.0	13.5	2.5	0.303	22.9	true
86109	Clubhouse - Baseball Reference 5 SS Zack Cozart CIN 2017	SS	83	0	R			0.330	0.351	0.316	8.1	18.5	3.4	0.298	22.9	true
86270	All-Star Week - Historical All-Star CF Dale Murphy ATL 1982	CF	88	5	R			0.330	0.356	0.312	9.0	27.6	4.6	0.306	16.8	true
85878	T4 Ep. 3 - Snapshot RF Willie Keeler BLN 1894	RF	77	5	L			0.329	0.317	0.338	2.7	6.0	1.4	0.317	24.3	false
86067	4th of July On-Stream - Snapshot 2B Jack Burdock BSN 1883	2B	87	5	R			0.329	0.334	0.324	4.9	19.3	3.1	0.314	27.8	false
84796	Baseball Reference 1 LF Bob Fothergill DET 1927	LF	86	5	R			0.328	0.347	0.315	5.0	15.9	2.5	0.316	26.7	false
86266	T4 Ep. 4 - Historical All-Star LF Dante Bichette COL 1995	LF	78	5	R			0.328	0.343	0.318	2.6	25.1	4.9	0.310	25.1	true
85304	Baseball Reference 2 3B Sid Gordon NY1 1949	3B	89	5	R			0.327	0.341	0.317	10.4	16.8	4.3	0.250	23.8	false
82774	World Baseball Classic SS Yu Chang TPE 2023	SS	89	5	R			0.327	0.341	0.318	6.4	21.3	3.3	0.311	26.2	false
85758	T4 Ep. 2 - Historical All-Star 1B Gregg Jefferies STL 1993	1B	84	0	S			0.326	0.338	0.317	6.0	11.1	2.4	0.304	17.1	false
84173	Veteran Presence C Brian Harper MIN 1991	C	83	5	R			0.326	0.325	0.326	1.7	7.3	2.3	0.302	26.2	false
85529	Memorial Day OnStream Builds - Snapshot 2B Brian Dozier MIN 2016	2B	88	5	R			0.326	0.336	0.32	6.6	20.0	4.9	0.264	26	false
85494	60s Theme Week - Historical All-Star SS Ernie Banks CHC 1961	SS	83	5	R			0.326	0.344	0.314	6.7	17.9	4.4	0.274	22.2	false
85859	Clubhouse - Hardware Heroes 1B Cecil Cooper ML4 1980	1B	89	0	L			0.325	0.296	0.344	2.1	14.4	3.3	0.309	21.2	false
85106	HOF 1 - Hall of Fame SS Robin Yount ML4 1982	SS	83	5	R			0.325	0.316	0.331	6.1	16.4	3.3	0.287	28.3	false
83798	Snapshot CF Al Simmons PHA 1926	CF	89	5	R			0.325	0.333	0.319	4.7	18.9	3.8	0.291	28.8	false
83964	Veteran Presence DH Edgar Martinez SEA 2003	DH	84	5	R			0.324	0.339	0.313	9.1	20.0	3.4	0.291	19.9	false
