# CAPPROJ key=goldquick__20260313 role=pit label=Gold Quick type=Quick variantMode=all_cards projval=40-89 vlvl0=1467 vlvl5=751 recordsTotal=2218 rows=2218
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	5	R			0.281	0.285	0.278	24.3	6.4	2.3	0.284	false
85911	Blue Jays 50th Anniversary SP Dave Stieb TOR 1990	Starter	89	5	R			0.281	0.288	0.275	22.9	5.8	2.0	0.289	false
85489	60s Theme Week - Veteran Presence CL Luis Arroyo NYY 1961	Reliever	84	5	L			0.284	0.283	0.284	24.9	8.5	2.0	0.284	false
85457	May Birthdays - Unsung Heroes RP Tony Watson PIT 2015	Reliever	87	5	L			0.285	0.286	0.285	20.9	6.0	2.0	0.285	false
86212	Obscure All-Stars - Baseball Reference 5 SP C.J. Wilson TEX 2011	Starter	87	5	L			0.286	0.285	0.287	26.2	6.6	2.4	0.296	true
85870	Clubhouse - Historical All-Star CL Dave Righetti NYY 1986	Reliever	85	0	L			0.287	0.3	0.28	23.0	6.3	2.0	0.295	false
85370	Played Where? - Veteran Presence CL Tom Henke STL 1995	Reliever	85	5	R			0.287	0.279	0.294	24.5	7.6	2.1	0.289	false
85219	Baseball Reference 2 RP Jonathan Broxton LAD 2006	Reliever	85	5	R			0.288	0.303	0.272	28.6	7.9	2.6	0.295	false
86236	Limited Edition/70 RP Brett Cecil TOR 2013	Reliever	89	0	L			0.289	0.265	0.301	26.2	7.6	2.6	0.288	true
85119	FLF 7 - Future Legend SP Robby Snelling MIA 2026	Starter	81	5	L			0.289	0.279	0.295	26.8	7.6	2.0	0.305	false
82683	Hardware Heroes SP Jake Peavy SD 2004	Starter	83	5	R			0.289	0.301	0.278	25.9	6.5	2.4	0.300	false
86277	T4 Ep. 4 - Historical All-Star SP Jack McDowell CWS 1991	Starter	85	5	R			0.289	0.285	0.293	25.0	7.0	2.5	0.290	true
85694	June Gems - Baseball Reference 3 SP A.J. Burnett FLO 2002	Starter	86	5	R			0.289	0.298	0.28	27.6	9.1	2.0	0.298	false
85948	July Jewels - Baseball Reference 4 CL Al Worthington MIN 1964	Reliever	86	0	R			0.290	0.291	0.289	23.1	7.0	2.4	0.286	false
85911	Blue Jays 50th Anniversary SP Dave Stieb TOR 1990	Starter	89	0	R			0.290	0.3	0.281	21.8	6.2	2.2	0.290	false
