# CAPPROJ key=ironquick__20260313 role=pit label=Iron Quick type=Quick variantMode=all_cards projval=40-59 vlvl0=551 vlvl5=249 recordsTotal=800 rows=800
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
85767	Family Connections - Hall of Fame RP Billy Wagner HOU 1996	Reliever	58	5	L			0.282	0.258	0.29	31.8	10.6	3.1	0.258	false
85829	Clubhouse - Rookie Sensation SP Joe Krakauskas WS1 1938	Starter	57	0	L			0.283	0.277	0.285	30.2	12.8	1.9	0.268	false
84720	Clubhouse - April Fools&#39; Day CL Mike Marshall MON 1973	Reliever	57	0	R			0.285	0.275	0.293	23.3	7.3	1.4	0.298	false
86229	Clubhouse - Baseball Reference 5 CL Alex Reyes STL 2021	Reliever	53	0	R			0.286	0.297	0.277	27.8	11.1	2.3	0.268	true
84825	Baseball Reference 1 RP Reed Garrett NYM 2024	Reliever	49	5	R			0.286	0.282	0.288	28.4	9.0	1.6	0.302	false
84242	Rookie Sensation RP Steve Olin CLE 1989	Reliever	58	5	R			0.287	0.295	0.282	21.3	6.2	1.3	0.303	false
85827	T4 Ep. 3 - Negro League Star SP Bob Romby BEG 1948	Starter	58	5	L			0.288	0.278	0.291	22.5	7.8	2.2	0.276	false
85828	Heart Attack - Negro League Star SP Patricio Scantlebury NYC 1946	Starter	56	5	L			0.289	0.284	0.291	21.2	6.7	1.2	0.304	false
83078	Snapshot CL Hector Rondon HOU 2018	Reliever	59	5	R			0.289	0.295	0.285	23.1	5.6	1.7	0.306	false
82807	Unsung Heroes RP Hal McKain CWS 1930	Reliever	57	5	R			0.289	0.293	0.286	26.2	7.6	1.8	0.304	false
83082	Snapshot RP Hector Carrasco MIN 1999	Reliever	59	5	R			0.289	0.289	0.288	20.4	5.9	1.6	0.296	false
86073	Obscure All-Stars - Baseball Reference 5 SP Harry Kincannon PiCr 1934	Starter	45	5	R			0.290	0.296	0.286	25.1	5.5	2.1	0.306	true
82661	Veteran Presence CL Mark Melancon SD 2021	Reliever	59	5	R			0.291	0.285	0.296	18.7	6.6	1.5	0.292	false
83081	Snapshot RP Paul Shuey CLE 1998	Reliever	57	5	R			0.292	0.299	0.287	28.1	6.8	2.9	0.293	false
84022	May Birthdays - Snapshot CL Trevor Rosenthal STL 2014	Reliever	53	5	R			0.292	0.286	0.296	25.8	12.4	0.9	0.295	false
83086	Snapshot RP Tom Bruno STL 1979	Reliever	58	5	R			0.292	0.31	0.278	22.9	10.4	1.0	0.295	false
86134	Limited Edition/65 RP Aaron Crow KC 2011	Reliever	51	0	R			0.293	0.323	0.269	26.1	7.8	2.4	0.290	true
83071	Snapshot CL Antonio Alfonseca FLO 1999	Reliever	59	5	R			0.293	0.289	0.296	16.9	5.2	1.3	0.298	false
85895	FLF 14 &amp; Co. - Unsung Heroes SP Earl Wilson BOS 1962	Starter	55	5	R			0.295	0.309	0.285	23.6	9.1	2.5	0.275	false
83055	Snapshot RP Jordan Walden LAA 2012	Reliever	54	5	R			0.295	0.299	0.292	25.5	7.7	2.1	0.301	false
83050	Snapshot RP Salomon Torres PIT 2005	Reliever	56	5	R			0.295	0.282	0.306	16.8	6.1	2.1	0.279	false
81894	MLB 2026 Live RP Isaac Mattson PIT	Reliever	58	0	R			0.296	0.297	0.296	21.9	7.2	2.3	0.288	false
82447	MLB 2026 Live RP Tim Herrin CLE	Reliever	59	0	L			0.296	0.287	0.299	23.6	7.7	2.4	0.288	false
82259	MLB 2026 Live RP Tyler Ferguson CHC	Reliever	59	0	R			0.296	0.3	0.294	22.6	6.8	2.4	0.290	false
83091	Snapshot RP Jack Russell CHC 1939	Reliever	58	5	R			0.296	0.306	0.287	22.3	5.5	2.4	0.296	false
83049	Snapshot SP Ice Box Chamberlain CIN 1893	Starter	58	5	R			0.296	0.3	0.293	20.4	6.4	2.5	0.281	false
