# CAPPROJ key=latebronze__20260313 role=pit label=Late Bronze type=Daily variantMode=all_cards projval=40-69 vlvl0=963 vlvl5=461 recordsTotal=1424 rows=1424
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
83180	Snapshot RP Ken Sanders NYM 1975	Reliever	68	5	R			0.275	0.276	0.273	6.5	4.2	1.8	0.236	false
85279	May Names 2 - Historical All-Star SP Joe Mays MIN 2001	Starter	64	5	R			0.281	0.28	0.281	10.2	5.7	1.8	0.244	false
84883	Celebrating 42 - Negro League Star SP Johnny Wright HoGr 1941	Starter	68	5	R			0.286	0.291	0.281	12.4	5.6	2.2	0.251	false
85698	T4 Ep. 2 - Rookie Sensation SP Jim Bouton NYY 1963	Starter	64	5	R			0.286	0.282	0.29	12.7	7.3	1.9	0.248	false
83180	Snapshot RP Ken Sanders NYM 1975	Reliever	68	0	R			0.287	0.289	0.285	5.6	4.7	1.8	0.245	false
84696	Clubhouse - April Fools&#39; Day RP Bob Miller DET 1954	Reliever	69	0	L			0.289	0.257	0.307	11.3	6.4	1.0	0.269	false
85869	T4 Ep. 3 - Historical All-Star SP Johnny Antonelli NY1 1954	Starter	67	5	L			0.289	0.321	0.271	16.7	6.8	2.6	0.253	false
85344	Played Where? - Snapshot SP Frank Viola BOS 1992	Starter	69	5	L			0.291	0.268	0.304	10.7	6.3	1.5	0.263	false
84272	Rookie Sensation RP Dick Lines WS2 1966	Reliever	69	5	L			0.292	0.293	0.292	12.7	5.7	1.7	0.269	false
83869	Historical All-Star SP Dave Stieb TOR 1981	Starter	65	5	R			0.293	0.284	0.304	13.9	6.4	1.8	0.267	false
85827	T4 Ep. 3 - Negro League Star SP Bob Romby BEG 1948	Starter	58	5	L			0.293	0.288	0.295	14.3	8.3	1.8	0.258	false
83145	Snapshot SP Jesse Duryea WAS 1892	Starter	64	5	R			0.293	0.295	0.29	12.6	6.8	2.2	0.253	false
84839	Celebrating 42 - Veteran Presence RP Satchel Paige SLA 1952	Reliever	68	5	R			0.294	0.3	0.285	17.8	7.0	1.3	0.288	false
84854	Limited Edition/42 RP Jack Meyer PHI 1958	Reliever	69	0	R			0.295	0.291	0.3	19.1	7.1	1.4	0.292	false
85031	FLF 9 - Future Legend RP Winston Santos TEX 2026	Reliever	65	5	R			0.295	0.301	0.288	17.1	7.3	1.9	0.273	false
86092	Limited Edition/73 SP Travis Wood CHC 2013	Starter	63	0	L			0.296	0.293	0.298	11.9	7.3	2.1	0.255	true
85767	Family Connections - Hall of Fame RP Billy Wagner HOU 1996	Reliever	58	5	L			0.296	0.275	0.307	19.7	12.0	2.6	0.238	false
85875	Heart Attack - Snapshot SP Greg Maddux CHC 1989	Starter	62	5	R			0.296	0.315	0.273	13.0	6.5	1.6	0.273	false
86106	Obscure All-Stars - Baseball Reference 5 CL Bill Henry CIN 1960	Reliever	69	5	L			0.296	0.306	0.291	19.8	5.3	2.3	0.287	true
85877	T4 Ep. 3 - Snapshot SP Jim Deshaies HOU 1989	Starter	67	5	L			0.296	0.308	0.289	13.7	7.7	1.5	0.269	false
83119	Snapshot RP Mike Armstrong KC 1982	Reliever	60	5	R			0.296	0.307	0.282	15.0	8.3	2.0	0.259	false
85279	May Names 2 - Historical All-Star SP Joe Mays MIN 2001	Starter	64	0	R			0.297	0.299	0.294	9.1	6.2	2.1	0.252	false
85293	PTCS 3 - Unsung Heroes SP Darrell May KC 2003	Starter	60	0	L			0.297	0.274	0.309	12.6	5.1	2.9	0.251	false
83050	Snapshot RP Salomon Torres PIT 2005	Reliever	56	5	R			0.297	0.294	0.299	11.6	6.7	1.8	0.264	false
83200	Snapshot SP Dutch Leonard WS1 1938	Starter	69	5	R			0.297	0.28	0.319	10.8	4.8	1.8	0.271	false
84821	Baseball Reference 1 RP John Gant STL 2019	Reliever	62	5	R			0.297	0.312	0.278	11.8	10.2	1.5	0.253	false
86229	Clubhouse - Baseball Reference 5 CL Alex Reyes STL 2021	Reliever	53	0	R			0.298	0.304	0.291	17.7	12.7	1.8	0.249	true
86193	Limited Edition/73 CL Shigetoshi Hasegawa SEA 2003	Reliever	65	0	R			0.298	0.305	0.29	6.5	4.9	1.2	0.271	true
83189	Snapshot RP Jim Todd ATH 1975	Reliever	68	5	R			0.299	0.307	0.29	10.5	5.7	1.6	0.272	false
83112	Snapshot SP Chris Short PHI 1963	Starter	65	5	L			0.299	0.267	0.317	15.1	7.1	1.6	0.281	false
