# CAPPROJ key=liveopendaily__20260313 role=pit label=Live Open Daily type=Daily variantMode=all_cards projval=41-100 vlvl0=675 vlvl5=0 recordsTotal=675 rows=675
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
81761	MLB 2026 Live CL Mason Miller SD	Reliever	100	0	R			0.293	0.293	0.292	28.1	8.4	2.4	0.301	false
82063	MLB 2026 Live CL Jhoan Duran PHI	Reliever	100	0	R			0.293	0.296	0.29	23.5	6.4	2.1	0.304	false
82065	MLB 2026 Live SP Cristopher Sanchez PHI	Starter	100	0	L			0.297	0.289	0.303	22.2	5.0	2.5	0.302	false
81776	MLB 2026 Live DH Shohei Ohtani LAD	Starter	100	0	R			0.297	0.297	0.295	23.3	7.4	2.3	0.299	false
82450	MLB 2026 Live CL Cade Smith CLE	Reliever	98	0	R			0.300	0.299	0.3	25.2	6.7	2.6	0.306	false
82424	MLB 2026 Live SP Tarik Skubal DET	Starter	100	0	L			0.300	0.302	0.297	24.4	4.9	3.1	0.301	false
82162	MLB 2026 Live SP Chris Sale ATL	Starter	100	0	L			0.300	0.296	0.304	23.6	6.3	2.6	0.302	false
81760	MLB 2026 Live RP Adrian Morejon SD	Reliever	89	0	L			0.302	0.301	0.302	21.4	6.4	2.4	0.301	false
81947	MLB 2026 Live SP Jacob Misiorowski MIL	Starter	100	0	R			0.302	0.304	0.3	25.4	7.8	2.8	0.300	false
81943	MLB 2026 Live CL Trevor Megill MIL	Reliever	91	0	R			0.302	0.3	0.305	23.3	7.1	2.5	0.302	false
82511	MLB 2026 Live CL Louie Varland TOR	Reliever	96	0	R			0.304	0.308	0.299	21.5	6.5	2.5	0.302	false
81919	MLB 2026 Live SP Paul Skenes PIT	Starter	100	0	R			0.304	0.305	0.302	24.3	6.0	3.1	0.301	false
82617	MLB 2026 Live CL Aroldis Chapman BOS	Reliever	93	0	L			0.305	0.303	0.308	25.1	9.8	2.4	0.301	false
82156	MLB 2026 Live RP Robert Suarez ATL	Reliever	89	0	R			0.306	0.302	0.312	20.9	6.3	2.6	0.300	false
82622	MLB 2026 Live SP Garrett Crochet BOS	Starter	100	0	L			0.306	0.302	0.31	24.7	6.8	3.0	0.303	false
81732	MLB 2026 Live SP Logan Webb SF	Starter	97	0	R			0.307	0.307	0.305	19.2	5.9	2.4	0.302	false
82485	MLB 2026 Live RP Sean Newcomb CWS	Reliever	89	0	L			0.307	0.306	0.308	20.5	7.4	2.3	0.302	false
82587	MLB 2026 Live SP Max Fried NYY	Starter	99	0	L			0.307	0.304	0.311	18.9	6.9	2.2	0.301	false
82154	MLB 2026 Live RP Dylan Lee ATL	Reliever	89	0	L			0.308	0.305	0.31	23.0	5.9	3.2	0.300	false
82487	MLB 2026 Live RP Grant Taylor CWS	Reliever	93	0	R			0.309	0.31	0.306	22.2	6.8	2.8	0.303	false
82620	MLB 2026 Live SP Ranger Suarez BOS	Starter	91	0	L			0.310	0.308	0.312	19.2	6.6	2.4	0.302	false
82187	MLB 2026 Live CL Josh Hader HOU	Reliever	95	0	L			0.310	0.307	0.313	25.6	8.7	3.1	0.299	false
82245	MLB 2026 Live RP Jose A. Ferrer SEA	Reliever	77	0	L			0.310	0.309	0.311	19.5	6.5	2.4	0.306	false
84585	MLB 2026 Live CL Devin Williams NYM	Reliever	91	0	R			0.311	0.315	0.305	24.0	8.7	2.8	0.301	false
82248	MLB 2026 Live RP Gabe Speier SEA	Reliever	80	0	L			0.311	0.303	0.318	21.8	6.7	2.9	0.302	false
82092	MLB 2026 Live RP Brooks Raley NYM	Reliever	79	0	L			0.311	0.303	0.318	21.0	7.7	2.6	0.301	false
82003	MLB 2026 Live RP Ben Brown CHC	Reliever	89	0	R			0.311	0.311	0.31	20.9	7.1	2.6	0.301	false
82247	MLB 2026 Live RP Matt Brash SEA	Reliever	83	0	R			0.311	0.312	0.309	22.2	9.3	2.4	0.302	false
81792	MLB 2026 Live CL Tanner Scott LAD	Reliever	86	0	L			0.312	0.308	0.316	22.4	6.6	3.2	0.301	false
82002	MLB 2026 Live RP Hunter Harvey CHC	Reliever	89	0	R			0.312	0.315	0.308	20.5	6.2	2.9	0.301	false
