# CAPPROJ key=silverquick__20260313 role=pit label=Silver Quick type=Quick variantMode=all_cards projval=40-79 vlvl0=1267 vlvl5=627 recordsTotal=1894 rows=1894
CID	Name	Role	VAL	VLvl	Hand	Cap Value	Slots Value	pwOBA	pwOBA_vL	pwOBA_vR	Kpct	BBpct	HRpct	BABIP	ProjectedNewCard
84799	Baseball Reference 1 CL Jim Brewer LAD 1970	Reliever	78	5	L			0.282	0.289	0.279	23.4	4.6	3.0	0.278	false
83261	Snapshot RP Dennis Cook TEX 1996	Reliever	76	5	L			0.283	0.269	0.288	21.3	7.4	1.5	0.290	false
84285	Rookie Sensation RP Seth Morehead PHI 1957	Reliever	78	5	L			0.284	0.28	0.285	19.6	5.7	1.2	0.302	false
83263	Snapshot RP Mark Littell STL 1979	Reliever	77	5	R			0.284	0.284	0.284	21.9	8.4	1.6	0.286	false
84826	T4 Ep. 2 - Baseball Reference 1 RP Adam Ottavino COL 2018	Reliever	79	5	R			0.286	0.299	0.272	25.2	9.0	2.2	0.282	false
84758	FLF 15 &amp; Co. - Future Legend RP Luis De Leon BAL 2026	Reliever	77	5	L			0.287	0.261	0.297	25.6	8.0	2.4	0.289	false
85288	May Names 1 - Snapshot RP Rudy May MON 1979	Reliever	74	5	L			0.288	0.271	0.295	22.4	5.5	2.1	0.300	false
86251	All-Star Week - Historical All-Star CL Brad Hand SD 2017	Reliever	76	5	L			0.289	0.296	0.287	25.4	5.1	3.2	0.288	true
85920	July Jewels - Baseball Reference 4 RP Brad Clontz ATL 1995	Reliever	73	5	R			0.289	0.305	0.271	18.7	5.2	1.5	0.301	false
85120	FLF 15 &amp; Co. - Future Legend SP Travis Sykora WSH 2026	Starter	78	5	R			0.291	0.297	0.283	25.1	6.9	2.6	0.294	false
85286	May Names 1 - Snapshot SP Jakie May CIN 1927	Starter	72	5	L			0.291	0.287	0.293	22.5	6.1	2.2	0.299	false
83258	Snapshot RP Jonathan Loaisiga NYY 2021	Reliever	77	5	R			0.291	0.294	0.288	17.7	5.3	1.5	0.301	false
84271	Rookie Sensation RP Adam Cimber SD 2018	Reliever	69	5	R			0.291	0.312	0.268	18.6	7.2	1.4	0.297	false
84884	Celebrating 42 - Negro League Star SP Dan Bankhead MRS 1946	Starter	74	5	R			0.291	0.295	0.287	24.0	7.3	2.1	0.299	false
85730	SwitchKnucklers - Veteran Presence SP Johnny Niggeling WS1 1944	Starter	78	5	R			0.292	0.293	0.291	23.0	8.3	2.4	0.283	false
83251	Snapshot RP Greg McMichael ATL 1996	Reliever	77	5	R			0.292	0.3	0.284	19.7	4.7	1.9	0.303	false
83248	Snapshot RP Michael King NYY 2022	Reliever	76	5	R			0.292	0.294	0.289	21.1	5.7	2.1	0.297	false
83235	Snapshot RP Greg Harris TEX 1985	Reliever	76	5	R			0.292	0.293	0.291	24.1	7.2	2.8	0.284	false
82823	Unsung Heroes RP John D&#39;Acquisto SD 1978	Reliever	76	5	R			0.292	0.3	0.284	25.3	10.6	1.9	0.291	false
84839	Celebrating 42 - Veteran Presence RP Satchel Paige SLA 1952	Reliever	68	5	R			0.293	0.302	0.284	23.0	6.6	2.2	0.301	false
83226	Veteran Presence RP Johnny Klippstein PHI 1963	Reliever	72	5	R			0.293	0.285	0.302	19.6	7.7	1.8	0.291	false
83249	Snapshot RP Rich Garces BOS 2000	Reliever	78	5	R			0.293	0.29	0.297	20.5	4.5	2.8	0.290	false
85651	Limited Edition/47 CL Chad Cordero WAS 2005	Reliever	74	0	R			0.294	0.291	0.298	19.5	5.0	3.2	0.274	false
84754	FLF 9 - Future Legend SP Jonah Tong NYM 2026	Starter	77	5	R			0.294	0.298	0.289	24.4	6.5	3.1	0.286	false
83233	Snapshot RP George Sherrill SEA 2006	Reliever	72	5	L			0.294	0.288	0.296	19.7	8.1	1.3	0.300	false
84770	Future Legend SP Didier Fuentes ATL 2026	Starter	79	5	R			0.294	0.296	0.292	23.4	4.7	2.7	0.303	false
83240	Snapshot RP Terry Forster ATL 1983	Reliever	76	5	L			0.294	0.3	0.292	20.1	6.0	2.4	0.290	false
83268	Snapshot RP Fernando Abad ATH 2014	Reliever	79	5	L			0.294	0.295	0.294	19.0	5.7	3.1	0.272	false
84826	T4 Ep. 2 - Baseball Reference 1 RP Adam Ottavino COL 2018	Reliever	79	0	R			0.295	0.307	0.282	24.2	9.6	2.4	0.284	false
86161	Limited Edition/53 SP Jake Odorizzi MIN 2019	Starter	73	0	R			0.295	0.306	0.284	22.7	5.3	2.8	0.295	true
84285	Rookie Sensation RP Seth Morehead PHI 1957	Reliever	78	0	L			0.295	0.292	0.296	18.3	6.3	1.4	0.304	false
83263	Snapshot RP Mark Littell STL 1979	Reliever	77	0	R			0.295	0.297	0.292	20.9	9.1	1.8	0.289	false
83261	Snapshot RP Dennis Cook TEX 1996	Reliever	76	0	L			0.295	0.281	0.301	20.3	8.1	1.7	0.295	false
84799	Baseball Reference 1 CL Jim Brewer LAD 1970	Reliever	78	0	L			0.295	0.303	0.291	22.4	5.0	3.4	0.281	false
85892	Heart Attack - Negro League Star SP Roy Partlow HoGr 1939	Starter	78	5	L			0.295	0.287	0.298	17.4	6.2	2.4	0.279	false
86164	Clubhouse - Baseball Reference 5 SP Dean Stone WS1 1954	Starter	77	0	L			0.296	0.287	0.3	16.6	6.2	1.8	0.291	true
83236	Snapshot RP Dave Tomlin SD 1977	Reliever	74	5	L			0.296	0.265	0.309	15.4	5.4	1.5	0.300	false
85499	60s Theme Week - Snapshot SP Bob Gibson STL 1961	Starter	70	5	R			0.296	0.309	0.283	20.4	8.2	1.7	0.297	false
84854	Limited Edition/42 RP Jack Meyer PHI 1958	Reliever	69	0	R			0.297	0.289	0.306	24.2	6.8	2.5	0.303	false
85430	Baseball Reference 2 SP Shelby Miller STL 2013	Starter	77	5	R			0.297	0.304	0.29	21.5	5.2	3.1	0.286	false
84753	FLF 3 - Future Legend SP George Klassen LAA 2026	Starter	79	5	R			0.297	0.296	0.297	22.9	6.3	2.5	0.300	false
85309	Baseball Reference 2 SP Ken Holtzman ATH 1973	Starter	76	5	L			0.297	0.273	0.308	17.0	5.2	2.5	0.286	false
85456	May Birthdays - Veteran Presence RP Billy Hoeft CHC 1965	Reliever	75	5	L			0.297	0.291	0.299	20.0	6.3	2.6	0.287	false
83311	Snapshot SP Phil Douglas CHC 1917	Starter	74	5	R			0.297	0.291	0.304	20.4	3.5	3.1	0.294	false
84822	Baseball Reference 1 SP Tom Cheney WS2 1963	Starter	78	5	R			0.297	0.298	0.295	19.5	3.6	3.8	0.271	false
83244	Live Collection Reward - Rookie Sensation RP Chris Sale CWS 2010	Reliever	70	0	L			0.298	0.279	0.306	24.0	7.3	2.8	0.292	false
84716	Clubhouse - April Fools&#39; Day RP Bob Miller SD 1971	Reliever	69	0	R			0.298	0.308	0.287	14.2	6.6	1.4	0.293	false
85288	May Names 1 - Snapshot RP Rudy May MON 1979	Reliever	74	0	L			0.298	0.281	0.305	21.3	6.0	2.3	0.302	false
86078	Limited Edition/61 RP Joe Mantiply ARI 2022	Reliever	74	0	L			0.298	0.282	0.305	16.8	0.9	2.6	0.305	false
84758	FLF 15 &amp; Co. - Future Legend RP Luis De Leon BAL 2026	Reliever	77	0	L			0.298	0.272	0.309	24.6	8.7	2.6	0.292	false
83186	Limited Edition/119 SP Roger Clemens HOU 2006	Starter	79	0	R			0.298	0.307	0.289	19.1	5.7	2.3	0.296	false
85429	Clubhouse - Historical All-Star CL Brad Boxberger TB 2015	Reliever	77	0	R			0.298	0.274	0.324	26.3	5.9	3.8	0.285	false
83237	Snapshot RP Eddie Watt BAL 1967	Reliever	72	5	R			0.298	0.307	0.288	21.1	7.2	2.8	0.282	false
84621	World Baseball Classic SP Julio Teheran COL 2017	Starter	79	5	R			0.298	0.299	0.297	14.2	4.7	2.5	0.278	false
85372	T4 Ep. 1 - Unsung Heroes CL Joakim Soria CWS 2018	Reliever	73	5	R			0.298	0.314	0.28	20.6	5.0	2.0	0.311	false
85919	4th of July Walk Off HIt SP Max Fried ATL 2021	Starter	74	5	L			0.298	0.307	0.294	17.3	4.7	2.5	0.290	false
84283	Rookie Sensation RP Watty Clark BRO 1927	Reliever	74	5	L			0.298	0.31	0.293	21.5	5.3	2.9	0.293	false
84038	All-Time Legend CL John Axford MIL Peak	Reliever	70	5	R			0.298	0.29	0.305	21.9	6.9	2.2	0.300	false
81942	MLB 2026 Live RP Abner Uribe MIL	Reliever	76	0	R			0.299	0.302	0.295	21.7	7.0	2.7	0.289	false
85611	MLB 2026 Live CL Gregory Santos SF	Reliever	74	0	R			0.299	0.304	0.294	17.4	6.9	1.5	0.302	false
85151	Clubhouse - Y&amp;O 1 - Veteran Presence RP Don McMahon CWS 1967	Reliever	75	0	R			0.299	0.32	0.277	19.0	6.4	3.1	0.274	false
82123	MLB 2026 Live RP Anthony Bender MIA	Reliever	78	0	R			0.299	0.307	0.291	20.0	6.3	2.6	0.289	false
84669	Opening Day Heroes - Unsung Heroes SP Randy Johnson SEA 1992	Starter	77	5	L			0.299	0.296	0.3	26.2	11.1	2.3	0.291	false
85688	June Gems - Baseball Reference 3 SP Austin Gomber COL 2021	Starter	76	5	L			0.299	0.29	0.303	17.6	4.3	2.9	0.285	false
85877	T4 Ep. 3 - Snapshot SP Jim Deshaies HOU 1989	Starter	67	5	L			0.299	0.303	0.298	18.1	6.7	2.4	0.285	false
84696	Clubhouse - April Fools&#39; Day RP Bob Miller DET 1954	Reliever	69	0	L			0.300	0.268	0.313	13.7	5.7	1.6	0.293	false
85920	July Jewels - Baseball Reference 4 RP Brad Clontz ATL 1995	Reliever	73	0	R			0.300	0.316	0.283	17.4	5.8	1.7	0.304	false
83197	Snapshot RP Mike Stanton SEA 1984	Reliever	72	5	R			0.300	0.304	0.297	22.1	6.1	2.6	0.302	false
85500	60s Theme Week - Snapshot SP Curt Simmons STL 1961	Starter	74	5	L			0.300	0.285	0.307	16.8	4.8	2.0	0.301	false
83196	Snapshot RP Eric Plunk CLE 1995	Reliever	69	5	R			0.300	0.301	0.298	22.9	7.0	2.9	0.290	false
85032	FLF 14 &amp; Co. - Future Legend SP Tanner McDougal CWS 2026	Starter	66	5	R			0.300	0.306	0.294	23.4	7.9	2.6	0.296	false
85128	FLF 10 - Future Legend SP Gage Jump ATH 2026	Starter	73	5	L			0.300	0.292	0.303	21.8	5.6	2.6	0.303	false
86106	Obscure All-Stars - Baseball Reference 5 CL Bill Henry CIN 1960	Reliever	69	5	L			0.300	0.308	0.297	25.0	4.8	3.5	0.299	true
83205	Veteran Presence RP Larry Andersen PHI 1993	Reliever	72	5	R			0.300	0.308	0.293	22.8	6.0	2.7	0.302	false
82430	MLB 2026 Live RP Colin Holderman CLE	Reliever	78	0	R			0.301	0.304	0.297	20.2	6.5	2.6	0.291	false
84884	Celebrating 42 - Negro League Star SP Dan Bankhead MRS 1946	Starter	74	0	R			0.301	0.305	0.297	23.0	8.0	2.3	0.302	false
85031	FLF 9 - Future Legend RP Winston Santos TEX 2026	Reliever	65	5	R			0.301	0.306	0.296	22.0	6.9	3.1	0.286	false
82821	Unsung Heroes CL Matt Mantei ARI 2003	Reliever	75	5	R			0.301	0.308	0.293	23.9	6.2	3.6	0.284	false
84272	Rookie Sensation RP Dick Lines WS2 1966	Reliever	69	5	L			0.301	0.304	0.3	16.1	5.3	2.5	0.285	false
