# Bronze Quick hitters | coverage 2026-06-28 to 2026-07-12 | 252 of 891 Bronze Quick tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Giancarlo Stanton	RF	69	0	R	44129	0.237	0.285	0.427	0.311	5.7	31.1	26.3	0.293	39.2	2.28	-0.2	-2.7	1.2
Jackie Bradley Jr.	CF	69	0	L	40509	0.224	0.281	0.337	0.276	6.8	24.8	8.3	0.281	34.4	8.07	2.3	2.0	1.1
Felipe Lopez	SS	68	0	S	38340	0.253	0.307	0.409	0.315	6.9	22.0	16.8	0.293	35.2	6.96	-0.1	0.8	1.9
Justin Smoak	1B	69	0	S	30024	0.242	0.315	0.400	0.317	9.2	22.0	20.9	0.271	32.7	1.69	-0.0	-4.1	1.4
Matty Alou	CF	69	0	L	28939	0.297	0.332	0.403	0.323	4.8	8.4	1.6	0.319	30.5	11.51	-0.1	2.6	2.2
Dave Harris	LF	67	0	R	27487	0.244	0.316	0.437	0.329	9.2	23.9	20.9	0.280	41.8	13.14	-0.3	0.5	1.2
Jackie Robinson	3B	68	0	R	24289	0.226	0.298	0.330	0.283	9.0	11.8	11.9	0.234	24.6	8.65	-0.2	1.6	1.5
Tim McCarver	C	68	0	L	22185	0.263	0.309	0.418	0.318	5.9	9.6	10.7	0.273	33.9	30.35	-0.5	0.1	4.0
Jimmy Rollins	SS	69	0	S	21623	0.250	0.311	0.419	0.320	7.9	14.4	18.8	0.259	37.0	7.97	0.8	2.3	4.5
Rick Monday	CF	69	0	L	21042	0.226	0.289	0.404	0.305	7.7	31.2	24.0	0.278	37.1	7.94	-0.3	1.0	0.7
Bill Buckner	LF	64	0	L	20434	0.302	0.332	0.440	0.337	4.0	7.8	8.5	0.314	33.7	5.89	0.5	2.2	2.7
Craig Reynolds	SS	68	0	L	20279	0.258	0.292	0.346	0.282	4.2	13.0	3.9	0.289	23.3	21.62	-0.6	-0.2	1.9
Mickey Tettleton	C	69	0	S	20236	0.223	0.327	0.365	0.312	13.0	31.2	17.3	0.286	31.9	4.38	-0.0	-2.8	0.8
Leo Cardenas	SS	68	0	R	19610	0.255	0.316	0.393	0.313	7.9	23.7	12.0	0.310	30.7	20.95	-0.1	-0.2	3.6
Hyun-soo Kim	LF	68	0	L	18573	0.251	0.326	0.333	0.298	9.5	18.4	1.2	0.303	29.9	3.39	-0.2	-2.9	0.3
Juan Uribe	SS	66	0	R	17880	0.246	0.267	0.401	0.289	2.4	23.8	14.0	0.297	34.3	25.50	-0.1	1.6	3.3
Jackie Bradley Jr.	CF	69	5	L	16477	0.241	0.302	0.369	0.298	7.5	23.2	9.8	0.295	35.4	7.90	2.2	3.1	2.3
Tony Fernandez	2B	65	0	S	15908	0.266	0.297	0.385	0.299	3.9	11.4	11.8	0.280	28.8	1.31	-0.5	2.2	3.0
Cy Williams	RF	69	0	L	15864	0.238	0.299	0.380	0.300	7.6	16.9	20.6	0.249	26.5	4.07	-0.1	-2.9	-0.5
Dave Brain	3B	68	0	R	15039	0.248	0.280	0.455	0.318	3.9	21.9	26.5	0.271	41.3	9.94	-0.2	1.0	3.5
Dustin Pedroia	2B	66	5	R	14682	0.259	0.311	0.395	0.311	6.6	10.1	10.1	0.270	36.4	5.44	0.1	1.7	3.5
Larry Gardner	3B	68	0	L	14630	0.265	0.331	0.377	0.314	8.5	10.4	3.5	0.288	29.6	26.24	-0.5	-0.1	2.5
Felipe Lopez	SS	68	5	S	14142	0.263	0.323	0.433	0.331	7.8	20.0	18.9	0.294	35.7	7.49	-0.1	0.1	2.9
Chris Cannizzaro	C	65	0	R	14033	0.260	0.339	0.370	0.317	10.4	16.1	9.8	0.290	25.8	8.97	-0.2	-2.1	2.2
Mark Bellhorn	2B	64	0	S	13724	0.231	0.323	0.367	0.309	11.6	34.7	14.2	0.322	32.6	8.99	-0.4	-0.3	1.3
Dustin Pedroia	2B	66	0	R	12406	0.250	0.295	0.374	0.295	5.6	11.3	8.6	0.266	35.5	4.99	-0.1	2.1	2.6
John Olerud	1B	68	0	L	11454	0.249	0.323	0.385	0.314	9.4	16.9	13.5	0.274	33.5	2.47	-0.0	-3.1	1.4
Yogi Berra	LF	68	0	L	10878	0.239	0.287	0.342	0.280	6.0	10.5	15.2	0.241	20.1	1.25	-0.2	-1.9	1.3
Wilson Ramos	C	68	0	R	10452	0.235	0.285	0.367	0.289	6.1	22.3	15.6	0.273	31.1	3.27	-0.0	0.1	2.6
Paul DeJong	SS	68	0	R	10246	0.223	0.280	0.357	0.283	6.9	22.4	15.1	0.259	34.3	3.47	-0.4	-0.1	1.6
Byron Buxton	CF	64	0	R	10121	0.255	0.294	0.402	0.304	4.7	24.0	11.7	0.313	38.0	7.99	1.4	4.9	2.1
Tony Fernandez	2B	65	5	S	10066	0.285	0.320	0.419	0.324	4.4	10.1	12.7	0.296	30.7	0.73	-0.5	2.4	4.2
Julio Franco	2B	69	0	R	9673	0.252	0.324	0.334	0.297	9.1	19.7	7.0	0.300	21.5	3.40	-0.2	1.6	2.4
Rickey Henderson	LF	68	0	R	9536	0.245	0.338	0.353	0.312	12.0	27.6	10.5	0.317	27.6	0.18	0.6	3.4	1.0
Lance Johnson	CF	67	0	L	9184	0.277	0.314	0.373	0.302	4.7	10.0	1.2	0.303	23.2	42.75	0.8	4.9	2.1
Jim Thome	3B	64	0	L	8943	0.223	0.305	0.390	0.308	10.1	30.7	21.4	0.277	37.3	3.03	-0.2	0.5	1.7
Dmitri Young	DH	64	0	S	8937	0.237	0.275	0.378	0.286	4.7	21.2	16.9	0.271	31.9	5.82	-0.1	-1.9	-0.3
Dave Harris	LF	67	5	R	8870	0.256	0.331	0.464	0.346	9.8	22.0	23.7	0.285	42.0	11.19	-0.4	-0.0	2.4
Ketel Marte	SS	68	0	S	8698	0.269	0.333	0.350	0.306	8.3	16.6	2.3	0.316	25.1	7.36	-1.0	3.0	1.9
Joe Morgan	2B	65	0	L	8305	0.219	0.319	0.343	0.300	12.5	15.5	14.2	0.230	31.0	1.45	0.2	0.7	0.9
James Loney	1B	64	0	L	7572	0.267	0.307	0.390	0.307	5.1	14.2	10.5	0.293	31.2	1.53	-0.1	-1.7	1.3
Tim Salmon	RF	65	5	R	7512	0.242	0.317	0.428	0.327	9.7	27.0	25.6	0.280	35.7	4.68	-0.4	0.8	1.5
Duffy Dyer	C	69	0	R	7030	0.213	0.253	0.342	0.262	4.6	27.7	12.5	0.268	37.3	6.95	-0.0	-1.9	1.8
Paul DeJong	SS	68	5	R	6976	0.245	0.305	0.413	0.316	7.6	20.8	18.8	0.275	38.5	5.68	-0.7	0.5	3.3
