# Bronze Heart Daily hitters | 2026-06-29 to 2026-07-09 | 7 of 32 tournaments | top 100 by PA (dropdown name "Bronze Heart")
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Craig Reynolds	SS	68	0	L	10162	0.283	0.316	0.399	0.322	4.5	6.4	3.1	0.296	27.0	36.57	-0.2	-1.7	3.4
Jackie Robinson	3B	68	0	R	6358	0.230	0.307	0.312	0.289	9.9	7.0	6.2	0.236	21.2	19.41	0.1	1.1	2.1
Leo Cardenas	SS	68	0	R	5775	0.278	0.329	0.423	0.338	7.1	11.6	5.9	0.304	31.8	38.76	-0.3	0.1	4.9
Jerry Mumphrey	LF	69	0	S	5733	0.285	0.341	0.413	0.342	7.8	10.2	11.0	0.299	27.3	12.07	-0.2	-0.6	2.2
Dale Alexander	1B	69	0	R	5097	0.257	0.318	0.343	0.305	8.0	8.8	3.3	0.275	27.3	5.85	-0.6	-0.9	1.1
Rick Monday	CF	69	0	L	5050	0.269	0.322	0.453	0.345	7.2	15.8	22.1	0.282	32.9	18.14	-0.1	0.5	3.4
Glenn Wilson	CF	69	0	R	4795	0.275	0.302	0.374	0.305	3.7	10.5	8.1	0.293	23.7	7.48	-0.2	-2.2	2.4
Donald Reeves	RF	69	0	L	4717	0.268	0.301	0.406	0.316	4.7	9.6	10.0	0.278	28.8	34.02	-0.3	-0.1	1.5
Duffy Dyer	C	69	0	R	4077	0.240	0.283	0.356	0.285	5.4	14.3	6.5	0.268	32.6	17.23	0.0	-2.6	2.1
Connie Ryan	2B	69	0	R	4059	0.258	0.314	0.371	0.313	7.4	10.4	4.1	0.280	29.2	29.82	-0.3	1.6	3.0
Dave Harris	LF	67	0	R	3726	0.276	0.343	0.437	0.351	9.0	11.1	11.8	0.291	34.3	24.05	0.1	-1.7	2.8
Bill Buckner	LF	64	0	L	3680	0.307	0.338	0.445	0.351	4.4	3.4	7.2	0.305	33.2	10.80	-0.2	2.8	4.0
Eddie Bressoud	SS	68	0	R	3567	0.263	0.299	0.377	0.303	4.9	10.9	3.9	0.287	32.1	18.57	-0.5	-1.6	2.9
Gene Richards	LF	65	0	L	3552	0.280	0.328	0.407	0.332	6.5	8.6	3.5	0.299	29.3	39.16	1.7	3.2	3.7
Gary Matthews	LF	69	0	R	3303	0.253	0.299	0.371	0.303	6.2	9.6	5.3	0.270	29.3	34.80	-0.2	2.0	0.9
Tim McCarver	C	68	0	L	3291	0.268	0.311	0.457	0.341	5.9	4.7	9.1	0.266	39.9	46.32	-0.2	-0.7	4.7
Yogi Berra	LF	68	0	L	2864	0.262	0.310	0.372	0.308	6.6	5.7	15.7	0.252	20.0	1.45	0.0	-2.5	2.5
Matty Alou	CF	69	0	L	2788	0.323	0.354	0.451	0.362	4.4	4.4	2.6	0.333	30.6	20.00	0.0	-0.0	4.4
Ken Berry	LF	55	0	R	2780	0.285	0.329	0.375	0.320	6.1	9.7	3.9	0.308	23.1	13.69	-0.2	2.6	3.5
Joe Morgan	2B	65	0	L	2747	0.242	0.353	0.362	0.331	14.5	6.9	13.3	0.237	26.4	4.70	0.1	1.2	3.2
Craig Reynolds	SS	68	5	L	2740	0.296	0.334	0.418	0.338	5.1	5.2	5.0	0.304	25.5	37.70	0.0	-0.2	4.6
Bill North	CF	69	0	S	2519	0.266	0.339	0.352	0.318	9.8	11.8	1.2	0.298	22.3	37.59	1.5	3.4	4.5
Chris Cannizzaro	C	65	0	R	2419	0.276	0.359	0.362	0.333	11.5	9.6	4.7	0.294	21.1	17.21	-0.1	-1.9	3.6
Jim Fregosi	SS	69	0	R	2382	0.224	0.284	0.325	0.280	7.5	9.1	3.8	0.239	31.8	23.03	0.1	-0.2	0.4
Mule Haas	CF	69	0	L	2367	0.268	0.302	0.390	0.313	4.5	7.6	9.9	0.274	29.1	12.72	0.0	-3.7	1.6
Phil Garner	2B	63	0	R	2035	0.253	0.289	0.363	0.295	4.6	8.9	2.9	0.271	29.8	32.62	0.8	2.5	2.6
Joe DiMaggio	CF	64	0	R	1708	0.238	0.296	0.327	0.285	7.9	10.6	4.9	0.254	26.5	13.40	0.0	1.2	1.7
Dale Alexander	1B	69	5	R	1703	0.270	0.336	0.352	0.318	9.0	9.2	2.5	0.292	25.4	6.67	-0.2	-2.0	1.4
Andy Seminick	C	66	0	R	1638	0.243	0.292	0.336	0.286	6.6	14.3	6.6	0.270	23.8	19.54	-0.4	-1.6	1.8
Marv Rackley	LF	65	0	L	1621	0.296	0.324	0.430	0.338	3.9	7.7	3.0	0.314	29.4	42.75	0.8	-0.4	3.1
Mickey Mantle	1B	68	0	S	1614	0.276	0.355	0.406	0.348	10.7	14.0	14.5	0.295	26.9	1.90	-0.6	-3.8	2.5
Don Kessinger	SS	69	0	S	1589	0.236	0.292	0.340	0.288	6.9	6.9	1.9	0.248	31.7	29.25	-0.7	-0.6	1.3
Rick Monday	CF	69	5	L	1363	0.257	0.323	0.443	0.341	9.0	15.9	21.1	0.268	36.9	13.79	0.1	-1.0	2.9
Ed Goodson	3B	61	0	L	1352	0.271	0.292	0.389	0.307	2.9	8.2	10.7	0.277	29.3	1.96	0.0	-4.2	1.0
Glenn Wilson	CF	69	5	R	1319	0.261	0.293	0.341	0.289	4.2	9.7	7.7	0.274	19.8	3.12	-0.2	0.5	2.3
Jim King	RF	68	0	L	1314	0.222	0.306	0.330	0.295	10.5	6.5	11.4	0.216	28.6	0.00	-0.5	-4.5	0.8
Vic Davalillo	CF	65	0	L	1299	0.246	0.286	0.298	0.265	5.2	8.9	1.8	0.266	15.1	20.00	-0.8	-1.6	1.2
Jorge Orta	2B	69	0	L	1277	0.245	0.311	0.339	0.298	8.9	5.9	7.0	0.246	25.1	11.43	-0.2	0.4	1.5
Danny Tartabull	RF	63	0	R	1233	0.275	0.340	0.412	0.341	8.9	15.2	7.8	0.310	29.9	31.87	-0.2	1.2	2.5
Mickey Mantle	1B	68	5	S	1220	0.231	0.321	0.327	0.303	12.0	12.3	10.8	0.241	23.8	0.00	0.0	-1.7	0.9
Duffy Dyer	C	69	5	R	1175	0.237	0.287	0.342	0.285	6.3	12.6	3.1	0.265	32.6	21.43	0.0	-2.4	2.3
