# Diamond Quick hitters | 2026-06-28 to 2026-07-11 | 18 of 123 tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Honus Wagner	SS	99	0	R	4729	0.268	0.312	0.417	0.314	5.5	13.7	11.3	0.291	32.4	24.47	0.5	3.0	4.1
Al Kaline	RF	99	0	R	3478	0.267	0.310	0.404	0.308	5.8	16.7	9.3	0.302	34.7	12.16	2.2	4.8	2.1
Garret Anderson	LF	99	0	L	2922	0.262	0.286	0.415	0.300	3.0	17.8	15.2	0.293	36.6	4.10	-0.4	-3.0	0.8
Tyler O'Neill	LF	98	0	R	2588	0.230	0.278	0.358	0.277	5.7	28.8	16.0	0.292	29.7	3.05	0.2	3.8	0.3
Paul Blair	CF	98	0	R	2331	0.261	0.290	0.423	0.305	3.8	17.5	16.7	0.287	37.6	4.63	2.1	3.9	2.6
Rico Petrocelli	SS	99	0	R	2135	0.224	0.293	0.391	0.298	8.5	19.7	21.1	0.240	38.7	2.40	-0.2	-1.0	3.2
Colt Emerson	SS	98	0	L	2112	0.258	0.321	0.400	0.314	7.8	23.2	11.6	0.314	34.3	10.65	0.1	2.5	3.7
Max Clark	CF	98	0	L	1877	0.239	0.315	0.341	0.290	9.4	21.6	6.7	0.291	28.0	15.32	-0.0	2.1	1.1
Frankie Frisch	2B	94	0	S	1746	0.276	0.314	0.417	0.314	4.8	9.9	8.6	0.291	32.4	22.60	2.8	3.0	4.4
Buster Posey	C	96	0	R	1651	0.247	0.310	0.328	0.282	8.1	17.9	5.8	0.288	24.2	0.00	0.0	-2.3	3.1
Prince Fielder	1B	99	0	L	1531	0.241	0.300	0.404	0.305	7.1	26.7	20.4	0.289	35.4	4.20	-0.2	0.0	0.8
JJ Wetherholt	2B	96	0	L	1505	0.269	0.325	0.376	0.307	6.9	18.4	6.4	0.316	28.8	8.49	0.6	3.4	2.4
John Anderson	1B	97	0	S	1306	0.278	0.300	0.484	0.331	2.7	14.4	16.1	0.298	39.5	35.77	0.4	0.8	2.4
Chase DeLauter	RF	99	0	L	1213	0.238	0.296	0.374	0.292	7.3	19.2	14.8	0.266	33.6	3.41	-0.3	-0.5	0.2
Red Schoendienst	2B	94	0	S	1202	0.282	0.321	0.419	0.318	5.7	13.0	11.0	0.302	31.0	11.34	-0.5	4.9	3.9
Al Simmons	LF	99	0	R	1176	0.299	0.333	0.535	0.367	4.8	17.4	27.0	0.319	39.7	17.56	-0.6	0.3	3.5
Jimmy Ryan	CF	99	0	R	1032	0.240	0.290	0.367	0.286	6.1	23.2	12.2	0.289	31.9	9.59	1.9	0.3	0.6
Yoenis Cespedes	LF	98	0	R	967	0.240	0.260	0.386	0.276	2.3	24.4	11.8	0.296	32.6	34.25	0.0	4.0	0.2
Rocky Colavito	LF	96	0	R	942	0.220	0.291	0.370	0.289	9.1	21.2	18.5	0.242	35.1	4.62	0.0	-2.9	-0.6
Nap Lajoie	2B	99	0	R	922	0.249	0.291	0.371	0.287	5.1	15.9	5.9	0.283	37.6	7.59	0.1	-1.6	2.0
George Harper	RF	97	0	L	911	0.257	0.306	0.390	0.302	5.8	21.3	12.5	0.306	30.7	10.45	-0.3	-0.5	0.5
Bryce Eldridge	1B	97	0	L	908	0.222	0.284	0.352	0.278	7.0	28.0	14.5	0.277	33.0	5.00	0.0	-1.6	-0.1
Hank Aaron	1B	98	0	R	893	0.222	0.272	0.391	0.286	6.5	20.8	20.2	0.242	39.3	9.72	0.0	-2.1	-0.5
Eddie Mathews	3B	98	0	L	875	0.230	0.295	0.379	0.293	8.2	23.6	15.1	0.270	34.8	17.46	-0.1	0.6	1.0
Sandy Alomar Jr.	C	91	0	R	823	0.284	0.300	0.455	0.322	1.7	15.6	18.2	0.307	37.8	1.18	0.0	-1.6	3.2
Matt Wieters	C	82	0	S	782	0.199	0.277	0.282	0.252	8.7	29.1	10.7	0.256	21.7	0.00	0.0	-1.0	1.4
Carlos Correa	SS	99	0	R	742	0.202	0.262	0.282	0.242	7.1	22.6	6.5	0.249	26.8	2.70	-0.4	0.0	-0.1
