# Diamond Cap Daily hitters | 2026-06-28 to 2026-07-11 | 13 of 33 tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Honus Wagner	SS	99	0	R	5513	0.296	0.349	0.486	0.370	7.3	10.9	16.8	0.305	33.2	30.55	1.0	2.0	5.5
Paul Blair	CF	98	0	R	3051	0.292	0.330	0.468	0.354	5.2	16.4	20.5	0.315	34.4	2.82	0.9	4.1	4.4
Tyler O'Neill	LF	98	0	R	3043	0.277	0.328	0.475	0.357	6.8	24.2	27.8	0.316	33.6	4.62	0.6	3.5	3.5
Rico Petrocelli	SS	99	0	R	2979	0.260	0.348	0.469	0.363	11.6	16.9	26.6	0.265	39.5	3.76	-0.2	-0.6	5.2
Frankie Frisch	2B	94	0	S	2812	0.284	0.328	0.431	0.339	5.9	8.9	12.8	0.291	30.2	17.49	1.1	2.0	4.2
Matt Wieters	C	82	0	S	2566	0.281	0.340	0.439	0.349	8.0	19.3	20.8	0.311	28.8	1.06	0.0	-3.0	4.4
Kevin Alcantara	CF	76	0	R	1716	0.251	0.324	0.414	0.333	9.0	26.4	21.0	0.302	31.3	6.61	-0.9	2.1	1.9
Nico Hoerner	2B	48	0	R	1694	0.244	0.292	0.310	0.275	6.0	17.9	2.5	0.289	20.7	11.39	0.0	0.5	-0.0
Carson Williams	SS	87	0	R	1662	0.246	0.317	0.427	0.333	9.3	26.8	21.3	0.293	35.5	15.62	0.1	1.8	4.0
Earl Webb	RF	72	0	L	1579	0.265	0.333	0.430	0.341	8.9	21.2	14.1	0.311	40.8	3.92	-0.4	3.7	1.9
Colt Emerson	SS	98	0	L	1511	0.281	0.372	0.439	0.366	12.3	18.5	13.5	0.319	32.7	14.29	0.8	3.7	5.1
JJ Wetherholt	2B	96	0	L	1490	0.292	0.364	0.427	0.357	9.6	15.6	10.5	0.327	29.0	12.50	1.9	0.8	3.8
Prince Fielder	1B	87	0	L	1230	0.277	0.350	0.434	0.351	9.4	17.3	18.5	0.302	31.5	0.00	0.0	-3.2	2.0
Ken Griffey Jr.	CF	84	0	L	1225	0.290	0.352	0.443	0.357	8.9	19.3	18.1	0.327	29.2	1.08	-0.4	-1.6	3.6
Kevin Alcantara	CF	76	5	R	1180	0.248	0.334	0.425	0.340	11.1	25.7	22.4	0.290	33.2	10.59	-0.3	1.8	3.3
Jason Heyward	RF	57	0	L	1180	0.257	0.326	0.348	0.309	9.1	16.7	6.6	0.295	22.3	15.00	-0.8	2.0	0.7
Ichiro Suzuki	CF	88	0	L	1173	0.309	0.353	0.393	0.338	6.4	12.8	4.6	0.343	19.3	12.50	1.3	3.4	2.5
Garret Anderson	LF	99	0	L	1167	0.301	0.338	0.500	0.370	4.9	15.8	23.7	0.321	35.8	6.78	-0.8	-1.4	3.6
Curtis Granderson	CF	75	0	L	1138	0.259	0.322	0.444	0.340	8.3	21.1	17.9	0.295	37.6	22.00	-0.3	2.9	2.5
Jimmy Rollins	SS	69	0	S	1067	0.269	0.330	0.420	0.334	8.4	16.8	15.7	0.295	30.5	12.66	-0.3	2.4	4.4
Yu Chang	SS	89	0	R	1064	0.257	0.322	0.419	0.333	8.4	22.4	18.0	0.299	34.4	7.06	-0.1	0.8	3.1
Tino Martinez	1B	87	0	L	1056	0.278	0.355	0.466	0.366	10.4	14.2	26.7	0.279	30.5	2.53	0.3	-1.7	3.5
John Anderson	1B	97	0	S	1056	0.304	0.336	0.522	0.375	4.7	11.4	18.8	0.311	37.1	34.23	0.2	2.2	4.0
Willie McGee	CF	79	0	S	1055	0.275	0.303	0.431	0.325	3.7	18.8	13.6	0.316	31.5	24.14	-0.5	3.2	2.0
Tony Scott	CF	41	0	S	1036	0.209	0.264	0.286	0.254	6.6	21.1	5.8	0.252	22.8	17.78	0.4	1.2	-1.3
Travis Bazzana	2B	87	0	L	1016	0.279	0.360	0.430	0.357	10.6	17.1	13.0	0.315	32.9	9.76	0.7	3.0	3.6
Fernando Tatis Jr.	SS	95	0	R	1010	0.246	0.325	0.411	0.330	10.3	27.3	21.4	0.297	34.4	0.00	2.0	1.9	2.1
Bobby Witt Jr.	SS	83	0	R	974	0.267	0.299	0.430	0.324	4.1	17.4	22.2	0.287	27.6	14.71	1.4	3.9	2.8
Al Simmons	LF	99	0	R	961	0.289	0.345	0.493	0.369	7.5	12.6	21.2	0.297	38.3	13.40	-0.4	2.4	3.7
Sandy Alomar Jr.	C	91	0	R	958	0.300	0.327	0.484	0.358	3.7	13.6	22.5	0.314	34.7	0.00	-0.6	0.8	4.3
Tino Martinez	1B	87	5	L	957	0.242	0.321	0.386	0.320	10.7	16.9	19.4	0.253	29.1	0.00	-0.4	-2.3	1.1
Rocky Colavito	LF	96	0	R	938	0.259	0.346	0.426	0.350	11.3	16.4	21.7	0.270	32.7	0.00	-1.1	-1.7	1.8
Yu Chang	SS	89	5	R	921	0.286	0.342	0.445	0.353	7.2	20.7	18.9	0.329	29.2	7.14	0.0	0.6	4.5
Luis Castillo	2B	73	0	S	893	0.303	0.359	0.390	0.339	8.0	12.8	4.7	0.338	19.0	20.00	-1.4	1.1	3.0
Chase DeLauter	RF	99	0	L	857	0.267	0.346	0.479	0.366	10.3	16.7	25.2	0.275	41.8	4.76	-0.7	-0.8	2.3
Duke Snider	CF	73	0	L	841	0.245	0.313	0.447	0.336	8.0	26.8	26.4	0.282	38.9	8.33	0.4	2.8	2.4
Hank Aaron	1B	98	0	R	818	0.274	0.348	0.515	0.378	10.1	17.2	32.3	0.271	42.3	1.20	0.0	-1.0	3.6
Ken Berry	LF	55	0	R	817	0.258	0.301	0.382	0.307	5.4	18.9	11.8	0.297	29.9	5.17	-1.3	0.9	0.8
Buster Posey	C	96	0	R	804	0.282	0.331	0.372	0.318	6.8	16.2	9.7	0.319	19.1	2.50	-0.7	-3.3	2.8
John Beckwith	SS	98	0	R	803	0.299	0.357	0.472	0.369	8.1	15.9	18.7	0.323	32.4	7.14	-0.6	-2.5	4.3
Bill Buckner	LF	64	0	L	773	0.289	0.318	0.411	0.326	4.3	9.2	8.5	0.303	30.0	6.35	-0.2	3.9	1.4
Willie Wells	SS	91	5	R	760	0.254	0.320	0.392	0.322	8.0	14.6	15.0	0.272	28.7	12.00	-0.9	0.2	3.1
Carson Benge	RF	82	0	L	754	0.271	0.344	0.416	0.343	9.5	21.2	14.3	0.317	30.4	10.91	0.6	2.9	2.5
Lorenzo Cain	CF	84	0	R	753	0.280	0.327	0.400	0.328	6.1	19.7	8.8	0.335	27.6	14.81	1.8	4.8	3.5
Roy Campanella	C	86	5	R	749	0.250	0.320	0.470	0.351	9.2	18.9	32.8	0.250	38.1	3.12	-0.5	-0.9	4.2
Al Burch	CF	41	0	L	743	0.216	0.285	0.255	0.255	7.8	22.4	4.8	0.267	9.7	0.00	-0.1	0.4	-2.2
John Donaldson	P	89	0	L	740	0.254	0.283	0.433	0.315	3.5	18.9	21.1	0.276	36.8	9.38	0.4	-1.3	0.8
Dave Harris	LF	67	5	R	738	0.258	0.337	0.427	0.343	10.4	24.1	17.9	0.305	35.7	10.00	-0.2	0.5	1.6
JJ Wetherholt	2B	96	5	L	737	0.310	0.393	0.509	0.402	11.7	15.3	13.8	0.345	41.5	13.25	0.2	-2.1	5.9
Tony Phillips	LF	88	0	S	717	0.285	0.386	0.390	0.358	13.7	19.2	7.5	0.340	26.3	0.00	-1.0	2.3	3.9
Robin Yount	SS	83	5	R	714	0.249	0.311	0.427	0.328	8.1	17.7	16.0	0.270	39.0	22.58	0.0	2.9	4.0
Payton Tolle	P	99	0	L	702	0.197	0.266	0.307	0.264	7.3	30.7	13.7	0.252	28.9	2.86	-0.4	-2.5	-1.9
Jo Adell	RF	92	5	R	697	0.227	0.301	0.392	0.314	9.3	23.5	23.2	0.251	34.0	2.08	0.0	-0.9	0.9
Jim Greengrass	LF	74	0	R	697	0.255	0.297	0.417	0.317	5.0	25.2	22.4	0.298	30.9	3.92	-2.4	1.0	1.1
Eddie Mathews	3B	98	0	L	694	0.299	0.379	0.494	0.388	11.1	16.6	22.5	0.318	35.0	4.76	-0.7	0.8	5.0
Jackie Robinson	SS	93	0	R	681	0.299	0.370	0.435	0.363	9.0	20.5	13.2	0.355	27.5	6.00	-0.2	4.2	5.4
Nico Hoerner	2B	48	5	R	681	0.272	0.324	0.331	0.299	7.3	16.4	2.6	0.315	15.5	15.38	-0.9	0.1	1.6
Red Schoendienst	2B	94	0	S	670	0.299	0.358	0.434	0.357	8.4	10.2	10.7	0.316	28.7	11.54	-0.9	1.3	4.4
Ethan Holliday	SS	95	5	L	630	0.271	0.379	0.445	0.369	15.1	22.7	20.0	0.313	34.0	4.08	-0.5	2.8	4.5
Rogers Hornsby	2B	83	0	R	630	0.241	0.342	0.372	0.328	12.7	19.3	14.3	0.270	30.2	2.56	-0.6	0.3	2.0
Ivan Rodriguez	C	76	0	R	628	0.257	0.317	0.400	0.324	7.6	18.5	16.2	0.286	30.1	6.82	0.0	-0.7	3.0
Al Kaline	RF	99	5	R	602	0.285	0.337	0.419	0.340	7.0	10.5	12.0	0.299	28.0	13.64	-0.9	4.1	2.8
Vic Power	1B	76	5	R	585	0.288	0.318	0.469	0.345	4.3	10.1	16.4	0.291	35.7	19.64	-0.5	0.7	3.0
Rick Monday	CF	69	5	L	583	0.217	0.300	0.353	0.300	10.5	36.2	17.5	0.301	31.2	2.86	0.2	0.4	0.6
Jackie Robinson	2B	79	0	R	582	0.230	0.272	0.354	0.280	5.3	15.4	9.3	0.253	32.5	20.00	-0.3	4.1	0.8
Gary Sheffield	3B	99	5	R	577	0.254	0.321	0.450	0.343	9.2	11.2	23.9	0.244	40.5	3.77	-0.6	0.2	3.5
Jackie Bradley Jr.	CF	69	0	L	576	0.273	0.323	0.426	0.334	6.9	23.1	15.6	0.322	34.3	2.04	-0.7	1.1	1.9
Max Clark	CF	98	0	L	574	0.259	0.359	0.379	0.339	12.5	17.5	8.4	0.296	28.6	16.67	-2.5	0.6	1.9
Smokey Joe Williams	P	94	0	R	570	0.226	0.289	0.352	0.292	7.5	28.8	14.7	0.288	29.9	5.71	0.0	-2.1	-0.7
