# Diamond Cap Daily pitchers | 2026-06-28 to 2026-07-11 | 13 of 33 tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	1416.3	1.000	6.27	3.55	3.16	0.293	6.93	2.73	0.74	0.268
Payton Tolle	99	0	L	1066.7	1.000	6.39	3.95	3.64	0.300	8.99	1.95	0.82	0.309
Steve Carlton	96	0	L	1013.3	1.000	6.41	3.75	3.34	0.302	9.73	2.97	0.76	0.308
Don Newcombe	95	0	R	983.7	0.981	6.23	4.03	3.62	0.306	7.89	2.63	0.91	0.292
Steve Carlton	96	5	L	880.7	1.000	6.72	3.16	2.86	0.277	9.05	2.61	0.72	0.273
Marcus Stroman	98	0	R	858.7	1.000	6.36	4.11	3.71	0.306	5.69	1.74	0.61	0.299
Dan Bankhead	74	0	R	833	0.658	4.45	3.73	3.28	0.301	8.64	3.80	0.68	0.288
John Donaldson	89	0	L	592.7	1.000	6.24	3.75	3.36	0.307	8.17	2.08	0.70	0.315
Steve Trout	68	0	L	571.3	0.342	2.96	3.70	3.21	0.305	6.85	2.50	0.43	0.312
Al Leiter	90	0	L	561	1.000	6.03	3.26	3.13	0.292	8.37	4.12	0.56	0.275
George Hunter	40	0	L	526.3	0.000	1.53	5.80	5.47	0.377	5.25	3.03	2.00	0.291
Chien-Ming Wang	68	0	R	478.7	0.272	2.66	4.00	3.33	0.302	2.48	1.84	0.41	0.275
Pete Donohue	96	0	R	478	1.000	6.13	3.99	3.46	0.309	6.08	1.62	0.55	0.311
Hilton Smith	88	0	R	463.3	1.000	7.02	3.44	2.89	0.297	3.83	2.33	0.68	0.259
Mike Marshall	57	0	R	459.7	0.000	1.18	3.74	3.21	0.304	7.32	3.84	0.55	0.298
Noah Schultz	92	5	L	432.7	1.000	5.62	4.80	4.39	0.335	8.57	3.04	1.23	0.312
Jake Peavy	83	5	R	418.3	1.000	6.54	2.82	2.58	0.277	8.78	2.50	0.56	0.288
Reed Garrett	49	0	R	415.7	0.000	1.14	5.26	4.74	0.330	8.92	5.54	0.67	0.315
Roger Clemens	79	0	R	372	1.000	5.72	4.43	3.90	0.317	7.31	2.59	0.82	0.305
Bobby Witt Jr.	83	0	R	367.3	1.000	6.23	4.85	4.34	0.332	8.53	5.24	0.96	0.291
Jake Peavy	83	0	R	351.3	1.000	5.58	4.48	4.12	0.320	8.43	3.05	0.92	0.307
Shane Bieber	94	5	R	346.3	1.000	6.18	3.12	2.86	0.283	10.03	2.57	0.78	0.289
Warren Spahn	84	0	L	325.3	1.000	6.51	3.90	3.82	0.309	4.81	1.94	0.97	0.275
Hugh Daily	93	0	R	311	1.000	6.62	3.15	2.98	0.289	8.86	2.17	1.01	0.275
