# Early Gold Daily hitters | 2026-06-28 to 2026-07-12 | 13 of 56 tournaments | top 100 by PA (dropdown name "Early Gold")
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Yu Chang	SS	89	0	R	19909	0.284	0.321	0.393	0.327	5.0	9.0	5.8	0.301	25.0	23.47	-0.3	1.7	3.1
Steve Finley	CF	89	0	L	18980	0.281	0.317	0.420	0.334	4.7	5.7	2.4	0.292	30.9	49.93	-1.1	4.0	3.6
David Ross	C	88	0	R	18930	0.260	0.316	0.333	0.303	7.3	9.3	1.8	0.281	23.5	8.94	-0.0	-4.7	2.1
Tony Phillips	LF	88	0	S	14537	0.280	0.345	0.335	0.322	8.9	9.2	2.1	0.302	16.4	2.52	-0.9	1.5	2.5
Carson Williams	SS	87	0	R	13058	0.245	0.300	0.372	0.308	6.9	12.7	6.0	0.269	29.2	45.48	-0.7	1.9	3.9
Ray Dandridge	3B	88	0	R	11496	0.289	0.317	0.409	0.329	3.7	6.5	2.3	0.303	28.2	36.53	-0.3	0.7	3.5
Ossie Bluege	3B	89	0	R	10445	0.263	0.324	0.345	0.311	7.8	5.5	1.1	0.274	22.4	31.10	-0.1	3.0	3.2
Tino Martinez	1B	87	0	L	9798	0.260	0.315	0.351	0.307	7.4	6.2	7.3	0.262	22.1	12.33	-0.6	-0.3	1.1
Travis Bazzana	2B	87	0	L	8829	0.288	0.350	0.429	0.355	8.4	6.9	4.5	0.300	31.4	36.57	-0.2	3.2	3.7
Ichiro Suzuki	CF	88	0	L	8197	0.300	0.329	0.384	0.329	3.8	5.0	2.2	0.312	17.5	44.14	-0.7	4.4	3.9
Dick Groat	SS	89	0	R	7954	0.293	0.332	0.432	0.347	5.3	4.3	1.7	0.300	32.6	39.28	-0.7	2.6	4.6
Old Hoss Radbourn	P	89	0	R	7091	0.196	0.240	0.221	0.221	5.1	8.4	1.2	0.209	9.4	14.41	-0.6	-0.6	-2.3
Matt Wieters	C	82	0	S	6958	0.264	0.313	0.341	0.303	6.5	7.9	5.2	0.276	19.3	13.23	0.0	-3.4	2.7
Lonny Frey	2B	88	0	L	6049	0.259	0.309	0.347	0.304	6.3	7.1	2.5	0.272	21.6	40.27	-0.3	2.5	2.6
Willie McGee	CF	79	0	S	5679	0.304	0.320	0.521	0.372	2.3	7.1	3.7	0.319	41.2	62.61	-0.2	4.3	5.8
Sid Gordon	3B	89	0	R	5532	0.234	0.307	0.309	0.290	9.4	7.3	6.6	0.239	19.5	9.78	-0.2	-0.7	0.1
Carl Crawford	LF	81	0	L	4861	0.291	0.316	0.468	0.351	3.5	6.1	5.7	0.299	35.7	51.57	-0.5	4.0	3.9
Ken Griffey Jr.	CF	84	0	L	4717	0.283	0.332	0.358	0.320	6.7	8.3	4.5	0.298	19.8	4.15	-0.2	0.5	3.4
Lorenzo Cain	CF	84	0	R	4622	0.281	0.308	0.394	0.319	3.6	8.1	3.5	0.298	27.3	30.95	0.4	4.2	3.3
Mike Easler	1B	87	0	L	4618	0.281	0.327	0.404	0.332	6.3	10.7	9.0	0.298	26.4	21.59	-0.2	-3.6	1.3
Eddie Joost	SS	89	0	R	4529	0.240	0.316	0.331	0.303	9.5	10.8	5.0	0.259	25.1	18.99	-0.3	-0.7	1.9
Eduardo Quintero	CF	88	0	R	4476	0.276	0.334	0.417	0.343	7.8	9.3	4.4	0.294	30.8	47.35	-0.8	5.7	4.2
Cecil Cooper	1B	89	0	L	4370	0.311	0.333	0.425	0.342	3.1	5.1	6.6	0.316	24.1	20.83	-0.6	1.9	3.2
Earl Webb	RF	72	0	L	4323	0.295	0.338	0.401	0.340	6.2	8.8	3.6	0.315	28.0	12.46	-0.5	3.1	3.0
Yu Chang	SS	89	5	R	3717	0.284	0.329	0.386	0.329	6.2	7.4	4.8	0.297	24.7	20.92	-0.2	0.9	3.1
Ken Henderson	LF	85	0	S	3592	0.278	0.331	0.368	0.324	7.2	7.7	2.3	0.294	24.2	21.10	-0.8	5.0	2.5
Rogers Hornsby	2B	83	0	R	3285	0.260	0.321	0.344	0.310	8.3	8.3	3.5	0.274	24.6	9.57	-0.2	-1.0	1.6
Joe Judge	1B	74	0	L	3274	0.271	0.321	0.472	0.353	6.8	7.3	3.8	0.283	42.6	61.11	-0.4	0.7	3.3
Jackie Robinson	LF	87	0	R	3210	0.262	0.307	0.347	0.303	5.9	5.6	3.7	0.270	19.9	35.53	-0.5	0.7	0.4
Ray Dandridge	3B	88	5	R	3019	0.307	0.335	0.439	0.351	3.7	5.0	2.2	0.318	31.0	30.34	-0.5	-1.6	4.4
Albie Pearson	RF	85	0	L	3018	0.264	0.331	0.344	0.317	8.6	5.4	2.0	0.273	20.4	34.51	-0.1	4.5	2.0
Carson Benge	RF	82	0	L	2973	0.268	0.309	0.405	0.322	5.4	7.2	4.2	0.280	30.6	48.23	0.2	4.0	2.9
Tony Lazzeri	2B	89	0	R	2970	0.257	0.311	0.358	0.310	6.7	12.4	4.4	0.283	23.3	40.76	0.1	-0.3	2.6
Chick Hafey	LF	89	0	R	2934	0.294	0.329	0.454	0.352	4.9	7.8	9.2	0.304	35.1	23.32	-0.1	3.9	3.9
Oscar Charleston	CF	89	0	L	2728	0.236	0.296	0.298	0.278	7.4	7.1	3.7	0.246	18.8	8.41	-0.1	-1.0	0.0
Brandon Marsh	LF	89	0	L	2727	0.286	0.321	0.384	0.324	4.5	10.9	4.2	0.313	23.5	23.67	-0.3	-0.9	1.8
Bob Fothergill	LF	86	0	R	2649	0.281	0.309	0.381	0.316	3.5	6.7	2.3	0.296	26.0	25.41	-0.7	-2.2	1.2
Carson Williams	SS	87	5	R	2613	0.248	0.300	0.397	0.315	6.7	12.3	6.9	0.269	34.5	44.12	0.2	1.6	4.9
Dave Brown	P	89	0	L	2502	0.171	0.205	0.197	0.192	3.7	14.1	0.7	0.194	14.0	0.00	0.0	-3.8	-4.0
Orlando Cabrera	SS	89	0	R	2468	0.259	0.299	0.343	0.296	4.8	5.5	3.6	0.266	23.6	16.06	-0.6	1.1	1.8
Carter Jensen	C	89	0	L	2460	0.254	0.323	0.353	0.310	8.9	9.8	3.7	0.272	25.0	34.06	-0.5	-1.1	1.8
Bobby Bonds	RF	87	0	R	2432	0.245	0.309	0.350	0.307	8.1	12.5	7.6	0.267	23.1	33.60	-0.2	4.8	2.4
Warren Spahn	P	84	0	L	2421	0.231	0.256	0.301	0.259	2.8	16.3	5.7	0.262	20.0	8.74	0.0	-1.5	-0.5
Bryan Reynolds	LF	89	0	S	2324	0.276	0.325	0.374	0.324	6.3	8.7	3.9	0.295	26.1	15.89	-0.4	-1.0	1.2
Roy White	LF	89	0	S	2309	0.269	0.336	0.382	0.330	8.7	6.1	5.7	0.276	25.7	32.17	-0.7	4.9	2.7
Brandon Crawford	SS	88	0	L	2304	0.310	0.344	0.418	0.349	5.1	8.8	6.0	0.328	23.0	22.22	-0.2	0.6	4.7
Steve Finley	CF	89	5	L	2168	0.295	0.338	0.458	0.357	6.1	5.6	2.5	0.303	34.1	52.28	-2.4	5.5	5.0
Ossie Bluege	3B	89	5	R	2022	0.263	0.320	0.346	0.309	7.1	4.8	0.9	0.271	23.5	29.63	-0.6	3.3	3.5
Dylan Beavers	RF	87	0	L	1966	0.245	0.297	0.340	0.295	6.8	7.4	4.6	0.255	24.3	31.13	0.4	3.0	0.4
Curtis Granderson	CF	75	0	L	1949	0.272	0.321	0.445	0.344	6.6	10.1	6.2	0.289	36.1	52.10	-0.5	3.8	3.6
Steve O'Neill	C	87	5	R	1939	0.288	0.337	0.383	0.332	6.7	4.7	0.9	0.297	26.5	19.55	-0.2	-1.4	3.7
Dock Ellis	P	85	0	S	1894	0.197	0.212	0.220	0.203	1.6	17.9	1.6	0.233	8.1	10.71	0.1	-1.4	-2.9
Hilton Smith	P	88	0	R	1890	0.281	0.299	0.326	0.290	2.5	9.1	0.6	0.305	15.0	2.70	0.0	1.4	1.0
Clint Thomas	CF	88	0	R	1867	0.259	0.306	0.413	0.324	5.9	7.3	2.6	0.274	36.8	51.25	-0.2	1.4	3.0
