# Gold Quick hitters | 2026-06-28 to 2026-07-05 | 59 of 506 Gold Quick tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Matt Wieters	C	82	0	S	10827	0.259	0.309	0.394	0.307	6.4	22.4	17.2	0.302	27.6	1.97	-0.0	-2.5	4.2
Carson Williams	SS	87	0	R	9984	0.214	0.281	0.361	0.283	7.9	33.0	18.4	0.281	32.6	12.40	0.4	1.6	2.8
Yu Chang	SS	89	0	R	9822	0.250	0.293	0.383	0.294	5.4	24.1	13.4	0.303	32.1	7.10	-0.6	0.6	2.2
Travis Bazzana	2B	87	0	L	8484	0.249	0.318	0.383	0.308	8.8	19.0	11.2	0.286	32.1	14.97	-0.6	3.3	1.6
Prince Fielder	1B	87	0	L	7325	0.249	0.315	0.393	0.309	8.4	20.0	18.2	0.277	30.3	1.61	-0.0	-3.8	0.6
Steve Finley	CF	89	0	L	6988	0.265	0.306	0.388	0.302	5.1	16.3	7.0	0.304	30.1	22.67	2.3	4.2	2.1
Ichiro Suzuki	CF	88	0	L	6307	0.281	0.316	0.356	0.294	4.5	14.9	3.9	0.322	17.4	23.37	2.1	5.3	2.0
Tino Martinez	1B	87	0	L	5755	0.251	0.306	0.419	0.314	6.8	16.2	22.6	0.260	33.3	3.42	-0.3	-0.4	1.8
Jimmie Hall	CF	88	0	L	5284	0.233	0.294	0.418	0.309	7.6	24.6	23.4	0.264	38.7	9.98	-0.3	1.3	1.5
Ken Griffey Jr.	CF	84	0	L	5073	0.264	0.316	0.409	0.316	6.6	23.7	17.3	0.316	30.6	0.80	-0.4	0.0	2.3
Rogers Hornsby	2B	83	0	R	4805	0.241	0.307	0.379	0.301	8.2	21.8	12.4	0.284	37.3	2.56	-0.1	0.2	1.2
David Ross	C	88	0	R	4415	0.242	0.298	0.349	0.285	7.2	24.2	5.8	0.305	33.6	5.25	0.0	-4.3	2.6
Carson Williams	SS	87	5	R	3848	0.238	0.302	0.425	0.316	7.9	31.7	23.4	0.303	37.9	12.03	-0.0	1.9	4.4
Sid Gordon	3B	89	0	R	3725	0.219	0.294	0.369	0.291	9.3	19.2	19.3	0.234	34.8	2.37	-0.2	-1.6	-0.3
Ernie Banks	SS	83	0	R	3602	0.259	0.302	0.432	0.317	5.5	19.6	24.3	0.280	31.8	3.62	0.0	-1.3	3.4
Danny Tartabull	RF	87	0	R	3117	0.233	0.294	0.431	0.313	7.6	35.9	26.2	0.308	41.4	4.74	-0.3	-0.5	1.0
Dick Groat	SS	89	0	R	2962	0.269	0.314	0.388	0.305	5.7	12.1	4.3	0.296	32.9	17.36	-0.6	2.1	3.3
Roy White	LF	89	0	S	2953	0.255	0.322	0.398	0.315	8.7	17.2	16.3	0.280	29.9	7.88	-0.7	4.4	1.2
Yu Chang	SS	89	5	R	2914	0.267	0.313	0.408	0.313	6.0	22.2	12.8	0.320	33.5	7.05	-1.1	1.0	2.8
Tino Martinez	1B	87	5	L	2847	0.251	0.317	0.406	0.314	8.3	15.3	20.7	0.259	30.8	1.52	-0.3	-2.5	1.3
