# Gold Quick pitchers | 2026-06-28 to 2026-07-05 | 59 of 506 tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	4627.3	0.947	6.15	3.93	3.64	0.298	6.27	2.84	0.68	0.285
John Donaldson	89	0	L	3603.3	0.819	5.49	3.83	3.58	0.294	8.01	2.07	0.72	0.308
Jim Kaat	87	0	L	2680	0.785	5.24	4.01	3.71	0.305	8.02	1.64	0.98	0.312
Dave Brown	89	0	L	2355	0.897	5.66	4.30	3.95	0.311	8.35	2.69	1.05	0.305
Old Hoss Radbourn	89	0	R	2241.7	0.981	6.21	4.56	4.28	0.318	7.48	2.22	1.56	0.275
Satchel Paige	87	0	R	2151.7	0.592	4.26	4.07	3.79	0.307	7.95	2.31	1.21	0.287
Elmer Rodriguez	89	0	R	1927.7	0.575	3.88	4.19	3.78	0.305	7.74	3.79	0.78	0.294
Madison Bumgarner	88	0	L	1775	0.758	5.58	4.20	3.87	0.313	7.54	1.99	1.25	0.294
A.J. Burnett	86	0	R	1459.7	0.754	5.14	4.11	3.77	0.307	8.91	4.32	0.68	0.307
Luis Arroyo	84	0	L	1457.7	0.003	1.47	3.47	3.17	0.296	8.01	3.57	0.66	0.298
Tony Watson	87	0	L	1303.3	0.014	1.09	3.23	2.99	0.286	7.06	2.49	0.68	0.286
Shane Reynolds	81	5	R	1202.7	0.620	4.91	4.01	3.62	0.298	7.08	1.50	0.77	0.306
Chris Hammond	89	0	L	1058	0.011	1.09	3.50	3.28	0.301	6.57	3.58	0.64	0.290
Madison Bumgarner	88	5	L	1057.3	1.000	6.61	4.03	3.69	0.299	8.55	1.81	1.03	0.306
Dave Brown	89	5	L	1023.7	0.871	6.02	4.21	3.86	0.303	8.58	2.42	1.05	0.301
Old Hoss Radbourn	89	5	R	991	1.000	6.79	3.65	3.43	0.291	7.40	1.74	1.14	0.272
Jake Peavy	83	0	R	975	0.805	5.27	4.22	3.90	0.303	8.50	2.44	0.95	0.305
Jake Peavy	83	5	R	923.7	0.794	5.43	3.64	3.33	0.292	8.74	2.33	0.84	0.301
Warren Spahn	84	0	L	867.7	0.892	5.86	4.41	4.16	0.325	4.92	2.11	1.21	0.282
Jim Kaat	87	5	L	848	0.801	6.24	3.95	3.66	0.297	8.55	1.68	0.80	0.319
Teddy Higuera	89	0	L	806.7	0.570	4.18	4.53	4.24	0.324	8.16	2.81	1.36	0.299
Shawn Armstrong	88	0	R	755.3	0.000	1.15	3.29	3.10	0.291	6.27	2.40	0.67	0.284
Elmer Rodriguez	89	5	R	755.3	1.000	5.95	3.41	3.16	0.287	7.85	2.86	0.70	0.286
Robby Snelling	81	5	L	681	0.757	5.92	3.32	3.08	0.286	8.96	2.64	0.63	0.307
Dave Stieb	89	0	R	679	0.929	6.06	3.84	3.49	0.291	7.46	1.96	0.80	0.294
Hod Eller	86	5	R	601.7	0.494	3.91	3.80	3.49	0.302	8.75	1.66	1.05	0.311
Steve Hamilton	89	0	L	599	0.036	1.27	3.49	3.14	0.292	7.65	2.51	0.83	0.291
Yu Darvish	83	0	R	554.7	0.288	3.01	4.09	3.88	0.309	9.65	2.81	1.04	0.318
Brandon Sproat	88	0	R	515.7	0.681	4.33	4.12	3.89	0.301	7.05	2.62	1.05	0.274
Mark Fidrych	84	0	R	515.3	0.868	6.78	3.79	3.53	0.301	4.72	1.48	0.87	0.283
Mariano Rivera	89	0	R	491.3	0.070	1.31	3.13	2.82	0.270	8.43	2.14	0.77	0.284
Tiny Bonham	82	5	R	455.3	1.000	6.80	3.62	3.40	0.294	5.73	1.03	1.13	0.269
