# Gold Cap Daily hitters | 2026-06-28 to 2026-07-12 | 15 of 60 tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Earl Webb	RF	72	0	L	8115	0.267	0.338	0.433	0.337	9.3	21.3	13.1	0.316	42.6	3.03	-0.8	3.2	1.9
Kevin Alcantara	CF	76	0	R	7794	0.259	0.323	0.455	0.335	8.3	26.8	26.5	0.304	36.3	4.55	-0.7	2.5	2.8
Matt Wieters	C	82	0	S	7245	0.259	0.324	0.399	0.318	8.3	17.9	16.6	0.286	29.4	2.82	0.0	-3.5	3.0
Nico Hoerner	2B	48	0	R	6287	0.254	0.299	0.319	0.277	5.7	15.9	1.9	0.295	20.9	9.74	-0.5	-0.0	0.3
Carson Williams	SS	87	0	R	5698	0.243	0.323	0.438	0.329	9.9	30.9	25.0	0.301	37.8	9.29	-0.2	1.5	3.9
Prince Fielder	1B	87	0	L	5616	0.275	0.354	0.440	0.347	10.6	17.0	19.2	0.297	32.7	1.35	0.0	-4.4	1.5
Ken Berry	LF	55	0	R	5129	0.251	0.301	0.365	0.293	6.0	17.6	9.6	0.286	29.9	4.86	-0.6	3.6	1.2
Jason Heyward	RF	57	0	L	4912	0.264	0.320	0.368	0.305	7.2	14.5	7.1	0.295	27.2	7.81	-0.7	2.3	1.4
John Donaldson	P	89	0	L	4468	0.243	0.290	0.390	0.296	5.8	22.2	15.7	0.284	35.2	6.25	-0.4	-0.4	-0.2
Jimmy Rollins	SS	69	0	S	4173	0.262	0.326	0.433	0.330	8.5	14.6	19.0	0.274	36.5	5.83	0.6	3.3	4.2
Kevin Alcantara	CF	76	5	R	4159	0.257	0.337	0.458	0.343	10.3	24.5	26.8	0.289	37.0	3.44	-0.5	3.0	3.7
Yu Chang	SS	89	0	R	4090	0.247	0.303	0.418	0.312	7.0	22.3	20.7	0.280	37.2	3.78	-0.8	3.3	2.7
Chick Hafey	LF	89	0	R	4028	0.293	0.334	0.545	0.370	5.5	20.9	32.0	0.317	44.5	4.50	-0.9	3.8	4.0
Luis Castillo	2B	73	0	S	3999	0.279	0.332	0.389	0.318	7.1	12.0	8.4	0.301	25.3	12.55	-0.8	1.5	2.7
Ichiro Suzuki	CF	88	0	L	3915	0.296	0.346	0.385	0.324	6.4	13.0	6.1	0.329	20.2	10.75	1.8	4.3	3.3
Ken Griffey Jr.	CF	84	0	L	3856	0.269	0.340	0.433	0.337	9.1	21.2	18.4	0.308	35.0	0.93	-0.3	1.0	3.1
Bobby Witt Jr.	SS	83	0	R	3476	0.272	0.314	0.476	0.337	5.5	15.2	24.9	0.281	37.1	13.46	1.1	4.4	4.4
Bobby Witt Jr.	SS	83	5	R	3409	0.291	0.333	0.508	0.357	5.9	15.7	26.6	0.301	36.2	14.76	1.2	4.4	5.6
Tony Scott	CF	41	0	S	3339	0.209	0.254	0.288	0.243	5.3	21.2	5.0	0.254	27.0	8.62	0.1	1.1	-1.8
