# Gold Cap Daily pitchers | 2026-06-28 to 2026-07-12 | 15 of 60 tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Dock Ellis	85	0	R	4015	0.988	6.65	3.58	3.27	0.289	6.78	2.71	0.66	0.277
John Donaldson	89	0	L	2662	1.000	6.46	3.58	3.33	0.287	8.51	1.89	0.72	0.304
Dan Bankhead	74	0	R	2164.7	1.000	5.93	4.00	3.72	0.300	9.01	3.67	0.77	0.296
Roger Clemens	79	0	R	2077	1.000	5.90	4.02	3.65	0.302	7.77	2.39	0.75	0.305
Jake Peavy	83	5	R	1789.3	1.000	6.39	3.67	3.37	0.289	9.17	2.31	0.70	0.307
Bob Miller	69	0	R	1774.3	1.000	5.86	4.12	3.82	0.306	6.65	2.79	0.66	0.298
Mike Marshall	57	0	R	1661.7	0.004	1.45	3.93	3.56	0.305	7.83	3.47	0.69	0.302
Jakie May	72	0	L	1399.3	0.996	5.76	4.17	3.77	0.302	8.97	3.05	0.75	0.308
Tom Seaver	56	0	R	1387.7	0.595	4.23	4.73	4.48	0.326	6.86	3.62	1.08	0.291
George Hunter	40	0	L	1374	0.005	1.59	5.58	5.21	0.364	6.18	3.48	1.83	0.302
Shane Reynolds	81	5	R	1307.3	1.000	6.47	3.99	3.68	0.292	7.44	1.64	0.63	0.310
Reed Garrett	49	0	R	1259.3	0.000	1.28	4.00	3.57	0.314	8.63	4.40	0.66	0.310
Jake Peavy	83	0	R	1258.7	1.000	6.20	3.35	3.14	0.287	9.12	2.62	0.82	0.292
Bobby Witt Jr.	83	0	R	1196.3	1.000	5.95	3.94	3.79	0.304	9.63	4.33	0.66	0.307
Daniel Norris	40	0	L	1060.6	0.013	1.66	5.01	4.62	0.339	5.71	3.64	1.29	0.285
Brian Fisher	43	0	R	1054.3	0.041	1.61	5.14	4.58	0.342	5.05	3.17	1.25	0.292
Julio Teheran	79	5	R	1005.7	1.000	6.62	3.54	3.27	0.282	5.77	1.95	0.88	0.258
Bobby Witt Jr.	83	5	R	998.3	1.000	5.67	4.21	3.87	0.313	9.86	4.47	0.74	0.316
Steve Trout	68	0	L	916.7	0.931	5.73	4.06	3.64	0.306	7.03	2.51	0.74	0.303
Tom Cheney	78	5	R	895	1.000	6.09	3.87	3.61	0.292	7.50	1.62	1.38	0.256
Jim Kaat	87	5	L	870	0.993	6.40	3.88	3.55	0.298	8.84	1.61	0.95	0.314
Dwight Bernard	40	0	R	867.3	0.006	1.31	5.99	5.66	0.377	6.34	4.55	1.55	0.320
Andrew Miller	40	0	L	863	0.000	1.31	5.67	5.13	0.357	5.04	5.29	1.38	0.280
Satchel Paige	68	0	R	856	0.746	4.63	3.56	3.34	0.292	9.07	2.86	0.86	0.293
Old Hoss Radbourn	89	5	R	832.7	1.000	7.06	3.27	3.07	0.278	8.01	1.98	1.04	0.265
Jakie May	72	5	L	803.3	1.000	5.95	3.82	3.37	0.292	9.08	2.61	0.62	0.312
Roric Harrison	40	0	R	781	0.105	2.00	6.26	5.89	0.373	4.37	3.80	1.59	0.298
Pedro Martinez	51	0	L	699	0.000	1.02	3.86	3.62	0.307	7.84	3.81	1.06	0.277
Gene Bearden	40	0	L	698.3	0.008	1.81	6.33	6.03	0.379	5.22	4.90	1.24	0.325
Dan Bankhead	74	5	R	688	1.000	6.25	3.32	3.01	0.275	9.17	3.22	0.61	0.276
Fred Frankhouse	41	0	R	686.7	0.000	1.31	6.70	6.13	0.378	5.12	4.14	1.49	0.324
Roy Wilkinson	40	0	R	675.7	0.087	1.96	6.09	5.63	0.371	4.33	2.92	1.82	0.298
Old Hoss Radbourn	89	0	R	659.3	0.942	6.34	3.97	3.75	0.302	7.49	1.84	1.26	0.276
Julio Teheran	79	0	R	642.3	0.758	5.18	4.47	4.08	0.318	5.00	2.30	0.85	0.295
Madison Bumgarner	88	5	L	630	1.000	7.08	3.41	3.11	0.278	8.24	1.49	0.89	0.284
Elmer Rodriguez	89	5	R	606	1.000	5.88	3.28	2.99	0.270	8.54	2.82	0.45	0.283
Dave Brown	89	5	L	602.7	1.000	6.62	2.64	2.42	0.262	8.74	2.33	0.70	0.262
Dave Stieb	65	5	R	595	0.789	5.22	4.42	3.92	0.317	7.41	3.12	1.04	0.290
George Klassen	79	5	R	550.7	1.000	5.92	3.89	3.45	0.290	8.86	2.79	0.80	0.294
Tim Mayza	44	0	L	540.3	0.002	0.90	4.93	4.61	0.340	10.06	3.18	1.52	0.333
Dave Stieb	65	0	R	539.3	0.966	6.13	4.29	3.82	0.303	6.96	3.29	1.20	0.254
Tom Cheney	78	0	R	531.3	1.000	6.25	4.08	3.91	0.312	7.72	1.74	1.51	0.281
Brian Fisher	43	5	R	523.7	0.052	1.61	5.84	5.31	0.354	5.14	3.06	1.27	0.314
Darrell May	60	0	L	518.3	0.863	5.46	5.02	4.65	0.322	6.56	2.05	1.53	0.281
Brad Radke	82	0	R	493.3	1.000	6.76	3.56	3.34	0.291	5.09	1.70	0.69	0.279
Robby Snelling	81	0	L	474	1.000	5.78	3.21	2.96	0.283	9.57	2.96	0.87	0.282
Mark Fidrych	84	0	R	473	1.000	7.39	3.71	3.39	0.282	5.10	1.50	0.76	0.266
Jim Kaat	87	0	L	472.3	1.000	6.56	3.85	3.35	0.303	8.10	1.94	0.97	0.301
Bob Welch	42	0	R	465.3	0.017	1.62	6.60	5.92	0.377	3.83	3.04	1.78	0.301
Satchel Paige	68	5	R	464.3	0.859	5.05	4.26	4.05	0.304	9.11	2.91	0.91	0.304
Dave Stieb	89	0	R	408.7	1.000	6.70	3.85	3.66	0.282	7.44	2.29	0.79	0.271
Parker Messick	76	5	L	400.7	1.000	6.57	4.04	3.73	0.294	7.14	1.30	0.92	0.295
Eddie Gamboa	43	0	R	400.7	0.000	1.57	5.26	4.96	0.333	6.78	4.45	1.17	0.286
Reed Garrett	49	5	R	390	0.003	1.24	3.55	3.37	0.283	9.02	3.76	0.60	0.287
Hilton Smith	88	0	R	383.7	1.000	6.73	3.38	3.14	0.280	3.85	1.29	0.75	0.256
Rick Mahler	69	5	R	380	1.000	6.03	4.62	4.45	0.319	7.11	2.42	0.95	0.301
Warren Spahn	84	0	L	377.7	1.000	6.30	4.00	3.62	0.302	5.05	2.14	1.12	0.259
Johnny Niggeling	78	5	R	374	1.000	6.45	3.73	3.49	0.291	8.95	4.11	0.70	0.273
Rudy May	82	5	L	370	1.000	6.27	3.19	3.04	0.279	8.51	2.12	1.00	0.266
