# Iron Quick hitters | 2026-06-28 to 2026-07-12 | 178 of 821 Iron Quick tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Jason Heyward	RF	57	0	L	41920	0.260	0.319	0.361	0.303	7.6	13.2	6.7	0.287	26.3	11.52	-0.7	3.3	1.6
Ken Berry	LF	55	0	R	36817	0.263	0.318	0.384	0.311	7.0	17.5	11.0	0.299	28.9	5.95	-0.5	3.5	2.4
Willy Adames	SS	59	0	R	29136	0.227	0.274	0.407	0.298	5.7	28.4	24.6	0.269	40.2	0.53	-0.1	1.8	3.3
Aaron Boone	3B	59	0	R	21919	0.244	0.275	0.374	0.285	3.7	18.9	13.1	0.278	31.6	8.50	0.2	1.1	2.1
Jackie Robinson	1B	58	0	R	20957	0.271	0.326	0.405	0.322	7.3	13.9	13.1	0.292	29.6	8.69	-0.1	3.4	2.0
Gregg Zaun	C	59	0	S	17341	0.230	0.317	0.336	0.296	11.0	16.5	8.7	0.257	31.1	2.40	-0.1	-4.4	2.0
Troy Glaus	3B	58	0	R	16757	0.225	0.310	0.400	0.314	10.4	26.2	21.3	0.262	39.9	4.91	-0.4	1.7	2.3
Tom Herr	2B	58	0	S	15837	0.269	0.343	0.362	0.316	9.9	16.6	3.7	0.313	27.9	6.09	2.5	0.5	2.2
Nico Hoerner	2B	48	0	R	13177	0.263	0.314	0.331	0.289	6.6	15.1	1.4	0.305	21.2	12.46	-0.5	1.3	1.7
Will Venable	RF	59	0	L	12721	0.214	0.270	0.333	0.269	6.5	27.6	14.0	0.268	29.8	6.20	-0.2	0.8	-0.9
Matt Davidson	1B	56	0	R	11466	0.242	0.328	0.435	0.336	10.9	28.3	24.9	0.287	40.4	0.10	0.0	-3.9	1.9
Jesus Alou	RF	59	0	R	11110	0.288	0.307	0.395	0.307	2.5	7.8	1.7	0.306	31.8	11.02	-0.6	1.9	0.5
Freddy Galvis	SS	58	0	S	10587	0.247	0.279	0.385	0.291	3.8	23.5	16.7	0.292	31.5	2.58	-0.2	-1.1	2.6
Aaron Boone	3B	59	5	R	10341	0.261	0.292	0.407	0.306	4.0	17.7	14.9	0.291	32.6	9.52	0.2	1.8	3.2
Bip Roberts	2B	59	0	S	9909	0.247	0.304	0.315	0.280	7.0	18.3	5.0	0.292	17.6	13.01	-0.1	2.6	0.1
Lou Brock	CF	51	5	L	8880	0.281	0.337	0.460	0.347	7.2	20.0	15.4	0.325	37.4	16.55	-0.5	2.2	3.1
Tony Gwynn	CF	58	0	L	8600	0.273	0.315	0.364	0.301	5.3	13.7	2.2	0.310	26.9	13.68	-0.4	3.6	1.0
Gus Zernial	LF	59	5	R	8518	0.264	0.309	0.465	0.337	5.8	23.4	29.2	0.293	34.4	6.14	-0.1	-2.2	1.5
Esteban Quiroz	2B	56	5	L	8341	0.276	0.340	0.415	0.333	8.5	17.4	15.0	0.307	28.7	5.06	-0.2	0.3	2.0
Mike Pagliarulo	3B	56	5	L	7933	0.232	0.307	0.420	0.320	9.3	21.6	24.4	0.249	40.0	4.43	-0.1	-2.6	2.2
Joe Scott	1B	54	5	L	7663	0.236	0.316	0.419	0.323	10.1	19.4	16.7	0.262	41.0	23.56	-0.2	-1.2	1.7
Grady Sizemore	RF	53	5	L	7650	0.270	0.330	0.418	0.330	7.9	16.3	15.8	0.296	31.7	4.88	-0.3	0.5	1.3
Wilmer Flores	1B	59	0	R	7204	0.252	0.294	0.364	0.291	5.4	9.5	10.5	0.259	28.7	2.89	-0.1	-2.4	0.2
Jim Hickman	CF	56	0	R	7136	0.230	0.284	0.418	0.307	6.8	21.8	24.6	0.248	43.1	0.62	-0.1	-1.4	0.6
Andrew Benintendi	LF	59	0	L	7047	0.248	0.316	0.364	0.303	8.6	19.7	7.1	0.295	33.4	7.65	0.4	0.1	-0.4
Jeimer Candelario	3B	56	0	S	6987	0.259	0.316	0.391	0.312	7.3	23.6	9.0	0.320	36.3	5.35	-0.0	-0.7	1.4
Ted Easterly	C	58	0	L	6966	0.264	0.302	0.350	0.288	4.9	16.4	0.8	0.311	24.8	28.30	0.4	0.9	0.8
David Bell	3B	56	0	R	6905	0.242	0.312	0.367	0.304	8.8	18.6	15.0	0.269	27.6	3.65	-0.3	0.0	3.2
Ron Hansen	SS	58	0	R	6586	0.232	0.322	0.326	0.295	11.3	12.9	8.1	0.250	26.2	1.72	-0.8	1.4	2.4
Pumpsie Green	SS	56	0	S	6403	0.253	0.340	0.388	0.324	11.3	21.0	10.8	0.299	32.7	13.67	-0.7	0.7	2.5
Tom Herr	2B	58	5	S	6336	0.281	0.358	0.384	0.331	10.4	14.0	3.8	0.318	29.5	6.47	2.9	0.5	3.4
Michael Young	SS	59	5	R	6169	0.246	0.309	0.355	0.297	8.0	17.3	11.0	0.277	27.1	3.50	0.8	0.5	2.1
