# Silver Quick hitters | 2026-06-28 to 2026-07-11 | 95 of 774 Silver Quick tournaments | top 100 by PA
Name	POS	VAL	VLvl	Hand	PA	AVG	OBP	SLG	wOBA	BBpct	SOpct	HR600	BABIP	XBHpct	3B/XBH	wSB600	UBR600	WAR600
Kevin Alcantara	CF	76	0	R	16265	0.236	0.295	0.394	0.296	7.1	26.5	20.6	0.281	32.3	7.78	-0.5	2.1	0.9
Willie McGee	CF	79	0	S	15813	0.287	0.313	0.444	0.320	3.4	16.1	9.6	0.325	32.7	31.02	2.2	4.8	2.9
Jackie Robinson	2B	79	0	R	15380	0.256	0.300	0.396	0.299	5.4	14.5	11.7	0.278	34.9	9.44	-0.6	3.9	2.1
Owen Caissie	RF	78	0	L	12387	0.229	0.297	0.406	0.303	8.5	29.1	23.7	0.275	37.9	2.06	-0.6	-1.1	0.1
Luis Castillo	2B	73	0	S	11559	0.278	0.331	0.372	0.307	6.9	11.2	5.8	0.302	22.1	18.48	-0.6	2.1	3.1
Earl Webb	RF	72	0	L	11408	0.254	0.312	0.406	0.309	7.4	22.0	11.7	0.303	41.4	3.66	-0.4	3.8	1.1
Dan Pasqua	LF	79	0	L	11106	0.240	0.310	0.396	0.307	8.9	30.7	20.4	0.304	33.8	0.37	-0.2	-2.3	0.3
Woodie Held	SS	79	0	R	10839	0.229	0.295	0.397	0.298	8.2	29.4	21.8	0.280	35.5	7.04	-0.1	-2.2	1.9
Duke Snider	CF	73	0	L	10275	0.248	0.292	0.429	0.308	5.5	27.2	22.4	0.299	36.9	9.75	-0.3	3.5	2.2
Kevin Alcantara	CF	76	5	R	9821	0.251	0.307	0.439	0.318	7.3	24.5	24.1	0.287	37.2	6.45	-0.4	2.7	2.3
Edgardo Alfonzo	2B	79	0	R	9743	0.261	0.314	0.407	0.311	6.8	19.0	15.4	0.294	34.0	1.90	-0.3	0.6	3.5
Javier Baez	2B	78	0	R	9667	0.260	0.284	0.410	0.296	2.8	18.6	12.8	0.298	34.9	15.54	-0.2	2.5	3.0
Andre Dawson	CF	77	0	R	8756	0.255	0.285	0.417	0.299	3.8	21.5	19.9	0.291	31.7	13.24	0.7	2.9	1.3
Charlie Condon	1B	79	0	R	8033	0.215	0.305	0.362	0.293	11.1	29.1	17.2	0.266	36.8	2.35	-0.2	-2.1	0.5
Ivan Rodriguez	C	76	0	R	7783	0.248	0.306	0.367	0.293	7.5	18.8	9.9	0.286	31.2	6.57	-0.4	0.3	2.7
Curtis Granderson	CF	75	0	L	7069	0.243	0.301	0.402	0.302	7.2	24.7	14.8	0.295	36.3	17.99	0.1	3.4	1.0
Gus Bell	CF	70	0	L	7028	0.276	0.323	0.463	0.334	6.0	14.0	21.9	0.285	35.8	8.41	-0.4	-0.2	1.5
Jackie Robinson	2B	79	5	R	7007	0.262	0.310	0.405	0.308	6.2	13.7	12.8	0.281	33.7	9.49	-0.3	3.5	2.8
Spoony Palm	C	79	0	R	6888	0.271	0.296	0.479	0.327	3.2	14.3	25.4	0.275	39.5	10.33	-0.2	0.3	3.9
Josh Bell	1B	78	0	S	6832	0.256	0.322	0.454	0.332	8.6	16.9	24.4	0.264	40.1	5.41	-0.0	-3.5	1.7
Maury Wills	SS	78	0	S	6477	0.258	0.291	0.315	0.266	4.0	11.7	1.9	0.287	15.9	23.39	5.0	4.5	2.3
Dan Pasqua	LF	79	5	L	6447	0.243	0.314	0.430	0.319	8.8	29.0	25.3	0.292	37.8	0.75	-0.1	-4.7	1.3
Jimmy Rollins	SS	69	0	S	5601	0.257	0.310	0.413	0.310	7.1	14.6	17.6	0.269	32.7	9.35	0.6	2.5	4.1
Muddy Ruel	C	78	0	R	4959	0.234	0.293	0.304	0.264	7.5	10.3	1.6	0.255	24.8	10.42	-0.2	-0.9	1.0
Ozzie Smith	SS	79	0	S	4882	0.248	0.290	0.326	0.270	5.3	8.1	3.1	0.262	23.5	14.94	0.4	3.2	2.2
Andre Dawson	CF	77	5	R	4472	0.271	0.305	0.456	0.323	4.5	18.8	22.1	0.296	35.4	12.16	1.4	3.8	3.0
Jim Greengrass	LF	74	0	R	4403	0.232	0.275	0.401	0.289	5.1	25.9	22.3	0.271	36.3	6.09	-0.2	1.8	0.3
Duke Snider	CF	73	5	L	4264	0.253	0.306	0.440	0.317	6.8	26.5	22.0	0.302	37.5	12.67	-0.1	3.7	3.0
Julio Franco	1B	78	0	R	4082	0.256	0.319	0.390	0.306	8.3	20.0	15.7	0.291	28.0	5.68	0.5	1.0	1.2
Herb Souell	3B	74	0	S	3650	0.269	0.290	0.402	0.294	2.4	13.6	5.4	0.301	32.6	29.22	-0.4	0.5	2.0
Willie McGee	CF	79	5	S	3635	0.303	0.332	0.489	0.347	3.7	14.4	11.6	0.337	36.9	29.72	2.4	6.0	4.4
Tex Erwin	C	77	5	L	3504	0.233	0.299	0.389	0.297	8.1	17.6	19.3	0.247	34.1	5.98	-0.2	-0.2	0.9
Owen Caissie	RF	78	5	L	3489	0.248	0.321	0.440	0.327	9.3	27.9	24.8	0.297	40.0	1.29	-0.6	-0.7	1.4
Moises Alou	LF	74	0	R	3461	0.258	0.294	0.423	0.305	4.7	16.7	17.0	0.279	37.4	8.33	-0.3	1.9	0.9
Braden Montgomery	RF	74	5	S	3369	0.233	0.292	0.380	0.291	7.3	20.2	16.6	0.260	35.8	3.92	-0.5	0.6	0.6
Arky Vaughan	LF	75	5	L	3319	0.284	0.352	0.409	0.331	9.3	11.8	10.5	0.302	28.6	5.42	-0.8	0.5	2.7
Maury Wills	SS	78	5	S	3291	0.257	0.290	0.321	0.266	3.9	10.0	0.4	0.282	18.5	32.64	5.4	4.7	2.3
Jesse Williams	2B	79	0	R	3169	0.243	0.285	0.339	0.271	5.3	15.3	4.2	0.277	28.7	16.18	-0.2	-0.3	1.4
Damion Easley	2B	73	0	R	3144	0.229	0.258	0.390	0.277	3.6	22.2	20.2	0.257	39.1	1.87	0.8	2.3	1.6
Josh Bell	1B	78	5	S	3091	0.255	0.332	0.453	0.336	10.0	16.6	24.3	0.262	39.8	6.12	-0.1	-2.4	2.2
Vic Power	1B	76	5	R	3089	0.268	0.287	0.433	0.305	2.2	7.0	13.6	0.266	38.1	14.90	-0.3	1.1	2.6
Ken Griffey Jr.	RF	78	0	L	3023	0.233	0.305	0.371	0.295	8.9	20.5	19.1	0.258	28.3	0.56	0.1	-1.7	-0.6
Braden Montgomery	RF	74	0	S	2907	0.263	0.315	0.447	0.325	6.7	20.3	22.1	0.290	37.6	4.94	-0.1	1.1	2.5
Garry Templeton	SS	78	0	S	2892	0.280	0.298	0.425	0.306	2.1	15.6	7.9	0.316	32.6	28.46	-0.3	2.9	3.5
Charlie Condon	1B	79	5	R	2777	0.244	0.334	0.407	0.322	11.6	26.2	16.6	0.296	39.1	4.35	-0.1	-2.7	2.2
Joey Meneses	1B	78	0	R	2730	0.270	0.289	0.411	0.299	2.5	13.9	19.6	0.282	26.1	2.70	0.0	-2.1	0.4
Ken Griffey	RF	77	0	L	2715	0.296	0.348	0.454	0.343	7.3	16.5	11.9	0.332	34.5	12.30	-1.0	-0.6	2.3
Adrian Beltre	3B	78	0	R	2620	0.214	0.258	0.333	0.257	4.8	20.4	14.2	0.244	31.0	3.07	0.0	-0.1	0.7
Dick Allen	3B	79	0	R	2581	0.223	0.296	0.343	0.281	9.2	27.9	15.3	0.277	27.8	1.40	0.0	-0.6	-0.4
Joe Judge	1B	74	0	L	2558	0.255	0.322	0.394	0.310	8.4	17.6	7.5	0.295	34.2	28.00	-0.3	-0.3	1.5
Joe Mack	C	74	0	L	2324	0.198	0.258	0.307	0.249	6.7	28.1	13.4	0.246	29.4	2.44	-0.5	-0.7	1.0
Dick Allen	3B	79	5	R	2248	0.259	0.335	0.432	0.331	9.7	25.4	22.4	0.304	33.5	2.33	-0.2	-2.5	2.1
Tom Tresh	SS	77	5	S	2131	0.255	0.312	0.403	0.309	7.2	14.8	17.2	0.269	32.0	5.70	0.0	1.4	2.2
Gerardo Parra	LF	77	0	L	2128	0.235	0.288	0.343	0.276	6.3	20.5	7.9	0.281	27.7	22.05	3.6	4.3	0.6
Cristian Guzman	SS	71	0	S	2123	0.279	0.297	0.437	0.311	2.4	16.7	8.8	0.320	36.1	26.60	0.8	5.1	3.8
Vic Power	1B	76	0	R	2043	0.281	0.298	0.443	0.313	2.0	7.5	12.6	0.282	36.5	15.50	-0.1	-0.1	2.3
Jim Greengrass	LF	74	5	R	2025	0.268	0.302	0.477	0.329	4.6	23.0	28.7	0.298	37.8	5.18	-0.5	1.1	2.3
Willie Keeler	RF	77	0	L	2009	0.300	0.316	0.420	0.313	2.3	7.0	5.4	0.311	25.6	31.76	-0.4	3.7	1.2
Willie Keeler	RF	77	5	L	1897	0.293	0.316	0.447	0.323	3.3	6.5	8.9	0.296	32.1	31.36	0.3	3.7	2.2
Judy Johnson	3B	79	0	R	1755	0.229	0.261	0.360	0.266	4.0	18.7	10.9	0.262	36.0	10.37	-0.2	1.4	1.1
Ivan Rodriguez	C	76	5	R	1640	0.237	0.293	0.342	0.277	7.0	17.1	9.1	0.269	28.9	4.85	-1.1	0.2	1.8
