# Silver Quick pitchers | 2026-06-28 to 2026-07-11 | 95 of 774 Silver Quick tournaments | top 100 by IP
Name	VAL	VLvl	Hand	IP	GSper	IPpergame	RA9	ERA	wOBAA	K9	BB9	HR9	BABIP
Roger Clemens	79	0	R	5263	0.781	5.70	3.77	3.49	0.292	6.56	2.08	0.72	0.290
Julio Teheran	79	0	R	4638.3	0.834	5.50	4.58	4.22	0.318	4.11	1.91	1.01	0.286
Dan Bankhead	74	0	R	4246.7	0.685	4.81	4.04	3.73	0.298	7.72	3.02	0.76	0.294
Didier Fuentes	79	0	R	4034	0.540	3.76	4.22	3.98	0.306	7.73	1.77	1.05	0.304
Johnny Niggeling	78	0	R	3867.3	0.688	4.95	4.31	4.02	0.308	7.45	3.66	0.88	0.289
Dan Bankhead	74	5	R	3798.7	0.868	5.90	4.00	3.65	0.296	8.07	2.95	0.70	0.297
Jim Brewer	78	0	L	3031.3	0.075	1.30	3.50	3.30	0.289	8.06	1.92	1.11	0.281
George Klassen	79	0	R	2887.3	0.595	4.20	4.59	4.26	0.319	7.76	2.73	1.07	0.308
Julio Teheran	79	5	R	2802	0.788	6.33	4.29	4.02	0.304	4.57	1.73	0.92	0.279
Didier Fuentes	79	5	R	2641	0.753	5.17	3.78	3.47	0.291	7.91	1.73	0.94	0.295
Rudy May	74	0	L	2533	0.038	1.57	3.92	3.61	0.302	7.82	2.66	0.86	0.305
Tom Cheney	78	0	R	2504.7	0.673	4.63	4.86	4.59	0.331	6.40	1.56	1.79	0.280
Johnny Niggeling	78	5	R	2308	0.864	6.56	3.69	3.46	0.291	7.62	3.16	0.80	0.279
Jakie May	72	0	L	2148.3	0.515	3.92	3.94	3.59	0.301	7.47	2.50	0.88	0.297
Adam Ottavino	79	0	R	1854	0.001	1.17	3.62	3.36	0.294	8.09	3.68	0.71	0.288
Randy Johnson	77	0	L	1789.3	0.264	2.87	4.28	4.07	0.306	8.56	4.45	0.91	0.287
Jonah Tong	77	5	R	1786	1.000	5.82	3.87	3.62	0.289	8.34	2.33	1.01	0.282
Tom Cheney	78	5	R	1684.7	0.676	6.19	4.17	3.79	0.300	6.89	1.29	1.35	0.276
Dennis Cook	76	0	L	1488	0.054	1.18	3.76	3.54	0.294	7.48	3.24	0.68	0.295
Jakie May	72	5	L	1254.7	1.000	6.03	3.72	3.39	0.287	8.06	2.04	0.70	0.301
George Klassen	79	5	R	1044.3	0.806	5.97	4.09	3.70	0.297	8.05	2.28	0.90	0.298
Don McMahon	75	0	R	1014.3	0.045	1.27	3.61	3.29	0.299	6.14	2.09	1.00	0.279
Roy Partlow	78	0	L	990.3	0.591	4.09	4.72	4.46	0.318	5.83	2.67	1.02	0.295
Parker Messick	76	5	L	984	1.000	6.23	4.33	4.02	0.307	6.72	1.77	0.77	0.314
Mark Littell	77	0	R	963	0.000	1.18	4.04	3.50	0.309	6.51	3.92	0.78	0.288
Ken Holtzman	76	5	L	931.7	1.000	6.25	4.81	4.31	0.321	6.02	2.03	1.26	0.292
Michael King	76	0	R	825.7	0.000	1.51	4.00	3.71	0.307	7.08	2.30	0.89	0.305
Phil Douglas	74	5	R	711.3	1.000	5.93	4.73	4.23	0.325	7.12	1.40	1.38	0.306
Bob Gibson	70	0	R	685	0.615	4.63	3.65	3.46	0.295	6.39	3.30	0.54	0.288
Terry Forster	76	0	L	680.3	0.080	1.48	3.77	3.47	0.294	6.79	2.43	0.91	0.284
Jonah Tong	77	0	R	652	0.489	3.66	4.42	4.06	0.316	7.72	2.80	1.15	0.299
Curt Simmons	74	5	L	648.7	0.972	6.06	4.18	3.94	0.300	5.67	1.68	0.62	0.296
John D'Acquisto	76	0	R	637.7	0.090	1.40	3.99	3.82	0.301	7.59	4.14	0.65	0.287
Bruce Dal Canton	75	0	R	626.7	0.936	5.75	4.55	4.27	0.312	5.31	3.53	0.85	0.272
Jim Brewer	78	5	L	625.3	0.027	1.20	3.35	3.04	0.282	8.66	2.09	1.07	0.279
Chad Cordero	74	0	R	570.7	0.000	1.19	3.71	3.55	0.292	6.13	1.99	1.14	0.259
Thornton Lee	79	0	L	514.3	0.600	4.29	4.86	4.44	0.323	7.14	2.52	1.21	0.301
Curt Davis	78	0	R	502.3	0.658	6.36	3.67	3.24	0.290	5.63	1.65	0.70	0.284
Bobby Shantz	79	0	L	478	0.504	3.49	5.67	5.22	0.339	6.33	1.83	1.60	0.305
Mike Stanton	74	0	L	474	0.027	1.08	2.85	2.68	0.276	6.21	2.26	0.95	0.251
Seth Morehead	78	0	L	467.7	0.103	1.30	3.44	3.16	0.296	7.14	2.37	0.64	0.313
Storm Davis	77	0	R	464.7	0.882	5.47	4.71	4.38	0.323	4.07	2.61	0.87	0.289
William Bell	78	5	R	453.7	0.798	5.40	4.11	3.77	0.308	5.10	1.13	0.87	0.297
Rudy May	74	5	L	449.3	0.354	1.42	3.69	3.57	0.296	7.63	2.16	0.74	0.307
